game_id,home_team,away_team,runline,pick,Away_Batter1_Name,Away_Batter2_Name,Away_Batter3_Name,Away_Batter4_Name,Away_Batter5_Name,Away_Batter6_Name,Away_Batter7_Name,Away_Batter8_Name,Away_Batter9_Name,Home_Batter1_Name,Home_Batter2_Name,Home_Batter3_Name,Home_Batter4_Name,Home_Batter5_Name,Home_Batter6_Name,Home_Batter7_Name,Home_Batter8_Name,Home_Batter9_Name,Away_SP_Name,Home_SP_Name
777453,Seattle Mariners,Boston Red Sox,6.5,Under,Jarren Duran,Abraham Toro,Roman Anthony,Romy Gonzalez,Marcelo Mayer,Trevor Story,David Hamilton,Kristian Campbell,Connor Wong,Dylan Moore,Julio Rodríguez,Cal Raleigh,Jorge Polanco,Randy Arozarena,Mitch Garver,Donovan Solano,Ben Williamson,Miles Mastrobuoni,Garrett Crochet,Luis Castillo
777464,Detroit Tigers,Pittsburgh Pirates,6.5,Over,,,,,,,,,,,,,,,,,,,,
777461,Washington Nationals,Colorado Rockies,9.5,Over,Tyler Freeman,Kyle Farmer,Jordan Beck,Michael Toglia,Brenton Doyle,Orlando Arcia,Sam Hilliard,Ryan Ritter,Braxton Fulford,CJ Abrams,James Wood,Luis García Jr.,Nathaniel Lowe,Brady House,Josh Bell,Daylen Lile,Keibert Ruiz,Jacob Young,Germán Márquez,Mitchell Parker
777465,Miami Marlins,Philadelphia Phillies,8.5,Under,Trea Turner,Kyle Schwarber,Alec Bohm,Nick Castellanos,Max Kepler,J.T. Realmuto,Bryson Stott,Edmundo Sosa,Brandon Marsh,Xavier Edwards,Agustín Ramírez,Otto Lopez,Heriberto Hernandez,Eric Wagaman,Dane Myers,Connor Norby,Jack Winkler,Javier Sanoja,Ranger Suárez,Adam Mazur
777466,New York Yankees,Los Angeles Angels,9.5,Over,Zach Neto,Nolan Schanuel,Mike Trout,Taylor Ward,Logan O'Hoppe,Luis Rengifo,Jo Adell,Scott Kingery,Kevin Newman,Trent Grisham,Aaron Judge,Cody Bellinger,Paul Goldschmidt,Jazz Chisholm Jr.,Ben Rice,Anthony Volpe,Jasson Domínguez,Oswald Peraza,Jack Kochanowicz,Ryan Yarbrough
777462,Toronto Blue Jays,Arizona Diamondbacks,8.5,Under,Ketel Marte,Corbin Carroll,Lourdes Gurriel Jr.,Eugenio Suárez,Josh Naylor,Randal Grichuk,Geraldo Perdomo,Tim Tawa,Jose Herrera,Bo Bichette,Addison Barger,Vladimir Guerrero Jr.,Alejandro Kirk,George Springer,Ernie Clement,Andrés Giménez,Davis Schneider,Tyler Heineman,Eduardo Rodriguez,Eric Lauer
777458,Chicago White Sox,St. Louis Cardinals,8.5,Over,,,,,,,,,,,,,,,,,,,,
777463,Tampa Bay Rays,Baltimore Orioles,9.0,Under,Jackson Holliday,Jordan Westburg,Gunnar Henderson,Ramón Laureano,Ryan O'Hearn,Gary Sánchez,Colton Cowser,Coby Mayo,Cedric Mullins,Yandy Díaz,Curtis Mead,Junior Caminero,Christopher Morel,Jonathan Aranda,Jake Mangum,José Caballero,Danny Jansen,Taylor Walls,Trevor Rogers,Taj Bradley
777474,Cincinnati Reds,Minnesota Twins,9.0,Under,Byron Buxton,Ty France,Carlos Correa,Matt Wallner,Willi Castro,Harrison Bader,Brooks Lee,Trevor Larnach,Christian Vázquez,TJ Friedl,Gavin Lux,Elly De La Cruz,Spencer Steer,Will Benson,Jose Trevino,Santiago Espinal,Jake Fraley,Matt McLain,Bailey Ober,Nick Lodolo
777470,Atlanta Braves,New York Mets,8.5,Under,Francisco Lindor,Starling Marte,Juan Soto,Pete Alonso,Brandon Nimmo,Luis Torrens,Tyrone Taylor,Jeff McNeil,Ronny Mauricio,Ronald Acuña Jr.,Alex Verdugo,Austin Riley,Matt Olson,Marcell Ozuna,Drake Baldwin,Ozzie Albies,Michael Harris II,Nick Allen,Paul Blackburn,Chris Sale
777459,Chicago Cubs,Milwaukee Brewers,8.0,Over,,,,,,,,,,,,,,,,,,,,
777460,Texas Rangers,Kansas City Royals,8.0,Under,Jonathan India,Bobby Witt Jr.,Maikel Garcia,Vinnie Pasquantino,Salvador Perez,Mark Canha,Nick Loftin,Freddy Fermin,Kyle Isbel,Sam Haggerty,Wyatt Langford,Corey Seager,Marcus Semien,Adolis García,Josh Jung,Jake Burger,Kyle Higashioka,Ezequiel Duran,Kris Bubic,Patrick Corbin
777454,San Francisco Giants,Cleveland Guardians,7.5,Under,,,,,,,,,,Heliot Ramos,Willy Adames,Rafael Devers,Wilmer Flores,Casey Schmitt,Jung Hoo Lee,Tyler Fitzgerald,Mike Yastrzemski,Patrick Bailey,,Justin Verlander
777456,Athletics,Houston Astros,9.5,Over,,,,,,,,,,,,,,,,,,,,
777457,Los Angeles Dodgers,San Diego Padres,9.5,Over,,,,,,,,,,Shohei Ohtani,Mookie Betts,Freddie Freeman,Teoscar Hernández,Max Muncy,Andy Pages,Tommy Edman,Hyeseong Kim,Dalton Rushing,,Emmet Sheehan
