Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1,9,37,2021-05-12,BAL,@,NYM,"L,1-7",6-6,,99,1.0,0,0,0,0,2,0,0,0.0,-0.83,3,12.0,8.0,3,2,0,1,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.02,0.001,0.01,0.00%,0.49,,,6b --- 0 out d7,6b 3 out d7,,2021-05-12,110,121,634128
2,10,39,2021-05-15,BAL,,NYY,"L,2-8",3-6,,2,3.1,4,3,3,0,1,0,0,6.23,1.79,13,50.0,39.0,10,5,4,8,3,0,0,,0.0,0.0,0,0,0,13,0,0,0,1,0,0,0.23,0.026,0.14,0.01%,0.5,,,3t --- 0 out d5,6t 123 1 out d5,,2021-05-15,110,147,634104
3,11,43,2021-05-20,BAL,,TBR,"L,1-10",4-6,,4,3.0,5,2,2,1,4,0,0,6.14,1.67,15,76.0,49.0,10,12,7,3,2,0,0,,0.0,0.0,0,0,0,13,0,0,0,0,1,0,0.47,-0.031,0.21,-0.01%,-0.42,,,4t --- 0 out d4,6t 3 out d5,,2021-05-20,110,139,634120
4,12,48,2021-05-25,BAL,@,MIN,"L,4-7",6-GF(8),,4,3.0,3,2,2,0,3,1,0,6.1,2.78,12,45.0,29.0,10,5,3,6,1,2,0,,0.0,0.0,0,0,0,12,1,0,0,0,0,0,0.26,-0.062,0.04,-0.01%,-0.47,,,6b --- 0 out d2,8b end d 3,,2021-05-25,110,142,634048
5,13,53,2021-05-30,BAL,@,CHW,"L,1-3",GS-5,,4,4.2,5,1,1,2,4,1,0,4.8,3.64,21,94.0,60.0,12,12,5,10,3,1,0,52.0,,,0,0,0,19,0,0,0,0,0,0,1.0,0.103,0.07,0.00%,1.14,,,1b start tie,5b 1-3 2 out tie,,2021-05-30,110,145,633872
6,14,57,2021-06-04,BAL,,CLE,"W,3-1",GS-5,,4,5.0,3,0,0,1,4,0,0,3.6,3.27,19,,,12,7,5,9,4,0,0,64.0,,,0,0,0,18,0,0,0,0,0,0,1.06,0.286,0.06,0.01%,2.64,,,1t start tie,5t 3 out tie,,2021-06-04,110,114,633818
7,15,62,2021-06-11,BAL,@,TBR,"L,2-4",GS-4,L(0-1),6,4.0,5,3,3,3,2,1,0,4.13,4.0,18,95.0,57.0,12,9,5,8,2,3,0,39.0,,,0,0,0,15,0,0,0,1,0,0,1.34,-0.175,0.08,-0.01%,-1.04,,,1b start tie,4b 3 out d1,,2021-06-11,110,139,633781
8,16,67,2021-06-16,BAL,@,CLE,"L,7-8",GS-6,L(0-2),4,5.2,8,8,8,3,7,1,0,5.76,4.11,27,96.0,71.0,19,13,5,12,6,1,0,25.0,,,0,1,0,24,2,0,0,0,0,0,0.91,-0.39,0.01,0.00%,-3.32,,,1b start a 2,6b 12- 2 out d1,,2021-06-16,110,114,633659
9,17,72,2021-06-21,BAL,,HOU,"L,2-10",GS-5,L(0-3),4,4.0,6,5,5,4,5,1,0,6.42,4.45,21,83.0,48.0,20,3,7,5,3,0,0,31.0,,,0,0,0,16,1,0,0,1,1,0,0.83,-0.28,0.0,0.00%,-3.28,,,1t start tie,5t 1-- 0 out d5,,2021-06-21,110,117,633747
10,18,77,2021-06-26,BAL,@,TOR,"L,4-12",GS-5,L(0-4),4,4.1,7,6,6,1,3,2,0,7.11,4.91,21,82.0,53.0,11,8,6,11,3,1,0,27.0,,,0,0,0,20,3,0,0,0,0,0,0.54,-0.203,0.0,0.00%,-2.24,,,1b start tie,5b 12- 1 out d4,,2021-06-26,110,141,633520
11,19,82,2021-07-02,BAL,@,LAA,"L,7-8",GS-3,,5,3.0,7,4,4,1,3,2,0,7.46,5.34,16,64.0,43.0,11,6,3,9,3,1,0,31.0,,,0,0,0,15,1,0,0,1,0,0,1.11,-0.206,0.0,0.00%,-2.39,,,1b start a 1,3b 3 out a2,,2021-07-02,110,108,633402
12,20,88,2021-07-10,BAL,,CHW,"L,3-8",3-7,,7,4.1,6,4,4,1,6,0,0,7.54,4.93,19,79.0,51.0,12,9,4,8,4,0,0,,2.0,0.0,0,0,0,18,2,0,0,1,0,0,0.44,-0.025,0.0,0.00%,0.09,,,3t 12- 0 out d4,7t 1-- 1 out d5,,2021-07-10,110,145,633350
13,21,90,2021-07-16,BAL,@,KCR,"L,2-9",GS-3,L(0-5),5,3.0,8,6,6,3,2,0,0,8.19,4.93,20,74.0,47.0,8,8,6,9,5,1,0,18.0,,,0,0,0,16,4,0,0,0,1,0,0.74,-0.316,0.0,0.00%,-4.39,,,1b start tie,3b 3 out d6,,2021-07-16,110,118,633328
14,22,104,2021-08-01,BAL,@,DET,"L,2-6",7-7,,15,0.1,2,0,0,0,0,0,0,8.14,4.92,3,13.0,7.0,2,1,1,2,0,1,0,,2.0,2.0,0,0,0,2,0,0,0,0,1,0,0.63,-0.05,0.0,0.00%,-1.25,,,7b 1-3 1 out d2,7b 12- 2 out d4,,2021-08-01,110,116,633050
15,23,106,2021-08-03,BAL,@,NYY,"L,1-13",5-7,,1,3.0,1,0,0,0,1,0,0,7.66,4.78,10,35.0,26.0,7,2,4,5,2,1,0,,0.0,0.0,0,0,0,10,0,0,0,0,0,0,0.01,0.001,0.0,0.00%,1.56,,,5b --- 0 out d9,7b 3 out d9,,2021-08-03,110,147,633023
16,24,111,2021-08-10,BAL,,DET,"L,4-9",GS-3,L(0-6),6,3.0,7,6,6,1,5,0,0,8.23,4.56,17,68.0,52.0,17,8,3,8,4,1,0,25.0,,,0,0,0,16,2,2,0,0,0,0,0.91,-0.383,0.0,0.00%,-4.42,,,1t start tie,3t 3 out d5,,2021-08-10,110,116,632960
17,25,116,2021-08-15,BAL,@,BOS,"L,2-6",GS-4,L(0-7),4,4.0,6,3,3,3,2,1,0,8.13,4.77,20,,,14,9,3,12,4,1,0,37.0,,,0,0,0,17,1,0,1,1,0,0,0.92,-0.12,0.0,0.00%,-0.77,,,1b start a 1,4b 3 out d2,,2021-08-15,110,111,632961
18,26,121,2021-08-20,BAL,,ATL,"L,0-3",GS-6,L(0-8),4,5.0,5,3,3,3,3,2,0,7.92,5.1,24,101.0,60.0,15,5,8,10,3,0,0,45.0,,,0,0,0,21,0,0,0,0,0,1,0.67,-0.14,0.0,0.00%,-1.37,,,1t start tie,6t 12- 0 out d3,,2021-08-20,110,144,632814
19,27,126,2021-08-26,BAL,,LAA,"W,13-1",GS-7,W(1-8),5,7.0,3,1,1,2,6,1,1,7.26,5.05,26,92.0,62.0,14,10,4,13,2,3,0,71.0,,,0,1,1,23,0,0,0,0,0,0,0.94,0.199,0.0,0.00%,2.69,,,1t start tie,7t 3 out a6,,2021-08-26,110,108,632743
20,28,131,2021-08-31,BAL,@,TOR,"W,4-2",GS-5,W(2-8),4,5.0,2,1,1,3,5,1,0,6.9,5.09,20,85.0,53.0,12,7,4,8,0,1,0,61.0,,,0,0,0,17,1,0,0,0,0,0,0.99,0.14,0.0,0.00%,1.71,,,1b start tie,5b 3 out d1,,2021-08-31,110,141,632715
21,29,135,2021-09-05,BAL,@,NYY,"W,8-7",GS-4,,4,4.0,3,4,4,2,5,1,1,7.0,5.14,18,86.0,53.0,18,10,4,6,2,0,0,43.0,,,0,0,0,15,0,0,0,0,0,0,0.87,-0.239,0.0,0.00%,-1.92,,,1b start tie,4b 3 out d2,,2021-09-05,110,147,632582
22,30,142,2021-09-11,BAL,,TOR,"L,2-11",GS-7,L(2-9),5,6.0,3,3,3,2,3,1,0,6.83,5.15,23,97.0,59.0,14,8,8,10,2,3,0,55.0,,,0,0,0,20,0,0,0,0,0,0,1.58,-0.201,0.0,0.00%,0.77,,,1t start tie,7t 1-- 0 out d1,2.0,2021-09-11,110,141,633331
23,31,147,2021-09-17,BAL,@,BOS,"L,1-7",GS-5,L(2-10),5,4.0,6,4,4,3,0,1,0,6.93,5.31,20,88.0,56.0,11,5,6,11,5,2,0,31.0,,,0,0,0,16,3,0,0,0,1,0,0.93,-0.139,0.0,0.00%,-1.17,,,1b start tie,5b 1-- 0 out d2,,2021-09-17,110,111,632454
24,32,152,2021-09-22,BAL,@,PHI,"L,3-4",GS-6,,4,5.1,5,1,1,1,6,0,0,6.63,5.1,21,,,13,10,8,6,4,0,0,59.0,,,0,0,0,20,0,0,0,1,0,0,1.03,0.277,0.0,0.00%,2.51,,,1b start tie,6b 1-- 1 out a1,,2021-09-22,110,143,632382
1,33,2,2022-04-09,BAL,@,TBR,"L,3-5",6-GF(8),,99,3.0,1,0,0,0,3,0,0,0.0,1.11,10,31.0,27.0,5,10,5,2,2,0,0,,0.0,0.0,0,0,0,10,0,0,0,1,0,1,0.16,0.03,0.15,0.02%,1.36,12.15,18.0,6b --- 0 out d3,8b end d 3,,2022-04-09,110,139,661917
2,34,5,2022-04-12,BAL,,MIL,"L,4-5",4-6,,2,2.2,1,0,0,0,1,0,0,0.0,1.7,9,35.0,24.0,8,3,3,5,1,0,0,,0.0,0.0,0,0,0,9,1,0,0,0,0,0,1.11,0.18,0.9,0.09%,1.31,7.4,11.0,4t --- 0 out tie,6t --- 2 out tie,,2022-04-12,110,158,663295
3,35,10,2022-04-18,BAL,@,OAK,"L,1-5",7-GF(8),,5,2.0,0,0,0,0,1,0,0,0.0,1.81,6,25.0,21.0,2,5,1,4,1,2,0,,0.0,0.0,0,0,0,6,0,0,0,0,0,0,0.05,0.007,0.04,0.00%,0.89,6.5,9.0,7b --- 0 out d4,8b end d 4,,2022-04-18,110,133,662407
4,36,13,2022-04-21,BAL,@,OAK,"L,4-6",5-6,,2,2.0,2,2,2,0,2,1,0,1.86,3.01,8,25.0,21.0,10,1,3,3,1,0,0,,0.0,0.0,0,0,0,8,0,0,0,0,0,0,0.49,-0.148,0.38,-0.07%,-1.11,3.3,6.0,5b --- 0 out d1,6b 3 out d3,,2022-04-21,110,133,662391
5,37,16,2022-04-24,BAL,@,LAA,"L,6-7",4-5,,2,2.0,2,0,0,2,0,0,0,1.54,3.54,8,28.0,16.0,5,3,4,2,1,0,0,,0.0,0.0,0,1,0,6,0,0,0,1,0,0,0.48,0.042,0.39,0.02%,0.98,2.1,6.0,4b --- 0 out d3,5b 3 out d3,,2022-04-24,110,108,661033
6,38,20,2022-04-29,BAL,,BOS,"L,1-3",7-9,,4,2.2,1,0,0,0,2,0,0,1.26,3.18,10,37.0,31.0,7,5,4,4,1,0,0,,0.0,0.0,0,0,0,10,0,0,0,0,0,1,0.18,0.033,0.11,0.01%,1.1,9.4,14.0,7t --- 0 out d3,9t -2- 2 out d3,,2022-04-29,110,111,663337
7,39,24,2022-05-03,BAL,,MIN,"L,2-7",7-9,,3,2.0,4,2,2,0,2,0,0,2.2,2.93,10,45.0,35.0,8,2,5,3,3,0,0,,0.0,0.0,0,0,0,10,4,0,0,0,0,0,0.21,0.006,0.12,0.00%,-1.54,2.1,6.0,7t --- 0 out d3,9t -23 0 out d4,,2022-05-03,110,142,663463
