Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1,28,2021-04-03,DET,,CLE,"W,5-2",8-8,,99,0.2,2.0,1.0,1.0,0.0,1.0,0.0,0,13.5,0.17,4.0,16.0,10.0,5,1,1,2,1,0,0,,0.0,0.0,0,0,0,3,0.0,0.0,0.0,0,1,0,0.68,-0.01,0.73,-0.01%,-0.73,,,8t --- 0 out a4,8t 1-- 2 out a3,,2021-04-03,116,114,634573,2021,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,29,2021-04-04,DET,,CLE,"L,3-9",9-GF,,0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,10.8,8.57,4.0,13.0,9.0,1,3,1,2,0,1,0,,0.0,0.0,0,0,0,4,0.0,0.0,0.0,0,0,0,0.01,-0.003,0.01,0.00%,-0.49,,,9t --- 0 out d5,9t end d 6,,2021-04-04,116,114,634611,2021,1.0,0.667,2.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,13.5,3.0,0.667,2.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,13.5,3.0,0.667,2.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,13.5,3.0
3,30,2021-04-10,DET,@,CLE,"L,3-11",7-GF(8),,5,2.0,2.0,3.0,3.0,1.0,2.0,2.0,0,12.27,12.44,9.0,34.0,20.0,4,3,3,3,0,0,0,,0.0,0.0,0,0,0,8,0.0,0.0,0.0,0,0,0,0.0,-0.002,0.0,0.00%,-1.96,,,7b --- 0 out d7,8b end d10,,2021-04-10,116,114,632218,2021,2.0,1.667,3.0,8.0,1.0,2.0,2.0,0.0,2.0,1.0,6.0,10.8,1.8,1.667,3.0,8.0,1.0,2.0,2.0,0.0,2.0,1.0,6.0,10.8,1.8,1.667,3.0,8.0,1.0,2.0,2.0,0.0,2.0,1.0,6.0,10.8,1.8
4,31,2021-04-15,DET,@,OAK,"L,4-8",6-GF(8),,4,2.2,4.0,1.0,1.0,2.0,2.0,0.0,0,8.53,8.85,14.0,42.0,26.0,7,1,5,5,2,1,0,,3.0,1.0,0,0,0,12,1.0,0.0,0.0,0,0,0,0.1,-0.005,0.1,0.00%,0.56,,,6b 123 1 out d4,8b end d 6,,2021-04-15,116,133,634632,2021,2.667,3.667,5.0,17.0,3.0,5.0,5.0,1.0,4.0,3.0,14.0,12.273,1.636,3.667,5.0,17.0,3.0,5.0,5.0,1.0,4.0,3.0,14.0,12.273,1.636,3.667,5.0,17.0,3.0,5.0,5.0,1.0,4.0,3.0,14.0,12.273,1.636
5,32,2021-04-23,DET,,KCR,"L,2-6",5-7,,7,2.1,0.0,0.0,0.0,1.0,1.0,0.0,0,6.23,7.44,8.0,23.0,18.0,4,3,5,1,0,0,0,,1.0,0.0,0,0,0,7,0.0,0.0,0.0,0,0,0,0.18,0.032,0.16,0.02%,1.34,,,5t -2- 2 out d6,7t 3 out d4,,2021-04-23,116,118,634412,2021,2.333,6.333,9.0,31.0,3.0,6.0,6.0,3.0,6.0,4.0,19.0,8.526,1.895,6.333,9.0,31.0,3.0,6.0,6.0,3.0,6.0,4.0,19.0,8.526,1.895,6.333,9.0,31.0,3.0,6.0,6.0,3.0,6.0,4.0,19.0,8.526,1.895
6,33,2021-04-29,DET,@,CHW,"L,0-11",6-GF(6),,5,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0,5.59,6.38,4.0,12.0,11.0,1,3,1,0,0,0,0,,0.0,0.0,0,0,0,4,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.00%,0.53,,,6b --- 0 out d11,6b end d11,2.0,2021-04-29,116,145,634357,2021,1.0,8.667,9.0,39.0,3.0,6.0,6.0,4.0,7.0,4.0,19.0,6.231,1.5,8.667,9.0,39.0,3.0,6.0,6.0,4.0,7.0,4.0,19.0,6.231,1.5,8.667,9.0,39.0,3.0,6.0,6.0,4.0,7.0,4.0,19.0,6.231,1.5
7,34,2021-04-30,DET,@,NYY,"L,0-10",5-7,,0,3.0,4.0,1.0,1.0,0.0,3.0,1.0,0,4.97,6.17,13.0,50.0,36.0,7,4,6,4,0,0,0,,0.0,0.0,0,0,0,13,0.0,0.0,0.0,0,0,0,0.0,-0.001,0.0,0.00%,0.56,,,5b --- 0 out d9,7b 3 out d10,,2021-04-30,116,147,634327,2021,3.0,9.667,10.0,43.0,3.0,6.0,6.0,4.0,10.0,4.0,20.0,5.586,1.448,9.0,8.0,39.0,3.0,5.0,5.0,4.0,9.0,4.0,18.0,5.0,1.333,9.667,10.0,43.0,3.0,6.0,6.0,4.0,10.0,4.0,20.0,5.586,1.448
8,35,2021-05-04,DET,@,BOS,"L,7-11",6-7,,3,2.0,2.0,1.0,1.0,0.0,2.0,0.0,0,4.91,5.49,8.0,24.0,18.0,2,3,1,5,3,0,0,,0.0,0.0,0,0,0,8,1.0,0.0,0.0,0,0,0,0.41,-0.032,0.13,-0.01%,0.12,,,6b --- 0 out d2,7b 3 out d3,,2021-05-04,116,111,634241,2021,2.0,12.667,14.0,56.0,4.0,7.0,7.0,4.0,13.0,5.0,27.0,4.974,1.421,11.0,11.0,48.0,3.0,5.0,5.0,4.0,11.0,4.0,21.0,4.091,1.364,12.667,14.0,56.0,4.0,7.0,7.0,4.0,13.0,5.0,27.0,4.974,1.421
9,36,2021-05-06,DET,@,BOS,"L,9-12",4-6,,1,2.0,4.0,3.0,2.0,0.0,2.0,0.0,0,5.4,4.97,11.0,30.0,25.0,8,6,1,8,3,1,0,,0.0,0.0,0,0,0,11,1.0,0.0,0.0,0,0,1,1.35,-0.182,0.42,-0.03%,-1.23,,,4b --- 0 out tie,6b 1-3 0 out a2,,2021-05-06,116,111,634255,2021,2.0,14.667,16.0,64.0,4.0,8.0,8.0,4.0,15.0,6.0,30.0,4.909,1.364,11.0,11.0,47.0,1.0,3.0,3.0,3.0,11.0,3.0,16.0,2.455,1.273,14.667,16.0,64.0,4.0,8.0,8.0,4.0,15.0,6.0,30.0,4.909,1.364
10,37,2021-05-13,DET,,KCR,"W,4-3",8-8,H(1),6,0.1,2.0,0.0,0.0,0.0,0.0,0.0,0,5.29,4.93,3.0,11.0,7.0,0,2,2,1,1,0,0,,0.0,0.0,0,0,0,3,0.0,0.0,0.0,0,0,0,1.24,-0.05,0.41,-0.01%,-0.41,,,8t --- 0 out a3,8t 12- 1 out a3,,2021-05-13,116,118,634117,2021,0.333,16.667,20.0,75.0,4.0,11.0,10.0,4.0,17.0,7.0,35.0,5.4,1.44,10.333,11.0,44.0,1.0,5.0,4.0,1.0,11.0,3.0,16.0,3.484,1.161,16.667,20.0,75.0,4.0,11.0,10.0,4.0,17.0,7.0,35.0,5.4,1.44
11,38,2021-05-15,DET,,CHC,"W,9-8",6-7,,1,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0,4.74,4.7,7.0,28.0,17.0,6,3,1,3,0,1,0,,0.0,0.0,0,0,0,6,0.0,0.0,0.0,0,0,0,0.94,0.111,0.27,0.02%,1.01,,,6t --- 0 out d1,7t 3 out d1,,2021-05-15,116,112,634111,2021,2.0,17.0,22.0,78.0,4.0,11.0,10.0,4.0,17.0,7.0,37.0,5.294,1.529,8.333,13.0,39.0,1.0,5.0,4.0,0.0,10.0,3.0,18.0,4.32,1.56,17.0,22.0,78.0,4.0,11.0,10.0,4.0,17.0,7.0,37.0,5.294,1.529
12,39,2021-05-22,DET,@,KCR,"L,5-7",8-GF(8),,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,4.5,4.62,4.0,15.0,11.0,3,0,4,0,0,0,0,,0.0,0.0,1,0,0,4,0.0,0.0,0.0,0,0,0,0.05,0.003,0.03,0.00%,0.54,,,8b --- 0 out d4,8b end d 4,,2021-05-22,116,118,634001,2021,1.0,19.0,22.0,85.0,4.0,11.0,10.0,5.0,19.0,7.0,37.0,4.737,1.421,9.333,12.0,42.0,1.0,5.0,4.0,1.0,9.0,3.0,17.0,3.857,1.393,19.0,22.0,85.0,4.0,11.0,10.0,5.0,19.0,7.0,37.0,4.737,1.421
