Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1.0,1.0,135.0,2021-09-05,TOR,,OAK,"W,8-0",8-8,,99.0,1.0,1,0,0,0,1,0,0,0.0,1.17,4,19,11,1,4,0.0,3.0,1,2,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.04,0.002,0.02,0.00%,0.54,,,8t --- 0 out a8,8t 3 out a8,,2021-09-05,141,133,632607
1,2,1,2022-04-08,BAL,@,TBR,"L,1-2",5-5,,99,1.0,0,0,0,0,1,0,0,0.00,1.11,3,11,7,4,0,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.60,0.044,.58,0.03%,0.45,4.25,6.00,5b --- 0 out d1,5b 3 out d1,,2022-04-08,110,139,661918
2,3,3,2022-04-10,BAL,@,TBR,"L,0-8",6-7,,1,1.0,1,1,1,0,2,0,0,4.50,0.11,4,15,12,5,2,2,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.10,0.005,.09,0.00%,0.08,3.65,6.00,6b --- 0 out d4,7b 1-- 0 out d4,,2022-04-10,110,139,661916
3,4,5,2022-04-12,BAL,,MIL,"L,4-5",8-8,,1,1.0,1,0,0,1,0,0,0,3.00,2.11,4,15,7,2,1,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,1.11,0.048,.89,0.02%,0.47,1.05,3.00,8t --- 0 out d1,8t 3 out d1,,2022-04-12,110,158,663295
4,5,7,2022-04-15,BAL,,NYY,"W,2-1",9-10,,2,1.2,0,0,0,0,3,0,0,1.93,1.18,5,,,7,3,1,1,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,2.53,0.330,2.05,0.16%,1.24,9.75,14.00,9t --- 0 out tie,10t -2- 2 out tie,,2022-04-15,110,147,663357
5,6,12,2022-04-20,BAL,@,OAK,"W,1-0",8-8,H(1),4,0.1,2,0,0,0,1,0,0,1.80,0.91,3,16,9,2,1,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,3.44,-0.195,2.49,-0.09%,-0.68,1.55,4.00,8b --- 0 out a1,8b 1-3 1 out a1,,2022-04-20,110,133,662392
6,7,15,2022-04-23,BAL,@,LAA,"W,5-4",6-6,W(1-0),2,1.0,2,2,2,0,1,1,0,4.50,3.11,5,18,10,3,1,1,3,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.09,-0.248,.89,-0.12%,-1.51,3.05,6.00,6b --- 0 out tie,6b 3 out d2,,2022-04-23,110,108,661035
7,8,17,2022-04-26,BAL,@,NYY,"L,8-12",5-7,,2,1.1,2,2,2,0,2,0,0,6.14,2.57,6,23,15,6,5,1,3,2,0,0,,1,0,0,0,0,6,0,0,0,0,0,0,.29,-0.035,.24,-0.02%,-0.55,1.80,4.00,5b -2- 2 out d6,7b 1-3 0 out d2,,2022-04-26,110,147,661309
8,9,19,2022-04-28,BAL,@,NYY,"L,5-10",5-5,,1,0.2,1,0,0,0,0,0,0,5.63,2.61,2,7,3,0,1,1,1,1,0,0,,2,1,0,0,0,2,0,0,0,1,0,0,1.48,-0.041,1.11,-0.02%,-0.11,0.90,2.00,5b 12- 1 out d1,5b 3 out d2,,2022-04-28,110,147,661305
9,10,21,2022-04-30,BAL,,BOS,"W,2-1",6-6,,1,1.0,0,0,0,0,1,0,0,5.00,2.45,3,,,5,0,0,2,2,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.70,0.052,.39,0.02%,0.47,4.25,6.00,6t --- 0 out d1,6t 3 out d1,,2022-04-30,110,111,663364
10,11,23,2022-05-02,BAL,,MIN,"L,1-2",6-6,L(1-1),1,0.1,2,1,1,0,0,0,0,5.79,2.47,3,12,6,3,0,1,2,2,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.81,-0.172,1.18,-0.07%,-1.03,-2.45,-2.00,6t --- 0 out tie,6t 1-- 1 out d1,,2022-05-02,110,142,663362
11,12,26,2022-05-05,BAL,,MIN,"W,5-3",7-7,,2,0.2,0,0,0,1,0,0,0,5.40,2.81,3,12,8,2,3,1,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,2.01,0.024,1.14,0.01%,0.16,0.90,2.00,7t --- 0 out tie,7t -2- 2 out tie,,2022-05-05,110,142,661341
12,13,32,2022-05-12,BAL,@,STL,"W,3-2",GS-3,,6,2.1,1,0,0,0,3,0,0,4.38,2.38,8,31,21,9,4,1,4,1,2,0,58,,,0,0,0,8,0,0,0,0,0,0,.74,0.097,.44,0.04%,0.93,10.65,16.00,1b start tie,3b 1-- 1 out a1,,2022-05-12,110,138,662005
13,14,35,2022-05-15,BAL,@,DET,"L,1-5",7-GF(8),,2,1.2,2,1,1,1,1,0,1,4.50,2.75,8,26,15,3,3,3,2,1,1,0,,2,0,0,0,0,6,0,0,0,1,0,0,.11,0.004,.06,0.00%,0.35,1.35,5.00,7b 12- 1 out d4,8b end d 5,,2022-05-15,110,116,662843
