Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1,53,9,2021-04-10,LAA,@,TOR,"L,1-15",2-4,,99,2.0,6,7,7,4,0,0,0,31.50,9.17,15,72,42,7,6,3,8,5,0,0,,1,0,0,0,0,11,3,0,0,1,0,0,.06,-0.022,.07,-0.01%,-5.92,,,2b 1-- 2 out d7,4b 1-- 2 out d13,,2021-04-10,108,141,632227
2,54,41,2021-05-18,LAA,,CLE,"L,5-6",4-7,,37,4.0,1,0,0,1,1,0,0,10.50,5.34,13,43,25,6,5,4,7,4,0,0,,1,0,0,0,0,12,0,0,0,1,0,0,.91,0.210,.63,0.09%,2.54,,,4t 1-- 0 out d4,7t 3 out d1,,2021-05-18,108,114,634102
3,55,98,2021-07-25,LAA,@,MIN,"W,6-2",GS-7,W(1-0),67,7.0,4,2,2,2,4,2,0,6.23,6.02,27,,,13,3,8,13,5,2,0,63,,,0,0,0,25,0,0,0,1,0,1,.99,0.251,.36,0.06%,1.58,,,1b start tie,7b 3 out a1,,2021-07-25,108,142,633179
4,56,104,2021-07-31,LAA,,OAK,"W,1-0",GS-7,W(2-0),5,6.2,4,0,0,1,3,0,1,4.12,5.05,27,95,64,17,8,12,10,6,2,0,68,,,0,0,0,25,2,0,0,0,0,1,1.12,0.333,.33,0.06%,2.96,,,1t start tie,7t 123 2 out a1,,2021-07-31,108,133,633080
5,57,111,2021-08-07,LAA,@,LAD,"L,3-5",GS-7,,6,6.0,6,3,3,2,5,1,0,4.21,4.96,26,89,60,15,13,7,12,4,2,0,51,,,1,0,0,24,2,0,0,0,0,0,1.23,-0.038,.55,-0.01%,0.16,,,1b start tie,7b --- 0 out tie,,2021-08-07,108,119,632986
6,58,118,2021-08-14,LAA,,HOU,"L,2-8",GS-4,L(2-1),6,3.0,7,3,3,1,1,1,0,4.71,5.26,16,52,34,8,4,5,9,6,0,0,33,,,0,0,0,14,2,0,0,1,1,0,1.20,-0.202,.15,-0.02%,-1.78,,,1t start tie,4t 1-- 0 out d1,,2021-08-14,108,117,632925
7,59,124,2021-08-20,LAA,@,CLE,"L,1-9",GS-2,L(2-2),5,2.0,6,5,5,0,3,1,0,5.87,5.35,12,45,25,8,4,3,6,4,0,0,27,,,0,0,0,12,2,0,0,0,0,0,.80,-0.312,.13,-0.03%,-3.96,,,1b start tie,2b 3 out d5,,2021-08-20,108,114,632837
8,60,129,2021-08-26,LAA,@,BAL,"L,1-13",GS-4,,5,3.1,5,1,1,2,2,0,0,5.56,5.20,15,54,30,10,3,8,3,1,0,0,46,,,1,0,0,13,1,0,0,0,0,0,1.11,0.002,.04,0.00%,0.17,,,1b start a 1,4b 12- 1 out tie,,2021-08-26,108,110,632743
9,61,133,2021-08-31,LAA,,NYY,"W,6-4",GS-5,,4,4.1,6,2,2,2,2,2,0,5.40,5.70,18,,,14,2,8,6,2,0,0,43,,,0,0,0,16,0,0,0,3,0,0,1.10,-0.023,.02,0.00%,0.13,,,1t start tie,5t 1-- 1 out a1,,2021-08-31,108,147,632675
10,62,138,2021-09-06,LAA,,TEX,"L,0-4",GS-7,L(2-3),5,7.0,8,3,3,0,3,0,1,5.16,5.24,28,88,60,13,10,12,12,5,2,0,52,,,0,0,0,27,1,0,0,2,0,0,.90,0.009,.02,0.00%,0.76,,,1t start tie,7t 3 out d3,,2021-09-06,108,140,632620
11,63,143,2021-09-12,LAA,@,HOU,"L,1-3",GS-4,,5,4.0,4,1,1,4,6,0,0,4.93,5.08,20,,,19,6,2,8,4,1,0,52,,,0,0,0,16,0,0,0,0,0,0,1.13,0.087,.00,0.00%,1.11,,,1b start tie,4b 3 out d1,,2021-09-12,108,117,632532
12,64,150,2021-09-20,LAA,,HOU,"L,0-10",GS-6,L(2-4),7,5.1,10,2,2,0,5,1,0,4.77,4.94,26,90,59,16,5,10,11,6,0,0,45,,,0,0,0,26,1,0,0,0,0,0,.82,0.022,.00,0.00%,0.67,,,1t start tie,6t 1-- 1 out d2,,2021-09-20,108,117,632424
13,65,155,2021-09-25,LAA,,SEA,"W,14-1",GS-2,,4,2.0,3,0,0,0,0,0,0,4.61,4.88,7,24,14,3,2,4,3,2,0,0,50,,,0,0,0,7,0,0,0,2,0,0,.89,0.100,.00,0.00%,1.07,,,1t start tie,2t 3 out a2,,2021-09-25,108,136,632344
1,66,2,2022-04-08,LAA,,HOU,"L,6-13",7-GF,,99,2.2,3,2,2,0,3,2,0,6.75,10.61,11,41,27,8,3,1,7,3,0,0,,2,2,0,0,0,11,1,0,0,0,0,0,.00,-0.005,.00,0.00%,-1.85,6.20,11.00,7t 1-3 1 out d7,9t end d 8,,2022-04-08,108,117,661041
2,67,7,2022-04-14,LAA,@,TEX,"L,5-10",5-GF(8),,5,4.0,4,2,1,0,2,0,0,4.05,5.51,17,,,8,4,7,8,6,0,0,,0,0,0,0,0,17,0,0,0,1,0,2,.04,-0.012,.04,-0.01%,-0.07,8.60,15.00,5b --- 0 out d6,8b end d 6,,2022-04-14,108,140,661993
