Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1,218,2021-04-02,MIA,,TBR,"L,4-6",9-GF,BL(0-1),99,1.0,4.0,4.0,4.0,0.0,1.0,1.0,0,36.0,14.17,7.0,15.0,14.0,4,2,2,4,2,0,0,,0.0,0.0,0,0,0,6,0.0,1.0,0.0,0,1,0,1.48,-0.833,1.28,-0.43%,-3.49,,,9t --- 0 out a2,9t end d 2,,2021-04-02,146,139,634602,2021,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,219,2021-04-03,MIA,,TBR,"W,12-7",9-GF,,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,18.0,7.67,3.0,9.0,7.0,3,2,0,2,0,1,0,,0.0,0.0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.08,0.006,0.07,0.00%,0.51,,,9t --- 0 out a5,9t end a 5,,2021-04-03,146,139,634596,2021,1.0,1.0,4.0,7.0,1.0,4.0,4.0,0.0,1.0,2.0,9.0,36.0,4.0,1.0,4.0,7.0,1.0,4.0,4.0,0.0,1.0,2.0,9.0,36.0,4.0,1.0,4.0,7.0,1.0,4.0,4.0,0.0,1.0,2.0,9.0,36.0,4.0
3,220,2021-04-08,MIA,@,NYM,"L,2-3",9-GF,BL(0-2),4,0.1,3.0,2.0,2.0,1.0,0.0,1.0,1,23.14,15.17,6.0,,,5,2,2,2,1,0,0,,0.0,0.0,0,0,0,4,1.0,0.0,1.0,0,0,0,3.37,-0.803,2.8,-0.40%,-3.07,,,9b --- 0 out a1,9b end d 1,,2021-04-08,146,121,634584,2021,0.333,2.0,4.0,10.0,1.0,4.0,4.0,0.0,2.0,2.0,9.0,18.0,2.0,2.0,4.0,10.0,1.0,4.0,4.0,0.0,2.0,2.0,9.0,18.0,2.0,2.0,4.0,10.0,1.0,4.0,4.0,0.0,2.0,2.0,9.0,18.0,2.0
4,221,2021-04-11,MIA,@,NYM,"L,5-6",8-9,H(1),2,0.2,1.0,2.0,2.0,1.0,1.0,1.0,0,24.0,17.17,4.0,15.0,9.0,3,1,1,1,0,0,0,,2.0,0.0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.55,-0.002,0.47,0.00%,-1.34,,,8b 12- 2 out a4,9b --- 1 out a2,,2021-04-11,146,121,632192,2021,0.667,2.333,7.0,16.0,2.0,6.0,6.0,1.0,2.0,4.0,16.0,23.143,3.429,2.333,7.0,16.0,2.0,6.0,6.0,1.0,2.0,4.0,16.0,23.143,3.429,2.333,7.0,16.0,2.0,6.0,6.0,1.0,2.0,4.0,16.0,23.143,3.429
5,222,2021-04-12,MIA,@,ATL,"W,5-3",7-7,,0,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0,19.64,15.44,2.0,7.0,3.0,2,0,0,1,0,0,0,,2.0,1.0,0,0,0,0,0.0,0.0,0.0,0,1,0,1.78,-0.044,1.51,-0.02%,-0.06,,,7b 12- 1 out d1,7b 3 out d2,,2021-04-12,146,144,632219,2021,0.667,3.0,8.0,20.0,3.0,8.0,8.0,2.0,3.0,5.0,20.0,24.0,3.333,3.0,8.0,20.0,3.0,8.0,8.0,2.0,3.0,5.0,20.0,24.0,3.333,3.0,8.0,20.0,3.0,8.0,8.0,2.0,3.0,5.0,20.0,24.0,3.333
6,223,2021-04-13,MIA,@,ATL,"W,14-8",7-7,,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,15.43,12.38,4.0,11.0,8.0,2,3,0,3,2,0,0,,0.0,0.0,0,0,0,4,1.0,0.0,0.0,0,0,0,0.05,0.004,0.04,0.00%,0.53,,,7b --- 0 out a8,7b 3 out a8,,2021-04-13,146,144,632211,2021,1.0,3.667,8.0,22.0,3.0,8.0,8.0,3.0,3.0,5.0,20.0,19.636,3.0,3.667,8.0,22.0,3.0,8.0,8.0,3.0,3.0,5.0,20.0,19.636,3.0,3.667,8.0,22.0,3.0,8.0,8.0,3.0,3.0,5.0,20.0,19.636,3.0
7,224,2021-04-15,MIA,@,ATL,"L,6-7",7-7,,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,12.71,10.93,4.0,17.0,9.0,3,2,2,0,0,0,0,,0.0,0.0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.64,0.046,0.65,0.03%,0.53,,,7b --- 0 out d1,7b 3 out d1,,2021-04-15,146,144,634579,2021,1.0,4.667,9.0,26.0,3.0,8.0,8.0,3.0,4.0,6.0,22.0,15.429,2.571,3.667,5.0,19.0,2.0,4.0,4.0,3.0,3.0,4.0,13.0,9.818,2.182,4.667,9.0,26.0,3.0,8.0,8.0,3.0,4.0,6.0,22.0,15.429,2.571
8,225,2021-04-16,MIA,,SFG,"W,4-1",8-8,W(1-2),0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,10.8,9.47,3.0,8.0,7.0,3,1,1,1,1,0,0,,0.0,0.0,0,0,0,3,0.0,0.0,0.0,0,0,0,1.41,0.107,1.34,0.06%,0.51,,,8t --- 0 out tie,8t 3 out tie,,2021-04-16,146,137,634519,2021,1.0,5.667,9.0,30.0,3.0,8.0,8.0,3.0,5.0,6.0,22.0,12.706,2.118,3.667,5.0,20.0,2.0,4.0,4.0,3.0,3.0,4.0,13.0,9.818,2.182,5.667,9.0,30.0,3.0,8.0,8.0,3.0,5.0,6.0,22.0,12.706,2.118
9,226,2021-04-20,MIA,,BAL,"L,5-7",7-7,,3,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0,9.82,8.62,2.0,5.0,5.0,2,2,0,1,0,1,0,,0.0,0.0,0,0,0,2,0.0,0.0,0.0,0,0,0,0.62,0.031,0.58,0.02%,0.27,,,7t --- 1 out d1,7t 3 out d1,,2021-04-20,146,110,634427,2021,0.667,6.667,9.0,33.0,3.0,8.0,8.0,3.0,6.0,6.0,22.0,10.8,1.8,4.333,2.0,17.0,1.0,2.0,2.0,2.0,4.0,2.0,6.0,4.154,0.923,6.667,9.0,33.0,3.0,8.0,8.0,3.0,6.0,6.0,22.0,10.8,1.8
10,227,2021-04-24,MIA,@,SFG,"W,5-2",7-7,,3,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,8.64,7.73,3.0,14.0,9.0,1,2,1,1,1,0,0,,0.0,0.0,0,0,0,3,0.0,0.0,0.0,1,0,0,1.95,0.088,1.67,0.05%,0.5,,,7b --- 0 out tie,7b 3 out tie,,2021-04-24,146,137,634503,2021,1.0,7.333,9.0,35.0,3.0,8.0,8.0,3.0,7.0,6.0,22.0,9.818,1.636,4.333,1.0,15.0,0.0,0.0,0.0,1.0,4.0,1.0,2.0,0.0,0.462,7.333,9.0,35.0,3.0,8.0,8.0,3.0,7.0,6.0,22.0,9.818,1.636
