Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1.0,1.0,2021-04-14,BOS,@,MIN,"W,7-1",7-GF(7),,99.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0,0.0,7.17,5.0,24.0,15.0,4,4,2.0,0.0,0,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.07,0.003,0.08,0.00%,0.51,,,7b --- 0 out a6,7b end a 6,2.0,2021-04-14,111,142,632223,2021,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2.0,2.0,2021-05-12,BOS,,OAK,"L,1-4",7-8,,27.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0,0.0,3.17,7.0,28.0,19.0,6,2,0.0,5.0,0,2,0,,0,0,0,0,0,7,1.0,0.0,0.0,0,0,0,0.32,0.043,0.43,0.04%,1.12,,,7t --- 0 out d3,8t 3 out d3,,2021-05-12,111,133,634154,2021,2.0,1.0,0.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0
1.0,3.0,2022-09-01,BOS,,TEX,"W,9-8",8-8,,99.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,0,18.0,16.11,5.0,,,3,0,4.0,1.0,1,0,0,,0,0,0,0,0,5,0.0,0.0,0.0,0,0,0,0.17,-0.05,0.01,0.00%,-1.49,-2.95,-3.0,8t --- 0 out d3,8t 3 out d5,,2022-09-01,111,140,663210,2022,1.0,3.0,1.0,12.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,0.0,1.0,3.0,1.0,12.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2.0,4.0,2022-09-02,BOS,,TEX,"W,9-1",9-GF,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,9.0,8.61,3.0,8.0,6.0,1,2,1.0,1.0,1,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.00%,0.51,4.25,6.0,9t --- 0 out a8,9t end a 8,,2022-09-02,111,140,663212,2022,1.0,4.0,3.0,17.0,1.0,2.0,2.0,2.0,3.0,2.0,7.0,4.5,1.25,4.0,3.0,17.0,1.0,2.0,2.0,2.0,3.0,2.0,7.0,4.5,1.25,1.0,2.0,5.0,1.0,2.0,2.0,0.0,0.0,1.0,5.0,18.0,2.0
3.0,5.0,2022-09-06,BOS,@,TBR,"L,4-8",5-6,,3.0,2.0,2.0,2.0,2.0,0.0,3.0,2.0,1,9.0,11.61,9.0,40.0,26.0,7,7,1.0,4.0,0,0,0,,0,0,0,0,0,8,0.0,0.0,0.0,0,0,0,0.17,-0.035,0.01,0.00%,-1.09,4.7,9.0,5b --- 0 out d3,6b 3 out d5,,2022-09-06,111,139,662043,2022,2.0,5.0,3.0,20.0,1.0,2.0,2.0,2.0,4.0,2.0,7.0,3.6,1.0,5.0,3.0,20.0,1.0,2.0,2.0,2.0,4.0,2.0,7.0,3.6,1.0,2.0,2.0,8.0,1.0,2.0,2.0,0.0,1.0,1.0,5.0,9.0,1.0
4.0,6.0,2022-09-10,BOS,@,BAL,"W,17-4",9-GF,,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,7.2,9.91,4.0,9.0,6.0,0,1,0.0,4.0,2,1,0,,0,0,0,0,0,4,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.00%,0.47,1.65,3.0,9b --- 0 out a13,9b end a13,,2022-09-10,111,110,663455,2022,1.0,7.0,5.0,29.0,3.0,4.0,4.0,2.0,7.0,4.0,15.0,5.143,1.0,7.0,5.0,29.0,3.0,4.0,4.0,2.0,7.0,4.0,15.0,5.143,1.0,4.0,4.0,17.0,3.0,4.0,4.0,0.0,4.0,3.0,13.0,9.0,1.0
5.0,7.0,2022-09-14,BOS,,NYY,"L,3-5",8-8,,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0,6.0,8.95,5.0,18.0,11.0,4,2,1.0,2.0,2,0,0,,0,0,1,0,0,4,0.0,0.0,0.0,0,0,0,0.37,0.016,0.0,0.00%,0.51,3.05,6.0,8t --- 0 out d3,8t 3 out d3,,2022-09-14,111,147,663159,2022,1.0,8.0,6.0,33.0,3.0,4.0,4.0,2.0,7.0,4.0,16.0,4.5,1.0,7.0,6.0,28.0,3.0,4.0,4.0,0.0,6.0,4.0,16.0,5.143,0.857,5.0,5.0,21.0,3.0,4.0,4.0,0.0,4.0,3.0,14.0,7.2,1.0
6.0,8.0,2022-09-17,BOS,,KCR,"L,0-9",6-7,,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0,4.5,7.49,9.0,24.0,16.0,1,3,3.0,6.0,4,1,0,,3,3,0,0,0,9,1.0,0.0,0.0,0,0,0,0.1,-0.011,0.0,0.00%,-0.14,2.7,6.0,6t 123 0 out d5,7t 3 out d8,,2022-09-17,111,118,663208,2022,2.0,9.0,7.0,38.0,3.0,4.0,4.0,3.0,8.0,4.0,17.0,4.0,1.111,6.0,6.0,26.0,3.0,4.0,4.0,1.0,5.0,3.0,15.0,6.0,1.167,6.0,6.0,26.0,3.0,4.0,4.0,1.0,5.0,3.0,15.0,6.0,1.167
7.0,9.0,2022-09-21,BOS,@,CIN,"L,1-5",6-6,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.0,7.0,3.0,8.0,5.0,0,0,0.0,3.0,0,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.24,0.019,0.0,0.00%,0.53,2.25,3.0,6b --- 0 out d3,6b 3 out d3,,2022-09-21,111,113,661070,2022,1.0,11.0,10.0,47.0,3.0,4.0,4.0,3.0,8.0,5.0,21.0,3.273,1.182,7.0,7.0,30.0,2.0,2.0,2.0,1.0,5.0,3.0,14.0,2.571,1.143,8.0,9.0,35.0,3.0,4.0,4.0,1.0,5.0,4.0,19.0,4.5,1.25
8.0,10.0,2022-09-24,BOS,@,NYY,"L,5-7",8-GF(8),,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.6,6.61,3.0,13.0,9.0,3,1,3.0,0.0,0,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.17,0.013,0.0,0.00%,0.48,2.25,3.0,8b --- 0 out d2,8b end d 2,,2022-09-24,111,147,661221,2022,1.0,12.0,10.0,50.0,3.0,4.0,4.0,3.0,8.0,5.0,21.0,3.0,1.083,7.0,7.0,30.0,2.0,2.0,2.0,1.0,4.0,3.0,14.0,2.571,1.143,9.0,9.0,38.0,3.0,4.0,4.0,1.0,5.0,4.0,19.0,4.0,1.111
