Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1,1,82,2022-07-06,BOS,,TBR,"L,1-7",GS-4,L(0-1),99,4.0,6,4,4,3,2,0,0,9.0,4.36,21,79.0,45.0,12,6,8,8,6,0,0,33.0,,,0,0,0,18,4,0,0,1,0,1,0.88,-0.211,0.87,-0.13%,-1.96,-0.4,6.0,1t start tie,4t 3 out d4,,2022-07-06,111,139,663244
2,2,87,2022-07-11,BOS,@,TBR,"L,5-10",GS-4,,4,4.0,7,5,5,3,5,0,1,10.13,3.99,21,82.0,48.0,11,8,7,5,3,0,0,30.0,,,0,0,0,17,2,0,0,2,0,0,1.09,-0.304,1.07,-0.18%,-3.18,2.4,12.0,1b start tie,4b 3 out d1,,2022-07-11,111,139,661878
3,3,96,2022-07-24,BOS,,TOR,"L,4-8",GS-4,L(0-2),12,4.0,9,5,5,2,2,0,0,10.5,3.86,22,67.0,41.0,11,4,12,6,3,0,0,24.0,,,2,0,0,20,2,1,0,1,0,0,0.95,-0.296,0.81,-0.15%,-2.96,-3.6,3.0,1t start tie,4t 3 out d4,,2022-07-24,111,141,663220
4,4,101,2022-07-29,BOS,,MIL,"L,1-4",3-7,L(0-3),4,4.1,4,2,2,3,4,0,1,8.82,3.91,19,,,8,7,10,1,0,0,0,,0.0,0.0,0,0,0,15,1,1,1,2,0,0,1.37,0.07,0.93,0.03%,0.95,8.95,19.0,3t --- 1 out tie,7t --3 2 out tie,,2022-07-29,111,158,663190
5,5,106,2022-08-03,BOS,@,HOU,"L,1-6",4-4,,4,0.2,2,0,0,0,2,0,0,8.47,3.64,4,16.0,12.0,5,3,1,1,1,0,0,,0.0,0.0,0,0,0,4,1,0,0,0,0,0,0.22,0.0,0.17,0.00%,-0.01,4.3,8.0,4b --- 0 out d4,4b 1-3 2 out d4,,2022-08-03,111,117,662725
6,6,124,2022-08-24,BOS,,TOR,"L,2-3",GS-5,,20,5.0,6,2,2,1,7,0,0,7.36,3.02,21,,,9,13,10,3,1,0,0,53.0,,,0,0,0,20,0,0,0,1,0,0,1.4,0.037,0.47,0.01%,0.56,17.05,30.0,1t start tie,5t 3 out tie,,2022-08-24,111,141,663173
7,7,129,2022-08-29,BOS,@,MIN,"L,2-4",GS-5,L(0-4),4,4.0,5,3,3,3,2,0,0,7.27,3.23,20,84.0,51.0,14,8,4,11,8,0,0,39.0,,,0,0,0,16,0,0,0,0,1,0,1.61,-0.042,0.3,-0.01%,-0.09,2.2,9.0,1b start tie,5b 12- 0 out a1,,2022-08-29,111,142,661651
8,8,134,2022-09-03,BOS,,TEX,"W,5-3",GS-6,W(1-4),4,6.0,3,0,0,1,5,0,0,5.91,2.99,22,88.0,60.0,18,9,7,9,4,0,0,70.0,,,0,0,0,21,0,0,0,0,0,0,0.95,0.339,0.09,0.02%,3.07,25.1,43.0,1t start tie,6t 3 out a3,,2022-09-03,111,140,663214
9,9,139,2022-09-09,BOS,@,BAL,"L,2-3",GS-6,L(1-5),5,5.1,3,3,3,4,7,0,0,5.79,2.95,21,87.0,49.0,16,15,6,4,1,1,0,53.0,,,0,1,0,17,0,0,0,0,0,0,1.19,0.109,0.02,0.00%,1.28,15.8,28.0,1b start tie,6b 123 1 out a2,,2022-09-09,111,110,663456
10,10,143,2022-09-14,BOS,,NYY,"L,3-5",GS-5,L(1-6),4,5.0,6,3,0,1,6,0,0,5.1,2.76,23,98.0,59.0,14,14,9,7,3,1,0,54.0,,,2,0,0,22,0,0,0,0,0,1,1.16,-0.094,0.01,0.00%,-0.44,19.05,33.0,1t start tie,5t 3 out d3,,2022-09-14,111,147,663159
11,11,147,2022-09-20,BOS,@,CIN,"W,5-3",GS-5,W(2-6),5,5.0,8,1,1,2,5,1,0,4.75,2.99,24,84.0,55.0,9,14,8,9,5,0,0,50.0,,,0,0,0,22,2,0,0,1,0,0,1.34,0.176,0.0,0.00%,1.64,17.25,33.0,1b start tie,5b 3 out a2,,2022-09-20,111,113,663104
