Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_10,H_10,BF_10,HR_10,R_10,ER_10,BB_10,SO_10,XB_against_10,TB_against_10,ERA_10,WHIP_10,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_3,H_3,BF_3,HR_3,R_3,ER_3,BB_3,SO_3,XB_against_3,TB_against_3,ERA_3,WHIP_3,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1,30,2021-04-28,TOR,,WSN,"L,2-8",7-7,,99,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,4.17,4.0,,,3,3,0,2,0,1,0,,0.0,0.0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.05,0.002,0.05,0.00%,0.54,,,7t --- 0 out d7,7t 3 out d7,,2021-04-28,141,120,634348,2021,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,31,2021-05-01,TOR,,ATL,"W,6-5",GS-1,,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.67,3.0,,,2,1,2,1,0,0,0,53.0,,,0,0,0,3,0.0,0.0,0.0,1,0,1,0.88,0.05,0.82,0.03%,0.54,,,1t start tie,1t 3 out tie,,2021-05-01,141,144,634312,2021,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,32,2021-05-03,TOR,@,OAK,"L,4-5",6-7,,1,1.2,2.0,0.0,0.0,1.0,1.0,0.0,0,0.0,3.72,8.0,30.0,20.0,3,5,0,6,2,2,0,,0.0,0.0,0,0,0,7,1.0,0.0,0.0,0,0,0,0.6,0.041,0.69,0.03%,0.76,,,6b --- 0 out d2,7b 1-- 2 out d2,,2021-05-03,141,133,634293,2021,1.667,2.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,33,2021-05-06,TOR,@,OAK,"W,10-4",6-7,,2,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0,0.0,4.23,7.0,24.0,12.0,5,1,4,0,0,0,0,,0.0,0.0,0,0,0,5,0.0,0.0,0.0,1,0,0,0.45,0.035,0.47,0.02%,0.99,,,6b --- 0 out a5,7b 3 out a6,,2021-05-06,141,133,634231,2021,2.0,3.667,2.0,15.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,0.818,3.667,2.0,15.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,0.818,3.667,2.0,15.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,0.818,3.667,2.0,15.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,0.818,3.667,2.0,15.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,0.818
5,34,2021-05-08,TOR,@,HOU,"W,8-4",9-GF,,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,3.77,3.0,10.0,8.0,1,2,0,2,1,0,0,,0.0,0.0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.25,0.02,0.28,0.01%,0.53,,,9b --- 0 out a4,9b end a 4,,2021-05-08,141,117,634193,2021,1.0,5.667,2.0,22.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,0.0,0.882,5.667,2.0,22.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,0.0,0.882,5.667,2.0,22.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,0.0,0.882,4.667,2.0,18.0,0.0,0.0,0.0,3.0,2.0,1.0,3.0,0.0,1.071,5.667,2.0,22.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,0.0,0.882
6,35,2021-05-13,TOR,@,ATL,"W,8-4",8-8,W(1-0),4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,4.08,4.0,15.0,9.0,1,0,0,3,1,0,0,,0.0,0.0,0,0,0,3,0.0,0.0,0.0,0,0,0,1.86,0.11,2.08,0.07%,0.53,,,8b --- 0 out tie,8b 3 out tie,,2021-05-13,141,144,634114,2021,1.0,6.667,2.0,25.0,0.0,0.0,0.0,3.0,4.0,1.0,3.0,0.0,0.75,6.667,2.0,25.0,0.0,0.0,0.0,3.0,4.0,1.0,3.0,0.0,0.75,6.667,2.0,25.0,0.0,0.0,0.0,3.0,4.0,1.0,3.0,0.0,0.75,4.667,2.0,18.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,0.0,1.071,6.667,2.0,25.0,0.0,0.0,0.0,3.0,4.0,1.0,3.0,0.0,0.75
7,36,2021-05-15,TOR,,PHI,"W,4-0",5-5,W(2-0),1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0,3.75,4.0,19.0,11.0,2,2,1,2,0,1,0,,0.0,0.0,0,0,0,4,0.0,0.0,0.0,0,0,0,1.12,0.05,1.21,0.03%,0.54,,,5t --- 0 out a3,5t 3 out a3,,2021-05-15,141,143,634139,2021,1.0,7.667,2.0,29.0,0.0,0.0,0.0,4.0,4.0,1.0,3.0,0.0,0.783,7.667,2.0,29.0,0.0,0.0,0.0,4.0,4.0,1.0,3.0,0.0,0.783,6.667,2.0,25.0,0.0,0.0,0.0,4.0,3.0,1.0,3.0,0.0,0.9,4.0,0.0,14.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.75,7.667,2.0,29.0,0.0,0.0,0.0,4.0,4.0,1.0,3.0,0.0,0.783
8,37,2021-05-18,TOR,,BOS,"W,8-0",8-8,,2,0.2,1.0,0.0,0.0,1.0,1.0,0.0,0,0.0,3.81,4.0,13.0,7.0,3,1,2,0,0,0,0,,0.0,0.0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.21,0.002,0.3,0.00%,0.08,,,8t --- 0 out a6,8t 12- 2 out a6,,2021-05-18,141,111,634133,2021,0.667,8.667,3.0,33.0,0.0,0.0,0.0,4.0,5.0,1.0,4.0,0.0,0.808,8.667,3.0,33.0,0.0,0.0,0.0,4.0,5.0,1.0,4.0,0.0,0.808,6.667,3.0,26.0,0.0,0.0,0.0,4.0,4.0,1.0,4.0,0.0,1.05,3.0,1.0,11.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.667,8.667,3.0,33.0,0.0,0.0,0.0,4.0,5.0,1.0,4.0,0.0,0.808
9,38,2021-05-21,TOR,,TBR,"L,7-9",5-6,,2,1.0,1.0,2.0,2.0,0.0,0.0,1.0,1,1.74,5.3,5.0,,,4,0,1,3,0,1,0,,0.0,0.0,0,0,0,4,0.0,0.0,0.0,0,0,0,0.85,-0.092,1.13,-0.07%,-0.85,,,5t --- 0 out a2,6t 1-- 0 out a2,,2021-05-21,141,139,634078,2021,1.0,9.333,4.0,37.0,0.0,0.0,0.0,5.0,6.0,1.0,5.0,0.0,0.964,9.333,4.0,37.0,0.0,0.0,0.0,5.0,6.0,1.0,5.0,0.0,0.964,5.667,2.0,22.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,0.0,1.059,2.667,2.0,12.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,1.5,9.333,4.0,37.0,0.0,0.0,0.0,5.0,6.0,1.0,5.0,0.0,0.964
10,39,2021-05-23,TOR,,TBR,"L,4-6",9-GF,BS(1),1,0.1,0.0,0.0,0.0,3.0,0.0,0.0,0,1.69,6.08,4.0,22.0,9.0,3,1,0,1,0,0,0,,3.0,3.0,0,0,0,1,0.0,0.0,0.0,0,0,0,4.78,-0.664,5.15,-0.43%,-2.2,,,9t 123 2 out a1,9t end d 2,,2021-05-23,141,139,633975,2021,0.333,10.333,5.0,42.0,1.0,2.0,2.0,5.0,6.0,2.0,9.0,1.742,0.968,10.333,5.0,42.0,1.0,2.0,2.0,5.0,6.0,2.0,9.0,1.742,0.968,4.667,3.0,20.0,1.0,2.0,2.0,2.0,3.0,1.0,6.0,3.857,1.071,2.667,3.0,13.0,1.0,2.0,2.0,1.0,2.0,1.0,6.0,6.75,1.5,10.333,5.0,42.0,1.0,2.0,2.0,5.0,6.0,2.0,9.0,1.742,0.968
