Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_10,H_10,BF_10,HR_10,R_10,ER_10,BB_10,SO_10,XB_against_10,TB_against_10,ERA_10,WHIP_10,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_3,H_3,BF_3,HR_3,R_3,ER_3,BB_3,SO_3,XB_against_3,TB_against_3,ERA_3,WHIP_3,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1,13,2021-04-04,HOU,@,OAK,"W,9-2",5-GF,W(1-0),99,4.2,0.0,0.0,0.0,0.0,4.0,0.0,0,0.0,1.46,14.0,44.0,30.0,8,5,7,3,0,0,0,,1.0,1.0,0,0,0,14,0.0,0.0,0.0,0,0,0,0.16,0.03,0.18,0.02%,1.92,,,5b --3 1 out a4,9b end a 7,,2021-04-04,117,133,634651,2021,4.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,14,2021-04-10,HOU,,OAK,"L,3-7",7-7,,5,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0,3.18,2.82,7.0,22.0,9.0,2,1,2,3,2,0,0,,0.0,0.0,0,0,0,5,0.0,0.0,0.0,0,0,0,0.31,-0.04,0.38,-0.03%,-1.47,,,7t --- 0 out d4,7t 3 out d6,,2021-04-10,117,133,632202,2021,1.0,4.667,0.0,14.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.667,0.0,14.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.667,0.0,14.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.667,0.0,14.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.667,0.0,14.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
3,15,2021-04-14,HOU,,DET,"L,4-6",4-6,,3,2.1,1.0,0.0,0.0,1.0,3.0,0.0,0,2.25,2.55,9.0,44.0,31.0,8,6,1,4,1,0,0,,3.0,0.0,0,0,0,8,0.0,0.0,0.0,0,0,0,0.33,0.037,0.36,0.02%,1.85,,,4t 123 2 out d6,6t 3 out d4,,2021-04-14,117,116,634521,2021,2.333,5.667,2.0,21.0,0.0,2.0,2.0,2.0,4.0,0.0,2.0,3.176,0.706,5.667,2.0,21.0,0.0,2.0,2.0,2.0,4.0,0.0,2.0,3.176,0.706,5.667,2.0,21.0,0.0,2.0,2.0,2.0,4.0,0.0,2.0,3.176,0.706,5.667,2.0,21.0,0.0,2.0,2.0,2.0,4.0,0.0,2.0,3.176,0.706,5.667,2.0,21.0,0.0,2.0,2.0,2.0,4.0,0.0,2.0,3.176,0.706
4,16,2021-04-21,HOU,@,COL,"L,3-6",6-7,,6,2.0,4.0,2.0,2.0,1.0,2.0,0.0,0,3.6,2.57,11.0,37.0,21.0,6,2,0,8,5,0,0,,0.0,0.0,0,0,0,9,1.0,0.0,0.0,0,1,0,0.43,-0.088,0.36,-0.04%,-0.84,,,6b --- 0 out d2,7b 3 out d4,,2021-04-21,117,115,634424,2021,2.0,8.0,3.0,30.0,0.0,2.0,2.0,3.0,7.0,0.0,3.0,2.25,0.75,8.0,3.0,30.0,0.0,2.0,2.0,3.0,7.0,0.0,3.0,2.25,0.75,8.0,3.0,30.0,0.0,2.0,2.0,3.0,7.0,0.0,3.0,2.25,0.75,8.0,3.0,30.0,0.0,2.0,2.0,3.0,7.0,0.0,3.0,2.25,0.75,8.0,3.0,30.0,0.0,2.0,2.0,3.0,7.0,0.0,3.0,2.25,0.75
5,17,2021-04-28,HOU,,SEA,"W,7-5",5-7,,6,3.0,2.0,1.0,1.0,0.0,2.0,1.0,0,3.46,3.4,11.0,39.0,26.0,5,5,4,5,4,0,0,,0.0,0.0,0,0,0,11,0.0,0.0,0.0,0,0,0,0.49,0.007,0.55,0.01%,0.58,,,5t --- 0 out d2,7t 3 out d2,,2021-04-28,117,136,634360,2021,3.0,10.0,7.0,41.0,0.0,4.0,4.0,4.0,9.0,1.0,8.0,3.6,1.1,10.0,7.0,41.0,0.0,4.0,4.0,4.0,9.0,1.0,8.0,3.6,1.1,10.0,7.0,41.0,0.0,4.0,4.0,4.0,9.0,1.0,8.0,3.6,1.1,5.333,7.0,27.0,0.0,4.0,4.0,4.0,5.0,1.0,8.0,6.75,2.062,10.0,7.0,41.0,0.0,4.0,4.0,4.0,9.0,1.0,8.0,3.6,1.1
6,18,2021-05-04,HOU,@,NYY,"L,3-7",5-6,L(1-1),5,1.2,2.0,2.0,2.0,1.0,1.0,0.0,0,4.3,3.44,8.0,32.0,18.0,7,2,3,3,1,1,0,,0.0,0.0,0,0,0,7,1.0,0.0,0.0,0,0,0,1.64,0.068,1.79,0.04%,0.53,,,5b --- 0 out tie,6b 1-3 2 out tie,,2021-05-04,117,147,634269,2021,1.667,13.0,9.0,52.0,1.0,5.0,5.0,4.0,11.0,2.0,13.0,3.462,1.0,13.0,9.0,52.0,1.0,5.0,5.0,4.0,11.0,2.0,13.0,3.462,1.0,13.0,9.0,52.0,1.0,5.0,5.0,4.0,11.0,2.0,13.0,3.462,1.0,7.333,7.0,31.0,1.0,3.0,3.0,2.0,7.0,2.0,11.0,3.682,1.227,13.0,9.0,52.0,1.0,5.0,5.0,4.0,11.0,2.0,13.0,3.462,1.0
7,19,2021-05-10,HOU,,LAA,"L,4-5",6-6,BL(1-2),5,0.1,2.0,2.0,2.0,1.0,0.0,0.0,0,5.4,3.64,5.0,14.0,9.0,0,1,2,2,2,0,0,,0.0,0.0,0,0,0,3,1.0,0.0,0.0,0,0,0,2.04,-0.351,2.44,-0.25%,-2.24,,,6t --- 1 out a1,6t 1-3 2 out d1,,2021-05-10,117,108,634181,2021,0.333,14.667,11.0,60.0,1.0,7.0,7.0,5.0,12.0,3.0,16.0,4.295,1.091,14.667,11.0,60.0,1.0,7.0,7.0,5.0,12.0,3.0,16.0,4.295,1.091,10.0,11.0,46.0,1.0,7.0,7.0,5.0,8.0,3.0,16.0,6.3,1.6,6.667,8.0,30.0,1.0,5.0,5.0,2.0,5.0,3.0,13.0,6.75,1.5,14.667,11.0,60.0,1.0,7.0,7.0,5.0,12.0,3.0,16.0,4.295,1.091
8,20,2021-05-12,HOU,,LAA,"W,9-1",4-8,W(2-2),1,3.1,2.0,1.0,1.0,1.0,2.0,0.0,0,4.91,3.5,13.0,53.0,41.0,9,7,5,5,1,1,0,,0.0,0.0,0,0,0,12,0.0,0.0,0.0,0,0,0,0.5,0.078,0.6,0.06%,0.34,,,4t --- 2 out a3,8t 1-3 0 out a5,,2021-05-12,117,108,634172,2021,3.333,15.0,13.0,65.0,1.0,9.0,9.0,6.0,12.0,4.0,19.0,5.4,1.267,15.0,13.0,65.0,1.0,9.0,9.0,6.0,12.0,4.0,19.0,5.4,1.267,9.333,11.0,44.0,1.0,7.0,7.0,4.0,8.0,4.0,17.0,6.75,1.607,5.0,6.0,24.0,1.0,5.0,5.0,2.0,3.0,3.0,11.0,9.0,1.6,15.0,13.0,65.0,1.0,9.0,9.0,6.0,12.0,4.0,19.0,5.4,1.267
9,21,2021-05-15,HOU,,TEX,"W,6-5",8-8,H(1),2,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0,4.74,3.49,3.0,5.0,4.0,1,0,2,1,0,0,0,,1.0,1.0,0,0,0,3,0.0,0.0,0.0,0,0,0,2.47,0.012,3.23,0.01%,-0.45,,,8t 1-- 1 out a2,8t 3 out a1,,2021-05-15,117,140,634161,2021,0.667,18.333,15.0,78.0,1.0,10.0,10.0,7.0,14.0,4.0,21.0,4.909,1.2,18.333,15.0,78.0,1.0,10.0,10.0,7.0,14.0,4.0,21.0,4.909,1.2,10.333,12.0,48.0,1.0,8.0,8.0,4.0,7.0,4.0,18.0,6.968,1.548,5.333,6.0,26.0,0.0,5.0,5.0,3.0,3.0,2.0,8.0,8.437,1.687,18.333,15.0,78.0,1.0,10.0,10.0,7.0,14.0,4.0,21.0,4.909,1.2
10,22,2021-05-21,HOU,@,TEX,"L,5-7",7-7,,5,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0,4.5,3.27,4.0,16.0,11.0,5,4,0,2,2,0,0,,0.0,0.0,0,0,0,4,0.0,0.0,0.0,0,0,0,0.27,0.013,0.38,0.01%,0.52,,,7b --- 0 out d3,7b 3 out d3,,2021-05-21,117,140,634008,2021,1.0,19.0,16.0,81.0,1.0,10.0,10.0,7.0,14.0,4.0,22.0,4.737,1.211,19.0,16.0,81.0,1.0,10.0,10.0,7.0,14.0,4.0,22.0,4.737,1.211,9.0,9.0,40.0,1.0,6.0,6.0,3.0,5.0,3.0,14.0,6.0,1.333,4.333,5.0,21.0,0.0,3.0,3.0,2.0,2.0,1.0,6.0,6.231,1.615,19.0,16.0,81.0,1.0,10.0,10.0,7.0,14.0,4.0,22.0,4.737,1.211
