Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1,1,64,2022-06-16,COL,,CLE,"L,2-4",9-GF,,99,1.0,0,0,0,0,0,0,0,0.0,3.11,3,10.0,7.0,2,1,2,1,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.27,0.021,0.07,0.00%,0.55,2.25,3.0,9t --- 0 out d2,9t end d 2,,2022-06-16,115,114,662986
2,2,65,2022-06-17,COL,,SDP,"W,10-4",9-GF,,0,1.0,0,0,0,0,2,0,0,0.0,1.11,3,11.0,8.0,4,1,1,0,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.04,0.003,0.01,0.00%,0.55,6.25,9.0,9t --- 0 out a6,9t end a 6,,2022-06-17,115,135,662985
3,3,68,2022-06-21,COL,@,MIA,"L,8-9",6-7,,3,2.0,1,0,0,0,3,0,0,0.0,0.61,7,24.0,16.0,5,3,2,2,2,0,0,,0.0,0.0,0,0,0,7,1,0,0,0,0,0,1.54,0.162,0.49,0.03%,0.99,9.9,15.0,6b --- 0 out tie,7b 3 out tie,,2022-06-21,115,146,661148
4,4,72,2022-06-25,COL,@,MIN,"L,0-6",8-GF(8),,3,1.0,0,0,0,1,0,0,0,0.0,1.71,4,14.0,9.0,3,1,2,1,0,1,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.01,0.0,0.0,0.00%,0.47,1.65,3.0,8b --- 0 out d6,8b end d 6,,2022-06-25,115,142,661686
5,5,76,2022-06-29,COL,,LAD,"L,4-8",7-8,,3,2.0,1,1,1,0,1,1,0,1.29,3.68,7,16.0,12.0,4,2,3,3,1,0,0,,0.0,0.0,0,0,0,7,0,0,0,0,0,0,0.13,-0.001,0.03,0.00%,0.11,3.9,6.0,7t --- 0 out d4,8t 3 out d5,,2022-06-29,115,119,662894
6,6,78,2022-07-02,COL,,ARI,"W,11-7",6-7,H(1),2,1.1,1,1,1,0,0,1,0,2.16,5.15,5,19.0,12.0,4,1,2,3,1,0,0,,0.0,0.0,0,0,0,5,0,0,0,0,0,0,0.27,-0.046,0.04,0.00%,-0.33,0.4,1.0,6t --- 2 out a3,7t 3 out a6,,2022-07-02,115,109,662910
7,7,79,2022-07-03,COL,,ARI,"W,6-5",8-8,W(1-0),0,1.0,0,0,0,0,0,0,0,1.93,4.93,3,,,2,0,2,1,1,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.43,0.033,0.08,0.00%,0.55,6.25,9.0,8t --- 0 out d2,8t 3 out d2,,2022-07-03,115,109,662913
8,8,82,2022-07-06,COL,@,LAD,"L,1-2",7-7,BS(1),2,0.1,0,0,0,0,0,0,1,1.86,5.18,2,10.0,4.0,0,1,1,0,0,0,0,,2.0,1.0,0,0,0,1,0,0,0,0,0,0,4.47,-0.138,0.66,-0.01%,-0.5,0.15,1.0,7b 1-3 2 out a1,7b 3 out tie,,2022-07-06,115,119,662630
9,9,84,2022-07-08,COL,@,ARI,"W,6-5",8-8,H(2),1,1.0,0,0,0,1,1,0,0,1.69,5.08,3,12.0,6.0,3,1,1,0,0,0,0,,0.0,0.0,0,0,0,2,0,0,0,1,0,0,1.78,0.087,0.26,0.01%,0.49,3.65,6.0,8b --- 0 out a2,8b 3 out a2,,2022-07-08,115,109,663319
10,10,87,2022-07-11,COL,,SDP,"L,5-6",8-8,,2,0.2,2,3,3,2,0,1,0,3.97,6.64,6,27.0,14.0,3,1,2,2,0,0,0,,0.0,0.0,0,0,0,4,0,0,0,0,0,0,0.86,-0.22,0.17,-0.03%,-2.7,-6.9,-7.0,8t --- 0 out d1,8t 1-- 2 out d4,,2022-07-11,115,135,662996
11,11,89,2022-07-13,COL,,SDP,"W,10-6",6-6,,1,0.1,2,1,1,1,0,0,0,4.63,6.8,4,17.0,8.0,3,0,2,1,1,0,0,,1.0,1.0,0,0,0,3,0,0,0,0,0,0,1.4,-0.193,0.25,-0.02%,-1.66,-3.05,-2.0,6t -2- 2 out d1,6t 3 out d3,,2022-07-13,115,135,662895
12,12,90,2022-07-14,COL,,SDP,"W,8-5",7-8,H(3),0,2.0,1,0,0,0,2,0,0,3.95,5.97,7,31.0,19.0,7,1,2,3,1,0,0,,0.0,0.0,0,0,0,7,0,0,0,0,0,0,0.65,0.1,0.14,0.01%,1.11,7.9,12.0,7t --- 0 out a3,8t 3 out a3,,2022-07-14,115,135,661100
13,13,93,2022-07-17,COL,,PIT,"L,3-8",6-6,L(1-1),2,0.2,3,2,2,0,1,0,0,5.02,5.69,5,17.0,11.0,4,1,1,3,3,0,0,,0.0,0.0,0,0,0,5,1,0,0,0,0,0,1.57,-0.247,0.4,-0.04%,-1.7,-2.3,-1.0,6t --- 0 out tie,6t 1-- 2 out d2,,2022-07-17,115,134,661080
14,14,94,2022-07-22,COL,@,MIL,"L,5-6",12-GF(13),L(1-2),4,1.0,1,1,0,3,0,0,0,4.7,6.11,7,,,2,2,1,3,0,0,0,,0.0,0.0,0,0,0,4,0,0,3,0,0,0,4.15,0.119,0.97,0.02%,-0.26,-0.15,3.0,12b -2- 0 out tie,13b end d 1,,2022-07-22,115,158,661193
15,15,96,2022-07-24,COL,@,MIL,"L,9-10",8-GF(8),,1,0.1,0,0,0,0,1,0,0,4.6,5.92,1,5.0,4.0,1,2,0,0,0,0,0,,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0.36,0.01,0.06,0.00%,0.32,2.75,4.0,8b -2- 2 out d2,8b end d 2,,2022-07-24,115,158,661184
16,16,98,2022-07-26,COL,,CHW,"L,1-2",7-7,,1,1.0,2,1,1,1,0,0,0,4.86,5.93,5,13.0,6.0,1,0,2,2,2,0,0,,0.0,0.0,1,0,0,4,1,0,0,1,0,0,1.25,-0.083,0.22,-0.01%,-0.45,-1.55,0.0,7t --- 0 out d1,7t 3 out d2,,2022-07-26,115,145,661079
17,17,100,2022-07-28,COL,,LAD,"L,0-13",8-8,,1,1.0,1,0,0,0,2,0,0,4.58,5.55,4,15.0,10.0,3,3,0,2,1,0,0,,0.0,0.0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,0.55,5.65,9.0,8t --- 0 out d13,8t 3 out d13,,2022-07-28,115,119,661077
