Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1.0,184.0,145.0,2023-09-12,NYY,@,BOS,"W,4-1",8-8,H(1),99.0,1.0,1,0,0,1,1,0,0,0.0,4.26,5,15,10,2,3,2.0,1.0,1,0,0,,0,0,0,0,0,4,0,0,1,0,0,0,3.81,0.148,0.11,0.00%,0.54,3.05,6.0,8b --- 0 out a1,8b 3 out a1,2.0,2023-09-12,147,111,716612
2.0,185.0,146.0,2023-09-14,NYY,@,BOS,"L,0-5",8-GF(8),,1.0,1.0,2,3,3,1,1,1,0,13.5,10.76,6,32,18,8,1,3.0,1.0,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,0.23,-0.057,0.01,0.00%,-2.46,-3.55,-3.0,8b --- 0 out d2,8b end d 5,1.0,2023-09-14,147,111,716597
3.0,186.0,160.0,2023-09-29,NYY,@,KCR,"L,5-12",1-2,,14.0,2.0,3,1,1,0,1,0,0,9.0,6.51,9,36,25,11,0,2.0,6.0,4,0,0,,3,3,0,0,0,8,1,0,0,0,1,0,0.11,-0.03,0.0,0.00%,-1.12,2.7,6.0,1b 123 0 out d5,2b 3 out d9,,2023-09-29,147,118,716389
1.0,187.0,15.0,2024-04-15,MIN,@,BAL,"L,4-7",6-GF(8),,99.0,3.0,1,1,1,1,2,1,1,3.0,8.13,12,46,23,5,6,4.0,4.0,2,0,0,,0,0,0,0,0,10,0,0,0,0,0,0,0.11,0.002,0.1,0.00%,0.47,6.95,12.0,6b --- 0 out d4,8b end d 3,,2024-04-15,142,110,747053
2.0,188.0,19.0,2024-04-20,MIN,,DET,"W,4-3",8-8,H(1),4.0,0.1,0,0,0,0,0,0,0,2.7,7.63,1,4,3,1,0,0.0,1.0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,2.05,0.059,1.41,0.02%,0.24,0.75,1.0,8t 1-- 2 out a1,8t 3 out a1,,2024-04-20,142,116,745921
3.0,189.0,20.0,2024-04-21,MIN,,DET,"L,1-6",5-6,,0.0,2.0,0,0,0,0,2,0,0,1.69,5.19,6,30,21,10,1,3.0,1.0,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,0.23,0.035,0.17,0.02%,1.03,8.5,12.0,5t --- 0 out d4,6t 3 out d4,,2024-04-21,142,116,745920
4.0,190.0,23.0,2024-04-24,MIN,,CHW,"W,6-3",7-7,H(2),2.0,1.0,0,0,0,0,0,0,1,1.42,5.34,4,6,5,1,0,2.0,1.0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.2,0.048,0.82,0.02%,0.52,1.65,3.0,7t --- 0 out a3,7t 3 out a3,,2024-04-24,142,145,745919
5.0,191.0,25.0,2024-04-26,MIN,@,LAA,"W,5-3",8-9,H(3),1.0,1.1,1,1,1,3,2,0,0,2.35,5.61,8,35,16,6,1,2.0,1.0,0,0,0,,1,1,0,0,0,5,0,0,0,0,0,0,1.87,0.028,1.48,0.01%,-0.22,2.6,7.0,8b -2- 1 out a3,9b 12- 2 out a3,,2024-04-26,142,108,746243
6.0,192.0,33.0,2024-05-03,ARI,,SDP,"L,1-7",5-6,,6.0,1.2,2,1,1,0,0,1,0,2.89,6.56,7,30,19,4,2,0.0,7.0,3,1,0,,1,1,0,0,0,7,1,0,0,0,0,0,0.14,-0.032,0.11,-0.02%,-0.93,0.55,2.0,5t 1-- 1 out d5,6t 3 out d6,,2024-05-03,109,135,747208
7.0,193.0,41.0,2024-05-12,ARI,@,BAL,"W,9-2",7-8,,8.0,2.0,0,0,0,1,1,0,0,2.38,6.04,8,37,21,5,2,6.0,0.0,0,0,0,,0,0,0,0,0,7,0,0,0,0,0,1,0.07,0.009,0.05,0.00%,0.98,5.9,9.0,7b --- 0 out a7,8b 3 out a7,,2024-05-12,109,110,747042
8.0,194.0,45.0,2024-05-17,ARI,,DET,"L,0-13",5-6,,4.0,2.0,6,5,5,1,3,0,0,5.4,5.38,13,47,30,11,4,3.0,6.0,4,0,0,,2,2,0,0,0,12,4,0,0,0,0,0,0.04,-0.024,0.03,-0.01%,-4.95,-3.7,0.0,5t 12- 0 out d6,6t 3 out d13,,2024-05-17,109,116,747201
9.0,195.0,51.0,2024-05-24,ARI,,MIA,"L,0-3",9-GF,,6.0,1.0,0,0,0,0,0,0,0,5.02,5.22,3,5,3,0,0,1.0,2.0,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.11,0.009,0.09,0.00%,0.53,2.25,3.0,9t --- 0 out d3,9t end d 3,,2024-05-24,109,146,747200
