Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1.0,135.0,1.0,2021-04-01,DET,,CLE,"W,3-2",GS-6,W(1-0),99.0,5.2,3,0,0,4,2,0,0,0.0,4.58,24,92.0,57.0,19,5,9.0,9.0,2,3,0,61.0,,,0,0,0,20,1,0,0,0,0,0,1.05,0.262,1.09,0.16%,2.8,,,1t start tie,6t 1-- 2 out a3,,2021-04-01,116,114,634645
2.0,136.0,6.0,2021-04-07,DET,,MIN,"L,2-3",GS-7,L(1-1),5.0,7.0,7,3,3,0,8,0,1,2.13,2.78,27,96.0,77.0,23,13,8.0,10.0,6,2,0,59.0,,,0,0,0,25,2,0,0,1,1,0,1.07,-0.066,1.17,-0.04%,0.54,,,1t start tie,7t 3 out d1,,2021-04-07,116,142,634598
3.0,137.0,11.0,2021-04-13,DET,@,HOU,"W,8-2",GS-7,W(2-1),5.0,6.2,6,1,1,1,4,0,0,1.86,2.65,27,100.0,67.0,18,8,5.0,17.0,8,4,0,61.0,,,1,0,0,26,0,0,0,0,0,0,0.7,0.132,0.61,0.07%,2.45,,,1b start tie,7b 1-- 2 out a6,,2021-04-13,116,117,632229
4.0,138.0,16.0,2021-04-18,DET,@,OAK,"L,2-3",GS-8,,4.0,7.1,4,2,2,1,5,1,2,2.03,3.25,27,94.0,64.0,22,8,6.0,13.0,3,1,0,66.0,,,0,1,1,24,0,1,0,1,0,0,1.24,-0.135,1.06,-0.07%,0.78,,,1b start tie,8b 1-3 1 out tie,,2021-04-18,116,133,634480
5.0,139.0,21.0,2021-04-24,DET,,KCR,"L,1-2",GS-8,L(2-2),5.0,8.0,3,2,1,0,3,0,0,1.82,3.05,27,89.0,69.0,15,9,7.0,17.0,4,4,0,73.0,,,0,0,0,27,1,0,0,0,0,0,0.88,0.164,0.73,0.08%,2.05,,,1t start tie,8t 3 out d1,,2021-04-24,116,118,634375
6.0,140.0,26.0,2021-04-29,DET,@,CHW,"L,0-11",GS-2,L(2-3),4.0,1.0,3,2,2,1,2,0,0,2.27,3.03,7,34.0,20.0,5,5,1.0,3.0,1,0,0,40.0,,,0,0,0,6,1,0,0,0,0,0,1.36,-0.104,0.74,-0.03%,-0.96,,,1b start tie,2b -23 0 out tie,2.0,2021-04-29,116,145,634357
7.0,141.0,35.0,2021-05-11,DET,,KCR,"W,8-7",GS-6,,11.0,6.0,4,0,0,2,5,0,1,1.94,3.03,23,92.0,59.0,13,11,8.0,7.0,1,0,0,67.0,,,0,0,0,20,0,0,0,2,0,0,0.91,0.256,0.27,0.05%,3.03,,,1t start tie,6t 3 out a7,,2021-05-11,116,118,634179
8.0,142.0,40.0,2021-05-16,DET,,CHC,"L,1-5",GS-6,L(2-4),4.0,6.0,6,5,4,1,8,1,1,2.45,3.11,28,92.0,69.0,16,12,9.0,9.0,1,2,0,49.0,,,0,0,0,25,2,0,0,0,1,2,0.89,-0.157,0.32,-0.03%,-1.97,,,1t start tie,6t 3 out d5,,2021-05-16,116,112,634083
9.0,143.0,45.0,2021-05-22,DET,@,KCR,"L,5-7",GS-5,L(2-5),5.0,5.0,8,5,5,3,5,0,0,3.08,3.09,26,93.0,64.0,12,11,9.0,9.0,4,2,0,33.0,,,0,0,0,21,2,0,0,0,1,0,1.2,-0.287,0.64,-0.09%,-2.32,,,1b start tie,5b 3 out d2,,2021-05-22,116,118,634001
10.0,144.0,50.0,2021-05-27,DET,,CLE,"L,2-5",GS-6,L(2-6),4.0,5.0,6,4,4,2,5,1,0,3.43,3.26,23,102.0,65.0,18,11,8.0,8.0,4,0,0,42.0,,,0,0,0,21,2,0,0,1,0,1,0.96,-0.114,0.39,-0.03%,-1.47,,,1t start tie,6t --- 0 out d4,,2021-05-27,116,114,633943
