Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1.0,1.0,41.0,2023-05-15,TEX,,ATL,"L,0-12",GS-5,L(0-1),99.0,5.0,7,6,6,2,3,2,0,10.8,8.46,23,90,56,16,8,5.0,13.0,5,0,0,30.0,,,0,0,0,21,4,0,0,1,0,0,0.57,-0.28,0.7,-0.21%,-3.34,-0.15,6.0,1t start tie,5t 3 out d6,,2023-05-15,140,144,718165
2.0,2.0,52.0,2023-05-28,TEX,@,BAL,"L,2-3",GS-5,,12.0,5.0,5,2,2,1,5,0,0,7.2,5.16,20,78,56,16,10,4.0,10.0,3,1,0,53.0,,,0,0,0,18,0,1,0,1,1,0,0.79,-0.023,1.01,-0.02%,0.46,13.65,24.0,1b start tie,5b 3 out d2,,2023-05-28,140,110,717990
3.0,3.0,66.0,2023-06-13,TEX,,LAA,"L,3-7",GS-5,,15.0,4.1,2,1,1,1,3,0,0,5.65,4.37,16,64,42,12,7,3.0,9.0,4,2,0,57.0,,,0,0,0,14,2,0,0,0,1,0,0.91,0.137,1.38,0.12%,1.38,11.95,19.0,1t start tie,5t --- 1 out a1,,2023-06-13,140,108,717780
4.0,4.0,78.0,2023-06-26,TEX,,DET,"L,2-7",9-GF,,12.0,0.2,0,0,0,0,1,0,0,5.4,4.19,2,13,9,2,1,0.0,1.0,0,0,0,,1.0,0.0,0,0,0,2,0,0,0,0,0,0,0.05,0.003,0.06,0.00%,0.71,3.5,5.0,9t -2- 1 out d5,9t end d 5,,2023-06-26,140,116,717606
5.0,5.0,81.0,2023-06-29,TEX,,DET,"L,5-8",GS-5,,2.0,4.1,4,3,3,3,8,1,0,5.59,4.29,20,88,61,14,15,1.0,8.0,3,1,0,48.0,,,0,0,0,17,0,1,0,0,0,0,0.95,-0.115,1.08,-0.08%,-0.63,15.55,28.0,1t start tie,5t --- 1 out d1,,2023-06-29,140,116,717570
6.0,6.0,85.0,2023-07-03,TEX,,HOU,"L,11-12",5-7,,3.0,2.1,0,0,0,0,4,0,1,4.98,3.95,8,30,21,10,3,1.0,2.0,1,0,0,,1.0,0.0,0,0,0,7,0,0,0,0,0,0,0.83,0.127,1.45,0.13%,1.44,12.65,19.0,5t --3 2 out d5,7t 3 out d1,,2023-07-03,140,117,717514
7.0,7.0,89.0,2023-07-07,TEX,@,WSN,"W,7-2",GS-5,W(1-1),3.0,5.0,5,1,1,1,1,1,0,4.39,4.34,20,95,61,17,4,4.0,14.0,5,3,0,53.0,,,1,0,0,19,0,0,0,1,0,0,0.97,0.189,1.39,0.16%,1.55,11.65,21.0,1b start a 2,5b 3 out a3,,2023-07-07,140,120,717465
8.0,8.0,94.0,2023-07-16,TEX,,CLE,"W,6-5",6-8,W(2-1),8.0,3.0,3,2,2,0,4,1,0,4.55,4.4,12,60,40,11,4,1.0,7.0,1,3,0,,0.0,0.0,0,0,0,12,2,0,0,0,0,0,0.88,-0.052,1.28,-0.05%,-0.41,12.95,21.0,6t --- 0 out d1,8t 3 out d3,,2023-07-16,140,114,717377
9.0,9.0,97.0,2023-07-19,TEX,,TBR,"W,5-1",9-GF,,2.0,1.0,1,1,1,0,0,1,0,4.7,4.79,4,13,10,3,1,1.0,3.0,1,0,0,,0.0,0.0,0,0,0,4,0,0,0,0,0,0,0.11,0.007,0.14,0.01%,-0.47,-0.35,0.0,9t --- 0 out a5,9t end a 4,,2023-07-19,140,139,717346
10.0,10.0,98.0,2023-07-21,TEX,,LAD,"L,5-11",7-8,,1.0,1.1,1,1,1,0,0,0,0,4.78,4.72,5,14,12,2,1,4.0,1.0,0,1,0,,3.0,1.0,0,0,0,4,0,0,0,0,0,0,2.22,0.099,2.78,0.07%,1.2,0.4,1.0,7t 123 0 out tie,8t -2- 1 out d1,,2023-07-21,140,119,717316
11.0,11.0,102.0,2023-07-25,TEX,@,HOU,"L,3-4",3-8,,3.0,5.0,6,2,2,0,3,2,0,4.62,5.07,21,78,56,12,9,7.0,11.0,3,1,0,,0.0,0.0,0,0,0,21,1,0,0,0,0,0,0.51,-0.018,1.1,-0.02%,0.17,9.65,18.0,3b --- 0 out d2,8b 1-- 0 out d3,,2023-07-25,140,117,717255
12.0,12.0,106.0,2023-07-30,TEX,@,SDP,"L,3-5",GS-3,,4.0,3.0,4,1,1,3,5,0,0,4.5,4.91,16,76,45,13,8,4.0,4.0,3,0,0,49.0,,,1,0,0,12,0,0,0,0,1,0,1.6,0.028,2.64,0.03%,0.49,10.55,21.0,1b start tie,3b 3 out d1,,2023-07-30,140,135,717191
13.0,13.0,135.0,2023-09-02,TEX,,MIN,"L,7-9",10-GF(10),,33.0,1.0,0,0,0,0,1,0,0,4.39,4.82,3,11,8,1,3,0.0,2.0,0,1,0,,2.0,1.0,0,0,0,2,0,0,0,0,1,0,1.22,0.005,2.19,0.01%,0.88,4.25,6.0,10t 1-3 0 out d2,10t end d 3,,2023-09-02,140,142,716752
