Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1.0,1.0,20.0,2022-04-29,BAL,,BOS,"L,1-3",GS-6,L(0-1),99.0,6.0,5,3,2,1,2,1,0,3.0,5.11,23,81.0,52.0,13,7,9.0,11.0,4,0,0,53,,,0,0,0,22,1,0,0,1,0,0,0.59,-0.117,0.38,-0.05%,-0.19,9.9,22.0,1t start tie,6t 3 out d3,,2022-04-29,110,111,663337
2.0,2.0,25.0,2022-05-04,BAL,,MIN,"W,9-4",GS-4,,4.0,4.0,6,4,4,2,3,1,1,5.4,5.91,18,70.0,38.0,8,6,4.0,8.0,3,2,0,35,,,0,0,0,14,0,0,0,1,1,0,1.17,-0.012,0.6,0.00%,-2.13,1.6,9.0,1t start tie,4t 3 out a2,,2022-05-04,110,142,663462
3.0,3.0,30.0,2022-05-10,BAL,@,STL,"W,5-3",GS-7,W(1-1),5.0,7.0,4,2,2,0,11,1,0,4.24,4.23,23,90.0,64.0,23,14,6.0,6.0,2,0,0,72,,,0,0,0,23,1,0,0,2,0,0,0.76,0.242,0.45,0.09%,1.35,35.35,58.0,1b start tie,7b 3 out a3,,2022-05-10,110,138,661987
4.0,4.0,36.0,2022-05-16,BAL,,NYY,"L,2-6",GS-5,L(1-2),5.0,4.1,8,4,4,3,6,1,0,5.06,4.47,23,84.0,48.0,13,7,5.0,9.0,5,0,0,34,,,0,0,0,20,1,0,0,0,0,0,0.95,-0.218,0.54,-0.08%,-2.15,7.15,19.0,1t start tie,5t 1-- 1 out d3,,2022-05-16,110,147,661308
5.0,5.0,41.0,2022-05-21,BAL,,TBR,"L,1-6",GS-6,L(1-3),4.0,5.1,5,5,5,2,5,2,0,5.74,5.02,22,91.0,57.0,12,10,7.0,8.0,3,1,0,41,,,0,0,0,19,0,0,0,1,1,0,0.5,-0.195,0.24,-0.06%,-2.34,7.8,16.0,1t start tie,6t 1-3 1 out d4,,2022-05-21,110,139,661291
6.0,6.0,46.0,2022-05-27,BAL,@,BOS,"W,12-8",GS-2,,5.0,1.2,6,6,6,1,2,1,2,7.31,5.55,14,62.0,33.0,6,10,3.0,6.0,4,0,0,20,,,0,0,0,11,1,0,0,0,0,0,0.68,-0.366,0.26,-0.09%,-5.59,-9.65,-7.0,1b start tie,2b -23 2 out d6,,2022-05-27,110,111,663276
7.0,7.0,52.0,2022-06-01,BAL,,SEA,"W,9-2",GS-5,,4.0,4.2,6,2,2,2,6,1,0,6.82,5.42,21,80.0,49.0,13,10,7.0,6.0,3,0,0,48,,,0,0,0,19,1,0,0,0,0,0,0.94,-0.003,0.36,0.00%,-0.08,13.7,26.0,1t start tie,5t 12- 2 out a1,,2022-06-01,110,136,661343
8.0,8.0,57.0,2022-06-07,BAL,,CHC,"W,9-3",GS-5,,5.0,4.2,4,2,2,5,5,2,0,6.45,5.95,23,105.0,60.0,13,9,6.0,7.0,3,0,0,48,,,0,0,0,18,0,0,0,0,0,0,0.84,0.027,0.25,0.01%,0.13,11.1,23.0,1t start tie,5t 1-- 2 out a5,,2022-06-07,110,112,661170
9.0,9.0,62.0,2022-06-13,BAL,@,TOR,"L,1-11",GS-5,L(1-4),5.0,4.1,9,5,5,1,3,0,0,6.86,5.59,21,90.0,54.0,17,5,8.0,9.0,5,0,0,27,,,0,0,0,20,1,0,0,2,0,0,0.9,-0.142,0.31,-0.03%,-1.53,-0.25,7.0,1b start tie,5b 12- 1 out d3,,2022-06-13,110,141,661746
10.0,10.0,67.0,2022-06-18,BAL,,TBR,"L,6-7",GS-5,,4.0,4.1,11,6,6,1,3,1,0,7.38,5.57,24,79.0,54.0,14,9,6.0,14.0,7,2,0,19,,,0,0,0,23,4,0,0,0,0,0,1.05,-0.422,0.4,-0.10%,-4.15,-3.45,4.0,1t start tie,5t 1-- 1 out d4,,2022-06-18,110,139,661127
