Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1.0,1.0,2022-04-29,BAL,,BOS,"L,1-3",GS-6,L(0-1),99.0,6.0,5.0,3.0,2.0,1.0,2.0,1.0,0,3.0,5.11,23.0,81.0,52.0,13,7,9.0,11.0,4,0,0,53,,,0,0,0,22,1.0,0.0,0.0,1,0,0,0.59,-0.117,0.38,-0.05%,-0.19,9.9,22.0,1t start tie,6t 3 out d3,,2022-04-29,110,111,663337,2022,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2.0,2.0,2022-05-04,BAL,,MIN,"W,9-4",GS-4,,4.0,4.0,6.0,4.0,4.0,2.0,3.0,1.0,1,5.4,5.91,18.0,70.0,38.0,8,6,4.0,8.0,3,2,0,35,,,0,0,0,14,0.0,0.0,0.0,1,1,0,1.17,-0.012,0.6,0.00%,-2.13,1.6,9.0,1t start tie,4t 3 out a2,,2022-05-04,110,142,663462,2022,4.0,6.0,5.0,23.0,1.0,3.0,2.0,1.0,2.0,2.0,9.0,3.0,1.0,6.0,5.0,23.0,1.0,3.0,2.0,1.0,2.0,2.0,9.0,3.0,1.0,6.0,5.0,23.0,1.0,3.0,2.0,1.0,2.0,2.0,9.0,3.0,1.0
3.0,3.0,2022-05-10,BAL,@,STL,"W,5-3",GS-7,W(1-1),5.0,7.0,4.0,2.0,2.0,0.0,11.0,1.0,0,4.24,4.23,23.0,90.0,64.0,23,14,6.0,6.0,2,0,0,72,,,0,0,0,23,1.0,0.0,0.0,2,0,0,0.76,0.242,0.45,0.09%,1.35,35.35,58.0,1b start tie,7b 3 out a3,,2022-05-10,110,138,661987,2022,7.0,10.0,11.0,41.0,2.0,7.0,6.0,3.0,5.0,3.0,18.0,5.4,1.4,10.0,11.0,41.0,2.0,7.0,6.0,3.0,5.0,3.0,18.0,5.4,1.4,10.0,11.0,41.0,2.0,7.0,6.0,3.0,5.0,3.0,18.0,5.4,1.4
4.0,4.0,2022-05-16,BAL,,NYY,"L,2-6",GS-5,L(1-2),5.0,4.1,8.0,4.0,4.0,3.0,6.0,1.0,0,5.06,4.47,23.0,84.0,48.0,13,7,5.0,9.0,5,0,0,34,,,0,0,0,20,1.0,0.0,0.0,0,0,0,0.95,-0.218,0.54,-0.08%,-2.15,7.15,19.0,1t start tie,5t 1-- 1 out d3,,2022-05-16,110,147,661308,2022,4.333,17.0,15.0,64.0,3.0,9.0,8.0,3.0,16.0,5.0,26.0,4.235,1.059,17.0,15.0,64.0,3.0,9.0,8.0,3.0,16.0,5.0,26.0,4.235,1.059,17.0,15.0,64.0,3.0,9.0,8.0,3.0,16.0,5.0,26.0,4.235,1.059
5.0,5.0,2022-05-21,BAL,,TBR,"L,1-6",GS-6,L(1-3),4.0,5.1,5.0,5.0,5.0,2.0,5.0,2.0,0,5.74,5.02,22.0,91.0,57.0,12,10,7.0,8.0,3,1,0,41,,,0,0,0,19,0.0,0.0,0.0,1,1,0,0.5,-0.195,0.24,-0.06%,-2.34,7.8,16.0,1t start tie,6t 1-3 1 out d4,,2022-05-21,110,139,661291,2022,5.333,21.333,23.0,87.0,4.0,13.0,12.0,6.0,22.0,7.0,38.0,5.062,1.359,21.333,23.0,87.0,4.0,13.0,12.0,6.0,22.0,7.0,38.0,5.062,1.359,21.333,23.0,87.0,4.0,13.0,12.0,6.0,22.0,7.0,38.0,5.062,1.359
6.0,6.0,2022-05-27,BAL,@,BOS,"W,12-8",GS-2,,5.0,1.2,6.0,6.0,6.0,1.0,2.0,1.0,2,7.31,5.55,14.0,62.0,33.0,6,10,3.0,6.0,4,0,0,20,,,0,0,0,11,1.0,0.0,0.0,0,0,0,0.68,-0.366,0.26,-0.09%,-5.59,-9.65,-7.0,1b start tie,2b -23 2 out d6,,2022-05-27,110,111,663276,2022,1.667,26.667,28.0,109.0,6.0,18.0,17.0,8.0,27.0,9.0,49.0,5.738,1.35,26.667,28.0,109.0,6.0,18.0,17.0,8.0,27.0,9.0,49.0,5.738,1.35,26.667,28.0,109.0,6.0,18.0,17.0,8.0,27.0,9.0,49.0,5.738,1.35
7.0,7.0,2022-06-01,BAL,,SEA,"W,9-2",GS-5,,4.0,4.2,6.0,2.0,2.0,2.0,6.0,1.0,0,6.82,5.42,21.0,80.0,49.0,13,10,7.0,6.0,3,0,0,48,,,0,0,0,19,1.0,0.0,0.0,0,0,0,0.94,-0.003,0.36,0.00%,-0.08,13.7,26.0,1t start tie,5t 12- 2 out a1,,2022-06-01,110,136,661343,2022,4.667,28.333,34.0,123.0,7.0,24.0,23.0,9.0,29.0,11.0,59.0,7.306,1.518,22.333,29.0,100.0,6.0,21.0,21.0,8.0,27.0,9.0,50.0,8.463,1.657,28.333,34.0,123.0,7.0,24.0,23.0,9.0,29.0,11.0,59.0,7.306,1.518
8.0,8.0,2022-06-07,BAL,,CHC,"W,9-3",GS-5,,5.0,4.2,4.0,2.0,2.0,5.0,5.0,2.0,0,6.45,5.95,23.0,105.0,60.0,13,9,6.0,7.0,3,0,0,48,,,0,0,0,18,0.0,0.0,0.0,0,0,0,0.84,0.027,0.25,0.01%,0.13,11.1,23.0,1t start tie,5t 1-- 2 out a5,,2022-06-07,110,112,661170,2022,4.667,33.0,40.0,144.0,8.0,26.0,25.0,11.0,35.0,13.0,69.0,6.818,1.545,23.0,29.0,103.0,6.0,19.0,19.0,8.0,30.0,10.0,51.0,7.435,1.609,33.0,40.0,144.0,8.0,26.0,25.0,11.0,35.0,13.0,69.0,6.818,1.545
9.0,9.0,2022-06-13,BAL,@,TOR,"L,1-11",GS-5,L(1-4),5.0,4.1,9.0,5.0,5.0,1.0,3.0,0.0,0,6.86,5.59,21.0,90.0,54.0,17,5,8.0,9.0,5,0,0,27,,,0,0,0,20,1.0,0.0,0.0,2,0,0,0.9,-0.142,0.31,-0.03%,-1.53,-0.25,7.0,1b start tie,5b 12- 1 out d3,,2022-06-13,110,141,661746,2022,4.333,37.667,44.0,167.0,10.0,28.0,27.0,16.0,40.0,15.0,79.0,6.451,1.593,20.667,29.0,103.0,7.0,19.0,19.0,13.0,24.0,10.0,53.0,8.274,2.032,37.667,44.0,167.0,10.0,28.0,27.0,16.0,40.0,15.0,79.0,6.451,1.593
10.0,10.0,2022-06-18,BAL,,TBR,"L,6-7",GS-5,,4.0,4.1,11.0,6.0,6.0,1.0,3.0,1.0,0,7.38,5.57,24.0,79.0,54.0,14,9,6.0,14.0,7,2,0,19,,,0,0,0,23,4.0,0.0,0.0,0,0,0,1.05,-0.422,0.4,-0.10%,-4.15,-3.45,4.0,1t start tie,5t 1-- 1 out d4,,2022-06-18,110,139,661127,2022,4.333,42.0,53.0,188.0,10.0,33.0,32.0,17.0,43.0,16.0,89.0,6.857,1.667,20.667,30.0,101.0,6.0,20.0,20.0,11.0,21.0,9.0,51.0,8.71,1.984,42.0,53.0,188.0,10.0,33.0,32.0,17.0,43.0,16.0,89.0,6.857,1.667
