Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1,1,2,2021-04-03,KCR,,TEX,"W,11-4",8-8,,99,0.2,1,0,0,1,1,0,0,0.00,4.67,4,20,10,3,3,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.25,0.000,.24,0.00%,-0.09,,,8t --- 0 out a6,8t -23 2 out a6,,2021-04-03,118,140,634604
2,2,3,2021-04-04,KCR,,TEX,"L,3-7",4-4,,0,0.2,0,0,0,0,1,0,0,0.00,2.42,2,5,4,1,2,0,1,0,0,0,,2,1,0,0,0,1,0,0,0,0,1,0,.35,0.003,.37,0.00%,0.45,,,4t -23 1 out d5,4t 3 out d6,,2021-04-04,118,140,634593
3,3,5,2021-04-07,KCR,@,CLE,"L,2-4",8-GF(8),,2,0.2,0,0,0,0,1,0,0,0.00,1.67,2,9,6,0,2,1,0,0,0,0,,2,0,0,0,0,2,0,0,0,0,0,0,.50,0.024,.54,0.02%,0.93,,,8b 12- 1 out d2,8b end d 2,,2021-04-07,118,114,634589
4,4,8,2021-04-12,KCR,,LAA,"L,3-10",6-6,,4,1.0,0,0,0,0,0,0,0,0.00,2.17,3,,,0,0,0,3,0,2,0,,0,0,0,0,0,3,0,0,0,0,0,0,.22,0.017,.24,0.01%,0.54,,,6t --- 0 out d4,6t 3 out d4,,2021-04-12,118,108,632197
5,5,9,2021-04-13,KCR,,LAA,"W,3-2",7-7,H(1),0,1.0,0,0,0,0,1,0,0,0.00,1.92,3,11,7,1,1,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.95,0.074,.90,0.04%,0.54,,,7t --- 0 out a2,7t 3 out a2,,2021-04-13,118,108,632210
6,6,10,2021-04-14,KCR,,LAA,"W,6-1",6-6,H(2),0,0.1,0,0,0,0,0,0,0,0.00,2.02,1,6,3,1,1,0,1,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,2.86,0.081,2.85,0.05%,0.52,,,6t 1-3 2 out a1,6t 3 out a1,,2021-04-14,118,108,634495
7,7,13,2021-04-17,KCR,,TOR,"W,3-2",4-4,,2,0.2,1,1,1,1,0,0,0,1.80,2.77,4,11,5,1,0,1,2,1,0,0,,0,0,0,0,0,1,0,0,0,0,1,0,2.01,-0.130,2.19,-0.09%,-0.80,,,4t --- 0 out a1,4t -2- 2 out tie,2.0,2021-04-17,118,141,634520
8,8,15,2021-04-19,KCR,,TBR,"L,1-4",7-7,,1,0.0,1,1,0,1,0,0,0,1.80,3.37,3,14,9,3,1,1,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.91,-0.131,1.00,-0.09%,-2.35,,,7t --- 0 out d2,7t 1-3 0 out d3,,2021-04-19,118,139,634396
9,9,17,2021-04-21,KCR,,TBR,"W,9-8",7-8,,1,1.0,1,1,1,0,1,0,0,3.00,3.00,4,,,3,1,2,1,1,0,0,,1,0,0,0,0,4,0,0,0,0,0,0,1.22,0.026,1.32,0.02%,0.69,,,7t -2- 1 out d3,8t 1-- 1 out a1,,2021-04-21,118,139,634446
10,10,18,2021-04-23,KCR,@,DET,"W,6-2",7-7,,1,1.0,1,0,0,0,2,0,0,2.57,2.46,4,11,9,3,3,1,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.85,0.035,1.04,0.03%,0.51,,,7b --- 0 out a4,7b 3 out a4,,2021-04-23,118,116,634412
11,11,20,2021-04-25,KCR,@,DET,"W,4-0",7-8,H(3),1,2.0,1,0,0,0,3,0,0,2.00,1.95,7,28,20,5,5,3,1,0,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,1.16,0.172,1.54,0.14%,1.01,,,7b --- 0 out a2,8b 3 out a2,,2021-04-25,118,116,634448
12,12,23,2021-04-28,KCR,@,PIT,"W,9-6",6-6,,2,0.2,0,0,0,2,1,0,0,1.86,2.45,4,17,7,5,1,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.24,0.004,1.48,0.00%,0.07,,,6b --- 0 out a4,6b 12- 2 out a4,,2021-04-28,118,134,634315
13,13,25,2021-05-01,KCR,@,MIN,"W,11-3",8-GF,,2,2.0,3,2,2,1,2,1,0,3.09,3.60,10,36,23,7,2,6,1,0,0,0,,0,0,0,0,0,9,0,0,0,0,0,0,.01,0.001,.01,0.00%,-0.98,,,8b --- 0 out a10,9b end a 8,,2021-05-01,118,142,634329
