Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_10,H_10,BF_10,HR_10,R_10,ER_10,BB_10,SO_10,XB_against_10,TB_against_10,ERA_10,WHIP_10,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_3,H_3,BF_3,HR_3,R_3,ER_3,BB_3,SO_3,XB_against_3,TB_against_3,ERA_3,WHIP_3,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1.0,1.0,2021-04-03,KCR,,TEX,"W,11-4",8-8,,99.0,0.2,1.0,0.0,0.0,1.0,1.0,0.0,0,0.0,4.67,4.0,20.0,10.0,3,3,1.0,1.0,1,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.25,0.0,0.24,0.00%,-0.09,,,8t --- 0 out a6,8t -23 2 out a6,,2021-04-03,118,140,634604,2021,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2.0,2.0,2021-04-04,KCR,,TEX,"L,3-7",4-4,,0.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,2.42,2.0,5.0,4.0,1,2,0.0,1.0,0,0,0,,2,1,0,0,0,1,0.0,0.0,0.0,0,1,0,0.35,0.003,0.37,0.00%,0.45,,,4t -23 1 out d5,4t 3 out d6,,2021-04-04,118,140,634593,2021,0.667,0.667,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,0.667,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,0.667,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,0.667,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,0.667,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0
3.0,3.0,2021-04-07,KCR,@,CLE,"L,2-4",8-GF(8),,2.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,1.67,2.0,9.0,6.0,0,2,1.0,0.0,0,0,0,,2,0,0,0,0,2,0.0,0.0,0.0,0,0,0,0.5,0.024,0.54,0.02%,0.93,,,8b 12- 1 out d2,8b end d 2,,2021-04-07,118,114,634589,2021,0.667,1.333,1.0,6.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.5,1.333,1.0,6.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.5,1.333,1.0,6.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.5,1.333,1.0,6.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.5,1.333,1.0,6.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.5
4.0,4.0,2021-04-12,KCR,,LAA,"L,3-10",6-6,,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.17,3.0,,,0,0,0.0,3.0,0,2,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.22,0.017,0.24,0.01%,0.54,,,6t --- 0 out d4,6t 3 out d4,,2021-04-12,118,108,632197,2021,1.0,2.0,1.0,8.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,2.0,1.0,8.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,2.0,1.0,8.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,2.0,1.0,8.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,2.0,1.0,8.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0
5.0,5.0,2021-04-13,KCR,,LAA,"W,3-2",7-7,H(1),0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,1.92,3.0,11.0,7.0,1,1,1.0,1.0,1,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.95,0.074,0.9,0.04%,0.54,,,7t --- 0 out a2,7t 3 out a2,,2021-04-13,118,108,632210,2021,1.0,3.0,1.0,11.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.667,3.0,1.0,11.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.667,3.0,1.0,11.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.667,2.333,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,11.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.667
6.0,6.0,2021-04-14,KCR,,LAA,"W,6-1",6-6,H(2),0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.02,1.0,6.0,3.0,1,1,0.0,1.0,0,0,0,,2,0,0,0,0,1,0.0,0.0,0.0,0,0,0,2.86,0.081,2.85,0.05%,0.52,,,6t 1-3 2 out a1,6t 3 out a1,,2021-04-14,118,108,634495,2021,0.333,4.0,1.0,14.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.5,4.0,1.0,14.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.5,4.0,1.0,14.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.5,2.667,0.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,14.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.5
7.0,7.0,2021-04-17,KCR,,TOR,"W,3-2",4-4,,2.0,0.2,1.0,1.0,1.0,1.0,0.0,0.0,0,1.8,2.77,4.0,11.0,5.0,1,0,1.0,2.0,1,0,0,,0,0,0,0,0,1,0.0,0.0,0.0,0,1,0,2.01,-0.13,2.19,-0.09%,-0.8,,,4t --- 0 out a1,4t -2- 2 out tie,2.0,2021-04-17,118,141,634520,2021,0.667,4.333,1.0,15.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.462,4.333,1.0,15.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.462,3.667,0.0,11.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.333,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.333,1.0,15.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.462
8.0,8.0,2021-04-19,KCR,,TBR,"L,1-4",7-7,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,1.8,3.37,3.0,14.0,9.0,3,1,1.0,1.0,1,0,0,,0,0,0,0,0,2,0.0,0.0,0.0,0,0,0,0.91,-0.131,1.0,-0.09%,-2.35,,,7t --- 0 out d2,7t 1-3 0 out d3,,2021-04-19,118,139,634396,2021,0.0,5.0,2.0,19.0,0.0,1.0,1.0,2.0,4.0,0.0,2.0,1.8,0.8,5.0,2.0,19.0,0.0,1.0,1.0,2.0,4.0,0.0,2.0,1.8,0.8,3.667,1.0,13.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,2.455,0.545,2.0,1.0,8.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.5,1.0,5.0,2.0,19.0,0.0,1.0,1.0,2.0,4.0,0.0,2.0,1.8,0.8
9.0,9.0,2021-04-21,KCR,,TBR,"W,9-8",7-8,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0,3.0,3.0,4.0,,,3,1,2.0,1.0,1,0,0,,1,0,0,0,0,4,0.0,0.0,0.0,0,0,0,1.22,0.026,1.32,0.02%,0.69,,,7t -2- 1 out d3,8t 1-- 1 out a1,,2021-04-21,118,139,634446,2021,1.0,5.0,3.0,22.0,0.0,2.0,1.0,3.0,4.0,0.0,3.0,1.8,1.2,5.0,3.0,22.0,0.0,2.0,1.0,3.0,4.0,0.0,3.0,1.8,1.2,3.0,2.0,14.0,0.0,2.0,1.0,2.0,1.0,0.0,2.0,3.0,1.333,1.0,2.0,8.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,9.0,4.0,5.0,3.0,22.0,0.0,2.0,1.0,3.0,4.0,0.0,3.0,1.8,1.2
10.0,10.0,2021-04-23,KCR,@,DET,"W,6-2",7-7,,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0,2.57,2.46,4.0,11.0,9.0,3,3,1.0,1.0,1,0,0,,0,0,0,0,0,4,0.0,0.0,0.0,0,0,0,0.85,0.035,1.04,0.03%,0.51,,,7b --- 0 out a4,7b 3 out a4,,2021-04-23,118,116,634412,2021,1.0,6.0,4.0,26.0,0.0,3.0,2.0,3.0,5.0,0.0,4.0,3.0,1.167,6.0,4.0,26.0,0.0,3.0,2.0,3.0,5.0,0.0,4.0,3.0,1.167,3.0,3.0,15.0,0.0,3.0,2.0,2.0,2.0,0.0,3.0,6.0,1.667,1.667,3.0,11.0,0.0,3.0,2.0,2.0,1.0,0.0,3.0,10.8,3.0,6.0,4.0,26.0,0.0,3.0,2.0,3.0,5.0,0.0,4.0,3.0,1.167
