Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1,38,95,2022-07-24,MIA,@,PIT,"W,6-5",10-GF(10),S(1),99,1.0,1,1,0,1,2,0,0,0.00,2.11,5,20,11,3,2,0,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,3.61,0.194,1.09,0.04%,0.11,5.05,9.00,10b -2- 0 out a2,10b end a 1,,2022-07-24,146,134,662357
2,39,99,2022-07-28,MIA,@,CIN,"W,7-6",1-4,,3,2.2,3,2,2,0,2,0,0,4.91,1.75,11,44,31,11,3,1,8,5,1,0,,2,0,0,0,0,11,0,0,0,0,0,0,.99,0.092,.34,0.02%,1.10,4.20,8.00,1b 12- 2 out d1,4b 12- 1 out a2,,2022-07-28,146,113,663027
3,40,102,2022-07-31,MIA,,NYM,"L,3-9",7-8,,2,2.0,3,2,2,1,0,0,0,6.35,2.76,10,39,25,8,2,3,6,3,0,0,,0,0,1,0,0,8,0,0,0,0,0,0,.19,-0.036,.04,-0.01%,-1.01,-1.90,0.00,7t --- 0 out d4,8t 3 out d6,,2022-07-31,146,121,661370
4,41,107,2022-08-06,MIA,@,CHC,"L,0-4",6-7,,5,2.0,0,0,0,1,3,0,0,4.70,2.46,7,26,18,6,5,1,2,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.11,0.017,.01,0.00%,1.02,9.90,15.00,6b --- 0 out d4,7b 3 out d4,,2022-08-06,146,112,661062
5,42,113,2022-08-13,MIA,,ATL,"L,2-5",6-7,,6,2.0,2,0,0,1,3,0,0,3.72,2.28,9,44,24,8,3,3,2,1,1,0,,0,0,1,0,0,8,1,0,0,0,0,0,.81,0.071,.02,0.00%,0.99,8.70,15.00,6t --- 0 out d2,7t 3 out d2,1.0,2022-08-13,146,144,661428
6,43,133,2022-09-04,MIA,@,ATL,"L,1-7",5-6,,21,2.0,2,2,2,2,2,0,0,4.63,2.60,9,38,23,2,6,0,5,2,0,0,,0,0,0,1,0,7,0,0,0,0,0,0,.54,-0.062,.00,0.00%,-0.97,2.10,6.00,5b --- 0 out d2,6b 3 out d4,,2022-09-04,146,144,661474
7,44,138,2022-09-10,MIA,,NYM,"L,3-11",7-8,,5,2.0,3,1,1,1,2,1,0,4.61,3.55,10,41,28,8,4,3,4,2,0,0,,0,0,0,0,0,9,2,0,0,0,0,0,.00,-0.001,.00,0.00%,-0.01,4.10,9.00,7t --- 0 out d9,8t 3 out d9,,2022-09-10,146,121,661323
8,45,140,2022-09-12,MIA,,TEX,"L,2-3",8-GF,,1,1.1,1,0,0,0,2,0,0,4.20,3.25,5,17,14,2,4,1,2,0,1,0,,3,0,1,0,0,5,0,0,0,0,0,0,.97,0.106,.00,0.00%,1.26,6.40,10.00,8t 123 2 out d1,9t end d 1,1.0,2022-09-12,146,140,661420
9,46,146,2022-09-17,MIA,@,WSN,"L,3-5",2-4,L(0-1),4,3.0,2,2,2,1,5,2,0,4.50,4.28,12,52,33,7,10,0,6,1,1,0,,1,0,0,0,0,11,0,0,0,0,0,0,.71,-0.081,.00,0.00%,0.02,10.95,18.00,2b -2- 0 out d2,4b 3 out d1,,2022-09-17,146,120,662462
10,47,150,2022-09-21,MIA,,CHC,"L,3-4",7-7,H(1),3,0.1,0,0,0,0,1,0,0,4.42,4.15,1,5,3,0,1,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.52,0.013,.00,0.00%,0.10,2.75,4.00,7t --- 2 out a2,7t 3 out a2,,2022-09-21,146,112,661297
