Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_10,H_10,BF_10,HR_10,R_10,ER_10,BB_10,SO_10,XB_against_10,TB_against_10,ERA_10,WHIP_10,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_3,H_3,BF_3,HR_3,R_3,ER_3,BB_3,SO_3,XB_against_3,TB_against_3,ERA_3,WHIP_3,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1,30,2021-04-08,LAA,@,TOR,"W,7-5",GS-6,,99,5.1,3.0,4.0,4.0,1.0,7.0,2.0,0,6.75,5.98,20.0,81.0,51.0,11,16,5,7,1,1,0,52.0,,,0,0,0,19,0.0,0.0,0.0,0,0,0,0.87,-0.13,0.92,-0.08%,-1.03,,,1b start a 1,6b --- 1 out tie,,2021-04-08,108,141,634545,2021,5.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,31,2021-04-14,LAA,@,KCR,"L,1-6",GS-5,L(0-1),5,5.0,6.0,2.0,2.0,2.0,5.0,1.0,0,5.23,5.49,23.0,92.0,59.0,10,13,5,10,5,0,0,50.0,,,2,0,0,19,1.0,0.0,0.0,0,1,0,1.02,0.011,1.11,0.01%,0.69,,,1b start tie,5b 3 out d2,,2021-04-14,108,118,634495,2021,5.0,5.333,3.0,20.0,2.0,4.0,4.0,1.0,7.0,2.0,9.0,6.75,0.75,5.333,3.0,20.0,2.0,4.0,4.0,1.0,7.0,2.0,9.0,6.75,0.75,5.333,3.0,20.0,2.0,4.0,4.0,1.0,7.0,2.0,9.0,6.75,0.75,5.333,3.0,20.0,2.0,4.0,4.0,1.0,7.0,2.0,9.0,6.75,0.75,5.333,3.0,20.0,2.0,4.0,4.0,1.0,7.0,2.0,9.0,6.75,0.75
3,32,2021-04-20,LAA,,TEX,"W,6-2",5-7,W(1-1),5,2.1,2.0,2.0,2.0,0.0,2.0,1.0,0,5.68,5.78,9.0,30.0,19.0,5,3,3,4,1,1,0,,0.0,0.0,0,0,0,9,0.0,1.0,0.0,0,0,0,1.02,-0.022,1.15,-0.02%,-0.36,,,5t --- 0 out a2,7t --3 1 out a2,,2021-04-20,108,140,634398,2021,2.333,10.333,9.0,43.0,3.0,6.0,6.0,3.0,12.0,4.0,19.0,5.226,1.161,10.333,9.0,43.0,3.0,6.0,6.0,3.0,12.0,4.0,19.0,5.226,1.161,10.333,9.0,43.0,3.0,6.0,6.0,3.0,12.0,4.0,19.0,5.226,1.161,10.333,9.0,43.0,3.0,6.0,6.0,3.0,12.0,4.0,19.0,5.226,1.161,10.333,9.0,43.0,3.0,6.0,6.0,3.0,12.0,4.0,19.0,5.226,1.161
4,33,2021-04-24,LAA,@,HOU,"L,2-16",GS-3,L(1-2),3,2.1,6.0,6.0,6.0,2.0,3.0,2.0,0,8.4,7.1,14.0,,,6,8,3,6,4,0,0,22.0,,,0,0,0,12,1.0,0.0,0.0,1,0,0,0.79,-0.415,0.82,-0.26%,-4.97,,,1b start tie,3b 1-- 1 out d4,,2021-04-24,108,117,634366,2021,2.333,12.667,11.0,52.0,4.0,8.0,8.0,3.0,14.0,6.0,26.0,5.684,1.105,12.667,11.0,52.0,4.0,8.0,8.0,3.0,14.0,6.0,26.0,5.684,1.105,12.667,11.0,52.0,4.0,8.0,8.0,3.0,14.0,6.0,26.0,5.684,1.105,12.667,11.0,52.0,4.0,8.0,8.0,3.0,14.0,6.0,26.0,5.684,1.105,12.667,11.0,52.0,4.0,8.0,8.0,3.0,14.0,6.0,26.0,5.684,1.105
5,34,2021-05-01,LAA,@,SEA,"W,10-5",GS-6,W(2-2),6,5.1,3.0,1.0,0.0,2.0,9.0,0.0,0,6.2,5.48,22.0,,,14,22,4,7,3,2,0,67.0,,,0,0,1,20,1.0,0.0,0.0,0,0,2,0.23,0.059,0.26,0.04%,1.07,,,1b start a 3,6b 12- 1 out a9,,2021-05-01,108,136,634272,2021,5.333,15.0,17.0,66.0,6.0,14.0,14.0,5.0,17.0,9.0,39.0,8.4,1.467,15.0,17.0,66.0,6.0,14.0,14.0,5.0,17.0,9.0,39.0,8.4,1.467,15.0,17.0,66.0,6.0,14.0,14.0,5.0,17.0,9.0,39.0,8.4,1.467,9.667,14.0,46.0,4.0,10.0,10.0,4.0,10.0,7.0,30.0,9.31,1.862,15.0,17.0,66.0,6.0,14.0,14.0,5.0,17.0,9.0,39.0,8.4,1.467
6,35,2021-05-07,LAA,,LAD,"W,9-2",GS-6,W(3-2),5,5.2,6.0,1.0,1.0,3.0,4.0,0.0,0,5.19,5.02,25.0,85.0,51.0,16,5,4,14,4,4,0,54.0,,,0,0,1,22,3.0,0.0,0.0,0,0,0,1.07,0.145,0.83,0.07%,1.77,,,1t start tie,6t 12- 2 out a4,,2021-05-07,108,119,634213,2021,5.667,20.333,20.0,88.0,6.0,15.0,14.0,7.0,26.0,10.0,43.0,6.197,1.328,20.333,20.0,88.0,6.0,15.0,14.0,7.0,26.0,10.0,43.0,6.197,1.328,20.333,20.0,88.0,6.0,15.0,14.0,7.0,26.0,10.0,43.0,6.197,1.328,10.0,11.0,45.0,3.0,9.0,8.0,4.0,14.0,6.0,24.0,7.2,1.5,20.333,20.0,88.0,6.0,15.0,14.0,7.0,26.0,10.0,43.0,6.197,1.328
7,36,2021-05-14,LAA,@,BOS,"L,3-4",GS-6,,6,6.0,6.0,2.0,2.0,2.0,7.0,1.0,0,4.78,4.83,24.0,94.0,55.0,9,15,7,8,4,2,0,57.0,,,1,1,0,22,0.0,0.0,0.0,1,0,0,0.75,0.066,0.57,0.03%,1.35,,,1b start tie,6b 3 out d1,,2021-05-14,108,111,634138,2021,6.0,26.0,26.0,113.0,6.0,16.0,15.0,10.0,30.0,13.0,52.0,5.192,1.385,26.0,26.0,113.0,6.0,16.0,15.0,10.0,30.0,13.0,52.0,5.192,1.385,20.667,23.0,93.0,4.0,12.0,11.0,9.0,23.0,11.0,43.0,4.79,1.548,13.333,15.0,61.0,2.0,8.0,7.0,7.0,16.0,7.0,26.0,4.725,1.65,26.0,26.0,113.0,6.0,16.0,15.0,10.0,30.0,13.0,52.0,5.192,1.385
8,37,2021-05-20,LAA,,MIN,"L,3-6",GS-2,L(3-3),5,2.0,3.0,4.0,4.0,4.0,1.0,1.0,0,5.56,5.41,13.0,68.0,40.0,7,9,4,4,2,0,0,31.0,,,0,0,0,9,1.0,0.0,0.0,0,0,0,0.94,-0.298,0.58,-0.11%,-2.93,,,1t start tie,2t 3 out d3,2.0,2021-05-20,108,142,634441,2021,2.0,32.0,32.0,137.0,7.0,18.0,17.0,12.0,37.0,14.0,61.0,4.781,1.375,32.0,32.0,137.0,7.0,18.0,17.0,12.0,37.0,14.0,61.0,4.781,1.375,21.667,23.0,94.0,4.0,12.0,11.0,9.0,25.0,10.0,42.0,4.569,1.477,17.0,15.0,71.0,1.0,4.0,3.0,7.0,20.0,5.0,22.0,1.588,1.294,32.0,32.0,137.0,7.0,18.0,17.0,12.0,37.0,14.0,61.0,4.781,1.375
9,38,2021-05-26,LAA,,TEX,"W,9-8",GS-6,W(4-3),5,6.0,4.0,3.0,3.0,2.0,7.0,2.0,0,5.4,5.52,24.0,92.0,65.0,13,12,5,10,2,1,0,57.0,,,0,0,0,22,0.0,1.0,0.0,0,0,0,0.53,0.129,0.36,0.05%,0.22,,,1t start tie,6t 3 out a6,,2021-05-26,108,140,633940,2021,6.0,34.0,35.0,150.0,8.0,22.0,21.0,16.0,38.0,16.0,68.0,5.559,1.5,34.0,35.0,150.0,8.0,22.0,21.0,16.0,38.0,16.0,68.0,5.559,1.5,21.333,24.0,98.0,4.0,14.0,13.0,13.0,24.0,10.0,42.0,5.484,1.734,13.667,15.0,62.0,2.0,7.0,7.0,9.0,12.0,6.0,25.0,4.61,1.756,34.0,35.0,150.0,8.0,22.0,21.0,16.0,38.0,16.0,68.0,5.559,1.5
10,39,2021-06-03,LAA,,SEA,"L,2-6",GS-4,L(4-4),7,3.1,6.0,4.0,4.0,2.0,5.0,1.0,0,5.82,5.55,17.0,80.0,50.0,9,10,4,6,4,0,0,35.0,,,0,0,1,15,2.0,0.0,0.0,0,0,0,1.33,-0.263,0.9,-0.11%,-2.14,,,1t start tie,4t --- 1 out d2,,2021-06-03,108,136,633832,2021,3.333,40.0,39.0,174.0,10.0,25.0,24.0,18.0,45.0,19.0,80.0,5.4,1.425,40.0,39.0,174.0,10.0,25.0,24.0,18.0,45.0,19.0,80.0,5.4,1.425,25.0,22.0,108.0,4.0,11.0,10.0,13.0,28.0,10.0,41.0,3.6,1.4,14.0,13.0,61.0,4.0,9.0,9.0,8.0,15.0,6.0,28.0,5.786,1.5,40.0,39.0,174.0,10.0,25.0,24.0,18.0,45.0,19.0,80.0,5.4,1.425
11,40,2021-06-09,LAA,,KCR,"W,6-1",GS-7,W(5-4),5,6.2,5.0,1.0,1.0,2.0,6.0,0.0,0,5.22,5.11,27.0,89.0,60.0,11,17,8,11,3,2,0,64.0,,,0,0,0,25,1.0,0.0,0.0,0,0,0,1.21,0.29,0.84,0.12%,2.52,,,1t start tie,7t 1-- 2 out a4,,2021-06-09,108,118,633776,2021,6.667,43.333,45.0,191.0,11.0,29.0,28.0,20.0,50.0,22.0,91.0,5.815,1.5,43.333,45.0,191.0,11.0,29.0,28.0,20.0,50.0,22.0,91.0,5.815,1.5,23.0,25.0,103.0,5.0,14.0,14.0,13.0,24.0,12.0,48.0,5.478,1.652,11.333,13.0,54.0,4.0,11.0,11.0,8.0,13.0,8.0,30.0,8.735,1.853,43.333,45.0,191.0,11.0,29.0,28.0,20.0,50.0,22.0,91.0,5.815,1.5
12,41,2021-06-16,LAA,@,OAK,"L,4-8",GS-5,,6,5.0,3.0,2.0,2.0,2.0,2.0,1.0,1,5.07,5.26,20.0,,,10,6,2,13,2,3,0,53.0,,,0,0,0,17,0.0,0.0,0.0,0,0,0,0.81,0.07,0.67,0.04%,0.48,,,1b start a 3,5b 3 out a2,,2021-06-16,108,133,633632,2021,5.0,50.0,50.0,218.0,11.0,30.0,29.0,22.0,56.0,23.0,97.0,5.22,1.44,44.667,47.0,198.0,9.0,26.0,25.0,21.0,49.0,21.0,88.0,5.037,1.522,24.0,24.0,105.0,5.0,14.0,14.0,12.0,26.0,10.0,45.0,5.25,1.5,16.0,15.0,68.0,3.0,8.0,8.0,6.0,18.0,7.0,29.0,4.5,1.312,50.0,50.0,218.0,11.0,30.0,29.0,22.0,56.0,23.0,97.0,5.22,1.44
13,42,2021-06-25,LAA,@,TBR,"L,3-4",GS-5,,8,5.0,6.0,3.0,2.0,2.0,4.0,0.0,0,4.95,5.05,23.0,91.0,53.0,12,13,8,9,5,0,0,47.0,,,2,0,0,21,0.0,0.0,0.0,0,0,1,1.13,-0.039,0.51,-0.01%,-0.55,,,1b start a 2,5b 3 out tie,,2021-06-25,108,139,633535,2021,5.0,55.0,53.0,238.0,12.0,32.0,31.0,24.0,58.0,24.0,103.0,5.073,1.4,44.667,44.0,195.0,9.0,26.0,25.0,21.0,46.0,20.0,84.0,5.037,1.455,23.0,21.0,101.0,5.0,14.0,14.0,12.0,21.0,10.0,42.0,5.478,1.435,15.0,14.0,64.0,2.0,7.0,7.0,6.0,13.0,5.0,23.0,4.2,1.333,55.0,53.0,238.0,12.0,32.0,31.0,24.0,58.0,24.0,103.0,5.073,1.4
