Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_10,H_10,BF_10,HR_10,R_10,ER_10,BB_10,SO_10,XB_against_10,TB_against_10,ERA_10,WHIP_10,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_3,H_3,BF_3,HR_3,R_3,ER_3,BB_3,SO_3,XB_against_3,TB_against_3,ERA_3,WHIP_3,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1,8,2021-04-16,MIA,,SFG,"W,4-1",GS-5,,99,5.0,3.0,1.0,1.0,2.0,0.0,0.0,0,1.8,4.37,19.0,74,47,13,2,10,7,3,1,0,55.0,,,0,0,0,17,1.0,0.0,0.0,1,0,0,1.05,0.134,0.99,0.08%,1.53,,,1t start tie,5t 3 out d1,,2021-04-16,146,137,634519,2021,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,9,2021-04-22,MIA,@,SFG,"L,0-3",GS-5,L(0-1),5,5.0,5.0,3.0,3.0,2.0,2.0,0.0,0,3.6,3.97,21.0,82,50,11,3,8,9,7,0,0,45.0,,,0,0,0,19,3.0,0.0,0.0,1,0,0,0.59,-0.139,0.54,-0.08%,-0.5,,,1b start tie,5b 3 out d3,,2021-04-22,146,137,634432,2021,5.0,5.0,3.0,19.0,0.0,1.0,1.0,2.0,0.0,1.0,4.0,1.8,1.0,5.0,3.0,19.0,0.0,1.0,1.0,2.0,0.0,1.0,4.0,1.8,1.0,5.0,3.0,19.0,0.0,1.0,1.0,2.0,0.0,1.0,4.0,1.8,1.0,5.0,3.0,19.0,0.0,1.0,1.0,2.0,0.0,1.0,4.0,1.8,1.0,5.0,3.0,19.0,0.0,1.0,1.0,2.0,0.0,1.0,4.0,1.8,1.0
3,10,2021-04-27,MIA,@,MIL,"L,4-5",GS-4,,4,3.1,6.0,3.0,3.0,1.0,3.0,2.0,1,4.73,5.72,18.0,59,38,6,9,3,10,2,1,0,38.0,,,0,0,0,15,1.0,0.0,0.0,0,0,0,1.18,-0.179,1.08,-0.10%,-1.39,,,1b start a 1,4b -23 1 out tie,,2021-04-27,146,158,634320,2021,3.333,10.0,8.0,40.0,0.0,4.0,4.0,4.0,2.0,4.0,12.0,3.6,1.2,10.0,8.0,40.0,0.0,4.0,4.0,4.0,2.0,4.0,12.0,3.6,1.2,10.0,8.0,40.0,0.0,4.0,4.0,4.0,2.0,4.0,12.0,3.6,1.2,10.0,8.0,40.0,0.0,4.0,4.0,4.0,2.0,4.0,12.0,3.6,1.2,10.0,8.0,40.0,0.0,4.0,4.0,4.0,2.0,4.0,12.0,3.6,1.2
4,11,2021-05-08,MIA,,MIL,"L,2-6",GS-4,L(0-2),10,4.0,6.0,3.0,3.0,2.0,5.0,1.0,0,5.19,5.65,20.0,70,50,12,7,4,9,5,0,0,41.0,,,0,0,0,18,1.0,0.0,0.0,1,0,1,1.34,-0.145,1.33,-0.09%,-0.98,,,1t start tie,4t 3 out d2,,2021-05-08,146,158,634215,2021,4.0,13.333,14.0,58.0,2.0,7.0,7.0,5.0,5.0,7.0,25.0,4.725,1.425,13.333,14.0,58.0,2.0,7.0,7.0,5.0,5.0,7.0,25.0,4.725,1.425,13.333,14.0,58.0,2.0,7.0,7.0,5.0,5.0,7.0,25.0,4.725,1.425,13.333,14.0,58.0,2.0,7.0,7.0,5.0,5.0,7.0,25.0,4.725,1.425,13.333,14.0,58.0,2.0,7.0,7.0,5.0,5.0,7.0,25.0,4.725,1.425
5,12,2021-09-28,MIA,@,NYM,"L,2-5",2-4,,99,3.0,2.0,2.0,1.0,1.0,3.0,0.0,0,4.87,5.14,14.0,48,29,6,6,4,6,2,1,0,,0.0,0.0,2,0,0,13,0.0,0.0,0.0,0,0,2,0.87,-0.065,0.0,0.00%,-0.53,,,2b --- 0 out d1,4b 3 out d1,1.0,2021-09-28,146,121,632311,2021,3.0,17.333,20.0,78.0,3.0,10.0,10.0,7.0,10.0,9.0,35.0,5.192,1.558,17.333,20.0,78.0,3.0,10.0,10.0,7.0,10.0,9.0,35.0,5.192,1.558,17.333,20.0,78.0,3.0,10.0,10.0,7.0,10.0,9.0,35.0,5.192,1.558,12.333,17.0,59.0,3.0,9.0,9.0,5.0,10.0,8.0,31.0,6.568,1.784,17.333,20.0,78.0,3.0,10.0,10.0,7.0,10.0,9.0,35.0,5.192,1.558
1,13,2022-04-15,MIA,,PHI,"W,7-1",9-GF,,99,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0,0.0,1.11,5.0,26,17,3,2,2,2,1,1,0,,0.0,0.0,0,0,0,5,0.0,0.0,0.0,0,0,0,0.04,0.002,0.04,0.00%,0.49,3.05,6.0,9t --- 0 out a6,9t end a 6,,2022-04-15,146,143,661417,2022,1.0,20.333,22.0,92.0,3.0,12.0,11.0,8.0,13.0,9.0,37.0,4.869,1.475,20.333,22.0,92.0,3.0,12.0,11.0,8.0,13.0,9.0,37.0,4.869,1.475,20.333,22.0,92.0,3.0,12.0,11.0,8.0,13.0,9.0,37.0,4.869,1.475,10.333,14.0,52.0,3.0,8.0,7.0,4.0,11.0,5.0,25.0,6.097,1.742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,14,2022-04-16,MIA,,PHI,"L,3-10",9-GF,,0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0,0.0,1.11,5.0,21,14,2,3,2,2,2,0,0,,0.0,0.0,0,0,0,5,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.00%,0.49,3.05,6.0,9t --- 0 out d7,9t end d 7,,2022-04-16,146,143,661416,2022,1.0,21.333,24.0,97.0,3.0,12.0,11.0,8.0,14.0,9.0,39.0,4.641,1.5,21.333,24.0,97.0,3.0,12.0,11.0,8.0,14.0,9.0,39.0,4.641,1.5,16.333,21.0,78.0,3.0,11.0,10.0,6.0,14.0,8.0,35.0,5.51,1.653,8.0,10.0,39.0,1.0,5.0,4.0,3.0,9.0,2.0,14.0,4.5,1.625,1.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0
3,15,2022-05-18,MIA,,WSN,"L,4-5",9-GF(10),L(0-1),31,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,2.11,7.0,16,10,2,0,4,3,1,1,0,,0.0,0.0,0,0,0,6,1.0,0.0,0.0,0,0,0,2.3,-0.021,1.87,-0.01%,0.61,3.9,6.0,9t --- 0 out d1,10t end d 1,,2022-05-18,146,120,661400,2022,2.0,22.333,26.0,102.0,3.0,12.0,11.0,8.0,15.0,9.0,41.0,4.433,1.522,22.333,26.0,102.0,3.0,12.0,11.0,8.0,15.0,9.0,41.0,4.433,1.522,12.333,18.0,62.0,3.0,8.0,7.0,4.0,13.0,5.0,29.0,5.108,1.784,5.0,6.0,24.0,0.0,2.0,1.0,1.0,5.0,0.0,6.0,1.8,1.4,2.0,4.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,2.0
4,16,2022-06-15,MIA,@,PHI,"L,1-3",GS-7,,27,6.2,5.0,0.0,0.0,2.0,3.0,0.0,1,0.0,3.02,27.0,105,72,16,7,11,10,7,1,0,65.0,,,0,1,0,24,1.0,1.0,0.0,0,0,0,1.43,0.386,0.86,0.14%,2.99,16.2,33.0,1b start tie,7b 12- 2 out a1,,2022-06-15,146,143,661583,2022,6.667,24.333,27.0,109.0,3.0,13.0,11.0,8.0,15.0,10.0,43.0,4.068,1.438,24.333,27.0,109.0,3.0,13.0,11.0,8.0,15.0,10.0,43.0,4.068,1.438,11.0,13.0,51.0,1.0,6.0,4.0,3.0,10.0,3.0,18.0,3.273,1.455,4.0,5.0,17.0,0.0,1.0,0.0,0.0,2.0,1.0,6.0,0.0,1.25,4.0,5.0,17.0,0.0,1.0,0.0,0.0,2.0,1.0,6.0,0.0,1.25
5,17,2022-06-21,MIA,,COL,"W,9-8",GS-4,,5,3.1,7.0,4.0,4.0,3.0,3.0,1.0,0,2.57,4.18,19.0,70,44,14,5,6,7,2,0,0,30.0,,,0,0,0,16,2.0,0.0,0.0,1,0,0,1.21,-0.246,0.43,-0.05%,-2.93,-0.5,7.0,1t start tie,4t 12- 1 out d4,,2022-06-21,146,115,661148,2022,3.333,31.0,32.0,136.0,3.0,13.0,11.0,10.0,18.0,12.0,51.0,3.194,1.355,31.0,32.0,136.0,3.0,13.0,11.0,10.0,18.0,12.0,51.0,3.194,1.355,13.667,12.0,58.0,0.0,3.0,1.0,3.0,8.0,3.0,16.0,0.659,1.098,9.667,8.0,39.0,0.0,1.0,0.0,2.0,4.0,3.0,12.0,0.0,1.034,10.667,10.0,44.0,0.0,1.0,0.0,2.0,5.0,3.0,14.0,0.0,1.125
