Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_10,H_10,BF_10,HR_10,R_10,ER_10,BB_10,SO_10,XB_against_10,TB_against_10,ERA_10,WHIP_10,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_3,H_3,BF_3,HR_3,R_3,ER_3,BB_3,SO_3,XB_against_3,TB_against_3,ERA_3,WHIP_3,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1,2,2021-04-14,TOR,,NYY,"W,5-4",7-8,,99,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0,2.17,7.0,19.0,15.0,4,3,4,2,0,2,0,,0,0,0,0,0,7,0.0,0.0,0.0,0,0,0,1.58,0.203,1.64,0.13%,1.09,,,7t --- 0 out tie,8t 3 out tie,,2021-04-14,141,147,634513,2021,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,3,2021-04-17,TOR,@,KCR,"L,2-3",3-4,,2,1.1,2.0,0.0,0.0,0.0,1.0,0.0,0,0.0,1.97,6.0,24.0,17.0,3,1,3,2,0,1,0,,1,1,0,0,0,6,1.0,0.0,0.0,0,0,0,1.41,-0.039,1.41,-0.02%,-0.09,,,3b -2- 1 out tie,4b -2- 2 out tie,2.0,2021-04-17,141,118,634520,2021,1.333,2.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,2.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,2.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,2.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,2.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5
3,4,2021-04-20,TOR,@,BOS,"L,2-4",7-GF(8),,2,1.1,0.0,0.0,0.0,0.0,2.0,0.0,0,0.0,1.46,4.0,13.0,11.0,2,2,2,0,0,0,0,,1,0,0,0,0,4,0.0,0.0,0.0,0,0,0,0.27,0.03,0.29,0.02%,0.81,,,7b 1-- 2 out d2,8b end d 2,,2021-04-20,141,111,634409,2021,1.333,3.333,3.0,13.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,0.9,3.333,3.0,13.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,0.9,3.333,3.0,13.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,0.9,3.333,3.0,13.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,0.9,3.333,3.0,13.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,0.9
4,5,2021-04-21,TOR,@,BOS,"W,6-3",9-GF,S(1),0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.57,1.0,2.0,2.0,1,0,1,0,0,0,0,,1,0,0,0,0,1,0.0,0.0,0.0,0,0,0,0.62,0.019,0.6,0.01%,0.35,,,9b -2- 2 out a3,9b end a 3,,2021-04-21,141,111,634459,2021,0.333,4.667,3.0,17.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,0.0,0.643,4.667,3.0,17.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,0.0,0.643,4.667,3.0,17.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,0.0,0.643,4.667,3.0,17.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,0.0,0.643,4.667,3.0,17.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,0.0,0.643
5,6,2021-04-24,TOR,@,TBR,"L,3-5",7-7,,2,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0,0.0,0.84,4.0,13.0,11.0,5,4,1,0,0,0,0,,0,0,0,0,0,4,0.0,0.0,0.0,0,0,0,1.23,0.087,1.34,0.06%,0.49,,,7b --- 0 out tie,7b 3 out tie,,2021-04-24,141,139,634358,2021,1.0,5.0,3.0,18.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,0.0,0.6,5.0,3.0,18.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,0.0,0.6,5.0,3.0,18.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,0.0,0.6,3.0,2.0,11.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,0.667,5.0,3.0,18.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,0.0,0.6
6,7,2021-04-27,TOR,,WSN,"W,9-5",4-5,H(1),2,1.1,0.0,0.0,0.0,1.0,2.0,0.0,1,0.0,1.53,5.0,26.0,14.0,3,5,1,0,0,0,0,,3,0,0,0,0,3,0.0,0.0,0.0,1,0,0,1.81,0.193,1.68,0.11%,1.71,,,4t 123 1 out a1,5t 12- 2 out a3,,2021-04-27,141,120,634335,2021,1.333,6.0,3.0,22.0,0.0,0.0,0.0,0.0,7.0,1.0,4.0,0.0,0.5,6.0,3.0,22.0,0.0,0.0,0.0,0.0,7.0,1.0,4.0,0.0,0.5,6.0,3.0,22.0,0.0,0.0,0.0,0.0,7.0,1.0,4.0,0.0,0.5,2.667,0.0,9.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0,3.0,22.0,0.0,0.0,0.0,0.0,7.0,1.0,4.0,0.0,0.5
7,8,2021-05-22,TOR,,TBR,"L,1-3",8-8,L(0-1),24,0.2,2.0,1.0,1.0,1.0,1.0,0.0,0,1.13,1.8,5.0,,,2,4,3,0,0,0,0,,0,0,0,0,0,4,0.0,0.0,1.0,0,0,0,2.79,-0.228,3.36,-0.17%,-0.92,,,8t --- 0 out tie,8t 12- 2 out d1,,2021-05-22,141,139,634081,2021,0.667,7.333,3.0,27.0,0.0,0.0,0.0,1.0,9.0,1.0,4.0,0.0,0.545,7.333,3.0,27.0,0.0,0.0,0.0,1.0,9.0,1.0,4.0,0.0,0.545,5.333,2.0,20.0,0.0,0.0,0.0,1.0,8.0,1.0,3.0,0.0,0.562,2.667,0.0,10.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.375,7.333,3.0,27.0,0.0,0.0,0.0,1.0,9.0,1.0,4.0,0.0,0.545
8,9,2021-05-24,TOR,,TBR,"L,8-14",10-10,,1,1.0,2.0,2.0,1.0,1.0,2.0,0.0,0,2.0,1.84,6.0,26.0,14.0,4,3,0,3,2,1,0,,0,0,0,0,0,5,1.0,0.0,0.0,0,0,0,3.27,-0.289,3.4,-0.18%,-0.83,,,10t -2- 0 out tie,10t 3 out d2,,2021-05-24,141,139,633963,2021,1.0,8.0,5.0,32.0,0.0,1.0,1.0,2.0,10.0,1.0,6.0,1.125,0.875,8.0,5.0,32.0,0.0,1.0,1.0,2.0,10.0,1.0,6.0,1.125,0.875,4.667,2.0,19.0,0.0,1.0,1.0,2.0,8.0,0.0,2.0,1.929,0.857,3.0,2.0,14.0,0.0,1.0,1.0,2.0,6.0,0.0,2.0,3.0,1.333,8.0,5.0,32.0,0.0,1.0,1.0,2.0,10.0,1.0,6.0,1.125,0.875
9,10,2021-05-30,TOR,@,CLE,"L,5-6",7-GF(7),,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,1.93,1.88,1.0,6.0,5.0,1,0,0,1,1,0,0,,3,1,0,0,0,0,0.0,0.0,0.0,0,1,0,5.56,-0.165,5.65,-0.10%,0.15,,,7b 123 1 out tie,7b end d 1,2.0,2021-05-30,141,114,634042,2021,0.333,9.0,7.0,38.0,0.0,3.0,2.0,3.0,12.0,2.0,9.0,2.0,1.111,9.0,7.0,38.0,0.0,3.0,2.0,3.0,12.0,2.0,9.0,2.0,1.111,4.333,4.0,21.0,0.0,3.0,2.0,3.0,8.0,1.0,5.0,4.154,1.615,3.0,4.0,16.0,0.0,3.0,2.0,3.0,5.0,1.0,5.0,6.0,2.333,9.0,7.0,38.0,0.0,3.0,2.0,3.0,12.0,2.0,9.0,2.0,1.111
10,11,2021-06-02,TOR,,MIA,"W,6-5",9-GF,W(1-1),2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1.74,2.59,5.0,,,3,2,2,1,0,1,0,,0,0,0,0,0,3,0.0,0.0,1.0,0,0,0,0.48,0.02,0.45,0.01%,0.54,,,9t --- 0 out d2,9t end d 2,,2021-06-02,141,146,633844,2021,1.0,9.333,7.0,39.0,0.0,3.0,2.0,3.0,12.0,2.0,9.0,1.929,1.071,9.333,7.0,39.0,0.0,3.0,2.0,3.0,12.0,2.0,9.0,1.929,1.071,4.333,4.0,21.0,0.0,3.0,2.0,3.0,8.0,1.0,5.0,4.154,1.615,2.0,4.0,12.0,0.0,3.0,2.0,2.0,3.0,1.0,5.0,9.0,3.0,9.333,7.0,39.0,0.0,3.0,2.0,3.0,12.0,2.0,9.0,1.929,1.071
11,12,2021-06-06,TOR,,HOU,"L,3-6",5-6,,3,1.2,0.0,0.0,0.0,1.0,2.0,0.0,0,1.5,2.59,6.0,29.0,16.0,7,1,0,3,0,0,0,,1,0,1,0,0,5,0.0,0.0,0.0,0,0,0,0.63,0.058,0.66,0.04%,1.1,,,5t 1-- 1 out d3,6t 3 out d3,,2021-06-06,141,117,633780,2021,1.667,10.333,7.0,44.0,0.0,3.0,2.0,4.0,12.0,2.0,9.0,1.742,1.065,10.333,7.0,44.0,0.0,3.0,2.0,4.0,12.0,2.0,9.0,1.742,1.065,4.333,4.0,22.0,0.0,3.0,2.0,4.0,5.0,1.0,5.0,4.154,1.846,2.333,2.0,12.0,0.0,2.0,1.0,2.0,2.0,1.0,3.0,3.857,1.714,10.333,7.0,44.0,0.0,3.0,2.0,4.0,12.0,2.0,9.0,1.742,1.065
12,13,2021-06-09,TOR,@,CHW,"W,6-2",6-6,,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1.38,2.48,3.0,18.0,10.0,4,3,2,0,0,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.64,0.05,0.59,0.03%,0.53,,,6b --- 0 out d1,6b 3 out d1,,2021-06-09,141,145,633783,2021,1.0,12.0,7.0,50.0,0.0,3.0,2.0,5.0,14.0,2.0,9.0,1.5,1.0,10.0,6.0,43.0,0.0,3.0,2.0,5.0,13.0,2.0,8.0,1.8,1.1,4.667,4.0,23.0,0.0,3.0,2.0,4.0,5.0,1.0,5.0,3.857,1.714,3.0,0.0,12.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.667,12.0,7.0,50.0,0.0,3.0,2.0,5.0,14.0,2.0,9.0,1.5,1.0
13,14,2021-06-10,TOR,@,CHW,"L,2-5",7-7,,0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,1.93,3.31,4.0,18.0,11.0,3,0,2,1,0,0,0,,0,0,0,0,0,4,0.0,0.0,0.0,0,0,0,0.51,-0.073,0.5,-0.04%,-0.47,,,7b --- 0 out d1,7b 3 out d2,,2021-06-10,141,145,633733,2021,1.0,13.0,7.0,53.0,0.0,3.0,2.0,5.0,15.0,2.0,9.0,1.385,0.923,9.667,4.0,40.0,0.0,3.0,2.0,5.0,13.0,1.0,5.0,1.862,0.931,5.0,2.0,21.0,0.0,2.0,1.0,3.0,5.0,1.0,3.0,1.8,1.0,3.667,0.0,14.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.545,13.0,7.0,53.0,0.0,3.0,2.0,5.0,15.0,2.0,9.0,1.385,0.923
14,15,2021-06-12,TOR,@,BOS,"W,7-2",6-7,,1,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1,1.8,3.1,4.0,18.0,11.0,3,5,0,0,0,0,0,,2,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.46,0.039,0.44,0.02%,0.77,,,6b 12- 2 out a5,7b 1-- 2 out a5,,2021-06-12,141,111,633751,2021,1.0,14.0,8.0,57.0,1.0,4.0,3.0,5.0,16.0,3.0,13.0,1.929,0.929,9.333,5.0,40.0,1.0,4.0,3.0,5.0,12.0,2.0,9.0,2.893,1.071,5.0,1.0,19.0,1.0,1.0,1.0,2.0,4.0,1.0,4.0,1.8,0.6,3.667,1.0,13.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,2.455,0.545,14.0,8.0,57.0,1.0,4.0,3.0,5.0,16.0,3.0,13.0,1.929,0.929
15,16,2021-06-15,TOR,,NYY,"L,5-6",7-7,BS(1),2,0.1,2.0,2.0,2.0,1.0,1.0,1.0,0,2.93,4.02,4.0,22.0,11.0,2,2,0,2,1,0,0,,0,0,0,0,0,3,1.0,0.0,0.0,0,0,0,1.85,-0.31,1.64,-0.17%,-2.02,,,7t --- 0 out a2,7t 1-- 1 out tie,,2021-06-15,141,147,633653,2021,0.333,15.0,8.0,61.0,1.0,4.0,3.0,5.0,19.0,3.0,13.0,1.8,0.867,10.0,5.0,43.0,1.0,4.0,3.0,5.0,15.0,2.0,9.0,2.7,1.0,5.667,1.0,22.0,1.0,1.0,1.0,2.0,7.0,1.0,4.0,1.588,0.529,3.0,1.0,11.0,1.0,1.0,1.0,0.0,5.0,1.0,4.0,3.0,0.333,15.0,8.0,61.0,1.0,4.0,3.0,5.0,19.0,3.0,13.0,1.8,0.867
16,17,2021-06-17,TOR,,NYY,"L,4-8",6-7,L(1-2),1,0.1,5.0,4.0,4.0,0.0,1.0,1.0,0,5.17,4.7,6.0,22.0,13.0,2,3,2,3,3,0,0,,0,0,0,0,0,6,0.0,0.0,0.0,0,0,0,1.5,-0.447,1.09,-0.20%,-2.9,,,6t --- 2 out tie,7t 12- 0 out d1,,2021-06-17,141,147,633633,2021,0.333,15.333,10.0,65.0,2.0,6.0,5.0,6.0,20.0,5.0,19.0,2.935,1.043,9.333,7.0,43.0,2.0,6.0,5.0,6.0,13.0,4.0,15.0,4.821,1.393,5.0,3.0,21.0,2.0,3.0,3.0,2.0,8.0,3.0,10.0,5.4,1.0,2.333,3.0,12.0,2.0,3.0,3.0,1.0,5.0,3.0,10.0,11.571,1.714,15.333,10.0,65.0,2.0,6.0,5.0,6.0,20.0,5.0,19.0,2.935,1.043
