Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1,564,2021-04-05,NYY,,BAL,"W,7-0",9-GF,,99,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0,0.0,0.17,4.0,19.0,13.0,3,5,0,0,0,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.02,0.001,0.02,0.00%,0.52,,,9t --- 0 out a7,9t end a 7,,2021-04-05,147,110,634587,2021,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,565,2021-04-07,NYY,,BAL,"L,3-4",9-9,,1,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0,0.0,-1.33,3.0,16.0,11.0,1,5,0,0,0,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,1.84,0.142,2.03,0.09%,0.52,,,9t --- 0 out tie,9t 3 out tie,,2021-04-07,147,110,634539,2021,1.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0
3,566,2021-04-11,NYY,@,TBR,"W,8-4",9-9,W(1-0),3,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0,0.0,-1.83,4.0,13.0,10.0,1,6,0,1,1,0,0,,0,0,0,0,0,4,1.0,0.0,0.0,0,0,0,2.3,0.135,2.19,0.08%,0.49,,,9b --- 0 out tie,9b 3 out tie,,2021-04-11,147,139,632232,2021,1.0,2.0,0.0,7.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.5,2.0,0.0,7.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.5,2.0,0.0,7.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.5
4,567,2021-04-12,NYY,@,TOR,"W,3-1",9-GF,S(1),0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0,0.0,-1.58,4.0,12.0,9.0,4,1,0,2,1,0,0,,0,0,0,0,0,4,1.0,0.0,0.0,0,0,0,2.42,0.1,2.53,0.06%,0.54,,,9b --- 0 out a2,9b end a 2,,2021-04-12,147,141,632203,2021,1.0,3.0,1.0,11.0,0.0,0.0,0.0,1.0,9.0,1.0,2.0,0.0,0.667,3.0,1.0,11.0,0.0,0.0,0.0,1.0,9.0,1.0,2.0,0.0,0.667,3.0,1.0,11.0,0.0,0.0,0.0,1.0,9.0,1.0,2.0,0.0,0.667
5,568,2021-04-20,NYY,,ATL,"W,3-1",9-GF,S(2),7,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0,0.0,-0.83,4.0,,,2,3,0,1,0,1,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,1.06,0.077,0.7,0.03%,0.52,,,9t --- 0 out a2,9t end a 2,,2021-04-20,147,144,634422,2021,1.0,4.0,2.0,15.0,0.0,0.0,0.0,1.0,11.0,2.0,4.0,0.0,0.75,4.0,2.0,15.0,0.0,0.0,0.0,1.0,11.0,2.0,4.0,0.0,0.75,4.0,2.0,15.0,0.0,0.0,0.0,1.0,11.0,2.0,4.0,0.0,0.75
6,569,2021-04-22,NYY,@,CLE,"W,6-3",9-GF,S(3),1,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0,0.0,-0.66,4.0,14.0,10.0,3,3,0,0,0,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.81,0.044,0.55,0.02%,0.52,,,9b --- 0 out a3,9b end a 3,,2021-04-22,147,114,634436,2021,1.0,5.0,2.0,19.0,0.0,0.0,0.0,2.0,13.0,2.0,4.0,0.0,0.8,5.0,2.0,19.0,0.0,0.0,0.0,2.0,13.0,2.0,4.0,0.0,0.8,5.0,2.0,19.0,0.0,0.0,0.0,2.0,13.0,2.0,4.0,0.0,0.8
7,570,2021-04-23,NYY,@,CLE,"W,5-3",9-GF,S(4),0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,-0.4,3.0,17.0,10.0,3,2,1,1,0,1,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,1.24,0.096,0.93,0.04%,0.52,,,9b --- 0 out a2,9b end a 2,,2021-04-23,147,114,634437,2021,1.0,6.0,2.0,23.0,0.0,0.0,0.0,3.0,16.0,2.0,4.0,0.0,0.833,5.0,2.0,19.0,0.0,0.0,0.0,2.0,13.0,2.0,4.0,0.0,0.8,6.0,2.0,23.0,0.0,0.0,0.0,3.0,16.0,2.0,4.0,0.0,0.833
8,571,2021-04-29,NYY,@,BAL,"L,3-4",9-9,,5,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0,0.0,-0.71,3.0,,,1,4,0,0,0,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,1.85,0.143,1.77,0.08%,0.53,,,9b --- 0 out tie,9b 3 out tie,,2021-04-29,147,110,634300,2021,1.0,7.0,2.0,26.0,0.0,0.0,0.0,3.0,17.0,2.0,4.0,0.0,0.714,5.0,2.0,19.0,0.0,0.0,0.0,2.0,11.0,2.0,4.0,0.0,0.8,7.0,2.0,26.0,0.0,0.0,0.0,3.0,17.0,2.0,4.0,0.0,0.714
9,572,2021-05-01,NYY,,DET,"W,6-4",9-GF,S(5),1,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0.0,-0.72,3.0,7.0,7.0,2,3,1,0,0,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.99,0.077,0.83,0.04%,0.52,,,9t --- 0 out a2,9t end a 2,,2021-05-01,147,116,634295,2021,1.0,8.0,2.0,29.0,0.0,0.0,0.0,3.0,20.0,2.0,4.0,0.0,0.625,5.0,1.0,18.0,0.0,0.0,0.0,2.0,11.0,1.0,2.0,0.0,0.6,8.0,2.0,29.0,0.0,0.0,0.0,3.0,20.0,2.0,4.0,0.0,0.625
10,573,2021-05-02,NYY,,DET,"W,2-0",9-GF,S(6),0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0.0,-0.73,3.0,10.0,9.0,2,2,0,1,1,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.99,0.077,0.91,0.04%,0.52,,,9t --- 0 out a2,9t end a 2,,2021-05-02,147,116,634311,2021,1.0,9.0,2.0,32.0,0.0,0.0,0.0,3.0,22.0,2.0,4.0,0.0,0.556,5.0,0.0,17.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.4,9.0,2.0,32.0,0.0,0.0,0.0,3.0,22.0,2.0,4.0,0.0,0.556
