Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1.0,48.0,135.0,2022-09-07,TBR,,BOS,"W,1-0",4-6,W(1-0),99.0,3.0,4,0,0,1,4,0,0,0.0,1.45,14,,,8,5,6.0,3.0,2,0,0,,0.0,0.0,0,0,0,13,1,0,0,0,0,0,1.35,0.199,1.31,0.12%,1.36,15.75,27.0,4t --- 0 out tie,6t 3 out a1,,2022-09-07,139,111,662065
2.0,49.0,141.0,2022-09-13,TBR,@,TOR,"L,2-7",GS-5,,5.0,4.0,3,0,0,0,2,0,1,0.0,2.25,16,47.0,32.0,10,4,11.0,2.0,0,0,0,58.0,,,0,0,0,15,1,0,0,0,0,0,1.21,0.163,0.98,0.08%,1.5,10.6,18.0,1b start tie,5b 1-- 0 out a1,2.0,2022-09-13,139,141,661798
1.0,50.0,14.0,2023-04-14,TBR,@,TOR,"L,3-6",5-GF(8),,99.0,3.2,2,0,0,1,2,0,0,0.0,2.98,14,41.0,27.0,9,4,3.0,8.0,3,2,0,,2.0,0.0,0,0,0,13,1,0,0,0,0,0,0.16,0.042,0.2,0.03%,2.71,10.45,17.0,5b 1-3 1 out d5,8b end d 3,,2023-04-14,139,141,718587
2.0,51.0,18.0,2023-04-18,TBR,@,CIN,"W,10-0",6-8,,3.0,2.2,1,0,0,1,1,0,1,0.0,3.73,11,46.0,26.0,7,4,3.0,5.0,3,2,0,,0.0,0.0,0,0,0,9,0,0,0,0,0,0,0.05,0.005,0.06,0.00%,1.38,6.2,11.0,6b --- 1 out a9,8b 3 out a9,,2023-04-18,139,113,718526
3.0,52.0,22.0,2023-04-23,TBR,,CHW,"W,4-1",6-8,H(1),4.0,3.0,0,0,0,0,2,0,0,0.0,3.15,9,37.0,26.0,4,4,4.0,3.0,2,0,0,,0.0,0.0,0,0,0,9,0,0,0,0,0,0,0.6,0.137,0.66,0.09%,1.5,10.75,15.0,6t --- 0 out a3,8t 3 out a3,,2023-04-23,139,145,718457
4.0,53.0,28.0,2023-04-29,TBR,@,CHW,"W,12-3",2-6,W(1-0),5.0,4.2,3,1,1,0,3,0,0,0.64,2.76,16,66.0,41.0,9,3,6.0,7.0,4,1,0,,2.0,0.0,0,0,0,16,2,0,0,1,0,0,0.63,0.12,0.66,0.08%,2.05,16.7,26.0,2b 12- 1 out d2,6b 3 out d3,,2023-04-29,139,145,718373
5.0,54.0,33.0,2023-05-05,TBR,,NYY,"W,5-4",GS-6,,5.0,5.1,3,3,3,4,0,0,0,1.86,3.51,22,77.0,42.0,14,2,12.0,6.0,3,0,0,46.0,,,0,0,0,18,1,0,0,1,0,0,0.78,0.12,0.87,0.08%,1.09,1.8,7.0,1t start tie,6t 12- 1 out a3,,2023-05-05,139,147,718300
6.0,55.0,38.0,2023-05-10,TBR,@,BAL,"L,1-2",3-7,L(1-1),4.0,5.0,5,2,2,4,1,0,0,2.22,3.87,23,85.0,50.0,15,4,9.0,9.0,3,2,0,,0.0,0.0,1,0,0,19,2,0,0,1,0,0,1.17,-0.045,1.4,-0.03%,0.46,3.85,12.0,3b --- 0 out tie,7b 3 out d2,,2023-05-10,139,110,718227
7.0,56.0,43.0,2023-05-16,TBR,@,NYM,"W,8-5",3-7,W(2-1),5.0,4.2,3,3,3,1,2,2,0,2.79,4.63,18,82.0,57.0,9,8,6.0,9.0,2,1,0,,0.0,0.0,0,0,0,17,0,0,0,0,0,0,0.4,0.073,0.42,0.05%,-0.66,10.1,17.0,3b --- 0 out a3,7b 1-- 2 out a4,,2023-05-16,139,121,718150
8.0,57.0,65.0,2023-06-08,TBR,,MIN,"W,4-2",GS-6,W(3-1),22.0,5.2,5,1,1,0,4,1,0,2.6,4.55,22,65.0,45.0,7,6,4.0,14.0,6,0,0,59.0,,,0,0,0,22,1,0,0,0,0,0,0.97,0.16,0.82,0.08%,1.64,19.75,32.0,1t start tie,6t --3 2 out a2,,2023-06-08,139,142,717845
9.0,58.0,70.0,2023-06-13,TBR,@,OAK,"L,1-2",2-6,,4.0,3.2,2,0,0,1,2,0,1,2.35,4.48,15,57.0,35.0,9,4,7.0,3.0,0,1,0,,1.0,0.0,0,1,0,12,0,0,0,0,0,0,1.18,0.248,0.99,0.13%,1.85,9.85,17.0,2b 1-- 2 out tie,6b --- 1 out a1,,2023-06-13,139,133,717774
10.0,59.0,75.0,2023-06-18,TBR,@,SDP,"L,4-5",GS-5,L(3-2),4.0,4.2,6,5,3,2,3,0,1,2.72,4.42,22,90.0,52.0,11,5,8.0,8.0,6,0,0,37.0,,,2,0,0,18,3,0,0,0,1,0,1.06,-0.335,0.76,-0.14%,-2.95,5.1,14.0,1b start tie,5b 12- 2 out d3,,2023-06-18,139,135,717703
11.0,60.0,80.0,2023-06-24,TBR,,KCR,"L,4-9",GS-6,L(3-3),5.0,5.1,9,8,8,2,3,2,1,3.91,4.89,27,96.0,63.0,13,7,10.0,11.0,6,0,0,19.0,,,0,0,0,23,3,0,0,0,1,0,0.93,-0.525,0.72,-0.24%,-5.57,-5.2,1.0,1t start tie,6t 123 1 out d3,,2023-06-24,139,118,717632
12.0,61.0,84.0,2023-06-29,TBR,@,ARI,"W,6-1",3-9,W(4-3),4.0,6.0,7,1,1,3,4,1,0,3.64,4.97,26,84.0,53.0,17,4,8.0,11.0,4,1,0,,0.0,0.0,0,0,0,23,1,1,0,2,0,0,0.41,0.066,0.32,0.03%,1.14,17.5,33.0,3b --- 0 out a6,9b 12- 0 out a5,,2023-06-29,139,109,717568
13.0,62.0,89.0,2023-07-05,TBR,,PHI,"L,4-8",3-5,L(4-4),5.0,2.2,8,3,3,0,1,1,0,3.95,5.08,15,51.0,33.0,5,7,2.0,12.0,8,1,0,,0.0,0.0,0,0,0,15,3,0,0,1,0,0,1.1,-0.278,0.92,-0.14%,-2.0,-2.8,2.0,3t --- 0 out a1,5t 1-3 2 out d1,,2023-07-05,139,143,717491
14.0,63.0,92.0,2023-07-08,TBR,,ATL,"L,1-6",8-8,,2.0,1.0,0,0,0,1,2,0,0,3.88,5.03,4,20.0,12.0,6,1,1.0,0.0,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.11,0.008,0.11,0.01%,0.5,5.65,9.0,8t --- 0 out d4,8t 3 out d4,,2023-07-08,139,144,717441
15.0,64.0,96.0,2023-07-16,TBR,@,KCR,"L,4-8",4-8,,7.0,4.2,4,3,3,0,1,3,0,4.02,5.49,18,50.0,35.0,8,3,8.0,9.0,4,0,0,,0.0,0.0,0,0,0,18,0,0,0,0,0,0,0.05,-0.035,0.05,-0.02%,-0.65,4.1,8.0,4b --- 0 out d5,8b 1-- 2 out d4,,2023-07-16,139,118,717382
16.0,65.0,101.0,2023-07-28,ATL,,MIL,"W,10-7",GS-4,,11.0,3.2,6,4,4,1,3,0,0,4.34,5.32,18,61.0,39.0,9,10,8.0,6.0,4,2,0,35.0,,,0,0,0,17,2,0,0,0,0,0,1.42,-0.287,0.8,-0.10%,-2.45,2.05,8.0,1t start tie,4t -23 2 out d1,,2023-07-28,144,158,717231
