Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1,23,3,2021-04-04,CLE,@,DET,"W,9-3",GS-7,W(1-0),99,7.0,2,3,3,3,6,2,0,3.86,6.46,24,91.0,57.0,10,10,4,11,3,1,0,64,,,0,0,0,21,0,0,0,1,0,0,0.62,-0.006,0.6,0.00%,0.54,,,1b start a 1,7b 3 out a3,,2021-04-04,114,116,634611
2,24,7,2021-04-10,CLE,,DET,"W,11-3",GS-8,W(2-0),5,7.2,3,1,1,0,6,1,0,2.45,4.81,24,90.0,56.0,10,10,11,7,1,2,0,75,,,0,0,0,24,0,0,0,2,0,0,0.43,0.233,0.46,0.15%,3.06,,,1t start tie,8t --- 2 out a8,,2021-04-10,114,116,632218
3,25,12,2021-04-15,CLE,@,CHW,"W,4-2",GS-6,W(3-0),4,6.0,5,1,1,2,4,0,1,2.18,4.38,25,99.0,59.0,18,7,10,8,5,2,0,60,,,0,0,0,22,0,0,0,0,0,0,0.96,0.228,1.17,0.17%,2.19,,,1b start tie,6b 3 out a1,,2021-04-15,114,145,634501
4,26,17,2021-04-22,CLE,,NYY,"L,3-6",GS-6,,6,5.1,4,3,2,4,6,0,0,2.42,4.13,24,93.0,53.0,15,7,6,8,4,1,0,52,,,0,0,0,20,1,0,0,0,0,0,1.12,-0.019,1.13,-0.01%,-0.41,,,1t start tie,6t 1-- 1 out tie,,2021-04-22,114,147,634436
5,27,22,2021-04-27,CLE,,MIN,"W,7-4",GS-8,W(4-0),4,7.2,8,4,4,0,4,1,0,2.94,4.06,30,99.0,68.0,19,9,18,8,7,0,0,51,,,0,0,0,30,1,1,0,0,0,0,1.01,0.088,1.05,0.06%,0.06,,,1t start tie,8t --- 2 out a1,,2021-04-27,114,142,634339
6,28,27,2021-05-03,CLE,@,KCR,"W,8-6",GS-6,,5,5.2,7,3,3,3,2,1,1,3.2,4.47,27,100.0,61.0,12,6,11,10,5,1,0,42,,,0,0,0,22,0,1,0,1,1,0,1.25,-0.065,1.62,-0.05%,-0.24,,,1b start tie,6b 12- 2 out tie,,2021-05-03,114,118,634258
7,29,32,2021-05-08,CLE,,CIN,"W,9-2",GS-7,W(5-0),4,7.0,5,1,1,2,5,0,0,2.91,4.18,28,107.0,67.0,18,10,9,12,5,3,0,66,,,0,0,0,25,1,0,0,0,1,0,0.78,0.172,0.9,0.12%,2.65,,,1t start tie,7t 3 out a8,,2021-05-08,114,113,634187
8,30,36,2021-05-14,CLE,@,SEA,"L,3-7",GS-7,L(5-1),5,6.2,7,5,5,1,6,2,0,3.4,4.38,27,107.0,69.0,17,12,8,12,6,0,0,45,,,1,0,0,25,3,0,0,1,1,0,0.53,-0.13,0.64,-0.09%,-0.85,,,1b start tie,7b -2- 2 out d3,,2021-05-14,114,136,634110
9,31,41,2021-05-19,CLE,@,LAA,"W,3-2",GS-7,W(6-1),4,7.0,4,2,2,1,8,1,0,3.3,4.24,25,114.0,71.0,20,15,5,11,7,1,0,68,,,1,1,0,24,1,1,0,0,0,0,1.04,0.245,1.25,0.18%,1.76,,,1b start a 1,7b 3 out a1,,2021-05-19,114,108,634029
10,32,46,2021-05-25,CLE,@,DET,"W,4-1",GS-9,W(7-1),5,8.0,6,1,1,1,6,0,0,3.04,3.98,31,104.0,66.0,19,10,8,16,6,4,0,71,,,0,0,0,30,0,1,0,0,0,0,0.99,0.41,1.32,0.33%,3.05,,,1b start a 1,9b 12- 0 out a4,,2021-05-25,114,116,633970
11,33,50,2021-05-30,CLE,,TOR,"L,1-4",GS-7,L(7-2),4,6.0,10,4,4,1,1,2,0,3.28,4.28,27,87.0,61.0,10,8,12,13,6,0,0,36,,,0,0,0,25,4,0,0,2,0,0,0.94,-0.135,1.18,-0.10%,-1.37,,,1t start tie,7t -23 0 out d2,1.0,2021-05-30,114,141,633935
12,34,56,2021-06-05,CLE,@,BAL,"W,10-4",GS-6,W(8-2),5,6.0,7,4,4,0,4,3,0,3.49,4.58,25,100.0,69.0,14,7,10,11,6,0,0,46,,,0,0,0,25,1,0,0,0,0,0,0.77,0.034,0.89,0.02%,-0.84,,,1b start a 2,6b 3 out a5,,2021-06-05,114,110,633807
13,35,60,2021-06-11,CLE,,SEA,"W,7-0",GS-8,W(9-2),5,8.0,1,0,0,1,11,0,1,3.17,4.27,27,101.0,71.0,26,15,7,7,2,0,0,90,,,0,0,0,25,0,0,0,0,0,0,0.55,0.209,0.67,0.15%,4.17,,,1t start tie,8t 3 out a7,,2021-06-11,114,136,633743
14,36,65,2021-06-16,CLE,,BAL,"W,8-7",GS-5,W(10-2),4,5.0,9,5,5,2,2,1,0,3.48,4.37,24,96.0,60.0,20,6,6,14,5,2,0,29,,,0,1,0,22,2,0,0,1,0,0,0.97,-0.239,1.25,-0.19%,-2.39,,,1t start tie,5t 3 out a1,,2021-06-16,114,110,633659
15,37,70,2021-06-21,CLE,@,CHC,"W,4-0",GS-5,,4,4.2,3,0,0,2,5,0,0,3.32,4.28,16,64.0,41.0,7,10,4,5,2,1,0,61,,,0,1,0,14,2,0,0,1,0,0,1.25,0.246,1.7,0.20%,2.16,,,1b start tie,5b --3 2 out a3,,2021-06-21,114,112,633542
16,38,136,2021-09-07,CLE,,MIN,"L,0-3",GS-5,L(10-3),77,4.2,3,1,1,1,6,0,0,3.25,4.14,18,78.0,52.0,11,6,7,4,2,1,0,59,,,1,0,0,17,0,0,0,0,0,0,1.03,0.098,0.11,0.01%,1.28,,,1t start tie,5t -2- 2 out d1,,2021-09-07,114,142,632586
17,39,141,2021-09-12,CLE,,MIL,"L,1-11",GS-3,L(10-4),4,3.0,6,7,5,2,3,3,0,3.59,4.48,18,64.0,40.0,12,4,3,10,3,1,0,24,,,0,0,0,16,0,0,0,0,0,0,0.67,-0.362,0.01,0.00%,-5.44,,,1t start tie,3t 3 out d7,,2021-09-12,114,158,632510
18,40,146,2021-09-18,CLE,@,NYY,"W,11-3",GS-6,W(11-4),5,6.0,4,0,0,1,4,0,1,3.4,4.39,21,91.0,53.0,21,7,6,9,5,2,0,67,,,0,1,0,19,1,0,0,2,0,0,0.67,0.239,0.0,0.00%,3.13,,,1b start tie,6b 3 out a10,,2021-09-18,114,147,632441
19,41,151,2021-09-23,CLE,,CHW,"L,2-7",GS-2,L(11-5),4,1.2,7,7,7,2,3,4,0,3.9,4.83,14,45.0,30.0,7,5,2,7,1,0,0,14,,,0,0,0,12,0,0,0,0,0,0,0.61,-0.409,0.0,0.00%,-6.47,,,1t start tie,2t 1-3 2 out d7,1.0,2021-09-23,114,145,633866
20,42,157,2021-09-28,CLE,@,KCR,"L,4-6",GS-6,,4,5.1,4,4,4,1,3,2,0,4.03,4.95,21,90.0,56.0,11,10,9,8,1,2,0,46,,,1,0,0,19,1,0,0,0,1,0,1.04,-0.145,0.0,0.00%,-1.06,,,1b start a 3,6b --- 1 out d1,,2021-09-28,114,118,632315
21,43,162,2021-10-03,CLE,@,TEX,"W,6-0",GS-6,W(12-5),4,6.0,3,0,0,1,4,0,0,3.84,4.83,22,82.0,54.0,15,7,9,8,1,0,0,69,,,0,0,0,21,0,0,0,0,0,0,0.73,0.223,0.0,0.00%,3.13,,,1b start a 1,6b 3 out a6,,2021-10-03,114,140,632236
1,44,4,2022-04-11,CLE,@,KCR,"W,10-7",GS-4,,99,3.1,4,4,2,3,3,0,1,5.4,4.91,19,74.0,46.0,12,7,5,7,2,1,0,40,,,3,0,0,15,0,0,0,0,0,0,1.65,-0.232,1.61,-0.14%,-1.98,4.7,13.0,1b start a 2,4b --3 1 out a1,,2022-04-11,114,118,662754
2,45,9,2022-04-17,CLE,,SFG,"L,1-8",GS-4,L(0-1),5,4.0,4,4,3,1,5,1,0,6.14,4.75,17,74.0,50.0,14,8,4,7,2,1,0,44,,,0,0,0,16,1,0,0,0,0,0,0.75,-0.221,0.68,-0.12%,-2.15,10.0,18.0,1t start tie,4t 3 out d4,,2022-04-17,114,137,663132
3,46,15,2022-04-24,CLE,@,NYY,"L,2-10",GS-3,L(0-2),6,3.0,7,6,6,1,3,1,1,9.58,5.53,18,61.0,38.0,10,4,1,12,5,1,0,23,,,0,0,0,15,4,0,0,0,1,0,0.6,-0.317,0.61,-0.19%,-4.55,-4.65,0.0,1b start tie,3b 3 out d6,,2022-04-24,114,147,661317
4,47,20,2022-04-29,CLE,@,OAK,"W,9-8",GS-4,,4,4.0,7,6,6,1,3,1,1,10.67,5.76,21,82.0,52.0,13,6,4,12,4,3,0,26,,,0,0,0,17,1,0,0,0,2,0,1.0,-0.526,0.79,-0.25%,-4.22,-2.4,3.0,1b start a 1,4b 3 out d1,,2022-04-29,114,133,662405
5,48,25,2022-05-05,CLE,,TOR,"W,6-5",GS-6,W(1-2),5,5.2,6,4,4,0,8,1,1,9.45,5.01,24,99.0,60.0,13,15,3,12,6,0,0,49,,,0,0,0,23,2,0,0,0,0,0,0.97,-0.077,0.88,-0.04%,-1.53,20.55,35.0,1t start tie,6t -2- 2 out a2,,2022-05-05,114,141,663066
6,49,31,2022-05-13,CLE,@,MIN,"L,8-12",GS-5,L(1-3),7,4.2,7,6,6,2,5,2,0,9.85,5.54,22,94.0,55.0,15,8,4,11,7,0,0,29,,,0,0,0,20,2,0,0,1,0,0,0.96,-0.292,1.04,-0.19%,-2.06,3.1,11.0,1b start tie,5b 12- 2 out d2,,2022-05-13,114,142,661698
7,50,36,2022-05-20,CLE,,DET,"W,6-1",GS-7,W(2-3),6,6.1,3,1,0,1,3,0,0,7.84,4.95,23,94.0,67.0,16,7,12,7,2,1,0,67,,,1,0,0,22,1,0,0,0,0,1,0.9,0.304,0.71,0.14%,2.09,21.85,38.0,1t start tie,7t 1-3 1 out a4,,2022-05-20,114,116,663135
8,51,63,2022-06-21,CLE,@,MIN,"W,6-5",GS-5,,31,5.0,5,2,2,1,7,0,0,7.25,4.39,21,80.0,56.0,20,8,4,9,5,1,0,55,,,0,0,0,20,3,0,0,0,0,0,1.08,0.07,1.46,0.06%,0.37,17.65,30.0,1b start a 1,5b 3 out a1,,2022-06-21,114,142,661677
9,52,68,2022-06-26,CLE,,BOS,"L,3-8",GS-4,L(2-4),4,4.0,8,3,3,3,2,0,1,7.2,4.46,22,,,16,7,8,8,6,0,0,33,,,1,1,0,18,3,0,1,1,0,0,1.23,-0.149,1.37,-0.10%,-1.15,-0.2,9.0,1t start tie,4t 3 out d3,,2022-06-26,114,111,663121
10,53,75,2022-07-02,CLE,,NYY,"L,1-6",GS-7,L(2-5),5,6.0,5,4,4,2,6,2,0,7.04,4.72,22,99.0,61.0,20,10,9,5,3,1,0,50,,,0,0,1,20,0,0,0,2,0,0,0.86,-0.052,0.89,-0.03%,-0.2,13.3,24.0,1t start tie,7t 12- 0 out d1,2.0,2022-07-02,114,147,662954
11,54,81,2022-07-08,CLE,@,KCR,"L,3-4",GS-7,,5,7.0,6,1,1,0,6,0,0,6.28,4.28,26,91.0,61.0,10,8,10,10,4,1,0,67,,,1,0,0,26,0,0,0,0,0,0,1.26,0.311,1.06,0.16%,2.41,22.15,40.0,1b start tie,7b 3 out a2,,2022-07-08,114,118,662614
12,55,87,2022-07-13,CLE,,CHW,"L,1-2",GS-1,,4,1.0,2,0,0,0,1,0,0,6.17,4.22,5,20.0,14.0,6,0,0,4,1,0,0,50,,,0,0,0,5,0,0,0,0,0,0,1.02,0.046,0.97,0.03%,0.46,3.05,6.0,1t start tie,1t 3 out tie,,2022-07-13,114,145,662949
13,56,110,2022-08-10,CLE,@,DET,"W,3-2",GS-4,,27,4.0,3,2,2,0,4,0,1,6.05,4.06,16,62.0,39.0,11,6,4,7,3,1,0,52,,,0,0,0,15,2,0,0,0,0,0,1.19,-0.013,1.21,-0.01%,-0.13,10.6,18.0,1b start a 1,4b 3 out a1,,2022-08-10,114,116,662791
14,57,115,2022-08-15,CLE,,DET,"W,4-1",GS-6,,4,6.0,3,1,1,1,10,0,0,5.63,3.71,22,82.0,56.0,19,17,4,7,3,0,0,71,,,1,0,0,21,1,0,0,0,0,0,0.95,0.198,0.9,0.11%,1.78,29.1,49.0,1t start tie,6t 3 out tie,1.0,2022-08-15,114,116,662977
