Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1.0,106.0,2022-05-04,SDP,@,CLE,"W,5-4",GS-5,,99.0,4.2,4.0,3.0,3.0,3.0,4.0,0.0,0,5.79,3.33,21.0,95.0,54.0,16,7,6.0,8.0,1,2,0,45.0,,,2,0,0,18,1.0,0.0,0.0,0,0,0,1.23,0.127,1.35,0.08%,0.9,8.3,17.0,1b start a 1,5b 12- 2 out a2,1.0,2022-05-04,135,114,663067,2022,4.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2.0,107.0,2022-05-10,SDP,,CHC,"W,5-4",GS-5,,5.0,4.1,6.0,3.0,2.0,2.0,6.0,1.0,0,5.0,4.0,21.0,91.0,61.0,20,13,7.0,6.0,3,0,0,45.0,,,1,0,0,19,0.0,0.0,0.0,0,0,0,1.25,-0.076,1.4,-0.05%,-0.56,12.95,25.0,1t start tie,5t 12- 1 out a1,,2022-05-10,135,112,662258,2022,4.333,4.667,4.0,21.0,0.0,3.0,3.0,3.0,4.0,1.0,5.0,5.786,1.5,4.667,4.0,21.0,0.0,3.0,3.0,3.0,4.0,1.0,5.0,5.786,1.5,4.667,4.0,21.0,0.0,3.0,3.0,3.0,4.0,1.0,5.0,5.786,1.5
3.0,108.0,2022-05-17,SDP,@,PHI,"W,3-0",GS-5,W(1-0),6.0,5.0,1.0,0.0,0.0,0.0,5.0,0.0,0,3.21,2.97,17.0,75.0,49.0,17,3,5.0,7.0,4,1,0,70.0,,,1,0,0,17,0.0,0.0,0.0,0,0,1,0.95,0.286,1.15,0.21%,2.44,24.65,36.0,1b start tie,5b 3 out a1,,2022-05-17,135,143,661625,2022,5.0,9.0,10.0,42.0,1.0,6.0,5.0,5.0,10.0,2.0,14.0,5.0,1.667,9.0,10.0,42.0,1.0,6.0,5.0,5.0,10.0,2.0,14.0,5.0,1.667,9.0,10.0,42.0,1.0,6.0,5.0,5.0,10.0,2.0,14.0,5.0,1.667
4.0,109.0,2022-06-05,SDP,@,MIL,"W,6-4",GS-3,,18.0,3.0,1.0,1.0,1.0,2.0,5.0,1.0,0,3.18,3.52,12.0,60.0,36.0,7,13,2.0,3.0,1,0,0,56.0,,,0,0,0,10,0.0,0.0,0.0,0,0,0,0.79,0.029,0.94,0.02%,0.48,12.95,21.0,1b start tie,3b 3 out d1,,2022-06-05,135,158,661241,2022,3.0,14.0,11.0,59.0,1.0,6.0,5.0,5.0,15.0,2.0,15.0,3.214,1.143,14.0,11.0,59.0,1.0,6.0,5.0,5.0,15.0,2.0,15.0,3.214,1.143,14.0,11.0,59.0,1.0,6.0,5.0,5.0,15.0,2.0,15.0,3.214,1.143
5.0,110.0,2022-06-17,SDP,@,COL,"L,4-10",5-6,,11.0,2.0,5.0,2.0,2.0,0.0,2.0,0.0,0,3.79,3.27,10.0,39.0,26.0,8,4,4.0,4.0,3,0,0,,1.0,0.0,0,0,0,10,1.0,0.0,0.0,1,0,0,0.26,-0.01,0.29,-0.01%,-0.5,1.5,6.0,5b 1-- 0 out d4,6b 3 out d6,,2022-06-17,135,115,662985,2022,2.0,17.0,12.0,71.0,2.0,7.0,6.0,7.0,20.0,3.0,19.0,3.176,1.118,17.0,12.0,71.0,2.0,7.0,6.0,7.0,20.0,3.0,19.0,3.176,1.118,17.0,12.0,71.0,2.0,7.0,6.0,7.0,20.0,3.0,19.0,3.176,1.118
6.0,111.0,2022-06-22,SDP,,ARI,"W,10-4",GS-4,,4.0,4.0,4.0,1.0,1.0,2.0,3.0,1.0,0,3.52,3.81,19.0,81.0,50.0,13,3,5.0,9.0,2,1,0,51.0,,,0,0,0,17,0.0,0.0,0.0,0,0,1,0.97,0.094,1.15,0.07%,0.85,9.4,18.0,1t start tie,4t 3 out a5,,2022-06-22,135,109,662245,2022,4.0,19.0,17.0,81.0,2.0,9.0,8.0,7.0,22.0,4.0,25.0,3.789,1.263,19.0,17.0,81.0,2.0,9.0,8.0,7.0,22.0,4.0,25.0,3.789,1.263,19.0,17.0,81.0,2.0,9.0,8.0,7.0,22.0,4.0,25.0,3.789,1.263
7.0,112.0,2022-06-29,SDP,@,ARI,"W,4-0",GS-6,W(2-0),6.0,6.0,2.0,0.0,0.0,1.0,6.0,0.0,0,2.79,3.35,21.0,86.0,59.0,14,13,8.0,6.0,2,1,0,73.0,,,0,0,0,19,0.0,0.0,0.0,0,0,0,0.98,0.358,1.22,0.27%,2.93,27.7,46.0,1b start tie,6b 3 out a2,,2022-06-29,135,109,663325,2022,6.0,23.0,21.0,100.0,3.0,10.0,9.0,9.0,25.0,5.0,32.0,3.522,1.304,18.333,17.0,79.0,3.0,7.0,6.0,6.0,21.0,4.0,27.0,2.945,1.255,23.0,21.0,100.0,3.0,10.0,9.0,9.0,25.0,5.0,32.0,3.522,1.304
8.0,113.0,2022-07-05,SDP,,SEA,"L,2-6",GS-6,L(2-1),5.0,6.0,6.0,4.0,4.0,2.0,5.0,1.0,1,3.34,3.65,26.0,98.0,62.0,12,12,6.0,12.0,3,0,0,47.0,,,2,1,0,23,1.0,0.0,0.0,0,0,0,0.7,-0.236,0.82,-0.17%,-1.22,10.1,21.0,1t start tie,6t 3 out d3,,2022-07-05,135,136,662226,2022,6.0,29.0,23.0,121.0,3.0,10.0,9.0,10.0,31.0,5.0,34.0,2.793,1.138,20.0,13.0,79.0,2.0,4.0,4.0,5.0,21.0,3.0,20.0,1.8,0.9,29.0,23.0,121.0,3.0,10.0,9.0,10.0,31.0,5.0,34.0,2.793,1.138
9.0,114.0,2022-07-12,SDP,@,COL,"L,3-5",GS-6,L(2-2),6.0,5.1,5.0,4.0,4.0,1.0,4.0,1.0,1,3.79,3.86,23.0,83.0,53.0,9,13,7.0,10.0,3,0,0,45.0,,,0,0,0,21,1.0,1.0,0.0,0,0,0,1.05,-0.186,1.08,-0.12%,-1.67,7.8,16.0,1b start tie,6b --3 1 out d3,,2022-07-12,135,115,662984,2022,5.333,35.0,29.0,147.0,4.0,14.0,13.0,12.0,36.0,7.0,44.0,3.343,1.171,21.0,18.0,88.0,3.0,8.0,8.0,7.0,21.0,5.0,29.0,3.429,1.19,35.0,29.0,147.0,4.0,14.0,13.0,12.0,36.0,7.0,44.0,3.343,1.171
10.0,115.0,2022-07-17,SDP,,ARI,"L,1-3",GS-6,L(2-3),4.0,6.0,4.0,1.0,1.0,2.0,8.0,1.0,0,3.5,3.82,24.0,94.0,62.0,16,16,4.0,10.0,3,2,0,66.0,,,1,0,0,22,0.0,0.0,0.0,0,0,0,1.31,0.152,1.24,0.09%,1.78,23.9,43.0,1t start tie,6t 3 out d1,,2022-07-17,135,109,662269,2022,6.0,40.333,34.0,170.0,5.0,18.0,17.0,13.0,40.0,10.0,55.0,3.793,1.165,23.333,22.0,99.0,3.0,11.0,11.0,6.0,20.0,7.0,36.0,4.243,1.2,40.333,34.0,170.0,5.0,18.0,17.0,13.0,40.0,10.0,55.0,3.793,1.165
