Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1.0,157.0,3.0,2021-04-03,LAA,,CHW,"W,5-3",GS-6,,99.0,6.0,8,3,3,1,7,1,1,4.5,4.0,27,97.0,69.0,13,19,12.0,6.0,4,1,0,50,,,0,0,0,25,1,0,0,1,0,0,1.24,-0.041,1.18,-0.02%,0.22,,,1t start tie,6t 3 out d1,,2021-04-03,108,145,634646
2.0,158.0,10.0,2021-04-12,LAA,@,KCR,"W,10-3",GS-6,W(1-0),8.0,5.2,4,3,3,1,10,0,0,4.63,2.14,22,,,13,18,5.0,6.0,4,0,0,58,,,0,0,0,21,1,0,0,0,0,0,0.87,0.171,0.95,0.11%,1.6,,,1b start tie,6b -23 2 out a3,,2021-04-12,108,118,632197
3.0,159.0,17.0,2021-04-22,LAA,@,HOU,"L,2-8",GS-3,L(1-1),9.0,2.2,6,5,4,3,4,0,1,6.28,2.61,19,79.0,47.0,11,8,5.0,6.0,5,0,0,29,,,0,0,0,15,2,1,0,0,0,0,1.01,-0.236,1.1,-0.16%,-2.66,,,1b start tie,3b 1-- 2 out d4,,2021-04-22,108,117,634438
4.0,160.0,23.0,2021-04-28,LAA,@,TEX,"W,4-3",GS-2,,5.0,2.0,6,3,3,0,2,0,0,7.16,2.44,12,51.0,34.0,10,3,3.0,7.0,4,1,0,34,,,0,0,0,12,2,0,0,0,0,0,1.01,-0.16,1.02,-0.10%,-1.96,,,1b start a 4,2b 3 out a1,,2021-04-28,108,140,634350
5.0,161.0,28.0,2021-05-04,LAA,,TBR,"L,3-8",GS-5,L(1-2),5.0,5.0,2,2,0,5,8,0,0,5.48,2.56,22,99.0,53.0,19,12,8.0,1.0,1,0,0,62,,,3,0,0,17,0,0,0,1,0,1,0.99,0.032,0.96,0.02%,0.69,,,1t start tie,5t 3 out d2,,2021-05-04,108,139,634267
6.0,162.0,43.0,2021-05-20,LAA,,MIN,"W,7-1",GS-5,W(2-2),15.0,5.0,4,1,1,0,4,0,0,4.78,2.37,18,57.0,44.0,13,6,7.0,7.0,5,0,0,59,,,0,0,0,17,1,0,0,1,1,0,0.98,0.149,0.57,0.05%,1.69,,,1t start tie,5t 3 out a3,1.0,2021-05-20,108,142,634465
7.0,163.0,52.0,2021-05-29,LAA,@,OAK,"W,4-0",GS-7,W(3-2),8.0,7.0,3,0,0,2,8,0,0,3.78,2.24,23,101.0,58.0,16,10,9.0,4.0,3,1,0,77,,,0,0,0,21,0,0,0,2,0,0,0.83,0.321,0.54,0.13%,3.47,,,1b start tie,7b 3 out a4,,2021-05-29,108,133,633929
8.0,164.0,58.0,2021-06-05,LAA,,SEA,"W,12-5",GS-7,W(4-2),6.0,7.0,3,5,5,1,6,1,1,4.24,2.57,26,98.0,60.0,23,11,13.0,5.0,1,0,0,56,,,0,0,0,24,0,0,0,0,0,0,1.07,-0.122,0.68,-0.05%,-1.24,,,1t start tie,7t 3 out a1,,2021-06-05,108,136,633845
9.0,165.0,64.0,2021-06-12,LAA,@,ARI,"W,8-7",GS-3,,6.0,3.0,7,5,5,1,3,0,0,4.98,2.55,17,,,14,2,9.0,4.0,3,0,0,27,,,0,0,0,15,1,0,0,0,0,0,1.03,-0.269,0.77,-0.12%,-3.48,,,1b start tie,3b 3 out d5,,2021-06-12,108,109,633712
10.0,166.0,70.0,2021-06-18,LAA,,DET,"W,11-3",GS-6,W(5-2),5.0,5.2,3,1,0,2,8,0,0,4.41,2.41,22,111.0,72.0,19,18,8.0,4.0,2,0,0,67,,,0,0,0,20,1,0,0,1,0,1,0.7,0.275,0.42,0.10%,1.88,,,1t start tie,6t -2- 2 out a6,,2021-06-18,108,116,633654
