Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1,6,3,2021-04-03,CHW,@,LAA,"L,3-5",5-7,,99,2.1,0,0,0,0,3,0,0,0.0,0.6,7,26.0,16.0,5,3,2,2,0,0,0,,2.0,0.0,0,0,0,7,0,0,0,0,0,0,1.57,0.259,1.54,0.15%,1.53,,,5b 12- 2 out tie,7b 3 out a1,,2021-04-03,145,108,634646
2,7,6,2021-04-06,CHW,@,SEA,"W,10-4",6-7,H(1),2,1.0,1,0,0,1,2,0,0,0.0,1.07,5,21.0,12.0,2,3,0,2,2,0,0,,0.0,0.0,0,0,0,4,0,0,0,0,0,0,1.93,0.066,1.74,0.04%,0.5,,,6b --- 1 out a2,7b --- 1 out a3,,2021-04-06,145,136,634609
3,8,9,2021-04-11,CHW,,KCR,"L,3-4",10-GF(10),L(0-1),4,1.0,0,1,0,1,1,0,0,0.0,1.79,5,,,1,2,2,1,0,1,0,,0.0,0.0,2,0,0,3,0,0,1,0,0,0,4.41,-0.046,4.82,-0.03%,0.16,,,10t -2- 0 out tie,10t end d 1,,2021-04-11,145,118,632170
4,9,11,2021-04-13,CHW,,CLE,"L,0-2",10-10,L(0-2),1,0.1,2,2,0,0,0,0,0,0.0,1.88,4,12.0,8.0,2,2,2,2,1,0,0,,0.0,0.0,0,0,0,4,1,0,0,0,0,1,4.31,-0.381,4.83,-0.26%,-2.28,,,10t -2- 0 out tie,10t -23 1 out d2,,2021-04-13,145,114,632199
5,10,13,2021-04-15,CHW,,CLE,"L,2-4",7-7,,1,0.2,2,1,1,0,0,0,0,1.69,2.05,4,8.0,7.0,1,1,4,0,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,1.5,-0.115,1.63,-0.08%,-0.85,,,7t --- 0 out d1,7t --3 2 out d2,,2021-04-15,145,114,634501
6,11,16,2021-04-18,CHW,@,BOS,"W,5-1",5-5,H(2),2,0.1,1,0,0,0,1,0,0,1.59,1.76,2,11.0,6.0,1,3,1,0,0,0,0,,0.0,0.0,0,0,0,2,0,0,0,0,0,0,0.66,0.011,0.62,0.01%,0.12,,,5b --- 2 out a3,5b 3 out a3,2.0,2021-04-18,145,111,634518
7,12,18,2021-04-20,CHW,@,CLE,"W,8-5",8-8,,1,0.1,0,0,0,2,0,0,0,1.5,2.84,4,20.0,10.0,3,0,1,0,0,0,0,,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0.58,-0.054,0.65,-0.04%,-1.08,,,8b --- 0 out a5,8b 123 1 out a5,,2021-04-20,145,114,634397
8,13,21,2021-04-25,CHW,,TEX,"W,8-4",6-8,,4,3.0,3,0,0,1,1,0,1,1.0,3.39,12,46.0,25.0,6,6,5,4,3,1,0,,3.0,2.0,0,0,0,10,0,0,0,2,0,0,0.75,0.108,0.9,0.08%,1.44,,,6t 123 0 out a6,8t 3 out a4,,2021-04-25,145,140,634393
9,14,33,2021-05-11,CHW,,MIN,"W,9-3",6-6,W(1-2),15,0.2,0,0,0,0,1,0,0,0.93,3.17,2,8.0,5.0,2,0,0,1,0,0,0,,2.0,0.0,0,0,0,2,0,0,0,0,0,0,2.71,0.175,3.76,0.15%,1.22,,,6t 1-3 1 out tie,6t 3 out tie,,2021-05-11,145,142,634147
10,15,35,2021-05-13,CHW,,MIN,"W,4-2",7-7,H(3),1,1.0,0,0,0,2,2,0,0,0.84,3.36,5,,,3,1,0,1,0,1,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,1.93,0.074,2.65,0.06%,0.53,,,7t --- 0 out a2,7t 3 out a2,,2021-05-13,145,142,634125
11,16,40,2021-05-17,CHW,@,MIN,"W,16-4",9-GF,,3,1.0,2,0,0,0,2,0,0,0.77,3.0,5,23.0,15.0,3,6,0,3,2,0,0,,0.0,0.0,0,0,0,5,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,0.51,,,9b --- 0 out a12,9b end a12,,2021-05-17,145,142,634077
12,17,44,2021-05-22,CHW,@,NYY,"L,0-7",8-GF(8),,4,1.0,1,0,0,0,2,0,0,0.71,2.7,4,20.0,13.0,3,5,0,2,1,0,0,,0.0,0.0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,0.52,,,8b --- 0 out d7,8b end d 7,,2021-05-22,145,147,634035
13,18,47,2021-05-25,CHW,,STL,"W,8-3",9-9,,2,0.0,1,0,0,2,0,0,0,0.71,3.17,3,11.0,3.0,2,0,0,1,1,0,0,,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0.44,-0.067,0.58,-0.05%,-1.85,,,9t --- 0 out a5,9t 123 0 out a5,,2021-05-25,145,138,633951
14,19,52,2021-05-30,CHW,,BAL,"W,3-1",8-8,H(4),4,1.0,0,0,0,0,0,0,0,0.66,3.17,3,9.0,6.0,2,1,0,3,1,2,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,1.01,0.078,1.33,0.06%,0.53,,,8t --- 0 out a2,8t 3 out a2,,2021-05-30,145,110,633872
