Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_10,H_10,BF_10,HR_10,R_10,ER_10,BB_10,SO_10,XB_against_10,TB_against_10,ERA_10,WHIP_10,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_3,H_3,BF_3,HR_3,R_3,ER_3,BB_3,SO_3,XB_against_3,TB_against_3,ERA_3,WHIP_3,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1.0,1.0,2021-04-01,TEX,@,KCR,"L,10-14",7-7,,99.0,1.0,1.0,3.0,3.0,2.0,0.0,0.0,2,27.0,15.17,8.0,26.0,15.0,3,1,4.0,0.0,0,0,0,,0,0,0,0,0,4,0.0,0.0,0.0,0,0,0,0.77,-0.176,0.76,-0.10%,-2.46,,,7b --- 0 out d1,7b 3 out d4,,2021-04-01,140,118,634630,2021,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2.0,2.0,2021-04-03,TEX,@,KCR,"L,4-11",7-7,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,13.5,10.67,4.0,18.0,9.0,3,0,3.0,0.0,0,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.04,0.002,0.04,0.00%,0.54,,,7b --- 0 out d6,7b 3 out d6,,2021-04-03,140,118,634604,2021,1.0,1.0,1.0,8.0,0.0,3.0,3.0,2.0,0.0,0.0,1.0,27.0,3.0,1.0,1.0,8.0,0.0,3.0,3.0,2.0,0.0,0.0,1.0,27.0,3.0,1.0,1.0,8.0,0.0,3.0,3.0,2.0,0.0,0.0,1.0,27.0,3.0,1.0,1.0,8.0,0.0,3.0,3.0,2.0,0.0,0.0,1.0,27.0,3.0,1.0,1.0,8.0,0.0,3.0,3.0,2.0,0.0,0.0,1.0,27.0,3.0
3.0,3.0,2021-04-05,TEX,,TOR,"L,2-6",7-GF,,1.0,2.2,1.0,0.0,0.0,0.0,1.0,0.0,1,5.79,6.6,8.0,25.0,15.0,4,2,6.0,0.0,0,0,0,,2,0,0,0,0,7,0.0,0.0,0.0,2,0,0,0.08,0.017,0.07,0.01%,1.98,,,7t 12- 1 out d5,9t end d 5,,2021-04-05,140,141,634612,2021,2.667,2.0,1.0,12.0,0.0,3.0,3.0,3.0,0.0,0.0,1.0,13.5,2.0,2.0,1.0,12.0,0.0,3.0,3.0,3.0,0.0,0.0,1.0,13.5,2.0,2.0,1.0,12.0,0.0,3.0,3.0,3.0,0.0,0.0,1.0,13.5,2.0,2.0,1.0,12.0,0.0,3.0,3.0,3.0,0.0,0.0,1.0,13.5,2.0,2.0,1.0,12.0,0.0,3.0,3.0,3.0,0.0,0.0,1.0,13.5,2.0
4.0,4.0,2021-04-10,TEX,,SDP,"L,4-7",9-GF,,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,4.76,5.64,3.0,7.0,5.0,2,0,0.0,2.0,0,1,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.11,0.009,0.1,0.01%,0.52,,,9t --- 0 out d3,9t end d 3,,2021-04-10,140,135,632193,2021,1.0,4.667,2.0,20.0,0.0,3.0,3.0,3.0,1.0,0.0,2.0,5.786,1.071,4.667,2.0,20.0,0.0,3.0,3.0,3.0,1.0,0.0,2.0,5.786,1.071,4.667,2.0,20.0,0.0,3.0,3.0,3.0,1.0,0.0,2.0,5.786,1.071,4.667,2.0,20.0,0.0,3.0,3.0,3.0,1.0,0.0,2.0,5.786,1.071,4.667,2.0,20.0,0.0,3.0,3.0,3.0,1.0,0.0,2.0,5.786,1.071
5.0,5.0,2021-04-15,TEX,@,TBR,"W,6-4",7-8,,4.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0,4.05,5.12,4.0,20.0,10.0,3,2,0.0,1.0,0,0,0,,2,0,0,0,0,3,0.0,0.0,0.0,0,0,0,2.76,0.168,2.42,0.09%,0.88,,,7b 1-3 2 out tie,8b --- 2 out tie,,2021-04-15,140,139,634522,2021,1.0,5.667,2.0,23.0,0.0,3.0,3.0,3.0,2.0,0.0,2.0,4.765,0.882,5.667,2.0,23.0,0.0,3.0,3.0,3.0,2.0,0.0,2.0,4.765,0.882,5.667,2.0,23.0,0.0,3.0,3.0,3.0,2.0,0.0,2.0,4.765,0.882,4.667,1.0,15.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.429,5.667,2.0,23.0,0.0,3.0,3.0,3.0,2.0,0.0,2.0,4.765,0.882
6.0,6.0,2021-04-17,TEX,,BAL,"L,1-6",8-GF,,1.0,1.1,3.0,3.0,3.0,0.0,3.0,1.0,0,6.75,5.67,7.0,27.0,19.0,4,2,1.0,3.0,2,0,0,,1,0,0,0,0,7,1.0,0.0,0.0,0,0,0,0.39,-0.044,0.33,-0.02%,-2.11,,,8t --3 2 out d2,9t end d 5,,2021-04-17,140,110,634543,2021,1.333,6.667,2.0,27.0,0.0,3.0,3.0,4.0,4.0,0.0,2.0,4.05,0.9,6.667,2.0,27.0,0.0,3.0,3.0,4.0,4.0,0.0,2.0,4.05,0.9,6.667,2.0,27.0,0.0,3.0,3.0,4.0,4.0,0.0,2.0,4.05,0.9,4.667,1.0,15.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.429,6.667,2.0,27.0,0.0,3.0,3.0,4.0,4.0,0.0,2.0,4.05,0.9
7.0,7.0,2021-04-20,TEX,@,LAA,"L,2-6",8-GF(8),,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.0,5.39,2.0,4.0,3.0,1,0,1.0,1.0,0,1,0,,3,0,0,0,0,2,0.0,0.0,0.0,0,0,0,0.23,0.011,0.23,0.01%,2.38,,,8b 123 0 out d4,8b end d 4,,2021-04-20,140,108,634398,2021,1.0,8.0,5.0,34.0,1.0,6.0,6.0,4.0,7.0,2.0,9.0,6.75,1.125,8.0,5.0,34.0,1.0,6.0,6.0,4.0,7.0,2.0,9.0,6.75,1.125,7.0,4.0,26.0,1.0,3.0,3.0,2.0,7.0,2.0,8.0,3.857,0.857,3.333,3.0,14.0,1.0,3.0,3.0,1.0,6.0,2.0,7.0,8.1,1.2,8.0,5.0,34.0,1.0,6.0,6.0,4.0,7.0,2.0,9.0,6.75,1.125
8.0,8.0,2021-04-25,TEX,@,CHW,"L,4-8",3-3,,4.0,1.0,3.0,3.0,3.0,2.0,2.0,0.0,0,8.1,5.37,8.0,37.0,21.0,7,2,2.0,2.0,1,0,0,,0,0,0,0,0,5,0.0,1.0,0.0,0,0,0,0.28,-0.077,0.22,-0.04%,-2.47,,,3b --- 0 out d4,3b 3 out d7,,2021-04-25,140,145,634393,2021,1.0,9.0,5.0,36.0,1.0,6.0,6.0,4.0,7.0,2.0,9.0,6.0,1.0,9.0,5.0,36.0,1.0,6.0,6.0,4.0,7.0,2.0,9.0,6.0,1.0,7.0,4.0,24.0,1.0,3.0,3.0,1.0,7.0,2.0,8.0,3.857,0.714,3.333,3.0,13.0,1.0,3.0,3.0,1.0,5.0,2.0,7.0,8.1,1.2,9.0,5.0,36.0,1.0,6.0,6.0,4.0,7.0,2.0,9.0,6.0,1.0
9.0,9.0,2021-04-30,TEX,,BOS,"L,1-6",8-GF,,4.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0,6.75,4.84,7.0,21.0,14.0,4,2,2.0,4.0,1,0,0,,0,0,0,0,0,7,0.0,0.0,0.0,0,0,0,0.03,0.006,0.02,0.00%,1.04,,,8t --- 0 out d5,9t end d 5,,2021-04-30,140,111,634337,2021,2.0,10.0,8.0,44.0,1.0,9.0,9.0,6.0,9.0,3.0,14.0,8.1,1.4,10.0,8.0,44.0,1.0,9.0,9.0,6.0,9.0,3.0,14.0,8.1,1.4,5.333,6.0,24.0,1.0,6.0,6.0,3.0,8.0,3.0,12.0,10.125,1.687,3.333,6.0,17.0,1.0,6.0,6.0,2.0,5.0,3.0,12.0,16.2,2.4,10.0,8.0,44.0,1.0,9.0,9.0,6.0,9.0,3.0,14.0,8.1,1.4
10.0,10.0,2021-05-06,TEX,@,MIN,"W,4-3",6-7,,5.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,0,5.79,4.38,8.0,35.0,20.0,6,4,4.0,0.0,0,0,0,,0,0,0,0,0,7,0.0,0.0,0.0,0,0,0,1.22,0.137,1.05,0.07%,1.02,,,6b --- 0 out d1,7b 3 out tie,,2021-05-06,140,142,634261,2021,2.0,12.0,9.0,51.0,1.0,9.0,9.0,6.0,10.0,3.0,15.0,6.75,1.25,12.0,9.0,51.0,1.0,9.0,9.0,6.0,10.0,3.0,15.0,6.75,1.25,6.333,7.0,28.0,1.0,6.0,6.0,3.0,8.0,3.0,13.0,8.526,1.579,4.0,4.0,17.0,0.0,3.0,3.0,2.0,3.0,1.0,6.0,6.75,1.5,12.0,9.0,51.0,1.0,9.0,9.0,6.0,10.0,3.0,15.0,6.75,1.25
