Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_10,H_10,BF_10,HR_10,R_10,ER_10,BB_10,SO_10,XB_against_10,TB_against_10,ERA_10,WHIP_10,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_3,H_3,BF_3,HR_3,R_3,ER_3,BB_3,SO_3,XB_against_3,TB_against_3,ERA_3,WHIP_3,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1,1,2022-05-25,PIT,,COL,"W,10-5",9-GF,,99,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0,0.0,2.11,5.0,23.0,14.0,7,3,1,1,1,0,0,,0,0,0,0,0,4,0.0,0.0,0.0,0,0,0,0.09,0.006,0.04,0.00%,0.49,5.05,9.0,9t --- 0 out a5,9t end a 5,,2022-05-25,134,115,662453,2022,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,2,2022-06-03,PIT,,ARI,"L,6-8",6-7,,8,2.0,2.0,2.0,2.0,1.0,2.0,2.0,0,6.0,11.11,9.0,40.0,25.0,6,5,2,4,0,1,0,,0,0,0,0,0,8,0.0,0.0,0.0,0,0,0,0.29,-0.042,0.17,-0.02%,-1.02,2.7,6.0,6t --- 0 out d3,7t 3 out d5,,2022-06-03,134,109,662452,2022,2.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0
3,3,2022-06-07,PIT,,DET,"L,3-5",9-GF,,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,4.5,8.61,3.0,10.0,8.0,1,3,2,0,0,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.22,0.017,0.13,0.01%,0.49,4.25,6.0,9t --- 0 out d2,9t end d 2,,2022-06-07,134,116,662449,2022,1.0,3.0,3.0,14.0,2.0,2.0,2.0,2.0,4.0,2.0,9.0,6.0,1.667,3.0,3.0,14.0,2.0,2.0,2.0,2.0,4.0,2.0,9.0,6.0,1.667,3.0,3.0,14.0,2.0,2.0,2.0,2.0,4.0,2.0,9.0,6.0,1.667,3.0,3.0,14.0,2.0,2.0,2.0,2.0,4.0,2.0,9.0,6.0,1.667,3.0,3.0,14.0,2.0,2.0,2.0,2.0,4.0,2.0,9.0,6.0,1.667
4,4,2022-06-10,PIT,@,ATL,"L,2-4",8-GF(8),,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,3.6,7.11,3.0,13.0,9.0,2,1,1,1,0,1,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.19,0.015,0.1,0.00%,0.51,4.25,6.0,8b --- 0 out d2,8b end d 2,,2022-06-10,134,144,661513,2022,1.0,4.0,3.0,17.0,2.0,2.0,2.0,2.0,5.0,2.0,9.0,4.5,1.25,4.0,3.0,17.0,2.0,2.0,2.0,2.0,5.0,2.0,9.0,4.5,1.25,4.0,3.0,17.0,2.0,2.0,2.0,2.0,5.0,2.0,9.0,4.5,1.25,4.0,3.0,17.0,2.0,2.0,2.0,2.0,5.0,2.0,9.0,4.5,1.25,4.0,3.0,17.0,2.0,2.0,2.0,2.0,5.0,2.0,9.0,4.5,1.25
5,5,2022-06-11,PIT,@,ATL,"L,4-10",7-7,,0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0,3.18,6.29,2.0,,,0,3,1,0,0,0,0,,0,0,0,0,0,2,0.0,0.0,0.0,0,0,0,0.02,0.001,0.01,0.00%,0.27,3.5,5.0,7b --- 1 out d6,7b 3 out d6,,2022-06-11,134,144,661160,2022,0.667,5.0,3.0,20.0,2.0,2.0,2.0,2.0,6.0,2.0,9.0,3.6,1.0,5.0,3.0,20.0,2.0,2.0,2.0,2.0,6.0,2.0,9.0,3.6,1.0,5.0,3.0,20.0,2.0,2.0,2.0,2.0,6.0,2.0,9.0,3.6,1.0,4.0,2.0,15.0,2.0,2.0,2.0,1.0,4.0,2.0,8.0,4.5,0.75,5.0,3.0,20.0,2.0,2.0,2.0,2.0,6.0,2.0,9.0,3.6,1.0
6,6,2022-06-13,PIT,@,STL,"L,5-7",8-GF(8),,1,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0,2.7,5.51,5.0,18.0,14.0,4,1,2,2,0,1,0,,0,0,0,0,0,4,1.0,0.0,0.0,0,0,0,0.41,-0.058,0.15,-0.01%,-0.52,3.65,6.0,8b --- 0 out d1,8b end d 2,,2022-06-13,134,138,661974,2022,1.0,5.667,3.0,22.0,2.0,2.0,2.0,2.0,7.0,2.0,9.0,3.176,0.882,5.667,3.0,22.0,2.0,2.0,2.0,2.0,7.0,2.0,9.0,3.176,0.882,5.667,3.0,22.0,2.0,2.0,2.0,2.0,7.0,2.0,9.0,3.176,0.882,2.667,0.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.667,3.0,22.0,2.0,2.0,2.0,2.0,7.0,2.0,9.0,3.176,0.882
7,7,2022-06-17,PIT,,SFG,"L,0-2",7-7,,3,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0,2.35,4.68,3.0,20.0,11.0,4,3,1,0,0,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.44,0.033,0.1,0.00%,0.49,6.25,9.0,7t --- 0 out d2,7t 3 out d2,,2022-06-17,134,137,662437,2022,1.0,6.667,4.0,27.0,2.0,3.0,2.0,2.0,8.0,3.0,11.0,2.7,0.9,6.667,4.0,27.0,2.0,3.0,2.0,2.0,8.0,3.0,11.0,2.7,0.9,5.667,3.0,22.0,2.0,3.0,2.0,1.0,6.0,3.0,10.0,3.176,0.706,2.667,1.0,10.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,0.0,0.375,6.667,4.0,27.0,2.0,3.0,2.0,2.0,8.0,3.0,11.0,2.7,0.9
8,8,2022-06-21,PIT,,CHC,"W,7-1",9-GF,,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,2.08,4.27,3.0,7.0,5.0,1,1,1,1,0,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.03,0.002,0.01,0.00%,0.49,4.25,6.0,9t --- 0 out a6,9t end a 6,,2022-06-21,134,112,661124,2022,1.0,7.667,4.0,30.0,2.0,3.0,2.0,2.0,10.0,3.0,11.0,2.348,0.783,7.667,4.0,30.0,2.0,3.0,2.0,2.0,10.0,3.0,11.0,2.348,0.783,4.667,1.0,16.0,0.0,1.0,0.0,0.0,6.0,1.0,2.0,0.0,0.214,2.667,1.0,10.0,0.0,1.0,0.0,0.0,4.0,1.0,2.0,0.0,0.375,7.667,4.0,30.0,2.0,3.0,2.0,2.0,10.0,3.0,11.0,2.348,0.783
9,9,2022-06-23,PIT,,CHC,"W,8-7",8-8,BS(1),1,0.1,2.0,1.0,1.0,1.0,1.0,0.0,0,3.0,4.33,4.0,,,3,1,2,0,0,0,0,,3,3,1,0,0,3,0.0,0.0,0.0,0,0,0,3.7,-0.592,0.63,-0.06%,-3.24,-1.05,1.0,8t 123 2 out a3,8t 3 out d1,,2022-06-23,134,112,661106,2022,0.333,8.667,4.0,33.0,2.0,3.0,2.0,2.0,11.0,3.0,11.0,2.077,0.692,8.667,4.0,33.0,2.0,3.0,2.0,2.0,11.0,3.0,11.0,2.077,0.692,4.667,1.0,16.0,0.0,1.0,0.0,0.0,6.0,1.0,2.0,0.0,0.214,3.0,1.0,11.0,0.0,1.0,0.0,0.0,4.0,1.0,2.0,0.0,0.333,8.667,4.0,33.0,2.0,3.0,2.0,2.0,11.0,3.0,11.0,2.077,0.692
10,10,2022-06-24,PIT,@,TBR,"L,3-4",10-GF(10),L(0-1),0,0.1,1.0,1.0,0.0,0.0,0.0,0.0,0,2.89,4.29,2.0,5.0,5.0,1,1,1,1,0,1,0,,0,0,1,0,0,2,0.0,0.0,0.0,0,0,0,3.57,-0.197,0.66,-0.02%,-0.42,0.15,1.0,10b -2- 0 out tie,10b end d 1,,2022-06-24,134,139,661888,2022,0.333,9.0,6.0,37.0,2.0,4.0,3.0,3.0,12.0,3.0,13.0,3.0,1.0,9.0,6.0,37.0,2.0,4.0,3.0,3.0,12.0,3.0,13.0,3.0,1.0,4.0,3.0,17.0,0.0,2.0,1.0,1.0,6.0,1.0,4.0,2.25,1.0,2.333,2.0,10.0,0.0,1.0,1.0,1.0,4.0,0.0,2.0,3.857,1.286,9.0,6.0,37.0,2.0,4.0,3.0,3.0,12.0,3.0,13.0,3.0,1.0
11,11,2022-06-27,PIT,@,WSN,"L,2-3",5-6,,2,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0,3.18,4.35,8.0,29.0,15.0,4,0,4,3,2,0,0,,0,0,0,0,0,7,1.0,0.0,0.0,0,0,0,1.23,0.011,0.15,0.00%,-0.06,1.3,3.0,5b --- 0 out a2,6b 3 out a1,,2022-06-27,134,120,662487,2022,2.0,9.333,7.0,39.0,2.0,5.0,3.0,3.0,12.0,3.0,14.0,2.893,1.071,9.333,7.0,39.0,2.0,5.0,3.0,3.0,12.0,3.0,14.0,2.893,1.071,3.667,4.0,17.0,0.0,3.0,1.0,1.0,5.0,1.0,5.0,2.455,1.364,1.667,3.0,9.0,0.0,2.0,1.0,1.0,2.0,0.0,3.0,5.4,2.4,9.333,7.0,39.0,2.0,5.0,3.0,3.0,12.0,3.0,14.0,2.893,1.071
12,12,2022-06-29,PIT,@,WSN,"W,8-7",9-GF,S(1),1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,2.92,4.08,3.0,14.0,8.0,4,0,1,1,0,1,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,2.54,0.189,0.22,0.01%,0.47,4.25,6.0,9b --- 0 out a1,9b end a 1,,2022-06-29,134,120,662493,2022,1.0,11.333,8.0,47.0,2.0,6.0,4.0,4.0,12.0,4.0,16.0,3.176,1.059,10.333,7.0,42.0,2.0,6.0,4.0,3.0,10.0,4.0,15.0,3.484,0.968,4.667,4.0,20.0,0.0,3.0,2.0,2.0,4.0,1.0,5.0,3.857,1.286,2.667,4.0,14.0,0.0,3.0,2.0,2.0,1.0,1.0,5.0,6.75,2.25,11.333,8.0,47.0,2.0,6.0,4.0,4.0,12.0,4.0,16.0,3.176,1.059
13,13,2022-06-30,PIT,,MIL,"W,8-7",9-GF,S(2),0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,2.84,4.06,1.0,5.0,3.0,1,0,0,1,0,0,0,,2,0,0,0,0,1,0.0,0.0,0.0,0,0,0,5.45,0.139,0.54,0.01%,0.43,0.75,1.0,9t 12- 2 out a1,9t end a 1,,2022-06-30,134,158,661105,2022,0.333,12.333,8.0,50.0,2.0,6.0,4.0,4.0,13.0,4.0,16.0,2.919,0.973,9.333,5.0,36.0,0.0,4.0,2.0,2.0,9.0,2.0,7.0,1.929,0.75,4.667,4.0,20.0,0.0,3.0,2.0,2.0,3.0,1.0,5.0,3.857,1.286,3.333,2.0,13.0,0.0,2.0,1.0,1.0,1.0,1.0,3.0,2.7,0.9,12.333,8.0,50.0,2.0,6.0,4.0,4.0,13.0,4.0,16.0,2.919,0.973
14,14,2022-07-08,PIT,@,MIL,"L,3-4",7-GF(8),,7,2.0,3.0,1.0,1.0,0.0,2.0,1.0,0,3.07,4.54,7.0,31.0,20.0,6,2,3,2,0,0,0,,0,0,0,1,0,7,0.0,0.0,0.0,1,0,0,0.38,-0.062,0.04,0.00%,-0.01,4.7,9.0,7b --- 0 out d1,8b end d 2,,2022-07-08,134,158,661177,2022,2.0,12.667,8.0,51.0,2.0,6.0,4.0,4.0,13.0,4.0,16.0,2.842,0.947,8.667,5.0,34.0,0.0,4.0,2.0,2.0,8.0,2.0,7.0,2.077,0.808,4.0,4.0,18.0,0.0,3.0,2.0,2.0,2.0,1.0,5.0,4.5,1.5,3.333,1.0,12.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.7,0.6,12.667,8.0,51.0,2.0,6.0,4.0,4.0,13.0,4.0,16.0,2.842,0.947
15,15,2022-07-11,PIT,@,MIA,"W,5-1",8-GF,S(3),2,1.1,0.0,0.0,0.0,1.0,4.0,0.0,0,2.81,4.11,6.0,26.0,17.0,7,6,0,0,0,0,0,,1,0,0,0,0,4,0.0,0.0,0.0,0,0,0,1.13,0.06,0.11,0.00%,0.72,10.4,16.0,8b 1-- 2 out a2,9b end a 4,,2022-07-11,134,146,661324,2022,1.333,14.667,11.0,58.0,3.0,7.0,5.0,4.0,15.0,5.0,22.0,3.068,1.023,9.667,8.0,38.0,1.0,5.0,3.0,2.0,9.0,3.0,13.0,2.793,1.034,5.667,5.0,21.0,1.0,3.0,2.0,1.0,3.0,2.0,9.0,3.176,1.059,3.333,3.0,11.0,1.0,1.0,1.0,0.0,3.0,1.0,6.0,2.7,0.9,14.667,11.0,58.0,3.0,7.0,5.0,4.0,15.0,5.0,22.0,3.068,1.023
16,16,2022-07-13,PIT,@,MIA,"L,4-5",9-9,,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,2.65,4.11,4.0,,,1,0,1,1,1,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,3.04,0.136,0.42,0.01%,0.49,3.65,6.0,9b --- 0 out tie,9b 3 out tie,,2022-07-13,134,146,661376,2022,1.0,16.0,11.0,64.0,3.0,7.0,5.0,5.0,19.0,5.0,22.0,2.812,1.0,10.333,8.0,42.0,1.0,5.0,3.0,3.0,12.0,3.0,13.0,2.613,1.065,6.667,4.0,25.0,1.0,2.0,2.0,2.0,7.0,2.0,8.0,2.7,0.9,3.667,3.0,14.0,1.0,1.0,1.0,1.0,6.0,1.0,6.0,2.455,1.091,16.0,11.0,64.0,3.0,7.0,5.0,5.0,19.0,5.0,22.0,2.812,1.0
