Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_10,H_10,BF_10,HR_10,R_10,ER_10,BB_10,SO_10,XB_against_10,TB_against_10,ERA_10,WHIP_10,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_3,H_3,BF_3,HR_3,R_3,ER_3,BB_3,SO_3,XB_against_3,TB_against_3,ERA_3,WHIP_3,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1.0,1.0,2021-08-01,LAA,,OAK,"L,3-8",GS-5,L(0-1),99.0,4.1,6.0,6.0,6.0,2.0,2.0,2.0,1,12.46,10.32,22.0,82.0,55.0,8,8,6.0,11.0,4,1,0,27,,,2,0,0,19,0.0,0.0,0.0,0,0,0,0.91,-0.341,0.33,-0.08%,-3.27,,,1t start tie,5t 12- 1 out d2,,2021-08-01,108,133,633048,2021,4.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2.0,2.0,2021-08-08,LAA,@,LAD,"L,2-8",GS-5,L(0-2),6.0,5.0,7.0,5.0,5.0,2.0,5.0,1.0,1,10.61,7.78,26.0,,,14,15,5.0,13.0,5,0,0,36,,,3,0,0,23,3.0,0.0,1.0,0,0,0,0.62,-0.255,0.21,-0.05%,-2.37,,,1b start tie,5b 3 out d4,,2021-08-08,108,119,632956,2021,5.0,4.333,6.0,22.0,2.0,6.0,6.0,2.0,2.0,2.0,12.0,12.462,1.846,4.333,6.0,22.0,2.0,6.0,6.0,2.0,2.0,2.0,12.0,12.462,1.846,4.333,6.0,22.0,2.0,6.0,6.0,2.0,2.0,2.0,12.0,12.462,1.846,4.333,6.0,22.0,2.0,6.0,6.0,2.0,2.0,2.0,12.0,12.462,1.846,4.333,6.0,22.0,2.0,6.0,6.0,2.0,2.0,2.0,12.0,12.462,1.846
3.0,3.0,2021-08-15,LAA,,HOU,"W,3-1",GS-6,W(1-2),6.0,6.0,3.0,1.0,1.0,2.0,6.0,1.0,0,7.04,6.43,23.0,87.0,54.0,19,5,5.0,10.0,3,3,0,66,,,0,0,0,21,0.0,0.0,0.0,0,0,0,0.92,0.229,0.06,0.01%,2.22,,,1t start tie,6t 3 out tie,,2021-08-15,108,117,632881,2021,6.0,9.333,13.0,48.0,3.0,11.0,11.0,4.0,7.0,6.0,25.0,10.607,1.821,9.333,13.0,48.0,3.0,11.0,11.0,4.0,7.0,6.0,25.0,10.607,1.821,9.333,13.0,48.0,3.0,11.0,11.0,4.0,7.0,6.0,25.0,10.607,1.821,9.333,13.0,48.0,3.0,11.0,11.0,4.0,7.0,6.0,25.0,10.607,1.821,9.333,13.0,48.0,3.0,11.0,11.0,4.0,7.0,6.0,25.0,10.607,1.821
4.0,4.0,2021-08-21,LAA,@,CLE,"L,1-5",GS-4,L(1-3),5.0,3.2,7.0,3.0,3.0,3.0,4.0,1.0,0,7.11,6.54,20.0,70.0,43.0,10,14,5.0,8.0,4,1,0,36,,,3,0,0,17,2.0,0.0,0.0,0,0,0,0.97,-0.143,0.08,-0.01%,-1.15,,,1b start tie,4b 1-- 2 out d3,,2021-08-21,108,114,632780,2021,3.667,15.333,16.0,71.0,4.0,12.0,12.0,6.0,13.0,7.0,31.0,7.043,1.435,15.333,16.0,71.0,4.0,12.0,12.0,6.0,13.0,7.0,31.0,7.043,1.435,15.333,16.0,71.0,4.0,12.0,12.0,6.0,13.0,7.0,31.0,7.043,1.435,15.333,16.0,71.0,4.0,12.0,12.0,6.0,13.0,7.0,31.0,7.043,1.435,15.333,16.0,71.0,4.0,12.0,12.0,6.0,13.0,7.0,31.0,7.043,1.435
5.0,5.0,2021-10-03,LAA,@,SEA,"W,7-3",GS-2,,42.0,1.2,3.0,2.0,2.0,2.0,2.0,0.0,0,7.4,6.36,10.0,,,7,2,3.0,3.0,2,0,0,41,,,0,0,0,8,1.0,0.0,0.0,0,0,0,1.2,-0.084,0.0,0.00%,-1.24,,,1b start a 2,2b 1-- 2 out a2,,2021-10-03,108,136,632237,2021,1.667,19.0,23.0,91.0,5.0,15.0,15.0,9.0,17.0,10.0,43.0,7.105,1.684,19.0,23.0,91.0,5.0,15.0,15.0,9.0,17.0,10.0,43.0,7.105,1.684,19.0,23.0,91.0,5.0,15.0,15.0,9.0,17.0,10.0,43.0,7.105,1.684,14.667,17.0,69.0,3.0,9.0,9.0,7.0,15.0,8.0,31.0,5.523,1.636,19.0,23.0,91.0,5.0,15.0,15.0,9.0,17.0,10.0,43.0,7.105,1.684
1.0,6.0,2022-04-08,LAA,,HOU,"L,6-13",GS-4,,99.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,0,4.5,9.61,16.0,75.0,46.0,16,5,4.0,7.0,1,0,0,49,,,0,0,0,14,0.0,0.0,0.0,1,0,0,0.88,-0.018,0.85,-0.01%,-0.05,8.0,15.0,1t start tie,4t 3 out tie,,2022-04-08,108,117,661041,2022,4.0,20.667,26.0,101.0,5.0,17.0,17.0,11.0,19.0,11.0,47.0,7.403,1.79,20.667,26.0,101.0,5.0,17.0,17.0,11.0,19.0,11.0,47.0,7.403,1.79,20.667,26.0,101.0,5.0,17.0,17.0,11.0,19.0,11.0,47.0,7.403,1.79,11.333,13.0,53.0,2.0,6.0,6.0,7.0,12.0,5.0,22.0,4.765,1.765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2.0,7.0,2022-04-15,LAA,@,TEX,"W,9-6",GS-4,,6.0,3.1,6.0,5.0,5.0,1.0,5.0,0.0,1,8.59,6.11,18.0,,,16,7,6.0,5.0,2,1,0,32,,,2,0,0,16,1.0,0.0,0.0,0,0,0,1.39,-0.276,1.31,-0.16%,-2.24,2.7,10.0,1b start a 1,4b 1-3 1 out d1,,2022-04-15,108,140,662014,2022,3.333,24.667,29.0,117.0,7.0,19.0,19.0,13.0,22.0,13.0,56.0,6.932,1.703,24.667,29.0,117.0,7.0,19.0,19.0,13.0,22.0,13.0,56.0,6.932,1.703,20.333,23.0,95.0,5.0,13.0,13.0,11.0,20.0,11.0,44.0,5.754,1.672,9.333,13.0,46.0,3.0,7.0,7.0,7.0,9.0,6.0,25.0,6.75,2.143,4.0,3.0,16.0,2.0,2.0,2.0,2.0,3.0,2.0,9.0,4.5,1.25
3.0,8.0,2022-04-22,LAA,,BAL,"L,3-5",GS-5,L(0-1),6.0,5.0,3.0,2.0,2.0,1.0,4.0,0.0,0,6.57,4.49,19.0,70.0,48.0,11,5,7.0,7.0,3,1,0,56,,,1,0,0,18,1.0,0.0,0.0,0,0,0,0.8,-0.006,0.87,0.00%,0.44,12.85,21.0,1t start tie,5t 3 out d2,,2022-04-22,108,110,661037,2022,5.0,28.0,35.0,135.0,7.0,24.0,24.0,14.0,27.0,14.0,63.0,7.714,1.75,28.0,35.0,135.0,7.0,24.0,24.0,14.0,27.0,14.0,63.0,7.714,1.75,18.667,22.0,87.0,4.0,13.0,13.0,10.0,20.0,8.0,38.0,6.268,1.714,9.0,12.0,44.0,2.0,9.0,9.0,5.0,10.0,4.0,20.0,9.0,1.889,7.333,9.0,34.0,2.0,7.0,7.0,3.0,8.0,3.0,16.0,8.591,1.636
4.0,9.0,2022-04-28,LAA,,CLE,"W,4-1",GS-5,W(1-1),5.0,5.0,2.0,1.0,1.0,1.0,4.0,1.0,0,5.19,4.55,18.0,88.0,60.0,14,8,4.0,9.0,4,1,0,62,,,0,0,0,17,1.0,0.0,0.0,0,0,0,0.77,0.171,0.85,0.11%,1.44,19.45,30.0,1t start tie,5t 3 out a2,,2022-04-28,108,114,663432,2022,5.0,33.0,38.0,154.0,7.0,26.0,26.0,15.0,31.0,15.0,67.0,7.091,1.606,33.0,38.0,154.0,7.0,26.0,26.0,15.0,31.0,15.0,67.0,7.091,1.606,17.667,22.0,83.0,3.0,14.0,14.0,9.0,18.0,8.0,36.0,7.132,1.755,12.333,12.0,53.0,2.0,9.0,9.0,4.0,12.0,4.0,20.0,6.568,1.297,12.333,12.0,53.0,2.0,9.0,9.0,4.0,12.0,4.0,20.0,6.568,1.297
5.0,10.0,2022-05-04,LAA,@,BOS,"W,10-5",GS-5,,5.0,4.2,4.0,3.0,3.0,2.0,2.0,0.0,1,5.32,4.48,20.0,78.0,50.0,13,5,6.0,9.0,4,1,0,44,,,0,0,0,17,2.0,0.0,0.0,1,0,0,1.04,-0.168,1.2,-0.12%,-0.77,4.3,11.0,1b start tie,5b -2- 2 out d1,,2022-05-04,108,111,663248,2022,4.667,38.0,40.0,172.0,8.0,27.0,27.0,16.0,35.0,17.0,73.0,6.395,1.474,38.0,40.0,172.0,8.0,27.0,27.0,16.0,35.0,17.0,73.0,6.395,1.474,19.0,17.0,81.0,3.0,12.0,12.0,7.0,18.0,7.0,30.0,5.684,1.263,13.333,11.0,55.0,1.0,8.0,8.0,3.0,13.0,4.0,17.0,5.4,1.05,17.333,14.0,71.0,3.0,10.0,10.0,5.0,16.0,6.0,26.0,5.192,1.096
