Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1.0,48.0,2021-05-03,SDP,,PIT,"W,2-0",GS-3,,99.0,3.0,1.0,0.0,0.0,2.0,3.0,0.0,0,0.0,3.17,12.0,50.0,34.0,10,5,4.0,3.0,1,1,0,58.0,,,1,0,0,10,1.0,0.0,0.0,0,0,0,0.88,0.15,0.99,0.10%,1.41,,,1t start tie,3t 3 out tie,,2021-05-03,135,134,634243,2021,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2.0,49.0,2021-05-11,SDP,@,COL,"W,8-1",3-5,W(1-0),7.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0,2.84,9.0,33.0,24.0,7,2,4.0,4.0,2,0,0,,0.0,0.0,0,0,0,9,0.0,0.0,0.0,1,0,0,1.0,0.18,1.18,0.13%,1.73,,,3b --- 0 out d1,5b 3 out a1,,2021-05-11,135,115,634149,2021,3.0,3.0,1.0,12.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,0.0,1.0,3.0,1.0,12.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,0.0,1.0,3.0,1.0,12.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,0.0,1.0
3.0,50.0,2021-05-15,SDP,,STL,"W,13-3",5-6,W(2-0),3.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,0,1.13,4.17,9.0,30.0,19.0,9,0,2.0,3.0,2,0,0,,0.0,0.0,0,0,0,8,0.0,0.0,0.0,0,0,0,0.35,0.018,0.45,0.01%,-0.06,,,5t --- 0 out a5,6t 3 out a4,,2021-05-15,135,138,634143,2021,2.0,6.0,2.0,21.0,0.0,0.0,0.0,2.0,4.0,1.0,3.0,0.0,0.667,6.0,2.0,21.0,0.0,0.0,0.0,2.0,4.0,1.0,3.0,0.0,0.667,6.0,2.0,21.0,0.0,0.0,0.0,2.0,4.0,1.0,3.0,0.0,0.667
4.0,51.0,2021-05-21,SDP,,SEA,"W,16-1",8-GF,,5.0,2.0,0.0,0.0,0.0,4.0,3.0,0.0,0,0.9,4.57,10.0,55.0,25.0,11,3,2.0,1.0,0,0,0,,0.0,0.0,0,0,0,6,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.00%,0.94,,,8t --- 0 out a14,9t end a15,,2021-05-21,135,136,634019,2021,2.0,8.0,4.0,30.0,1.0,1.0,1.0,3.0,7.0,2.0,8.0,1.125,0.875,8.0,4.0,30.0,1.0,1.0,1.0,3.0,7.0,2.0,8.0,1.125,0.875,8.0,4.0,30.0,1.0,1.0,1.0,3.0,7.0,2.0,8.0,1.125,0.875
5.0,52.0,2021-05-24,SDP,@,MIL,"L,3-5",5-7,,2.0,3.0,1.0,0.0,0.0,1.0,4.0,0.0,0,0.69,3.86,10.0,40.0,26.0,12,2,2.0,3.0,1,0,0,,0.0,0.0,0,0,0,9,0.0,0.0,0.0,1,0,0,0.09,0.016,0.12,0.01%,1.52,,,5b --- 0 out d5,7b 3 out d5,,2021-05-24,135,158,633992,2021,3.0,10.0,4.0,40.0,1.0,1.0,1.0,7.0,10.0,2.0,8.0,0.9,1.1,10.0,4.0,40.0,1.0,1.0,1.0,7.0,10.0,2.0,8.0,0.9,1.1,10.0,4.0,40.0,1.0,1.0,1.0,7.0,10.0,2.0,8.0,0.9,1.1
6.0,53.0,2021-05-27,SDP,@,MIL,"L,5-6",9-GF(10),L(2-1),2.0,1.2,2.0,1.0,0.0,0.0,1.0,0.0,0,0.61,3.65,7.0,,,4,1,1.0,5.0,3,1,0,,0.0,0.0,0,0,0,6,0.0,0.0,0.0,0,0,0,3.04,-0.05,3.78,-0.04%,0.4,,,9b --- 0 out tie,10b end d 1,,2021-05-27,135,158,633937,2021,1.667,13.0,5.0,50.0,1.0,1.0,1.0,8.0,14.0,2.0,9.0,0.692,1.0,13.0,5.0,50.0,1.0,1.0,1.0,8.0,14.0,2.0,9.0,0.692,1.0,13.0,5.0,50.0,1.0,1.0,1.0,8.0,14.0,2.0,9.0,0.692,1.0
7.0,54.0,2021-05-29,SDP,@,HOU,"W,11-8",12-GF(12),S(1),1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.57,3.49,3.0,,,2,2,1.0,1.0,0,0,0,,0.0,0.0,0,0,0,3,0.0,0.0,0.0,0,0,0,1.23,0.1,1.53,0.07%,1.16,,,12b -2- 0 out a3,12b end a 3,,2021-05-29,135,117,633874,2021,1.0,14.667,7.0,57.0,1.0,2.0,1.0,8.0,15.0,2.0,11.0,0.614,1.023,11.667,6.0,45.0,1.0,2.0,1.0,6.0,12.0,1.0,9.0,0.771,1.029,14.667,7.0,57.0,1.0,2.0,1.0,8.0,15.0,2.0,11.0,0.614,1.023
8.0,55.0,2021-06-02,SDP,@,CHC,"L,1-6",6-7,,3.0,2.0,3.0,3.0,2.0,0.0,3.0,1.0,0,1.53,3.85,10.0,47.0,29.0,7,2,4.0,3.0,2,0,0,,0.0,0.0,0,0,0,10,1.0,1.0,0.0,0,0,1,0.32,-0.065,0.43,-0.05%,-1.99,,,6b --- 0 out d2,7b 3 out d5,,2021-06-02,135,112,633855,2021,2.0,15.667,7.0,60.0,1.0,2.0,1.0,8.0,16.0,2.0,11.0,0.574,0.957,9.667,5.0,39.0,1.0,2.0,1.0,6.0,12.0,1.0,8.0,0.931,1.138,15.667,7.0,60.0,1.0,2.0,1.0,8.0,16.0,2.0,11.0,0.574,0.957
9.0,56.0,2021-06-07,SDP,,CHC,"W,9-4",6-6,H(1),4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0,1.45,3.6,3.0,13.0,9.0,3,1,1.0,0.0,0,0,0,,0.0,0.0,0,0,0,3,0.0,0.0,0.0,0,0,0,1.05,0.078,1.43,0.06%,0.47,,,6t --- 0 out a1,6t 3 out a1,,2021-06-07,135,112,633779,2021,1.0,17.667,10.0,70.0,2.0,5.0,3.0,8.0,19.0,5.0,20.0,1.528,1.019,9.667,6.0,40.0,1.0,4.0,2.0,5.0,12.0,3.0,12.0,1.862,1.138,17.667,10.0,70.0,2.0,5.0,3.0,8.0,19.0,5.0,20.0,1.528,1.019
10.0,57.0,2021-06-08,SDP,,CHC,"L,1-7",6-6,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,1.83,4.39,5.0,23.0,10.0,3,1,2.0,2.0,2,0,0,,1.0,1.0,0,0,0,4,0.0,0.0,0.0,1,0,0,0.32,-0.048,0.43,-0.04%,-0.92,,,6t -2- 0 out d3,6t 3 out d5,,2021-06-08,135,112,633777,2021,1.0,18.667,10.0,73.0,2.0,5.0,3.0,8.0,21.0,5.0,20.0,1.446,0.964,8.667,6.0,33.0,1.0,4.0,2.0,1.0,11.0,3.0,12.0,2.077,0.808,18.667,10.0,73.0,2.0,5.0,3.0,8.0,21.0,5.0,20.0,1.446,0.964
