Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1,1,2021-08-06,BAL,,TBR,"L,6-10",8-GF,,99,1.2,0.0,0.0,0.0,0.0,3.0,0.0,0,0.0,-0.43,5.0,22.0,14.0,4,3,1,1,0,0,0,,2,0,0,0,0,5,0.0,0.0,0.0,0,0,0,0.09,0.011,0.0,0.00%,1.47,,,8t 12- 1 out d5,9t end d 4,,2021-08-06,110,139,633006,2021,1.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,2,2021-08-10,BAL,,DET,"L,4-9",4-5,,3,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.99,6.0,22.0,14.0,6,2,2,3,1,0,0,,0,0,0,0,0,6,0.0,0.0,0.0,0,0,0,0.28,0.043,0.0,0.00%,1.05,,,4t --- 0 out d5,5t 3 out d3,,2021-08-10,110,116,632960,2021,2.0,1.667,0.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.667,0.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.667,0.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
3,3,2021-08-12,BAL,,DET,"L,4-6",5-6,,1,1.2,0.0,0.0,0.0,1.0,1.0,0.0,0,0.0,1.86,6.0,33.0,20.0,5,1,2,2,0,1,0,,1,0,0,0,0,5,0.0,0.0,0.0,0,0,0,0.42,0.055,0.0,0.00%,1.49,,,5t --3 1 out d4,6t 3 out d4,,2021-08-12,110,116,632938,2021,1.667,3.667,0.0,11.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.667,0.0,11.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.667,0.0,11.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
4,4,2021-08-15,BAL,@,BOS,"L,2-6",5-5,,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,1.75,3.0,,,1,2,0,2,0,1,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.46,0.037,0.0,0.00%,0.56,,,5b --- 0 out d2,5b 3 out d2,,2021-08-15,110,111,632961,2021,1.0,5.333,0.0,17.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.188,5.333,0.0,17.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.188,5.333,0.0,17.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.188
5,5,2021-08-17,BAL,@,TBR,"L,0-10",5-5,,1,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0,0.0,1.67,5.0,18.0,13.0,1,5,2,2,1,1,0,,1,1,0,0,0,5,1.0,0.0,0.0,0,0,1,0.09,-0.011,0.0,0.00%,-1.13,,,5b 1-- 0 out d6,5b 3 out d8,,2021-08-17,110,139,632864,2021,1.0,6.333,0.0,20.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.158,6.333,0.0,20.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.158,6.333,0.0,20.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.158
6,6,2021-08-19,BAL,@,TBR,"L,2-7",4-5,,1,1.2,1.0,0.0,0.0,1.0,3.0,0.0,0,0.0,1.61,7.0,32.0,19.0,5,5,1,2,1,0,0,,3,3,0,0,0,6,0.0,0.0,0.0,0,0,0,0.33,-0.033,0.0,0.00%,-0.95,,,4b 123 1 out d4,5b 3 out d6,,2021-08-19,110,139,632833,2021,1.667,7.333,1.0,25.0,0.0,1.0,0.0,1.0,7.0,1.0,2.0,0.0,0.273,7.333,1.0,25.0,0.0,1.0,0.0,1.0,7.0,1.0,2.0,0.0,0.273,7.333,1.0,25.0,0.0,1.0,0.0,1.0,7.0,1.0,2.0,0.0,0.273
7,7,2021-08-21,BAL,,ATL,"L,4-5",6-8,,1,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0.0,1.99,7.0,31.0,19.0,4,3,2,3,0,1,0,,1,0,0,0,0,6,0.0,0.0,0.0,0,0,0,0.88,0.116,0.0,0.00%,1.05,,,6t 1-- 1 out d1,8t 1-- 1 out d1,,2021-08-21,110,144,632879,2021,2.0,9.0,2.0,32.0,0.0,1.0,0.0,2.0,10.0,1.0,3.0,0.0,0.444,7.333,2.0,27.0,0.0,1.0,0.0,2.0,7.0,1.0,3.0,0.0,0.545,9.0,2.0,32.0,0.0,1.0,0.0,2.0,10.0,1.0,3.0,0.0,0.444
8,8,2021-08-24,BAL,,LAA,"L,8-14",7-8,,2,1.1,3.0,1.0,1.0,0.0,2.0,0.0,0,0.73,1.79,7.0,,,3,3,2,3,3,0,0,,1,0,0,0,0,7,0.0,0.0,0.0,0,0,0,0.11,-0.004,0.0,0.00%,-0.23,,,7t 1-- 2 out d5,8t 3 out d6,,2021-08-24,110,108,632807,2021,1.333,11.0,2.0,39.0,0.0,1.0,0.0,3.0,11.0,1.0,3.0,0.0,0.455,7.333,2.0,28.0,0.0,1.0,0.0,3.0,7.0,1.0,3.0,0.0,0.682,11.0,2.0,39.0,0.0,1.0,0.0,3.0,11.0,1.0,3.0,0.0,0.455
9,9,2021-08-25,BAL,,LAA,"W,10-6",4-4,,0,0.0,3.0,3.0,3.0,1.0,0.0,1.0,0,2.92,3.09,4.0,,,3,1,1,2,1,0,0,,0,0,0,0,0,3,1.0,0.0,0.0,0,0,0,1.07,-0.267,0.0,0.00%,-3.39,,,4t --- 0 out d1,4t 1-- 0 out d4,,2021-08-25,110,108,632756,2021,0.0,12.333,5.0,46.0,0.0,2.0,1.0,3.0,13.0,1.0,6.0,0.73,0.649,7.0,5.0,29.0,0.0,2.0,1.0,2.0,8.0,1.0,6.0,1.286,1.0,12.333,5.0,46.0,0.0,2.0,1.0,3.0,13.0,1.0,6.0,0.73,0.649
10,10,2021-08-27,BAL,,TBR,"L,3-6",8-GF,,1,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0,2.51,2.96,6.0,23.0,16.0,5,1,3,2,1,0,0,,0,0,0,0,0,6,0.0,0.0,0.0,0,0,0,0.08,0.013,0.0,0.00%,1.05,,,8t --- 0 out d4,9t end d 4,,2021-08-27,110,139,632720,2021,2.0,12.333,8.0,50.0,1.0,5.0,4.0,4.0,13.0,3.0,13.0,2.919,0.973,6.0,8.0,30.0,1.0,5.0,4.0,3.0,7.0,3.0,13.0,6.0,1.833,12.333,8.0,50.0,1.0,5.0,4.0,4.0,13.0,3.0,13.0,2.919,0.973
11,11,2021-08-30,BAL,@,TOR,"L,3-7",6-7,,2,1.1,1.0,3.0,3.0,2.0,0.0,1.0,0,4.02,4.19,7.0,29.0,14.0,3,1,3,2,1,0,0,,1,0,0,0,0,5,0.0,0.0,0.0,0,0,0,0.7,-0.034,0.0,0.00%,-1.6,,,6b --3 1 out d2,7b --- 2 out d5,,2021-08-30,110,141,632668,2021,1.333,14.333,8.0,56.0,1.0,5.0,4.0,4.0,14.0,3.0,13.0,2.512,0.837,7.0,7.0,31.0,1.0,4.0,4.0,3.0,7.0,2.0,11.0,5.143,1.429,14.333,8.0,56.0,1.0,5.0,4.0,4.0,14.0,3.0,13.0,2.512,0.837
12,12,2021-09-01,BAL,@,TOR,"L,4-5",8-GF(8),,1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,3.86,4.15,1.0,3.0,2.0,1,0,0,1,0,0,0,,2,1,0,0,0,0,0.0,0.0,0.0,0,1,0,3.02,-0.051,0.0,0.00%,0.45,,,8b -23 1 out tie,8b end d 1,,2021-09-01,110,141,632640,2021,0.667,15.667,9.0,63.0,2.0,8.0,7.0,6.0,14.0,4.0,17.0,4.021,0.957,6.667,7.0,31.0,2.0,7.0,7.0,4.0,4.0,3.0,14.0,9.45,1.65,15.667,9.0,63.0,2.0,8.0,7.0,6.0,14.0,4.0,17.0,4.021,0.957
13,13,2021-09-04,BAL,@,NYY,"W,4-3",7-8,H(1),2,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0,4.15,4.09,4.0,14.0,9.0,2,1,3,1,0,0,0,,2,1,0,0,0,4,0.0,0.0,0.0,1,0,0,2.72,0.045,0.0,0.00%,0.14,,,7b 12- 0 out a3,8b 1-- 0 out a2,,2021-09-04,110,147,632622,2021,1.0,16.333,9.0,64.0,2.0,8.0,7.0,6.0,14.0,4.0,17.0,3.857,0.918,5.333,7.0,25.0,2.0,7.0,7.0,3.0,3.0,3.0,14.0,11.812,1.875,16.333,9.0,64.0,2.0,8.0,7.0,6.0,14.0,4.0,17.0,3.857,0.918
14,14,2021-09-05,BAL,@,NYY,"W,8-7",6-7,W(1-0),0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,4.42,4.92,5.0,19.0,8.0,3,0,0,4,0,1,0,,1,1,0,0,0,4,0.0,0.0,0.0,0,0,0,1.0,-0.156,0.0,0.00%,-1.48,,,6b 1-- 1 out d1,7b 1-- 1 out a1,,2021-09-05,110,147,632582,2021,1.0,17.333,11.0,68.0,2.0,9.0,8.0,6.0,14.0,4.0,19.0,4.154,0.981,5.0,6.0,22.0,2.0,7.0,7.0,3.0,1.0,3.0,13.0,12.6,1.8,17.333,11.0,68.0,2.0,9.0,8.0,6.0,14.0,4.0,19.0,4.154,0.981
15,15,2021-09-08,BAL,,KCR,"W,9-8",7-7,,2,0.2,1.0,1.0,1.0,0.0,0.0,1.0,0,4.74,5.54,3.0,,,2,0,0,3,0,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.12,-0.027,0.0,0.00%,-0.72,,,7t --- 1 out d4,7t 3 out d5,,2021-09-08,110,118,632576,2021,0.667,18.333,12.0,73.0,3.0,10.0,9.0,7.0,14.0,5.0,23.0,4.418,1.036,6.0,4.0,23.0,2.0,5.0,5.0,3.0,1.0,2.0,10.0,7.5,1.167,18.333,12.0,73.0,3.0,10.0,9.0,7.0,14.0,5.0,23.0,4.418,1.036
16,16,2021-09-11,BAL,,TOR,"L,10-11",5-5,,2,0.2,2.0,2.0,2.0,2.0,0.0,0.0,0,5.49,5.76,6.0,,,2,1,2,2,0,2,0,,0,0,0,0,0,4,0.0,0.0,0.0,0,0,0,0.63,-0.076,0.0,0.00%,-1.99,,,5t --- 0 out a5,5t 1-3 2 out a3,1.0,2021-09-11,110,141,632539,2021,0.667,19.0,13.0,76.0,4.0,11.0,10.0,7.0,14.0,6.0,27.0,4.737,1.053,4.667,5.0,20.0,3.0,6.0,6.0,3.0,0.0,3.0,14.0,11.571,1.714,19.0,13.0,76.0,4.0,11.0,10.0,7.0,14.0,6.0,27.0,4.737,1.053
17,17,2021-09-14,BAL,,NYY,"L,2-7",7-7,,2,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0,5.23,5.83,4.0,24.0,14.0,3,3,1,0,0,0,0,,0,0,0,0,0,2,0.0,0.0,0.0,1,0,0,0.21,0.013,0.0,0.00%,0.53,,,7t --- 0 out d4,7t 3 out d4,,2021-09-14,110,147,632500,2021,1.0,19.667,15.0,82.0,4.0,13.0,12.0,9.0,14.0,6.0,29.0,5.492,1.22,4.0,6.0,19.0,2.0,5.0,5.0,3.0,0.0,2.0,12.0,11.25,2.25,19.667,15.0,82.0,4.0,13.0,12.0,9.0,14.0,6.0,29.0,5.492,1.22
18,18,2021-09-17,BAL,@,BOS,"L,1-7",5-5,,2,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,4.98,5.62,4.0,27.0,17.0,2,4,1,2,1,0,0,,1,1,0,0,0,4,1.0,0.0,0.0,0,0,0,0.82,-0.025,0.0,0.00%,-0.04,,,5b 1-- 0 out d2,5b 3 out d3,,2021-09-17,110,111,632454,2021,1.0,20.667,15.0,86.0,4.0,13.0,12.0,11.0,15.0,6.0,29.0,5.226,1.258,4.333,6.0,22.0,2.0,5.0,5.0,5.0,1.0,2.0,12.0,10.385,2.538,20.667,15.0,86.0,4.0,13.0,12.0,11.0,15.0,6.0,29.0,5.226,1.258
19,19,2021-09-21,BAL,@,PHI,"L,2-3",2-3,,3,2.0,2.0,0.0,0.0,1.0,2.0,0.0,0,4.56,5.37,8.0,,,4,5,3,2,1,1,0,,0,0,0,0,0,7,0.0,0.0,0.0,0,0,0,0.93,0.106,0.0,0.00%,1.01,,,2b --- 0 out tie,3b 3 out tie,,2021-09-21,110,143,632402,2021,2.0,21.667,16.0,90.0,4.0,13.0,12.0,11.0,16.0,7.0,31.0,4.985,1.246,4.333,5.0,22.0,2.0,4.0,4.0,5.0,2.0,3.0,12.0,8.308,2.308,21.667,16.0,90.0,4.0,13.0,12.0,11.0,16.0,7.0,31.0,4.985,1.246
20,20,2021-09-25,BAL,,TEX,"W,3-2",4-5,,3,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0,4.21,5.27,9.0,35.0,22.0,9,5,2,3,1,0,0,,0,0,0,0,0,7,1.0,0.0,0.0,1,0,0,1.33,0.129,0.0,0.00%,1.05,,,4t --- 0 out tie,5t 3 out tie,,2021-09-25,110,140,632355,2021,2.0,23.667,18.0,98.0,4.0,13.0,12.0,12.0,18.0,7.0,33.0,4.563,1.268,5.333,6.0,25.0,1.0,3.0,3.0,5.0,4.0,2.0,10.0,5.062,2.062,23.667,18.0,98.0,4.0,13.0,12.0,12.0,18.0,7.0,33.0,4.563,1.268
21,21,2021-09-28,BAL,,BOS,"W,4-2",5-6,W(2-0),2,2.0,1.0,1.0,1.0,0.0,3.0,1.0,0,4.23,5.37,7.0,22.0,18.0,6,5,1,3,1,0,0,,0,0,0,0,0,7,0.0,0.0,0.0,0,0,0,0.67,-0.024,0.0,0.00%,0.05,,,5t --- 0 out d1,6t 3 out d2,,2021-09-28,110,111,632317,2021,2.0,25.667,20.0,107.0,4.0,13.0,12.0,14.0,20.0,8.0,36.0,4.208,1.325,6.667,7.0,31.0,0.0,2.0,2.0,7.0,6.0,2.0,9.0,2.7,2.1,25.667,20.0,107.0,4.0,13.0,12.0,14.0,20.0,8.0,36.0,4.208,1.325
22,22,2021-10-01,BAL,@,TOR,"L,4-6",8-GF(8),,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.08,5.3,3.0,15.0,8.0,4,0,2,1,1,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.21,0.016,0.0,0.00%,0.54,,,8b --- 0 out d2,8b end d 2,,2021-10-01,110,141,632268,2021,1.0,26.0,21.0,109.0,5.0,14.0,13.0,14.0,20.0,9.0,40.0,4.5,1.346,8.0,6.0,32.0,1.0,1.0,1.0,5.0,9.0,3.0,11.0,1.125,1.375,27.667,21.0,114.0,5.0,14.0,13.0,14.0,23.0,9.0,40.0,4.229,1.265
23,23,2021-10-03,BAL,@,TOR,"L,4-12",1-2,,1,1.1,1.0,2.0,2.0,1.0,1.0,1.0,0,4.5,5.67,6.0,27.0,16.0,1,4,1,3,1,0,0,,2,0,0,0,0,5,0.0,0.0,0.0,0,0,0,0.5,-0.06,0.0,0.00%,-1.0,,,1b 12- 2 out d3,2b 3 out d5,,2021-10-03,110,141,632235,2021,1.333,25.0,21.0,106.0,5.0,14.0,13.0,14.0,19.0,9.0,40.0,4.68,1.4,8.0,6.0,31.0,1.0,1.0,1.0,3.0,8.0,3.0,11.0,1.125,1.125,28.667,21.0,117.0,5.0,14.0,13.0,14.0,23.0,9.0,40.0,4.081,1.221
