Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1,4,93,2023-07-15,COL,,NYY,"L,3-6",7-8,,99,2.0,1,0,0,0,2,0,0,0.00,1.26,7,27,16,5,1,2,3,1,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.22,0.021,.00,0.00%,1.20,7.90,12.00,7t --- 0 out d5,8t 3 out d4,,2023-07-15,115,147,717394
2,5,95,2023-07-18,COL,,HOU,"W,4-3",2-3,,2,2.0,0,0,0,1,0,0,0,0.00,3.01,6,16,8,2,0,4,1,0,0,0,,0,0,0,0,0,5,0,0,0,1,0,0,.84,0.114,.00,0.00%,1.20,3.90,6.00,2t --- 0 out tie,3t 3 out tie,,2023-07-18,115,117,717355
3,6,104,2023-07-29,COL,,OAK,"L,3-11",7-8,,10,2.0,4,1,1,0,3,0,0,1.50,2.09,10,28,21,4,7,2,5,4,0,0,,0,0,0,0,0,10,0,0,0,0,0,0,.02,-0.002,.00,0.00%,0.20,6.10,12.00,7t --- 0 out d8,8t 3 out d9,,2023-07-29,115,133,717212
4,7,107,2023-08-01,COL,,SDP,"L,5-8",5-7,,2,2.2,1,1,1,0,2,1,0,2.08,3.49,9,24,16,3,6,4,3,0,0,0,,3,3,0,0,0,9,0,0,0,0,0,0,.73,-0.199,.00,0.00%,-1.12,7.40,11.00,5t 123 1 out tie,7t 3 out d4,,2023-08-01,115,135,717169
5,8,110,2023-08-05,COL,@,STL,"L,2-6",5-6,,3,1.1,1,2,2,3,0,0,0,3.60,4.36,8,26,12,3,2,0,5,3,1,0,,1,0,0,0,0,5,0,1,0,0,0,0,.34,-0.042,.00,0.00%,-1.14,-3.40,-2.00,5b -2- 2 out d3,6b 3 out d5,,2023-08-05,115,138,717119
6,9,115,2023-08-10,COL,@,LAD,"L,1-2",7-8,L(0-1),4,1.1,2,1,1,1,1,0,0,3.97,4.31,6,26,18,3,4,2,2,2,0,0,,0,0,0,0,0,5,0,0,0,1,0,0,1.91,-0.048,.00,0.00%,-0.14,1.20,4.00,7b --- 0 out tie,8b 1-3 1 out tie,,2023-08-10,115,119,717045
7,10,124,2023-08-20,COL,,CHW,"L,5-10",9-GF,,9,1.0,0,0,0,0,1,0,0,3.65,4.07,3,11,7,0,2,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.03,0.002,.00,0.00%,0.60,4.25,6.00,9t --- 0 out d5,9t end d 5,,2023-08-20,115,145,716916
8,11,125,2023-08-22,COL,@,TBR,"L,4-12",5-6,,1,2.0,0,0,0,0,2,0,0,3.14,3.67,6,20,13,4,3,2,2,0,0,0,,1,0,0,0,0,6,0,0,0,0,0,0,1.16,0.195,.00,0.00%,1.63,8.50,12.00,5b -2- 0 out d1,6b 3 out a1,,2023-08-22,115,139,716898
9,12,127,2023-08-24,COL,@,TBR,"L,3-5",6-6,BS(1),1,1.0,1,1,1,0,1,1,0,3.52,4.36,4,19,14,2,2,2,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.04,-0.107,.00,0.00%,-0.50,1.65,3.00,6b --- 0 out a1,6b 3 out tie,,2023-08-24,115,139,716869
10,13,129,2023-08-26,COL,@,BAL,"L,4-5",6-6,BS(2),1,1.0,1,1,1,1,0,0,0,3.86,4.48,5,11,5,1,0,3,1,1,0,0,,2,2,0,0,0,4,1,0,0,0,0,0,1.28,-0.274,.00,0.00%,-1.52,-0.95,0.00,6b 12- 0 out a1,6b 3 out d2,,2023-08-26,115,110,716837
11,14,131,2023-08-28,COL,,ATL,"L,4-14",7-8,,1,1.2,4,1,1,1,1,0,0,4.00,4.42,9,29,17,2,5,5,2,2,0,0,,2,2,1,0,0,8,1,0,0,0,0,0,.39,-0.124,.00,0.00%,-1.39,0.75,5.00,7t 12- 1 out d2,8t 3 out d5,,2023-08-28,115,144,716812
12,15,134,2023-09-01,COL,,TOR,"L,9-13",7-8,,3,1.1,1,1,1,1,1,0,0,4.19,4.39,6,17,11,2,2,2,2,1,0,0,,1,0,0,0,0,5,1,0,0,0,0,0,.21,-0.008,.00,0.00%,-0.13,1.80,4.00,7t 1-- 2 out d4,8t 3 out d5,,2023-09-01,115,141,716759
13,16,136,2023-09-03,COL,,TOR,"L,5-7",5-5,,1,1.0,3,3,3,1,0,0,0,5.31,4.48,7,27,19,5,1,1,5,4,0,0,,0,0,0,0,0,6,1,0,0,0,0,0,1.12,-0.309,.00,0.00%,-2.40,-6.15,-6.00,5t --- 0 out a1,5t 3 out d2,,2023-09-03,115,141,716730
14,17,158,2023-09-27,COL,,LAD,"L,2-8",5-6,,23,1.2,0,0,0,2,1,0,0,4.91,4.57,6,26,15,3,3,1,2,0,1,0,,3,0,0,1,0,4,0,0,0,0,0,0,.87,0.119,.00,0.00%,2.28,4.55,8.00,5t 123 1 out d3,6t 3 out d3,,2023-09-27,115,119,716406
15,18,161,2023-09-30,COL,,MIN,"L,6-14",6-7,,2,1.2,4,6,6,2,3,3,0,6.85,6.13,11,45,28,6,7,1,5,1,0,0,,2,2,0,0,0,9,1,0,0,0,0,0,.06,-0.028,.00,0.00%,-6.39,-5.85,-4.00,6t 12- 1 out d6,7t 3 out d14,,2023-09-30,115,142,716368
