Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1,15,2021-04-07,SEA,,CHW,"W,8-4",GS-5,,99,4.2,1.0,3.0,3.0,8.0,3.0,0.0,0,5.79,7.03,22.0,93.0,48.0,18,5,5,6,1,3,0,45,,,3,0,0,14,1.0,0.0,0.0,0,0,0,1.48,0.044,1.27,0.02%,0.71,,,1t start tie,5t 123 2 out tie,,2021-04-07,136,145,634592,2021,4.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,16,2021-04-15,SEA,@,BAL,"W,2-1",GS-6,W(1-0),7,5.0,2.0,1.0,1.0,2.0,6.0,1.0,1,3.72,6.07,20.0,68.0,47.0,9,9,3,8,1,0,0,63,,,0,0,0,17,0.0,0.0,0.0,0,0,0,1.19,0.126,1.29,0.08%,1.24,,,1b start tie,6b 1-- 0 out a1,2.0,2021-04-15,136,110,634472,2021,5.0,4.667,1.0,22.0,0.0,3.0,3.0,8.0,3.0,1.0,2.0,5.786,1.929,4.667,1.0,22.0,0.0,3.0,3.0,8.0,3.0,1.0,2.0,5.786,1.929,4.667,1.0,22.0,0.0,3.0,3.0,8.0,3.0,1.0,2.0,5.786,1.929
3,17,2021-04-22,SEA,@,BOS,"W,7-3",GS-5,,6,5.0,6.0,2.0,2.0,1.0,5.0,1.0,1,3.68,5.69,23.0,100.0,64.0,15,10,7,9,3,1,0,51,,,3,0,0,21,0.0,1.0,0.0,0,0,0,0.96,0.023,1.07,0.02%,0.79,,,1b start tie,5b 3 out d2,,2021-04-22,136,111,634508,2021,5.0,9.667,3.0,42.0,1.0,4.0,4.0,10.0,9.0,2.0,7.0,3.724,1.345,9.667,3.0,42.0,1.0,4.0,4.0,10.0,9.0,2.0,7.0,3.724,1.345,9.667,3.0,42.0,1.0,4.0,4.0,10.0,9.0,2.0,7.0,3.724,1.345
4,18,2021-04-28,SEA,@,HOU,"L,5-7",GS-6,,5,5.2,4.0,3.0,3.0,2.0,2.0,0.0,0,3.98,5.09,23.0,84.0,51.0,13,4,4,15,5,4,0,49,,,1,0,0,21,1.0,0.0,0.0,0,0,0,0.98,0.081,1.21,0.06%,0.83,,,1b start tie,6b -2- 2 out a3,,2021-04-28,136,117,634360,2021,5.667,14.667,9.0,65.0,2.0,6.0,6.0,11.0,14.0,4.0,18.0,3.682,1.364,14.667,9.0,65.0,2.0,6.0,6.0,11.0,14.0,4.0,18.0,3.682,1.364,14.667,9.0,65.0,2.0,6.0,6.0,11.0,14.0,4.0,18.0,3.682,1.364
5,19,2021-05-04,SEA,,BAL,"W,5-2",GS-6,,5,5.1,3.0,1.0,1.0,4.0,6.0,1.0,0,3.51,5.2,23.0,88.0,57.0,17,11,2,11,3,2,0,60,,,1,0,0,19,0.0,0.0,0.0,0,0,0,1.28,0.082,1.44,0.06%,1.07,,,1t start tie,6t 12- 1 out tie,,2021-05-04,136,110,634265,2021,5.333,20.333,13.0,88.0,2.0,9.0,9.0,13.0,16.0,5.0,23.0,3.984,1.279,20.333,13.0,88.0,2.0,9.0,9.0,13.0,16.0,5.0,23.0,3.984,1.279,20.333,13.0,88.0,2.0,9.0,9.0,13.0,16.0,5.0,23.0,3.984,1.279
6,20,2021-05-12,SEA,@,LAD,"L,1-7",GS-4,L(1-1),7,3.1,3.0,2.0,2.0,3.0,2.0,0.0,0,3.72,5.14,16.0,72.0,40.0,14,4,3,8,3,2,0,45,,,0,0,0,13,2.0,0.0,0.0,0,0,0,1.23,-0.124,1.24,-0.08%,-1.33,,,1b start tie,4b -23 1 out d2,,2021-05-12,136,119,634140,2021,3.333,25.667,16.0,111.0,3.0,10.0,10.0,17.0,22.0,6.0,29.0,3.506,1.286,25.667,16.0,111.0,3.0,10.0,10.0,17.0,22.0,6.0,29.0,3.506,1.286,25.667,16.0,111.0,3.0,10.0,10.0,17.0,22.0,6.0,29.0,3.506,1.286
7,21,2021-05-18,SEA,,DET,"L,0-5",GS-6,L(1-2),5,5.2,5.0,2.0,2.0,2.0,9.0,1.0,0,3.63,4.84,24.0,94.0,67.0,11,12,6,7,1,2,0,58,,,0,0,0,22,0.0,0.0,0.0,0,0,0,0.75,0.009,0.71,0.01%,0.54,,,1t start tie,6t 12- 2 out d2,,2021-05-18,136,116,634115,2021,5.667,29.0,19.0,127.0,3.0,12.0,12.0,20.0,24.0,8.0,34.0,3.724,1.345,24.333,18.0,105.0,3.0,9.0,9.0,12.0,21.0,7.0,32.0,3.329,1.233,29.0,19.0,127.0,3.0,12.0,12.0,20.0,24.0,8.0,34.0,3.724,1.345
8,22,2021-05-23,SEA,@,SDP,"L,2-9",GS-5,,4,5.0,1.0,1.0,1.0,3.0,4.0,1.0,0,3.4,4.99,19.0,71.0,41.0,6,7,5,7,0,1,0,62,,,0,0,0,16,0.0,0.0,0.0,0,0,0,0.98,0.13,0.67,0.05%,1.35,,,1b start tie,5b 3 out tie,,2021-05-23,136,135,633996,2021,5.0,34.667,24.0,151.0,4.0,14.0,14.0,22.0,33.0,9.0,42.0,3.635,1.327,25.0,21.0,109.0,3.0,10.0,10.0,12.0,24.0,7.0,35.0,3.6,1.32,34.667,24.0,151.0,4.0,14.0,14.0,22.0,33.0,9.0,42.0,3.635,1.327
9,23,2021-05-29,SEA,,TEX,"W,3-2",GS-6,,5,5.2,2.0,1.0,1.0,2.0,8.0,0.0,1,3.18,4.6,22.0,98.0,62.0,13,15,5,6,1,0,0,67,,,1,0,0,18,0.0,0.0,0.0,0,1,0,1.28,0.194,1.15,0.11%,1.75,,,1t start tie,6t 1-- 2 out tie,,2021-05-29,136,140,633947,2021,5.667,39.667,25.0,170.0,5.0,15.0,15.0,25.0,37.0,10.0,46.0,3.403,1.261,25.0,16.0,105.0,3.0,9.0,9.0,14.0,23.0,6.0,28.0,3.24,1.2,39.667,25.0,170.0,5.0,15.0,15.0,25.0,37.0,10.0,46.0,3.403,1.261
10,24,2021-06-11,SEA,@,CLE,"L,0-7",GS-3,L(1-3),12,3.0,9.0,5.0,5.0,2.0,3.0,1.0,1,3.91,4.85,19.0,72.0,49.0,15,5,4,9,5,0,0,22,,,0,0,0,16,0.0,0.0,0.0,1,0,0,0.85,-0.291,0.68,-0.14%,-3.44,,,1b start tie,3b 3 out d5,,2021-06-11,136,114,633743,2021,3.0,45.333,27.0,192.0,5.0,16.0,16.0,27.0,45.0,10.0,48.0,3.176,1.191,25.0,14.0,104.0,3.0,7.0,7.0,14.0,29.0,5.0,25.0,2.52,1.12,45.333,27.0,192.0,5.0,16.0,16.0,27.0,45.0,10.0,48.0,3.176,1.191
