Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1,1,46,2023-05-19,OAK,@,HOU,"L,1-5",8-GF(8),,99,1.0,2,1,1,1,1,0,0,9.0,4.26,6,27,16,7,1,1,3,1,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,0.13,-0.012,0.0,0.00%,-0.49,0.45,3.0,8b --- 0 out d3,8b end d 4,,2023-05-19,133,117,718112
2,2,48,2023-05-21,OAK,@,HOU,"L,0-2",6-7,,1,0.2,1,0,0,1,2,0,0,5.4,3.26,4,18,8,3,2,0,1,0,0,0,,2,0,0,0,0,3,1,0,0,0,0,0,0.68,0.014,0.01,0.00%,0.09,4.3,8.0,6b 1-3 2 out d2,7b 12- 1 out d2,,2023-05-21,133,117,718086
3,3,51,2023-05-24,OAK,@,SEA,"L,1-6",4-5,,2,1.1,0,0,0,2,2,0,0,3.0,3.92,6,29,15,7,3,1,1,1,0,0,,3,0,0,0,0,4,0,0,0,0,0,0,0.24,0.019,0.0,0.00%,1.25,5.8,10.0,4b 123 2 out d5,5b 3 out d5,,2023-05-24,133,136,718037
4,4,53,2023-05-26,OAK,,HOU,"L,2-5",6-6,,1,1.0,1,0,0,0,1,0,0,2.25,3.26,3,16,10,1,4,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,0.14,0.008,0.0,0.00%,0.47,3.65,6.0,6t --- 0 out d5,6t 3 out d5,,2023-05-26,133,117,718009
5,5,56,2023-05-29,OAK,,ATL,"W,7-2",5-7,W(1-0),2,3.0,0,0,0,0,4,0,0,1.29,2.11,9,47,29,11,2,4,1,1,0,0,,0,0,0,0,0,9,0,0,0,0,0,0,0.62,0.139,0.0,0.00%,1.41,18.75,27.0,5t --- 0 out d1,7t 3 out a3,,2023-05-29,133,144,717970
6,6,60,2023-06-03,OAK,@,MIA,"L,1-12",7-GF(8),,4,2.0,3,3,3,2,1,0,1,4.0,3.14,12,47,25,7,4,4,4,2,1,0,,0,0,0,0,0,9,2,0,0,0,0,0,0.0,0.0,0.0,0.00%,-1.93,-3.1,0.0,7b --- 0 out d9,8b end d11,,2023-06-03,133,146,717911
7,7,62,2023-06-05,OAK,@,PIT,"L,4-5",5-6,,1,0.1,1,1,1,1,1,0,0,4.82,3.26,3,10,5,2,1,1,0,0,0,0,,2,0,0,0,0,2,0,0,0,0,0,0,2.77,0.026,0.0,0.00%,0.23,-0.45,1.0,5b -23 2 out a2,6b 1-- 0 out a2,,2023-06-05,133,134,717884
8,8,64,2023-06-07,OAK,@,PIT,"W,9-5",6-6,,1,0.2,1,0,0,0,1,0,0,4.5,3.06,3,11,8,2,2,0,2,1,1,0,,0,0,0,0,0,3,0,1,0,0,0,0,0.76,0.016,0.0,0.00%,0.15,2.9,5.0,6b --- 0 out a4,6b --3 2 out a4,,2023-06-07,133,134,717865
9,9,65,2023-06-09,OAK,@,MIL,"W,5-2",7-8,H(1),1,2.0,0,0,0,1,1,0,0,3.75,3.17,7,29,15,4,2,3,2,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,1.05,0.111,0.0,0.00%,1.04,5.9,9.0,7b --- 0 out a3,8b 3 out a3,,2023-06-09,133,158,717831
10,10,67,2023-06-11,OAK,@,MIL,"W,8-6",6-7,H(2),1,1.1,0,0,0,1,1,0,0,3.38,3.26,5,20,11,4,3,2,1,0,1,0,,2,0,0,0,0,4,0,0,0,0,0,0,1.85,0.173,0.0,0.00%,1.03,4.4,7.0,6b 1-3 2 out a1,7b 3 out a2,,2023-06-11,133,158,717800
11,11,70,2023-06-14,OAK,,TBR,"L,3-6",7-8,,2,1.1,2,1,0,2,1,0,0,3.07,3.53,8,32,16,5,2,3,2,2,0,0,,0,0,0,0,0,6,1,0,0,0,0,0,0.79,-0.11,0.0,0.00%,-0.94,2.6,7.0,7t --- 0 out d1,8t 12- 1 out d2,,2023-06-14,133,139,717761
12,12,73,2023-06-17,OAK,,PHI,"L,2-3",8-8,,2,1.0,1,0,0,0,1,0,0,2.87,3.38,4,15,9,2,1,0,3,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.48,0.103,0.0,0.00%,0.47,3.65,6.0,8t --- 0 out tie,8t 3 out tie,,2023-06-17,133,143,717725
13,13,74,2023-06-18,OAK,,PHI,"L,2-3",8-8,,0,0.2,0,0,0,0,0,0,0,2.76,3.38,2,7,4,1,1,0,2,0,1,0,,2,0,0,0,0,2,0,0,0,0,0,0,0.96,0.043,0.0,0.00%,0.88,1.5,2.0,8t 12- 1 out d2,8t 3 out d2,,2023-06-18,133,143,717705
14,14,76,2023-06-21,OAK,@,CLE,"L,6-7",6-6,,2,1.0,0,0,0,0,2,0,0,2.6,3.14,3,19,11,4,1,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.99,0.075,0.0,0.00%,0.5,6.25,9.0,6b --- 0 out tie,6b 3 out tie,,2023-06-21,133,114,717663
15,15,78,2023-06-23,OAK,@,TOR,"W,5-4",8-8,W(2-0),1,1.0,0,0,0,0,3,0,0,2.45,2.82,3,17,12,4,3,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.41,0.107,0.0,0.00%,0.51,12.25,18.0,8b --- 0 out tie,8b 3 out tie,,2023-06-23,133,141,717646
16,16,81,2023-06-27,OAK,,NYY,"W,2-1",6-7,H(3),3,1.2,1,0,0,0,3,0,0,2.25,2.56,5,20,13,4,6,1,1,1,0,0,,1,0,0,1,0,5,0,0,0,0,0,0,1.44,0.177,0.0,0.00%,0.97,9.15,14.0,6t 1-- 1 out a1,7t 3 out a1,,2023-06-27,133,147,717595
17,17,83,2023-06-29,OAK,,NYY,"L,4-10",6-6,,1,0.0,3,5,4,1,0,0,2,4.05,3.01,6,26,12,1,5,1,2,2,0,0,,1,1,0,0,1,3,1,0,0,0,0,0,1.35,-0.312,0.0,0.00%,-5.66,-11.6,-12.0,6t 1-- 1 out d1,6t 1-3 1 out d6,,2023-06-29,133,147,717574
18,18,85,2023-07-01,OAK,,CHW,"W,7-6",7-8,,1,1.2,3,3,3,1,3,0,0,4.98,2.89,9,37,23,7,4,3,2,2,0,0,,0,0,0,0,0,8,2,0,0,0,0,0,2.86,-0.436,0.0,0.00%,-1.64,1.35,5.0,7t --- 0 out tie,8t -23 2 out d1,,2023-07-01,133,145,717538
19,19,87,2023-07-04,OAK,@,DET,"W,1-0",8-8,,2,0.2,1,0,0,1,2,0,0,4.84,2.85,4,20,12,3,0,0,1,0,0,0,,1,0,0,0,0,3,0,0,0,0,0,0,3.87,0.109,0.0,0.00%,0.54,4.3,8.0,8b 1-- 1 out tie,8b 3 out tie,,2023-07-04,133,116,717494
20,20,91,2023-07-08,OAK,@,BOS,"L,3-10",5-6,,3,2.0,5,3,3,0,4,0,0,5.55,2.56,11,52,31,12,5,2,5,3,0,0,,0,0,0,0,0,11,4,0,0,0,0,0,0.08,-0.018,0.0,0.00%,-1.92,3.5,9.0,5b --- 0 out d6,6b 3 out d8,,2023-07-08,133,111,717449
21,21,93,2023-07-14,OAK,,MIN,"L,4-5",6-7,,5,1.2,0,0,0,1,4,0,0,5.19,2.41,6,27,14,9,3,0,1,0,0,0,,2,0,0,0,0,5,0,0,0,0,0,0,2.2,0.214,0.0,0.00%,1.35,11.15,17.0,6t 12- 1 out tie,7t 3 out tie,,2023-07-14,133,142,717409
22,22,95,2023-07-16,OAK,,MIN,"L,4-5",7-7,BL(2-1),1,0.0,2,2,2,2,0,0,0,5.88,2.64,4,21,11,4,1,2,0,0,0,0,,1,1,0,0,0,2,1,0,0,0,0,0,3.06,-0.57,0.0,0.00%,-3.66,-6.4,-6.0,7t 1-- 1 out a1,7t 1-3 1 out d2,,2023-07-16,133,142,717379
23,23,98,2023-07-19,OAK,,BOS,"W,6-5",5-6,,2,1.0,1,1,0,0,1,0,0,5.67,2.59,5,20,14,3,2,3,1,1,0,0,,2,1,0,0,0,5,0,0,0,0,0,1,1.71,-0.091,0.0,0.00%,-0.82,3.65,6.0,5t -23 1 out a3,6t -2- 1 out a1,,2023-07-19,133,111,717344
24,24,101,2023-07-22,OAK,,HOU,"W,4-1",7-8,H(4),2,2.0,1,0,0,0,4,0,0,5.28,2.36,7,36,24,7,3,2,1,1,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,1.11,0.164,0.0,0.00%,0.94,11.9,18.0,7t --- 0 out a1,8t 3 out a2,,2023-07-22,133,117,717295
