Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1,1,82,2023-07-01,WSN,@,PHI,"L,4-19",6-6,,99,1.0,0,0,0,0,2,0,0,0.00,-0.75,3,11,7,1,2,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,.00,0.00%,0.52,6.25,9.00,6b --- 0 out d15,6b 3 out d15,,2023-07-01,120,143,717543
2,2,83,2023-07-02,WSN,@,PHI,"W,5-4",6-6,H(1),0,1.0,1,0,0,1,1,0,0,0.00,1.76,4,13,7,3,1,1,1,0,0,0,,0,0,0,0,0,3,1,0,0,1,0,0,2.12,0.076,.13,0.00%,0.52,3.05,6.00,6b --- 0 out a2,6b 3 out a2,,2023-07-02,120,143,717528
3,3,85,2023-07-04,WSN,,CIN,"L,4-8",9-GF,,1,1.0,0,0,0,2,2,0,0,0.00,2.92,5,25,13,7,1,1,0,0,0,0,,0,0,2,0,0,3,0,0,0,0,0,0,.07,0.004,.00,0.00%,0.51,5.05,9.00,9t --- 0 out d4,9t end d 4,,2023-07-04,120,113,717507
4,4,87,2023-07-06,WSN,,CIN,"L,4-5",6-7,BS(1),1,1.1,1,0,0,0,0,0,0,0.00,3.02,4,14,7,1,0,3,1,1,0,0,,2,1,0,0,0,4,1,0,0,0,0,0,1.55,-0.007,.04,0.00%,-0.05,2.40,4.00,6t 12- 2 out a1,7t 3 out tie,,2023-07-06,120,113,717481
5,5,90,2023-07-09,WSN,,TEX,"W,7-2",8-8,,2,0.2,1,1,1,2,0,0,0,1.80,4.26,5,26,14,3,0,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.25,-0.007,.00,0.00%,-0.93,-2.30,-1.00,8t --- 0 out a6,8t 12- 2 out a5,,2023-07-09,120,140,717432
6,6,92,2023-07-15,WSN,@,STL,"L,6-9",5-5,,5,0.1,4,2,2,0,0,0,0,5.06,4.19,5,17,12,2,1,0,5,2,0,0,,1,1,0,0,0,5,1,0,0,0,0,0,1.08,-0.329,.02,0.00%,-2.76,-5.65,-5.00,5b 1-- 2 out tie,5b 3 out d3,,2023-07-15,120,138,717407
7,7,93,2023-07-16,WSN,@,STL,"L,4-8",6-6,,0,0.2,1,0,0,0,0,0,0,4.50,4.09,3,9,7,2,1,3,0,0,0,0,,2,2,0,0,0,3,0,0,0,0,0,0,.31,-0.027,.00,0.00%,-0.57,0.90,2.00,6b -23 1 out d3,6b 3 out d5,,2023-07-16,120,138,717380
8,8,95,2023-07-18,WSN,@,CHC,"L,3-17",7-7,,1,1.0,2,2,2,1,0,0,0,6.43,4.40,5,13,9,3,0,3,1,1,0,0,,2,2,0,0,0,4,1,0,1,0,0,0,.45,-0.069,.01,0.00%,-2.44,-3.55,-3.00,7b 12- 0 out d2,7b 3 out d6,,2023-07-18,120,112,717353
9,9,97,2023-07-21,WSN,,SFG,"W,5-3",8-8,H(2),2,1.0,0,0,0,0,2,0,0,5.63,3.76,3,17,11,3,2,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.99,0.075,.01,0.00%,0.51,6.25,9.00,8t --- 0 out a2,8t 3 out a2,,2023-07-21,120,137,717326
10,10,101,2023-07-25,WSN,,COL,"W,6-5",7-8,W(1-0),3,1.2,3,1,1,0,2,0,0,5.59,3.26,7,26,18,2,4,2,3,3,0,0,,2,0,1,0,0,7,0,0,0,1,0,0,.63,-0.001,.01,0.00%,0.70,7.95,14.00,7t 1-3 1 out d3,8t 3 out d3,,2023-07-25,120,115,717269
11,11,103,2023-07-27,WSN,@,NYM,"L,1-2",7-7,H(3),1,0.1,0,0,0,0,0,0,0,5.40,3.26,1,3,3,2,0,0,1,1,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,2.61,0.075,.06,0.00%,0.33,0.75,1.00,7b -2- 2 out a1,7b 3 out a1,,2023-07-27,120,121,717241
12,12,107,2023-07-31,WSN,,MIL,"W,5-3",6-7,,3,1.1,1,1,1,0,0,1,0,5.56,4.40,4,11,7,1,0,2,2,0,0,0,,2,0,0,0,0,4,0,0,0,1,0,0,1.57,-0.020,.01,0.00%,0.32,0.40,1.00,6t 12- 1 out tie,7t --- 2 out d1,,2023-07-31,120,158,717192
13,13,109,2023-08-02,WSN,,MIL,"W,3-2",8-8,,1,0.2,0,0,0,0,0,0,0,5.25,4.34,1,2,2,0,0,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,1,0,0,1.20,0.054,.01,0.00%,0.53,1.50,2.00,8t 1-- 1 out d1,8t 3 out d1,,2023-08-02,120,158,717162
14,14,110,2023-08-04,WSN,@,CIN,"W,6-3",9-9,,1,0.1,0,0,0,2,0,0,0,5.11,4.80,3,14,4,2,1,0,1,0,0,0,,0,0,1,0,0,1,0,0,1,0,0,0,2.89,-0.068,.03,0.00%,-0.41,-0.45,1.00,9b --- 0 out tie,9b 12- 1 out tie,,2023-08-04,120,113,717139
15,15,114,2023-08-08,WSN,@,PHI,"W,5-4",5-6,,3,1.0,2,0,0,1,0,0,0,4.73,4.91,6,23,14,4,0,2,3,2,1,0,,1,1,2,0,0,5,0,0,0,0,0,0,.73,-0.091,.02,0.00%,-0.69,0.45,3.00,5b 1-- 2 out d1,6b 12- 2 out d2,2.0,2023-08-08,120,143,717096
