Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1,8,12,2021-04-14,TBR,,TEX,"L,1-5",GS-6,L(0-1),99,5.0,4,1,1,2,2,1,0,1.8,6.17,21,,,13,7,11,6,3,0,0,55.0,,,0,0,0,19,0,0,0,0,0,0,0.77,0.042,0.72,0.02%,0.46,,,1t start tie,6t 12- 0 out d1,,2021-04-14,139,140,634496
2,9,17,2021-04-19,TBR,@,KCR,"W,4-1",GS-6,W(1-1),4,5.1,2,0,0,0,3,0,1,0.87,4.33,18,65.0,46.0,16,9,10,4,1,0,0,67.0,,,0,0,0,17,1,0,0,1,0,0,1.02,0.326,1.04,0.20%,2.94,,,1b start tie,6b --- 1 out a2,,2021-04-19,139,118,634396
3,10,22,2021-04-25,TBR,,TOR,"L,0-1",3-7,L(1-2),5,4.1,4,1,1,2,3,0,0,1.23,3.99,19,71.0,46.0,8,8,5,9,4,0,0,,0.0,0.0,0,0,0,17,0,0,0,0,0,0,1.39,0.089,1.66,0.06%,1.06,,,3t --- 2 out tie,7t 3 out d1,,2021-04-25,139,141,634376
4,11,28,2021-05-01,TBR,,HOU,"L,1-3",GS-6,L(1-3),5,6.0,3,3,3,5,4,0,0,2.18,4.09,25,,,16,6,9,7,4,0,0,53.0,,,0,0,0,20,1,0,1,1,0,0,0.74,-0.106,0.7,-0.06%,-0.06,,,1t start tie,6t 3 out d3,,2021-05-01,139,117,634307
5,12,33,2021-05-06,TBR,@,LAA,"W,8-3",3-7,W(2-3),4,5.0,6,3,3,1,3,1,0,2.81,4.3,20,67.0,40.0,12,4,10,6,5,0,0,,0.0,0.0,0,0,0,19,2,0,0,1,0,0,0.57,-0.158,0.61,-0.10%,-0.32,,,3b --- 0 out tie,7b 3 out d2,,2021-05-06,139,108,634247
6,13,37,2021-05-11,TBR,,NYY,"L,1-3",5-8,,4,4.0,3,1,1,1,1,1,1,2.73,4.72,16,63.0,37.0,9,2,9,4,1,0,0,,0.0,0.0,0,0,0,14,1,0,0,1,0,0,0.69,0.043,0.85,0.03%,0.96,,,5t --- 0 out d1,8t 3 out d2,,2021-05-11,139,147,634169
7,14,42,2021-05-16,TBR,,NYM,"W,7-1",GS-5,W(3-3),4,5.0,1,0,0,0,5,0,0,2.34,4.21,16,53.0,38.0,8,9,7,4,2,0,0,70.0,,,0,0,0,16,0,0,0,1,0,1,0.94,0.271,0.96,0.17%,2.45,,,1t start tie,5t 3 out a2,,2021-05-16,139,121,634071
8,15,48,2021-05-23,TBR,@,TOR,"W,6-4",3-8,W(4-3),6,6.0,8,4,4,1,2,2,0,2.88,4.67,27,79.0,56.0,10,6,12,12,6,0,0,,0.0,0.0,0,0,0,26,0,0,0,0,0,0,1.18,-0.221,1.74,-0.20%,-0.74,,,3b --- 0 out a1,8b 3 out d2,,2021-05-23,139,141,633975
9,16,54,2021-05-30,TBR,,PHI,"W,6-2",1-6,W(5-3),6,4.2,4,2,2,0,5,0,0,2.98,4.3,17,75.0,47.0,13,8,7,5,3,0,0,,2.0,0.0,0,0,0,17,0,0,0,1,0,0,0.93,0.22,1.18,0.17%,1.77,,,1t 1-3 2 out tie,6t 1-3 1 out a4,,2021-05-30,139,143,633892
10,17,59,2021-06-04,TBR,@,TEX,"L,4-5",GS-7,L(5-4),4,7.0,10,5,5,0,2,1,0,3.44,4.32,31,100.0,72.0,12,8,20,9,5,1,0,39.0,,,0,0,0,29,1,0,0,0,0,0,0.64,-0.188,0.85,-0.15%,-1.35,,,1b start tie,7b 3 out d5,,2021-06-04,139,140,633830
11,18,66,2021-06-13,TBR,,BAL,"W,7-1",3-6,W(6-4),8,4.0,0,0,0,1,3,0,0,3.2,4.18,13,,,6,9,6,3,2,0,0,,0.0,0.0,0,0,0,12,0,0,0,0,0,0,0.77,0.231,0.92,0.17%,1.96,,,3t --- 0 out d1,6t 3 out a2,,2021-06-13,139,110,633737
12,19,72,2021-06-19,TBR,@,SEA,"L,5-6",GS-7,,5,6.1,7,5,5,2,5,1,0,3.59,4.22,28,110.0,69.0,17,14,12,9,6,2,0,42.0,,,0,0,0,26,2,0,0,0,0,0,1.01,-0.272,1.42,-0.23%,-1.79,,,1b start tie,7b --- 1 out d1,,2021-06-19,139,136,633661
13,20,77,2021-06-25,TBR,,LAA,"W,4-3",3-6,,5,3.2,2,1,0,1,2,0,0,3.39,4.15,15,51.0,35.0,11,3,7,5,1,1,0,,0.0,0.0,0,0,0,14,1,0,0,0,0,0,1.26,0.103,1.97,0.10%,0.73,,,3t --- 0 out a1,6t 1-- 2 out tie,,2021-06-25,139,108,633535
14,21,87,2021-07-07,TBR,,CLE,"W,4-0",3-5,W(7-4),11,2.2,0,0,0,1,2,0,0,3.26,4.1,9,37.0,25.0,5,4,5,1,1,0,0,,0.0,0.0,0,0,0,8,0,0,0,1,0,1,1.22,0.185,1.71,0.16%,1.24,,,3t --- 0 out a1,5t 1-- 2 out a2,2.0,2021-07-07,139,114,633360
