Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1,139,2021-04-05,TEX,,TOR,"L,2-6",GS-4,L(0-1),99,4.0,4.0,4.0,4.0,3.0,7.0,2.0,0,9.0,8.42,18.0,95.0,59.0,14,7,3,5,2,0,0,42.0,,,0,1,0,15,0.0,0.0,0.0,0,0,0,0.82,-0.222,0.72,-0.12%,-1.92,,,1t start tie,4t 3 out d4,,2021-04-05,140,141,634612,2021,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,140,2021-04-11,TEX,,SDP,"L,0-2",GS-7,L(0-2),5,7.0,2.0,1.0,1.0,3.0,3.0,1.0,0,4.09,6.53,26.0,91.0,55.0,16,4,7,13,5,1,0,69.0,,,0,0,0,23,0.0,0.0,0.0,0,0,0,0.89,0.255,0.71,0.12%,2.65,,,1t start tie,7t 3 out d1,,2021-04-11,140,135,632233,2021,7.0,4.0,4.0,18.0,2.0,4.0,4.0,3.0,7.0,2.0,10.0,9.0,1.75,4.0,4.0,18.0,2.0,4.0,4.0,3.0,7.0,2.0,10.0,9.0,1.75,4.0,4.0,18.0,2.0,4.0,4.0,3.0,7.0,2.0,10.0,9.0,1.75
3,141,2021-04-16,TEX,,BAL,"L,2-5",GS-5,L(0-3),4,5.0,7.0,5.0,5.0,1.0,6.0,2.0,0,5.63,6.55,23.0,82.0,57.0,10,11,6,10,5,1,0,38.0,,,0,0,0,21,3.0,1.0,0.0,0,1,0,0.85,-0.2,0.79,-0.11%,-2.39,,,1t start tie,5t 3 out d5,,2021-04-16,140,110,634463,2021,5.0,11.0,6.0,44.0,3.0,5.0,5.0,6.0,10.0,3.0,15.0,4.091,1.091,11.0,6.0,44.0,3.0,5.0,5.0,6.0,10.0,3.0,15.0,4.091,1.091,11.0,6.0,44.0,3.0,5.0,5.0,6.0,10.0,3.0,15.0,4.091,1.091
4,142,2021-04-21,TEX,@,LAA,"W,7-4",GS-6,,4,6.0,7.0,3.0,3.0,0.0,6.0,3.0,0,5.32,6.85,24.0,89.0,58.0,14,8,7,11,5,2,0,52.0,,,0,0,0,24,0.0,0.0,0.0,0,0,0,0.57,-0.059,0.54,-0.03%,0.22,,,1b start tie,6b 3 out d2,,2021-04-21,140,108,634430,2021,6.0,16.0,13.0,67.0,5.0,10.0,10.0,7.0,16.0,9.0,33.0,5.625,1.25,16.0,13.0,67.0,5.0,10.0,10.0,7.0,16.0,9.0,33.0,5.625,1.25,16.0,13.0,67.0,5.0,10.0,10.0,7.0,16.0,9.0,33.0,5.625,1.25
5,143,2021-04-27,TEX,,LAA,"W,6-1",GS-6,W(1-3),5,5.1,8.0,1.0,1.0,0.0,4.0,0.0,0,4.61,5.84,24.0,95.0,66.0,20,8,9,11,4,3,0,52.0,,,0,0,0,24,3.0,0.0,0.0,0,0,0,1.11,0.144,0.83,0.07%,1.59,,,1t start tie,6t 1-- 1 out a4,,2021-04-27,140,108,634359,2021,5.333,22.0,20.0,91.0,8.0,13.0,13.0,7.0,22.0,12.0,49.0,5.318,1.227,22.0,20.0,91.0,8.0,13.0,13.0,7.0,22.0,12.0,49.0,5.318,1.227,22.0,20.0,91.0,8.0,13.0,13.0,7.0,22.0,12.0,49.0,5.318,1.227
6,144,2021-05-02,TEX,,BOS,"W,5-3",GS-6,,4,6.0,7.0,2.0,2.0,1.0,5.0,1.0,1,4.32,5.63,24.0,86.0,58.0,15,9,6,11,6,2,0,54.0,,,0,1,0,22,2.0,0.0,0.0,2,0,0,1.1,0.088,0.81,0.04%,1.13,,,1t start tie,6t 3 out d1,,2021-05-02,140,111,634268,2021,6.0,27.333,28.0,115.0,8.0,14.0,14.0,7.0,26.0,15.0,60.0,4.61,1.28,27.333,28.0,115.0,8.0,14.0,14.0,7.0,26.0,15.0,60.0,4.61,1.28,27.333,28.0,115.0,8.0,14.0,14.0,7.0,26.0,15.0,60.0,4.61,1.28
7,145,2021-05-07,TEX,,SEA,"L,4-5",GS-7,,4,6.2,6.0,4.0,4.0,1.0,5.0,2.0,1,4.5,5.77,26.0,100.0,60.0,21,7,4,15,5,2,0,50.0,,,0,0,0,24,1.0,0.0,0.0,0,0,0,1.01,0.007,1.1,0.01%,-0.46,,,1t start tie,7t --- 2 out tie,,2021-05-07,140,136,634253,2021,6.667,33.333,35.0,139.0,9.0,16.0,16.0,8.0,31.0,18.0,72.0,4.32,1.29,29.333,31.0,121.0,7.0,12.0,12.0,5.0,24.0,16.0,62.0,3.682,1.227,33.333,35.0,139.0,9.0,16.0,16.0,8.0,31.0,18.0,72.0,4.32,1.29
8,146,2021-05-13,TEX,@,HOU,"L,3-4",GS-5,,5,5.0,8.0,3.0,3.0,3.0,3.0,0.0,0,4.6,5.55,25.0,,,19,4,9,10,5,2,0,39.0,,,0,0,0,21,3.0,0.0,0.0,0,0,0,1.65,-0.03,1.62,-0.02%,-0.37,,,1b start a 1,5b 3 out tie,,2021-05-13,140,117,634141,2021,5.0,40.0,41.0,165.0,11.0,20.0,20.0,9.0,36.0,21.0,85.0,4.5,1.25,29.0,35.0,121.0,8.0,15.0,15.0,3.0,26.0,18.0,70.0,4.655,1.31,40.0,41.0,165.0,11.0,20.0,20.0,9.0,36.0,21.0,85.0,4.5,1.25
9,147,2021-05-18,TEX,,NYY,"L,4-7",GS-4,L(1-4),4,3.2,7.0,5.0,5.0,1.0,1.0,0.0,0,5.18,5.39,18.0,76.0,49.0,10,8,4,12,8,1,0,27.0,,,0,0,0,17,2.0,0.0,0.0,1,0,0,1.02,-0.183,0.67,-0.07%,-1.7,,,1t start tie,4t 123 2 out tie,,2021-05-18,140,147,634067,2021,3.667,45.0,49.0,190.0,11.0,23.0,23.0,12.0,39.0,24.0,96.0,4.6,1.356,29.0,36.0,123.0,6.0,13.0,13.0,5.0,23.0,15.0,63.0,4.034,1.414,45.0,49.0,190.0,11.0,23.0,23.0,12.0,39.0,24.0,96.0,4.6,1.356
10,148,2021-05-23,TEX,,HOU,"W,3-2",GS-7,,4,7.0,3.0,0.0,0.0,2.0,2.0,0.0,0,4.53,5.15,26.0,107.0,69.0,20,5,8,14,7,4,0,71.0,,,1,0,1,24,0.0,0.0,0.0,0,0,1,1.11,0.463,0.8,0.20%,3.65,,,1t start tie,7t 3 out a1,,2021-05-23,140,117,634025,2021,7.0,48.667,56.0,208.0,11.0,28.0,28.0,13.0,40.0,26.0,105.0,5.178,1.418,26.667,36.0,117.0,3.0,15.0,15.0,6.0,18.0,14.0,56.0,5.062,1.575,48.667,56.0,208.0,11.0,28.0,28.0,13.0,40.0,26.0,105.0,5.178,1.418
11,149,2021-05-29,TEX,@,SEA,"L,2-3",GS-7,L(1-5),5,7.0,6.0,2.0,2.0,1.0,2.0,1.0,0,4.31,5.12,27.0,98.0,65.0,16,4,9,15,3,2,0,58.0,,,0,0,0,26,0.0,0.0,0.0,1,0,0,1.05,0.067,0.49,0.02%,1.47,,,1b start tie,7b 3 out d1,,2021-05-29,140,136,633947,2021,7.0,55.667,59.0,234.0,11.0,28.0,28.0,15.0,42.0,26.0,108.0,4.527,1.329,28.333,31.0,119.0,3.0,14.0,14.0,8.0,16.0,11.0,48.0,4.447,1.376,55.667,59.0,234.0,11.0,28.0,28.0,15.0,42.0,26.0,108.0,4.527,1.329
12,150,2021-06-03,TEX,@,COL,"L,6-11",GS-4,L(1-6),4,3.2,8.0,5.0,5.0,0.0,2.0,1.0,1,4.75,5.19,20.0,77.0,56.0,10,4,9,8,3,0,0,27.0,,,0,0,0,19,3.0,0.0,0.0,0,0,0,0.77,-0.207,0.18,-0.03%,-2.95,,,1b start tie,4b 1-- 2 out d5,,2021-06-03,140,115,633860,2021,3.667,62.667,65.0,261.0,12.0,30.0,30.0,16.0,44.0,27.0,117.0,4.309,1.293,29.333,30.0,122.0,3.0,14.0,14.0,8.0,13.0,9.0,45.0,4.295,1.295,62.667,65.0,261.0,12.0,30.0,30.0,16.0,44.0,27.0,117.0,4.309,1.293
13,151,2021-06-11,TEX,@,LAD,"L,1-12",GS-3,L(1-7),7,2.2,8.0,8.0,7.0,1.0,1.0,3.0,0,5.48,5.69,18.0,58.0,39.0,12,3,5,11,4,0,0,12.0,,,0,0,0,16,2.0,0.0,0.0,0,0,1,0.42,-0.392,0.05,-0.03%,-6.66,,,1b start tie,3b 1-- 2 out d8,,2021-06-11,140,119,633761,2021,2.667,66.333,73.0,281.0,13.0,35.0,35.0,16.0,46.0,31.0,131.0,4.749,1.342,26.333,32.0,116.0,2.0,15.0,15.0,7.0,10.0,10.0,46.0,5.127,1.481,66.333,73.0,281.0,13.0,35.0,35.0,16.0,46.0,31.0,131.0,4.749,1.342
14,152,2021-06-18,TEX,,MIN,"L,5-7",GS-5,,6,5.0,6.0,4.0,4.0,2.0,4.0,1.0,0,5.59,5.67,22.0,,,15,6,8,8,6,0,0,41.0,,,0,0,0,20,1.0,0.0,0.0,2,0,1,1.07,-0.166,0.04,0.00%,-1.39,,,1t start tie,5t 3 out d1,,2021-06-18,140,142,633579,2021,5.0,69.0,81.0,299.0,16.0,43.0,42.0,17.0,47.0,36.0,150.0,5.478,1.42,24.0,32.0,109.0,5.0,20.0,19.0,5.0,8.0,12.0,54.0,7.125,1.542,69.0,81.0,299.0,16.0,43.0,42.0,17.0,47.0,36.0,150.0,5.478,1.42
15,153,2021-06-23,TEX,,OAK,"W,5-3",GS-7,,4,6.0,6.0,2.0,2.0,0.0,5.0,1.0,1,5.4,5.56,25.0,88.0,59.0,18,11,8,11,4,2,0,57.0,,,0,0,0,23,2.0,0.0,0.0,0,0,0,1.16,0.127,0.01,0.00%,1.5,,,1t start tie,7t -2- 0 out a1,,2021-06-23,140,133,633553,2021,6.0,74.0,87.0,321.0,17.0,47.0,46.0,19.0,51.0,38.0,160.0,5.595,1.432,25.333,31.0,113.0,6.0,19.0,18.0,6.0,11.0,12.0,55.0,6.395,1.461,74.0,87.0,321.0,17.0,47.0,46.0,19.0,51.0,38.0,160.0,5.595,1.432
16,154,2021-06-29,TEX,@,OAK,"W,5-4",GS-7,W(2-7),5,7.0,4.0,2.0,2.0,1.0,6.0,1.0,0,5.17,5.41,26.0,,,13,14,10,9,4,1,0,66.0,,,0,0,0,25,2.0,0.0,0.0,0,0,0,0.96,0.209,0.02,0.00%,1.47,,,1b start tie,7b 3 out a1,,2021-06-29,140,133,633488,2021,7.0,80.0,93.0,346.0,18.0,49.0,48.0,19.0,56.0,41.0,171.0,5.4,1.4,24.333,34.0,112.0,7.0,21.0,20.0,4.0,14.0,15.0,63.0,7.397,1.562,80.0,93.0,346.0,18.0,49.0,48.0,19.0,56.0,41.0,171.0,5.4,1.4
17,155,2021-07-04,TEX,@,SEA,"L,1-4",GS-7,L(2-8),4,7.0,4.0,4.0,4.0,1.0,5.0,2.0,1,5.17,5.48,27.0,94.0,59.0,16,8,3,17,2,3,0,57.0,,,0,0,0,25,0.0,0.0,0.0,0,0,0,0.71,-0.133,0.01,0.00%,-0.53,,,1b start tie,7b 3 out d3,,2021-07-04,140,136,633425,2021,7.0,87.0,97.0,372.0,19.0,51.0,50.0,20.0,62.0,44.0,180.0,5.172,1.345,24.333,32.0,111.0,7.0,21.0,20.0,4.0,18.0,17.0,63.0,7.397,1.479,87.0,97.0,372.0,19.0,51.0,50.0,20.0,62.0,44.0,180.0,5.172,1.345
18,156,2021-07-10,TEX,,OAK,"L,4-8",GS-7,,5,6.1,5.0,3.0,3.0,0.0,6.0,3.0,0,5.11,5.6,24.0,,,23,8,4,14,3,3,0,57.0,,,0,0,0,24,2.0,0.0,0.0,0,0,0,0.81,-0.021,0.01,0.00%,-0.05,,,1t start tie,7t -2- 1 out d1,,2021-07-10,140,133,633316,2021,6.333,94.0,101.0,399.0,21.0,55.0,54.0,21.0,67.0,46.0,190.0,5.17,1.298,27.667,28.0,118.0,8.0,20.0,19.0,5.0,21.0,15.0,59.0,6.181,1.193,94.0,101.0,399.0,21.0,55.0,54.0,21.0,67.0,46.0,190.0,5.17,1.298
19,157,2021-07-18,TEX,@,TOR,"L,0-10",GS-2,L(2-9),7,1.2,8.0,10.0,10.0,2.0,0.0,4.0,0,5.91,6.13,15.0,42.0,26.0,2,4,4,9,4,0,0,-3.0,,,0,0,0,13,1.0,0.0,0.0,0,0,0,0.82,-0.42,0.0,0.00%,-9.03,,,1b start tie,2b --- 2 out d10,2.0,2021-07-18,140,141,633292,2021,1.667,100.333,106.0,423.0,24.0,58.0,57.0,21.0,73.0,51.0,206.0,5.113,1.266,31.333,25.0,124.0,8.0,15.0,15.0,4.0,26.0,15.0,56.0,4.309,0.926,100.333,106.0,423.0,24.0,58.0,57.0,21.0,73.0,51.0,206.0,5.113,1.266
20,158,2021-07-22,TEX,@,DET,"L,5-7",GS-4,L(2-10),3,4.0,5.0,6.0,5.0,2.0,4.0,3.0,0,6.11,6.37,20.0,71.0,46.0,10,9,5,9,2,0,0,32.0,,,0,0,0,17,1.0,1.0,0.0,0,1,1,0.54,-0.329,0.0,0.00%,-3.98,,,1b start tie,4b 3 out d5,,2021-07-22,140,116,633258,2021,4.0,102.0,114.0,438.0,28.0,68.0,67.0,23.0,73.0,56.0,227.0,5.912,1.343,28.0,27.0,117.0,11.0,21.0,21.0,4.0,22.0,18.0,67.0,6.75,1.107,102.0,114.0,438.0,28.0,68.0,67.0,23.0,73.0,56.0,227.0,5.912,1.343
21,159,2021-08-01,TEX,,SEA,"W,4-3",GS-5,,9,5.0,3.0,2.0,2.0,3.0,1.0,0.0,1,6.0,6.31,20.0,93.0,54.0,14,6,4,11,7,0,0,51.0,,,0,0,0,16,1.0,0.0,0.0,0,0,0,1.15,0.047,0.0,0.00%,0.61,,,1t start tie,5t 3 out d1,,2021-08-01,140,136,633075,2021,5.0,106.0,119.0,458.0,31.0,74.0,72.0,25.0,77.0,61.0,244.0,6.113,1.358,26.0,26.0,112.0,13.0,25.0,24.0,6.0,21.0,20.0,73.0,8.308,1.231,106.0,119.0,458.0,31.0,74.0,72.0,25.0,77.0,61.0,244.0,6.113,1.358
22,160,2021-08-06,TEX,@,OAK,"L,1-4",GS-6,,4,6.0,2.0,1.0,1.0,3.0,2.0,0.0,2,5.77,6.25,23.0,93.0,52.0,13,3,8,8,6,0,0,63.0,,,0,0,0,18,1.0,0.0,0.0,2,0,0,1.1,0.212,0.0,0.00%,1.97,,,1b start tie,6b 3 out tie,,2021-08-06,140,133,633017,2021,6.0,107.0,118.0,460.0,29.0,72.0,70.0,25.0,71.0,60.0,238.0,5.888,1.336,24.0,25.0,106.0,12.0,25.0,24.0,8.0,16.0,18.0,68.0,9.0,1.375,111.0,122.0,478.0,31.0,76.0,74.0,28.0,78.0,62.0,248.0,6.0,1.351
