Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1,6,2021-04-05,HOU,@,LAA,"L,6-7",GS-4,,99,3.1,4.0,2.0,2.0,3.0,1.0,1.0,0,5.4,9.17,17.0,,,11,3,2,11,4,1,0,42.0,,,0,0,0,14,0.0,0.0,0.0,0,0,0,1.14,-0.149,1.44,-0.11%,-1.47,,,1b start a 3,4b 123 1 out a2,,2021-04-05,117,108,634552,2021,3.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,7,2021-04-12,HOU,,DET,"L,2-6",5-GF,,6,4.1,2.0,0.0,0.0,1.0,7.0,0.0,0,2.35,4.34,16.0,62.0,46.0,10,14,1,7,2,3,0,,1.0,0.0,0,0,0,15,1.0,0.0,0.0,0,0,0,0.06,0.017,0.07,0.01%,2.35,,,5t 1-- 2 out d6,9t end d 5,,2021-04-12,117,116,632220,2021,4.333,3.333,4.0,17.0,1.0,2.0,2.0,3.0,1.0,1.0,7.0,5.4,2.1,3.333,4.0,17.0,1.0,2.0,2.0,3.0,1.0,1.0,7.0,5.4,2.1,3.333,4.0,17.0,1.0,2.0,2.0,3.0,1.0,1.0,7.0,5.4,2.1
3,8,2021-04-20,HOU,@,COL,"L,2-6",GS-6,L(0-1),7,5.2,3.0,2.0,2.0,3.0,6.0,0.0,1,2.7,3.85,22.0,,,11,14,7,5,0,1,0,58.0,,,0,1,0,18,2.0,0.0,1.0,1,0,0,1.18,0.313,1.03,0.16%,2.99,,,1b start tie,6b 12- 2 out a1,,2021-04-20,117,115,634406,2021,5.667,7.667,6.0,33.0,1.0,2.0,2.0,4.0,8.0,2.0,10.0,2.348,1.304,7.667,6.0,33.0,1.0,2.0,2.0,4.0,8.0,2.0,10.0,2.348,1.304,7.667,6.0,33.0,1.0,2.0,2.0,4.0,8.0,2.0,10.0,2.348,1.304
4,9,2021-04-25,HOU,,LAA,"L,2-4",7-8,L(0-2),4,1.2,2.0,1.0,1.0,0.0,0.0,1.0,1,3.0,4.84,8.0,26.0,19.0,5,3,3,4,0,2,0,,0.0,0.0,0,0,0,7,1.0,0.0,0.0,0,0,0,0.95,-0.175,0.97,-0.11%,-0.19,,,7t --- 0 out d2,8t 1-- 2 out d1,,2021-04-25,117,108,634403,2021,1.667,13.333,9.0,55.0,1.0,4.0,4.0,7.0,14.0,4.0,15.0,2.7,1.2,13.333,9.0,55.0,1.0,4.0,4.0,7.0,14.0,4.0,15.0,2.7,1.2,13.333,9.0,55.0,1.0,4.0,4.0,7.0,14.0,4.0,15.0,2.7,1.2
5,10,2021-04-29,HOU,,SEA,"L,0-1",GS-5,L(0-3),3,5.0,3.0,1.0,1.0,0.0,6.0,1.0,0,2.7,4.47,18.0,73.0,46.0,14,13,5,7,1,1,0,63.0,,,0,0,0,18,1.0,0.0,0.0,0,0,0,0.86,0.147,1.02,0.11%,1.64,,,1t start tie,5t 3 out d1,,2021-04-29,117,136,634353,2021,5.0,15.0,11.0,63.0,2.0,5.0,5.0,7.0,14.0,6.0,21.0,3.0,1.2,15.0,11.0,63.0,2.0,5.0,5.0,7.0,14.0,6.0,21.0,3.0,1.2,15.0,11.0,63.0,2.0,5.0,5.0,7.0,14.0,6.0,21.0,3.0,1.2
6,11,2021-05-05,HOU,@,NYY,"L,3-6",GS-5,,5,4.2,2.0,3.0,3.0,2.0,8.0,1.0,1,3.28,4.47,19.0,92.0,53.0,12,11,3,5,0,1,0,54.0,,,0,0,0,16,0.0,0.0,0.0,0,0,0,0.87,0.005,0.88,0.00%,0.16,,,1b start tie,5b 12- 2 out a1,,2021-05-05,117,147,634217,2021,4.667,20.0,14.0,81.0,3.0,6.0,6.0,7.0,20.0,8.0,28.0,2.7,1.05,20.0,14.0,81.0,3.0,6.0,6.0,7.0,20.0,8.0,28.0,2.7,1.05,20.0,14.0,81.0,3.0,6.0,6.0,7.0,20.0,8.0,28.0,2.7,1.05
7,12,2021-05-10,HOU,,LAA,"L,4-5",GS-6,,4,5.1,5.0,3.0,3.0,2.0,7.0,2.0,0,3.6,4.84,23.0,92.0,63.0,26,7,5,9,1,3,0,51.0,,,1,0,0,21,1.0,0.0,0.0,0,0,0,1.18,0.018,1.41,0.01%,-0.12,,,1t start tie,6t --- 1 out a1,,2021-05-10,117,108,634181,2021,5.333,24.667,16.0,100.0,4.0,9.0,9.0,9.0,28.0,9.0,33.0,3.284,1.014,21.333,12.0,83.0,3.0,7.0,7.0,6.0,27.0,8.0,26.0,2.953,0.844,24.667,16.0,100.0,4.0,9.0,9.0,9.0,28.0,9.0,33.0,3.284,1.014
8,13,2021-05-15,HOU,,TEX,"W,6-5",GS-5,W(1-3),4,5.0,5.0,1.0,1.0,2.0,5.0,0.0,0,3.34,4.48,21.0,94.0,54.0,17,11,6,8,3,1,0,56.0,,,0,0,0,18,0.0,1.0,0.0,1,1,0,0.83,0.136,1.09,0.11%,1.64,,,1t start tie,5t 3 out a3,,2021-05-15,117,140,634161,2021,5.0,30.0,21.0,123.0,6.0,12.0,12.0,11.0,35.0,12.0,45.0,3.6,1.067,22.333,15.0,90.0,5.0,10.0,10.0,7.0,27.0,10.0,35.0,4.03,0.985,30.0,21.0,123.0,6.0,12.0,12.0,11.0,35.0,12.0,45.0,3.6,1.067
9,14,2021-05-20,HOU,@,OAK,"W,8-4",GS-5,W(2-3),4,5.0,3.0,2.0,2.0,2.0,7.0,2.0,0,3.38,4.77,20.0,92.0,58.0,21,11,2,9,4,0,0,58.0,,,0,0,0,18,0.0,0.0,0.0,0,0,0,0.87,0.036,1.48,0.04%,0.48,,,1b start tie,5b 3 out a3,,2021-05-20,117,133,634045,2021,5.0,35.0,26.0,144.0,6.0,13.0,13.0,13.0,40.0,13.0,52.0,3.343,1.114,21.667,17.0,89.0,5.0,9.0,9.0,6.0,26.0,9.0,37.0,3.738,1.062,35.0,26.0,144.0,6.0,13.0,13.0,13.0,40.0,13.0,52.0,3.343,1.114
10,15,2021-05-26,HOU,,LAD,"W,5-2",GS-6,W(3-3),5,6.0,3.0,1.0,1.0,1.0,7.0,0.0,0,3.13,4.32,22.0,100.0,65.0,23,9,6,8,3,0,0,68.0,,,0,0,0,21,0.0,0.0,0.0,0,0,0,1.04,0.254,1.29,0.19%,2.16,,,1t start tie,6t 3 out tie,,2021-05-26,117,119,634021,2021,6.0,40.0,29.0,164.0,8.0,15.0,15.0,15.0,47.0,15.0,61.0,3.375,1.1,25.0,18.0,101.0,6.0,10.0,10.0,8.0,33.0,9.0,40.0,3.6,1.04,40.0,29.0,164.0,8.0,15.0,15.0,15.0,47.0,15.0,61.0,3.375,1.1
