Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_10,H_10,BF_10,HR_10,R_10,ER_10,BB_10,SO_10,XB_against_10,TB_against_10,ERA_10,WHIP_10,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_3,H_3,BF_3,HR_3,R_3,ER_3,BB_3,SO_3,XB_against_3,TB_against_3,ERA_3,WHIP_3,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1,16,2021-05-31,DET,@,MIL,"L,2-3",3-5,,99,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0,0.0,2.84,9.0,38.0,23.0,10,1,2,4,1,0,0,,0.0,0.0,0,1,0,8,0.0,0.0,0.0,0,0,0,0.95,0.182,0.31,0.04%,1.52,,,3b --- 0 out tie,5b 3 out tie,,2021-05-31,116,158,633948,2021,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,17,2021-06-04,DET,@,CHW,"L,8-9",7-7,BS(1),3,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0,2.45,7.26,3.0,18.0,10.0,3,1,0,2,0,0,0,,0.0,0.0,0,0,0,2,0.0,0.0,0.0,0,0,0,1.96,-0.151,0.71,-0.03%,-0.58,,,7b --- 0 out a1,7b --- 2 out tie,,2021-06-04,116,145,633840,2021,0.667,3.0,0.0,9.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.333,3.0,0.0,9.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.333,3.0,0.0,9.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.333,3.0,0.0,9.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.333,3.0,0.0,9.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.333
1,18,2022-04-10,DET,,CHW,"L,1-10",7-8,,99,1.1,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0,1.61,5.0,20.0,13.0,3,4,1,3,2,0,0,,0.0,0.0,0,0,0,5,0.0,0.0,0.0,0,0,0,0.0,0.001,0.0,0.00%,0.57,4.4,7.0,7t --- 2 out d8,8t 3 out d8,,2022-04-10,116,145,662887,2022,1.333,3.667,1.0,12.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.455,0.818,3.667,1.0,12.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.455,0.818,3.667,1.0,12.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.455,0.818,3.667,1.0,12.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.455,0.818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,19,2022-04-13,DET,,BOS,"L,7-9",4-6,,2,2.1,2.0,0.0,0.0,1.0,2.0,0.0,0,0.0,2.29,10.0,,,4,3,2,5,0,0,0,,1.0,1.0,0,0,0,9,0.0,0.0,0.0,0,0,0,0.14,-0.01,0.13,-0.01%,0.25,7.45,13.0,4t -2- 2 out d5,6t 3 out d5,,2022-04-13,116,111,662885,2022,2.333,5.0,2.0,17.0,1.0,1.0,1.0,2.0,3.0,1.0,5.0,1.8,0.8,5.0,2.0,17.0,1.0,1.0,1.0,2.0,3.0,1.0,5.0,1.8,0.8,5.0,2.0,17.0,1.0,1.0,1.0,2.0,3.0,1.0,5.0,1.8,0.8,5.0,2.0,17.0,1.0,1.0,1.0,2.0,3.0,1.0,5.0,1.8,0.8,1.333,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.75
3,20,2022-04-19,DET,,NYY,"L,2-4",2-2,,5,0.1,0.0,1.0,1.0,1.0,1.0,0.0,0,2.25,2.61,2.0,12.0,6.0,2,2,0,0,0,0,0,,0.0,0.0,1,0,0,1,0.0,0.0,0.0,0,0,0,0.91,-0.039,0.87,-0.02%,-0.45,0.15,1.0,2t --- 0 out d2,2t --3 1 out d2,,2022-04-19,116,147,662896,2022,0.333,7.333,4.0,27.0,1.0,1.0,1.0,3.0,5.0,1.0,7.0,1.227,0.955,7.333,4.0,27.0,1.0,1.0,1.0,3.0,5.0,1.0,7.0,1.227,0.955,7.333,4.0,27.0,1.0,1.0,1.0,3.0,5.0,1.0,7.0,1.227,0.955,4.333,4.0,18.0,1.0,1.0,1.0,2.0,3.0,1.0,7.0,2.077,1.385,3.667,3.0,15.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,1.091
4,21,2022-04-24,DET,,COL,"L,2-6",4-6,,4,2.1,2.0,1.0,1.0,0.0,1.0,0.0,0,2.84,2.48,8.0,45.0,24.0,6,1,2,5,2,1,0,,1.0,0.0,0,1,0,8,1.0,0.0,0.0,0,0,0,0.23,-0.012,0.19,-0.01%,0.15,4.05,7.0,4t 1-- 2 out d4,6t 3 out d5,,2022-04-24,116,115,662853,2022,2.333,7.667,4.0,29.0,1.0,2.0,2.0,4.0,6.0,1.0,7.0,2.348,1.043,7.667,4.0,29.0,1.0,2.0,2.0,4.0,6.0,1.0,7.0,2.348,1.043,7.667,4.0,29.0,1.0,2.0,2.0,4.0,6.0,1.0,7.0,2.348,1.043,4.0,3.0,17.0,0.0,1.0,1.0,2.0,4.0,0.0,3.0,2.25,1.25,4.0,3.0,17.0,0.0,1.0,1.0,2.0,4.0,0.0,3.0,2.25,1.25
5,22,2022-05-09,DET,,OAK,"L,0-2",8-GF,,14,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0,2.16,2.39,6.0,26.0,17.0,4,3,4,1,0,0,0,,0.0,0.0,0,0,0,6,0.0,0.0,0.0,0,0,0,0.28,0.041,0.1,0.01%,0.94,6.5,9.0,8t --- 0 out d2,9t end d 2,,2022-05-09,116,133,662837,2022,2.0,10.0,6.0,37.0,1.0,3.0,3.0,4.0,7.0,2.0,10.0,2.7,1.0,10.0,6.0,37.0,1.0,3.0,3.0,4.0,7.0,2.0,10.0,2.7,1.0,7.0,6.0,28.0,1.0,3.0,3.0,3.0,5.0,2.0,10.0,3.857,1.286,5.0,4.0,20.0,0.0,2.0,2.0,2.0,4.0,1.0,5.0,3.6,1.2,6.333,5.0,25.0,0.0,2.0,2.0,2.0,5.0,1.0,6.0,2.842,1.105
6,23,2022-05-10,DET,,OAK,"L,1-4",8-8,,0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0,1.93,2.04,3.0,11.0,9.0,2,2,0,1,0,0,0,,0.0,0.0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.17,0.013,0.07,0.00%,0.47,6.25,9.0,8t --- 0 out d3,8t 3 out d3,2.0,2022-05-10,116,133,662855,2022,1.0,12.0,6.0,43.0,1.0,3.0,3.0,4.0,8.0,2.0,10.0,2.25,0.833,12.0,6.0,43.0,1.0,3.0,3.0,4.0,8.0,2.0,10.0,2.25,0.833,8.333,5.0,31.0,0.0,2.0,2.0,2.0,6.0,1.0,6.0,2.16,0.84,4.667,2.0,16.0,0.0,2.0,2.0,1.0,3.0,1.0,3.0,3.857,0.643,8.333,5.0,31.0,0.0,2.0,2.0,2.0,6.0,1.0,6.0,2.16,0.84
7,24,2022-05-15,DET,,BAL,"W,5-1",8-GF,,4,2.0,1.0,1.0,1.0,0.0,3.0,1.0,0,2.38,2.85,7.0,35.0,21.0,3,3,1,3,2,0,0,,0.0,0.0,0,0,0,7,0.0,0.0,0.0,0,0,0,0.2,0.026,0.07,0.01%,-0.06,7.9,12.0,8t --- 0 out a4,9t end a 4,,2022-05-15,116,110,662843,2022,2.0,13.0,6.0,46.0,1.0,3.0,3.0,4.0,10.0,2.0,10.0,2.077,0.769,13.0,6.0,46.0,1.0,3.0,3.0,4.0,10.0,2.0,10.0,2.077,0.769,8.0,4.0,29.0,0.0,2.0,2.0,2.0,7.0,1.0,5.0,2.25,0.75,5.333,2.0,17.0,0.0,1.0,1.0,0.0,4.0,1.0,3.0,1.687,0.375,9.333,5.0,34.0,0.0,2.0,2.0,2.0,8.0,1.0,6.0,1.929,0.75
8,25,2022-05-18,DET,@,TBR,"L,1-6",1-3,,2,2.2,1.0,1.0,1.0,1.0,6.0,1.0,0,2.57,3.18,10.0,54.0,31.0,8,5,1,2,0,0,0,,3.0,0.0,1,0,0,9,0.0,0.0,0.0,0,0,0,0.57,0.057,0.21,0.01%,1.42,14.8,23.0,1b 123 1 out d3,3b 3 out d4,,2022-05-18,116,139,662054,2022,2.667,15.0,7.0,53.0,2.0,4.0,4.0,4.0,13.0,3.0,14.0,2.4,0.733,15.0,7.0,53.0,2.0,4.0,4.0,4.0,13.0,3.0,14.0,2.4,0.733,7.667,3.0,26.0,1.0,3.0,3.0,1.0,8.0,2.0,7.0,3.522,0.522,5.0,1.0,16.0,1.0,1.0,1.0,0.0,6.0,1.0,4.0,1.8,0.2,11.333,6.0,41.0,1.0,3.0,3.0,2.0,11.0,2.0,10.0,2.382,0.706
