Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1,173,4,2021-04-05,CIN,,PIT,"W,5-3",9-GF,S(1),99,1.0,2,1,1,1,1,1,0,9.0,17.17,6,25.0,15.0,5,2,2,2,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.88,0.038,2.15,0.03%,-0.44,,,9t --- 0 out a3,9t end a 2,,2021-04-05,113,134,634558
2,174,6,2021-04-07,CIN,,PIT,"W,11-4",9-GF,,1,1.0,3,4,4,1,2,1,0,22.5,16.17,7,20.0,14.0,5,4,2,2,1,0,0,,0,0,0,0,0,6,1,0,0,0,0,0,0.01,0.0,0.01,0.00%,-3.44,,,9t --- 0 out a11,9t end a 7,,2021-04-07,113,134,634570
3,175,7,2021-04-09,CIN,@,ARI,"W,6-5",10-GF(10),S(2),1,1.0,0,0,0,2,0,0,0,15.0,13.84,5,,,1,3,1,2,0,1,0,,0,0,0,0,0,3,0,0,1,0,0,0,6.69,0.446,7.29,0.29%,1.13,,,10b -2- 0 out a1,10b end a 1,,2021-04-09,113,109,634540
4,176,14,2021-04-17,CIN,,CLE,"W,3-2",8-8,,7,1.0,2,0,0,0,0,0,0,11.25,11.17,3,,,1,2,2,1,1,0,0,,0,0,1,0,0,3,0,0,0,0,0,0,1.19,0.06,1.27,0.04%,0.56,,,8t --- 0 out d1,8t 3 out d1,,2021-04-17,113,114,634460
5,177,16,2021-04-20,CIN,,ARI,"L,4-5",8-8,L(0-1),2,0.1,1,1,1,1,0,0,0,12.46,11.25,3,,,3,1,0,2,2,0,0,,0,0,0,0,0,2,1,0,0,0,0,0,2.25,-0.17,2.51,-0.11%,-0.91,,,8t --- 0 out tie,8t -23 1 out tie,,2021-04-20,113,109,634408
7,179,19,2021-04-23,CIN,@,STL,"L,4-5",8-GF(8),,1,1.0,0,0,0,0,0,0,0,13.5,11.84,3,12.0,6.0,2,1,0,3,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.03,0.003,0.03,0.00%,0.48,,,8b --- 0 out d4,8b end d 4,,2021-04-23,113,138,634378
8,180,22,2021-04-26,CIN,@,LAD,"W,5-3",7-7,BS(2),2,0.1,1,1,1,0,0,1,0,14.21,13.43,2,5.0,3.0,0,0,1,1,0,0,0,,1,1,0,0,0,2,0,0,0,0,0,0,1.1,-0.32,0.9,-0.16%,-1.76,,,7b 1-- 2 out a2,7b 3 out tie,,2021-04-26,113,119,634363
9,181,24,2021-04-28,CIN,@,LAD,"L,0-8",7-7,,1,1.0,0,0,0,0,0,0,0,12.27,12.03,3,8.0,5.0,0,1,1,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.33,0.025,0.31,0.01%,0.53,,,7b --- 0 out d2,7b 3 out d2,,2021-04-28,113,119,634365
10,182,26,2021-05-01,CIN,,CHC,"L,2-3",8-8,,2,0.2,0,0,0,0,1,0,0,11.25,11.05,2,7.0,5.0,2,1,0,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,0.65,0.034,0.66,0.02%,0.3,,,8t --- 1 out d1,8t 3 out d1,,2021-05-01,113,112,634273
11,183,27,2021-05-02,CIN,,CHC,"W,13-12",10-10,,0,0.2,0,0,0,1,2,0,0,10.38,10.32,3,,,2,3,0,0,0,0,0,,0,0,2,0,0,2,0,0,1,0,0,0,4.68,0.141,4.18,0.08%,0.55,,,10t -2- 0 out tie,10t -23 2 out tie,,2021-05-02,113,112,634298
