Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_10,H_10,BF_10,HR_10,R_10,ER_10,BB_10,SO_10,XB_against_10,TB_against_10,ERA_10,WHIP_10,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_3,H_3,BF_3,HR_3,R_3,ER_3,BB_3,SO_3,XB_against_3,TB_against_3,ERA_3,WHIP_3,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1,1,2021-08-04,MIA,,NYM,"L,3-5",9-GF,,99,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0,0.0,-0.83,5.0,,,1,5,0,3,0,0,0,,0,0,0,0,0,5,1.0,0.0,0.0,0,0,0,0.47,0.018,0.06,0.00%,0.51,,,9t --- 0 out d2,9t end d 2,,2021-08-04,146,121,633021,2021,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,2,2021-08-08,MIA,@,COL,"L,8-13",2-4,,3,2.2,3.0,4.0,4.0,2.0,2.0,1.0,0,9.82,6.17,13.0,51.0,27.0,7,4,5,4,0,2,0,,0,0,0,0,0,11,0.0,0.0,0.0,0,0,0,0.18,-0.012,0.01,0.00%,-2.39,,,2b --- 0 out d6,4b --- 2 out d10,,2021-08-08,146,115,632977,2021,2.667,1.0,2.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,2.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,2.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,2.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,2.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,2.0
3,3,2021-08-16,MIA,,ATL,"L,2-12",5-6,,7,2.0,3.0,2.0,2.0,3.0,1.0,0.0,0,9.53,6.35,12.0,39.0,22.0,2,3,3,5,2,1,0,,0,0,0,0,0,8,1.0,0.0,0.0,0,0,0,0.15,-0.01,0.0,0.00%,-0.99,,,5t --- 0 out d6,6t 3 out d8,,2021-08-16,146,144,632858,2021,2.0,3.667,5.0,18.0,1.0,4.0,4.0,2.0,4.0,2.0,9.0,9.818,1.909,3.667,5.0,18.0,1.0,4.0,4.0,2.0,4.0,2.0,9.0,9.818,1.909,3.667,5.0,18.0,1.0,4.0,4.0,2.0,4.0,2.0,9.0,9.818,1.909,3.667,5.0,18.0,1.0,4.0,4.0,2.0,4.0,2.0,9.0,9.818,1.909,3.667,5.0,18.0,1.0,4.0,4.0,2.0,4.0,2.0,9.0,9.818,1.909
4,4,2021-08-18,MIA,,ATL,"L,9-11",5-5,,1,1.0,3.0,1.0,1.0,0.0,1.0,0.0,0,9.45,5.57,6.0,,,5,2,3,2,0,0,0,,0,0,0,0,0,6,1.0,0.0,0.0,0,0,0,0.52,-0.028,0.01,0.00%,-0.49,,,5t --- 0 out d4,5t 3 out d5,,2021-08-18,146,144,632865,2021,1.0,5.667,8.0,30.0,1.0,6.0,6.0,5.0,5.0,3.0,13.0,9.529,2.294,5.667,8.0,30.0,1.0,6.0,6.0,5.0,5.0,3.0,13.0,9.529,2.294,5.667,8.0,30.0,1.0,6.0,6.0,5.0,5.0,3.0,13.0,9.529,2.294,5.667,8.0,30.0,1.0,6.0,6.0,5.0,5.0,3.0,13.0,9.529,2.294,5.667,8.0,30.0,1.0,6.0,6.0,5.0,5.0,3.0,13.0,9.529,2.294
5,5,2021-08-21,MIA,@,CIN,"L,4-7",7-8,,2,1.1,2.0,1.0,1.0,0.0,1.0,0.0,0,9.0,4.92,6.0,,,4,1,2,3,3,0,0,,0,0,0,0,0,6,1.0,0.0,0.0,0,0,0,0.18,-0.027,0.0,0.00%,-0.45,,,7b --- 0 out d4,8b 1-- 1 out d3,,2021-08-21,146,113,632797,2021,1.333,6.667,11.0,36.0,1.0,7.0,7.0,5.0,6.0,4.0,17.0,9.45,2.4,6.667,11.0,36.0,1.0,7.0,7.0,5.0,6.0,4.0,17.0,9.45,2.4,6.667,11.0,36.0,1.0,7.0,7.0,5.0,6.0,4.0,17.0,9.45,2.4,5.667,9.0,31.0,1.0,7.0,7.0,5.0,4.0,3.0,14.0,11.118,2.471,6.667,11.0,36.0,1.0,7.0,7.0,5.0,6.0,4.0,17.0,9.45,2.4
6,6,2021-08-27,MIA,,CIN,"L,0-6",6-7,,5,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0,7.2,4.37,7.0,,,4,2,4,2,1,0,0,,0,0,0,0,0,7,0.0,0.0,0.0,1,0,0,0.18,0.016,0.0,0.00%,1.01,,,6t --- 0 out d5,7t 3 out d5,,2021-08-27,146,113,632742,2021,2.0,8.0,13.0,42.0,1.0,8.0,8.0,5.0,7.0,5.0,20.0,9.0,2.25,8.0,13.0,42.0,1.0,8.0,8.0,5.0,7.0,5.0,20.0,9.0,2.25,8.0,13.0,42.0,1.0,8.0,8.0,5.0,7.0,5.0,20.0,9.0,2.25,4.333,8.0,24.0,0.0,4.0,4.0,3.0,3.0,3.0,11.0,8.308,2.538,8.0,13.0,42.0,1.0,8.0,8.0,5.0,7.0,5.0,20.0,9.0,2.25
7,7,2021-08-31,MIA,@,NYM,"L,1-3",5-GF(6),,3,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0,6.0,4.25,7.0,26.0,17.0,5,3,1,4,3,0,0,,0,0,0,0,0,6,0.0,0.0,0.0,0,0,0,0.24,0.036,0.0,0.00%,0.98,,,5b --- 0 out d2,6b end d 2,,2021-08-31,146,121,632192,2021,2.0,10.0,15.0,49.0,1.0,8.0,8.0,5.0,8.0,5.0,22.0,7.2,2.0,10.0,15.0,49.0,1.0,8.0,8.0,5.0,8.0,5.0,22.0,7.2,2.0,9.0,13.0,44.0,1.0,8.0,8.0,5.0,6.0,4.0,19.0,8.0,2.0,4.333,7.0,19.0,0.0,2.0,2.0,0.0,3.0,2.0,9.0,4.154,1.615,10.0,15.0,49.0,1.0,8.0,8.0,5.0,8.0,5.0,22.0,7.2,2.0
8,8,2021-09-07,MIA,,NYM,"L,4-9",7-8,,6,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0,5.14,3.81,8.0,25.0,19.0,5,3,3,3,2,0,0,,0,0,0,0,0,8,1.0,0.0,0.0,0,0,1,0.29,-0.006,0.0,0.00%,0.01,,,7t --- 0 out d3,8t 3 out d4,,2021-09-07,146,121,632572,2021,2.0,12.0,15.0,56.0,1.0,8.0,8.0,6.0,9.0,5.0,22.0,6.0,1.75,12.0,15.0,56.0,1.0,8.0,8.0,6.0,9.0,5.0,22.0,6.0,1.75,8.333,10.0,38.0,0.0,4.0,4.0,4.0,5.0,3.0,13.0,4.32,1.68,5.333,4.0,20.0,0.0,1.0,1.0,1.0,3.0,1.0,5.0,1.688,0.938,12.0,15.0,56.0,1.0,8.0,8.0,6.0,9.0,5.0,22.0,6.0,1.75
9,9,2021-09-14,MIA,@,WSN,"L,2-8",7-8,,6,1.0,4.0,3.0,3.0,1.0,0.0,0.0,0,6.6,3.97,7.0,,,4,0,4,2,2,0,0,,0,0,0,0,0,6,0.0,0.0,0.0,1,0,0,0.43,-0.014,0.0,0.00%,-1.35,,,7b --- 0 out d2,8b 123 0 out d2,,2021-09-14,146,120,632496,2021,1.0,14.0,16.0,64.0,1.0,9.0,8.0,6.0,11.0,6.0,24.0,5.143,1.571,14.0,16.0,64.0,1.0,9.0,8.0,6.0,11.0,6.0,24.0,5.143,1.571,8.333,8.0,34.0,0.0,3.0,2.0,1.0,6.0,3.0,11.0,2.16,1.08,6.0,3.0,22.0,0.0,1.0,0.0,1.0,4.0,1.0,4.0,0.0,0.667,14.0,16.0,64.0,1.0,9.0,8.0,6.0,11.0,6.0,24.0,5.143,1.571
10,10,2021-09-18,MIA,,PIT,"L,3-6",5-5,,3,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0,7.31,3.98,6.0,19.0,12.0,6,1,3,1,0,0,0,,0,0,0,0,0,5,0.0,1.0,0.0,0,0,0,0.73,-0.088,0.0,0.00%,-1.49,,,5t --- 0 out d3,5t 3 out d5,,2021-09-18,146,134,632448,2021,1.0,15.0,20.0,71.0,1.0,12.0,11.0,7.0,11.0,6.0,28.0,6.6,1.8,15.0,20.0,71.0,1.0,12.0,11.0,7.0,11.0,6.0,28.0,6.6,1.8,8.333,9.0,35.0,0.0,5.0,4.0,2.0,5.0,2.0,11.0,4.32,1.32,5.0,5.0,22.0,0.0,4.0,3.0,2.0,3.0,1.0,6.0,5.4,1.4,15.0,20.0,71.0,1.0,12.0,11.0,7.0,11.0,6.0,28.0,6.6,1.8
