Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_10,H_10,BF_10,HR_10,R_10,ER_10,BB_10,SO_10,XB_against_10,TB_against_10,ERA_10,WHIP_10,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_3,H_3,BF_3,HR_3,R_3,ER_3,BB_3,SO_3,XB_against_3,TB_against_3,ERA_3,WHIP_3,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1,102,2021-04-06,PHI,,NYM,"L,4-8",8-GF,,99,2.0,2.0,2.0,2.0,2.0,0.0,1.0,0,9.0,12.67,10.0,37.0,17.0,6,0,4,4,1,0,0,,0.0,0.0,0,0,0,8,0.0,0.0,0.0,0,0,0,0.1,-0.004,0.12,0.00%,-0.99,,,8t --- 0 out d4,9t end d 6,,2021-04-06,143,121,634608,2021,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,103,2021-04-09,PHI,@,ATL,"L,1-8",7-GF(8),,2,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0,9.0,11.42,9.0,38.0,23.0,4,5,3,4,1,1,0,,0.0,0.0,0,0,0,8,0.0,0.0,0.0,0,0,0,0.03,-0.001,0.04,0.00%,-0.94,,,7b --- 0 out d5,8b end d 7,,2021-04-09,143,144,634534,2021,2.0,2.0,2.0,10.0,1.0,2.0,2.0,2.0,0.0,1.0,5.0,9.0,2.0,2.0,2.0,10.0,1.0,2.0,2.0,2.0,0.0,1.0,5.0,9.0,2.0,2.0,2.0,10.0,1.0,2.0,2.0,2.0,0.0,1.0,5.0,9.0,2.0,2.0,2.0,10.0,1.0,2.0,2.0,2.0,0.0,1.0,5.0,9.0,2.0,2.0,2.0,10.0,1.0,2.0,2.0,2.0,0.0,1.0,5.0,9.0,2.0
3,104,2021-04-17,PHI,,STL,"L,4-9",6-8,,7,2.2,0.0,0.0,0.0,0.0,2.0,0.0,0,5.4,7.52,7.0,,,5,2,3,2,0,1,0,,3.0,0.0,0,0,0,7,0.0,0.0,0.0,1,0,0,0.12,0.035,0.12,0.02%,2.59,,,6t 123 1 out d5,8t 3 out d5,,2021-04-17,143,138,634470,2021,2.667,4.0,4.0,19.0,2.0,4.0,4.0,3.0,1.0,2.0,10.0,9.0,1.75,4.0,4.0,19.0,2.0,4.0,4.0,3.0,1.0,2.0,10.0,9.0,1.75,4.0,4.0,19.0,2.0,4.0,4.0,3.0,1.0,2.0,10.0,9.0,1.75,4.0,4.0,19.0,2.0,4.0,4.0,3.0,1.0,2.0,10.0,9.0,1.75,4.0,4.0,19.0,2.0,4.0,4.0,3.0,1.0,2.0,10.0,9.0,1.75
4,105,2021-04-19,PHI,,SFG,"L,0-2",5-6,,1,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0,4.15,5.82,7.0,32.0,21.0,6,5,2,2,1,0,0,,0.0,0.0,0,0,0,7,0.0,0.0,0.0,0,0,0,0.53,0.078,0.52,0.05%,1.01,,,5t --- 0 out d2,6t 3 out d2,,2021-04-19,143,137,634457,2021,2.0,6.667,4.0,26.0,2.0,4.0,4.0,3.0,3.0,2.0,10.0,5.4,1.05,6.667,4.0,26.0,2.0,4.0,4.0,3.0,3.0,2.0,10.0,5.4,1.05,6.667,4.0,26.0,2.0,4.0,4.0,3.0,3.0,2.0,10.0,5.4,1.05,6.667,4.0,26.0,2.0,4.0,4.0,3.0,3.0,2.0,10.0,5.4,1.05,6.667,4.0,26.0,2.0,4.0,4.0,3.0,3.0,2.0,10.0,5.4,1.05
5,106,2021-04-23,PHI,@,COL,"L,4-5",6-7,,3,1.1,1.0,1.0,1.0,0.0,2.0,0.0,0,4.5,5.07,5.0,23.0,15.0,5,2,1,2,1,0,0,,0.0,0.0,0,0,0,5,0.0,0.0,0.0,0,0,0,1.16,0.075,1.14,0.05%,0.57,,,6b --- 0 out tie,7b 1-- 1 out a2,,2021-04-23,143,115,634401,2021,1.333,8.667,5.0,33.0,2.0,4.0,4.0,3.0,6.0,2.0,11.0,4.154,0.923,8.667,5.0,33.0,2.0,4.0,4.0,3.0,6.0,2.0,11.0,4.154,0.923,8.667,5.0,33.0,2.0,4.0,4.0,3.0,6.0,2.0,11.0,4.154,0.923,6.667,3.0,23.0,1.0,2.0,2.0,1.0,6.0,1.0,6.0,2.7,0.6,8.667,5.0,33.0,2.0,4.0,4.0,3.0,6.0,2.0,11.0,4.154,0.923
6,107,2021-04-25,PHI,@,COL,"L,2-12",4-4,,1,0.1,2.0,1.0,1.0,1.0,0.0,1.0,0,5.23,6.56,4.0,22.0,11.0,1,1,0,3,2,0,0,,3.0,3.0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.82,-0.229,0.83,-0.14%,-3.17,,,4b 123 2 out d1,4b 3 out d5,,2021-04-25,143,115,634388,2021,0.333,10.0,6.0,38.0,2.0,5.0,5.0,3.0,8.0,2.0,12.0,4.5,0.9,10.0,6.0,38.0,2.0,5.0,5.0,3.0,8.0,2.0,12.0,4.5,0.9,10.0,6.0,38.0,2.0,5.0,5.0,3.0,8.0,2.0,12.0,4.5,0.9,6.0,2.0,19.0,0.0,1.0,1.0,0.0,7.0,0.0,2.0,1.5,0.333,10.0,6.0,38.0,2.0,5.0,5.0,3.0,8.0,2.0,12.0,4.5,0.9
7,108,2021-04-29,PHI,@,STL,"L,3-4",10-GF(10),L(0-1),3,0.1,0.0,1.0,0.0,1.0,0.0,0.0,0,5.06,6.73,2.0,,,0,0,1,0,0,0,0,,0.0,0.0,0,0,0,1,0.0,0.0,1.0,0,0,0,4.24,-0.193,4.56,-0.13%,-0.41,,,10b -2- 0 out tie,10b end d 1,,2021-04-29,143,138,634352,2021,0.333,10.333,8.0,42.0,3.0,6.0,6.0,4.0,8.0,3.0,17.0,5.226,1.161,10.333,8.0,42.0,3.0,6.0,6.0,4.0,8.0,3.0,17.0,5.226,1.161,8.333,6.0,32.0,2.0,4.0,4.0,2.0,8.0,2.0,12.0,4.32,0.96,3.667,4.0,16.0,1.0,2.0,2.0,1.0,5.0,1.0,7.0,4.909,1.364,10.333,8.0,42.0,3.0,6.0,6.0,4.0,8.0,3.0,17.0,5.226,1.161
8,109,2021-05-02,PHI,,NYM,"L,7-8",8-GF,,2,1.2,3.0,0.0,0.0,0.0,0.0,0.0,0,4.38,6.25,8.0,29.0,18.0,0,1,4,4,2,1,0,,3.0,3.0,0,0,0,8,1.0,0.0,0.0,0,0,0,0.39,-0.117,0.45,-0.08%,-0.91,,,8t 123 1 out d1,9t end d 4,,2021-05-02,143,121,634257,2021,1.667,10.667,8.0,44.0,3.0,7.0,6.0,5.0,8.0,3.0,17.0,5.062,1.219,10.667,8.0,44.0,3.0,7.0,6.0,5.0,8.0,3.0,17.0,5.062,1.219,6.667,4.0,25.0,1.0,3.0,2.0,2.0,7.0,1.0,7.0,2.7,0.9,2.0,3.0,11.0,1.0,3.0,2.0,2.0,2.0,1.0,6.0,9.0,2.5,10.667,8.0,44.0,3.0,7.0,6.0,5.0,8.0,3.0,17.0,5.062,1.219
9,110,2021-05-04,PHI,,MIL,"W,6-5",7-7,,1,0.0,2.0,3.0,3.0,0.0,0.0,0.0,1,6.57,6.49,3.0,10.0,6.0,1,0,0,2,2,0,0,,0.0,0.0,0,0,0,2,0.0,0.0,0.0,0,0,0,0.75,-0.122,0.78,-0.08%,-2.35,,,7t --- 0 out a5,7t 1-3 0 out a4,,2021-05-04,143,158,634324,2021,0.0,12.333,11.0,52.0,3.0,7.0,6.0,5.0,8.0,4.0,21.0,4.378,1.297,12.333,11.0,52.0,3.0,7.0,6.0,5.0,8.0,4.0,21.0,4.378,1.297,5.667,7.0,26.0,1.0,3.0,2.0,2.0,5.0,2.0,11.0,3.176,1.588,2.333,5.0,14.0,1.0,2.0,1.0,2.0,0.0,2.0,9.0,3.857,3.0,12.333,11.0,52.0,3.0,7.0,6.0,5.0,8.0,4.0,21.0,4.378,1.297
10,111,2021-05-07,PHI,@,ATL,"W,12-2",8-GF,,2,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0,5.65,5.75,6.0,30.0,19.0,7,1,3,1,0,0,0,,0.0,0.0,0,0,0,6,0.0,0.0,0.0,0,0,0,0.0,0.001,0.0,0.00%,1.06,,,8b --- 0 out a10,9b end a10,,2021-05-07,143,144,634219,2021,2.0,12.333,13.0,55.0,3.0,10.0,9.0,5.0,8.0,4.0,23.0,6.568,1.459,12.333,13.0,55.0,3.0,10.0,9.0,5.0,8.0,4.0,23.0,6.568,1.459,3.667,8.0,22.0,1.0,6.0,5.0,2.0,2.0,2.0,12.0,12.273,2.727,2.0,5.0,13.0,0.0,4.0,3.0,1.0,0.0,1.0,6.0,13.5,3.0,12.333,13.0,55.0,3.0,10.0,9.0,5.0,8.0,4.0,23.0,6.568,1.459
