Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1.0,1.0,114.0,2023-08-09,SEA,,SDP,"W,6-1",GS-5,,99.0,5.0,2,1,1,3,3,0,0,1.8,3.86,20,87,57,12,11,9.0,5.0,1,2,0,59,,,3,0,0,17,0,0,0,0,0,0,1.12,0.159,1.33,0.11%,1.43,12.25,21.0,1t start tie,5t 3 out tie,,2023-08-09,136,135,717055
2.0,2.0,119.0,2023-08-15,SEA,@,KCR,"W,10-8",GS-5,,5.0,5.0,9,5,5,0,1,1,0,5.4,4.66,21,76,53,10,3,9.0,11.0,3,1,0,30,,,0,1,0,21,0,0,0,2,0,0,0.68,-0.025,0.73,-0.02%,-2.42,-2.15,3.0,1b start tie,5b 3 out a2,,2023-08-15,136,118,716981
3.0,3.0,124.0,2023-08-20,SEA,@,HOU,"W,7-6",GS-2,,4.0,2.0,2,0,0,0,2,0,0,4.5,4.09,8,31,20,5,2,2.0,4.0,2,0,0,54,,,1,0,0,8,0,0,0,0,0,0,1.05,0.089,2.11,0.11%,1.02,7.3,12.0,1b start a 2,2b 3 out a4,,2023-08-20,136,117,716920
1.0,4.0,5.0,2024-04-01,SEA,,CLE,"W,5-4",GS-6,W(1-0),99.0,5.1,4,3,3,1,1,1,2,5.06,6.88,23,81,55,15,7,5.0,14.0,8,2,0,48,,,0,0,0,19,0,0,0,0,1,0,0.99,0.05,0.94,0.03%,-0.34,7.8,16.0,1t start tie,6t --- 1 out a2,,2024-04-01,136,114,745277
2.0,5.0,10.0,2024-04-07,SEA,@,MIL,"L,4-12",GS-4,L(1-1),5.0,3.1,11,8,8,1,6,2,0,11.42,7.4,21,88,54,20,5,5.0,9.0,5,0,0,11,,,2,0,0,20,1,1,0,0,0,0,0.85,-0.486,0.73,-0.25%,-6.2,-3.7,4.0,1b start a 1,4b --- 1 out d6,,2024-04-07,136,158,746003
3.0,6.0,15.0,2024-04-13,SEA,,CHC,"L,1-4",GS-6,L(1-2),5.0,6.0,4,2,2,0,4,1,0,7.98,5.99,22,74,48,12,8,7.0,11.0,5,2,0,60,,,0,0,0,21,0,0,0,1,1,1,0.81,0.07,0.65,0.03%,0.91,15.1,28.0,1t start tie,6t 3 out d1,,2024-04-13,136,112,745272
4.0,7.0,22.0,2024-04-21,SEA,@,COL,"W,10-2",GS-6,W(2-2),7.0,6.0,4,2,1,1,4,0,0,6.1,4.92,24,88,60,12,7,8.0,11.0,2,1,0,61,,,0,0,0,23,1,0,0,0,0,1,0.63,0.069,0.57,0.04%,1.59,20.5,37.0,1b start tie,6b 3 out a7,2.0,2024-04-21,136,115,746572
5.0,8.0,26.0,2024-04-26,SEA,,ARI,"W,6-1",GS-6,W(3-2),4.0,6.0,2,1,1,2,4,1,1,5.06,5.04,20,83,57,18,7,4.0,9.0,3,1,0,66,,,0,0,0,17,0,0,0,3,0,0,1.1,0.223,1.09,0.13%,1.91,20.5,37.0,1t start tie,6t 3 out a1,,2024-04-26,136,109,745269
6.0,9.0,31.0,2024-05-01,SEA,,ATL,"L,2-5",GS-4,L(3-3),4.0,3.2,5,5,1,4,4,0,0,4.75,4.94,21,77,47,9,11,5.0,8.0,3,2,0,39,,,0,0,0,17,0,1,0,0,0,1,1.29,-0.224,1.38,-0.15%,-2.41,8.85,20.0,1t start tie,4t --3 2 out d4,,2024-05-01,136,144,745261
7.0,10.0,36.0,2024-05-07,SEA,@,MIN,"W,10-6",GS-4,,5.0,4.0,4,4,4,2,0,1,0,5.24,5.29,18,76,46,12,5,4.0,12.0,5,2,0,36,,,1,0,0,16,1,0,0,0,0,0,0.85,-0.264,0.91,-0.17%,-1.93,-2.6,0.0,1b start tie,4b 3 out d2,,2024-05-07,136,142,745915
8.0,11.0,71.0,2024-06-13 00:00:00,SEA,,CHW,"L,2-3",GS-7,,36.0,7.0,6,2,2,2,1,2,0,4.79,5.66,29,92,64,12,8,12.0,14.0,5,2,0,56,,,0,0,0,27,0,0,0,0,0,0,0.84,0.074,0.82,0.04%,1.18,8.95,22.0,1t start tie,7t 3 out d1,,2024-06-13,136,145,745245
9,12,91,2024-07-06 00:00:00,SEA,,TOR,"L,4-5",GS-5,L(3-4),22,4.0,6,2,2,1,4,0,1,4.76,5.42,20,93,63,10,11,5,9,6,1,0,45,,,0,0,0,18,2,0,0,0,0,0,.98,-0.029,1.07,-0.02%,-0.15,8.20,18.00,1t start tie,5t 12- 0 out d1,,2024-07-06,136,141,745235
