Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1,325,5,2021-04-06,MIN,@,DET,"L,3-4",GS-4,,99,4.0,3,1,1,3,4,0,0,2.25,3.42,18,89,55,14,6,4,7,2,0,0,53,,,0,0,0,15,2,0,0,0,0,0,1.20,0.081,1.41,0.06%,1.02,,,1b start tie,4b 3 out tie,,2021-04-06,142,116,634603
2,326,10,2021-04-13,MIN,,BOS,"L,2-4",GS-5,,6,4.2,4,2,2,1,3,1,0,3.12,4.44,18,87,54,12,4,5,9,3,0,0,50,,,0,0,0,17,1,0,0,1,0,0,.89,-0.024,.92,-0.02%,0.23,,,1t start tie,5t -2- 2 out tie,,2021-04-13,142,111,632190
3,327,18,2021-04-23,MIN,,PIT,"W,2-0",GS-8,W(1-0),9,7.1,1,0,0,2,3,0,0,1.69,3.86,25,95,51,11,6,8,12,4,0,0,77,,,0,0,0,23,1,0,0,0,0,0,.90,0.402,.65,0.17%,3.40,,,1t start tie,8t -2- 1 out a2,,2021-04-23,142,134,634434
4,328,23,2021-04-28,MIN,@,CLE,"W,10-2",GS-7,W(2-0),4,7.0,4,2,2,1,3,1,0,1.96,4.08,26,96,63,16,10,8,14,4,2,0,63,,,0,0,0,25,1,0,0,0,0,0,.30,0.092,.20,0.04%,1.65,,,1b start a 4,7b 3 out a8,,2021-04-28,142,114,634371
5,329,28,2021-05-04,MIN,,TEX,"L,3-6",GS-6,,5,5.1,4,1,1,1,3,0,1,1.91,3.91,22,101,63,17,6,8,9,4,2,0,58,,,0,0,0,20,1,0,0,0,0,0,1.14,0.185,.80,0.08%,1.53,,,1t start tie,6t 1-- 1 out a2,,2021-05-04,142,140,634229
6,330,34,2021-05-12,MIN,@,CHW,"L,8-13",GS-4,L(2-1),7,3.1,9,9,9,2,3,1,0,4.26,4.24,20,89,56,15,5,5,10,5,1,0,7,,,1,0,0,18,3,2,0,1,0,0,.75,-0.492,.45,-0.18%,-6.31,,,1b start a 1,4b -23 1 out d4,,2021-05-12,142,145,634160
7,331,39,2021-05-17,MIN,,CHW,"L,4-16",GS-4,L(2-2),4,3.2,7,6,6,3,1,1,0,5.35,4.70,20,85,48,10,4,6,10,6,1,0,21,,,0,0,0,16,2,0,0,0,1,0,.81,-0.312,.31,-0.07%,-3.28,,,1t start tie,4t -2- 2 out d4,,2021-05-17,142,145,634077
8,332,46,2021-05-23,MIN,@,CLE,"W,8-5",GS-6,,5,6.0,8,4,4,1,10,0,0,5.44,4.07,27,103,77,19,18,4,12,5,3,0,49,,,0,0,0,26,3,1,0,0,0,0,1.10,-0.067,.33,-0.01%,-0.87,,,1b start tie,6b 3 out a1,,2021-05-23,142,114,634007
9,333,51,2021-05-29,MIN,,KCR,"W,6-5",GS-5,W(3-2),5,5.0,3,2,2,2,5,1,0,5.24,4.16,19,91,57,15,5,4,8,2,1,0,56,,,1,0,0,17,0,0,0,1,0,0,.95,0.065,.35,0.02%,0.56,,,1t start tie,5t 3 out a2,,2021-05-29,142,118,633944
10,334,56,2021-06-03,MIN,@,KCR,"L,5-6",GS-5,,4,5.0,9,5,5,0,2,3,1,5.61,4.81,25,76,54,7,3,5,17,5,2,0,31,,,1,0,0,23,0,0,0,0,1,0,1.18,-0.330,.35,-0.06%,-2.32,,,1b start a 1,5b 3 out d1,,2021-06-03,142,118,633833
11,335,62,2021-06-10,MIN,,NYY,"W,7-5",GS-5,,6,5.0,8,4,4,1,2,2,0,5.75,5.10,23,101,60,14,6,7,13,6,1,0,36,,,0,0,0,22,0,1,0,1,0,0,.84,-0.171,.14,-0.02%,-1.44,,,1t start tie,5t 3 out d2,,2021-06-10,142,147,633790
12,336,67,2021-06-15,MIN,@,SEA,"L,0-10",GS-4,L(3-3),4,4.0,9,6,5,1,5,1,1,6.12,5.13,23,84,53,10,14,3,13,5,4,0,26,,,0,0,0,21,1,1,0,0,0,0,.53,-0.315,.05,-0.02%,-4.02,,,1b start tie,4b 3 out d6,,2021-06-15,142,136,633626
13,337,72,2021-06-21,MIN,,CIN,"W,7-5",GS-5,,5,4.2,5,3,3,5,4,2,0,6.09,5.49,23,,,13,8,5,9,3,1,0,41,,,1,0,0,18,0,0,0,1,0,0,1.17,-0.101,.19,-0.01%,-0.89,,,1t start tie,5t 12- 2 out tie,,2021-06-21,142,113,633588
14,338,76,2021-06-27,MIN,,CLE,"W,8-2",GS-6,W(4-3),5,6.0,6,2,2,0,7,1,0,5.83,5.28,24,102,67,16,11,6,11,6,1,0,59,,,0,0,0,24,2,0,0,0,0,0,.60,0.133,.12,0.02%,1.07,,,1t start tie,6t 3 out a5,,2021-06-27,142,114,633473
15,339,80,2021-07-02,MIN,@,KCR,"L,4-7",GS-5,L(4-4),4,4.1,9,6,5,1,4,2,0,6.09,5.44,22,89,57,15,5,8,9,5,1,0,26,,,0,1,0,21,3,0,0,0,0,0,.85,-0.412,.08,-0.02%,-4.27,,,1b start a 3,5b 12- 1 out d3,,2021-07-02,142,118,633433
