Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1,92,2,2021-04-02,LAA,,CHW,"L,8-12",GS-4,L(0-1),99,3.0,5,7,7,2,4,1,0,21.0,6.84,16,,,11,11,5,5,4,0,0,23.0,,,0,0,0,14,0,0,0,0,0,0,1.07,-0.361,1.05,-0.21%,-4.4,,,1t start tie,4t 12- 0 out d4,,2021-04-02,108,145,634631
2,93,8,2021-04-09,LAA,@,TOR,"W,7-1",GS-6,W(1-1),6,6.0,3,0,0,2,9,0,0,7.0,3.06,23,93.0,64.0,16,13,3,9,2,1,0,73.0,,,0,0,0,21,0,0,0,0,0,0,0.58,0.199,0.64,0.13%,3.26,,,1b start tie,6b 3 out a7,,2021-04-09,108,141,634512
3,94,13,2021-04-16,LAA,,MIN,"W,10-3",GS-6,,6,5.1,2,2,2,3,6,0,0,5.65,2.89,18,79.0,46.0,12,10,6,3,3,0,0,59.0,,,0,0,0,15,0,0,0,3,0,0,1.09,0.226,1.17,0.15%,2.27,,,1t start tie,6t 12- 1 out a2,,2021-04-16,108,142,634526
4,95,18,2021-04-23,LAA,@,HOU,"L,4-5",GS-7,,6,6.1,2,1,1,0,10,0,1,4.35,2.15,22,,,20,16,6,5,1,1,0,75.0,,,0,0,0,21,1,0,0,0,0,0,0.84,0.336,0.93,0.22%,2.99,,,1b start tie,7b -2- 1 out a2,,2021-04-23,108,117,634383
5,96,24,2021-04-30,LAA,@,SEA,"L,4-7",GS-4,L(1-2),6,3.1,6,4,4,2,5,3,0,5.25,3.75,18,90.0,55.0,12,15,0,11,3,1,0,35.0,,,0,0,0,16,0,0,0,0,0,0,1.21,-0.282,1.44,-0.20%,-2.28,,,1b start a 2,4b --- 1 out d1,,2021-04-30,108,136,634287
6,97,30,2021-05-06,LAA,,TBR,"L,3-8",GS-7,,5,6.2,4,0,0,1,10,0,0,4.11,3.07,24,110.0,69.0,22,17,4,9,4,1,0,75.0,,,1,0,0,23,1,0,0,1,0,0,0.88,0.348,0.74,0.18%,3.65,,,1t start tie,7t --- 2 out a3,,2021-05-06,108,139,634247
7,98,36,2021-05-12,LAA,@,HOU,"L,1-9",GS-6,L(1-3),5,5.1,9,5,5,0,5,3,0,4.75,3.89,25,96.0,62.0,14,9,5,15,6,1,0,35.0,,,0,0,0,25,0,0,0,0,0,0,0.42,-0.186,0.4,-0.10%,-2.12,,,1b start tie,6b --- 1 out d5,,2021-05-12,108,117,634172
8,99,41,2021-05-18,LAA,,CLE,"L,5-6",GS-4,,5,3.0,6,5,4,2,1,1,0,5.31,4.27,18,81.0,49.0,11,8,6,9,2,1,0,28.0,,,0,0,0,15,1,0,0,0,1,1,0.61,-0.32,0.43,-0.13%,-3.78,,,1t start tie,4t 1-- 0 out d4,,2021-05-18,108,114,634102
9,100,48,2021-05-25,LAA,,TEX,"W,11-5",GS-6,W(2-3),6,5.2,4,3,3,4,5,1,0,5.24,4.47,25,105.0,66.0,15,11,2,14,6,1,0,50.0,,,0,0,0,21,1,0,0,0,0,0,0.79,0.127,0.46,0.04%,-0.02,,,1t start tie,6t 1-- 2 out a8,,2021-05-25,108,140,633972
10,101,55,2021-06-01,LAA,@,SFG,"W,8-1",GS-7,W(3-3),6,6.1,5,1,1,1,7,0,0,4.76,4.09,24,89.0,61.0,14,11,8,8,4,2,0,65.0,,,0,0,0,23,0,0,0,1,0,0,0.37,0.156,0.21,0.06%,1.6,,,1b start tie,7b 12- 1 out a7,,2021-06-01,108,137,633864
