Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1,48,84,2021-07-05,MIA,,LAD,"W,5-4",8-8,BW(1-0),99,1.0,0,0,0,2,1,0,0,0.00,7.17,5,16,7,2,3,0,2,0,0,0,,3,2,0,0,0,2,0,0,0,0,1,0,4.76,0.057,1.21,0.01%,0.35,,,8t 123 0 out a2,8t 3 out tie,,2021-07-05,146,119,633361
2,49,85,2021-07-06,MIA,,LAD,"W,2-1",10-GF(10),W(2-0),0,1.0,1,0,0,0,0,0,0,0.00,5.17,3,,,2,1,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,3.57,0.311,.94,0.05%,1.13,,,10t -2- 0 out tie,10t end tie,,2021-07-06,146,119,633376
3,50,87,2021-07-08,MIA,,LAD,"L,1-6",5-5,,1,1.0,1,1,0,1,0,0,0,0.00,5.50,6,14,9,2,0,2,3,0,0,0,,3,3,0,0,0,4,1,0,0,0,1,0,1.47,-0.126,.53,-0.03%,-1.65,,,5t 123 0 out d1,5t 3 out d5,,2021-07-08,146,119,633334
4,51,89,2021-07-10,MIA,,ATL,"L,4-5",5-5,,1,1.0,2,2,2,0,1,1,0,4.50,7.67,5,13,8,0,1,0,4,1,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,.65,-0.172,.20,-0.03%,-1.49,,,5t --- 0 out d1,5t 3 out d3,,2021-07-10,146,144,633312
5,52,95,2021-07-19,MIA,@,WSN,"L,1-18",2-5,,8,4.0,5,4,4,2,4,1,0,6.75,6.80,17,65,39,7,6,1,10,5,1,0,,0,0,0,0,0,15,2,0,0,1,0,0,.03,-0.010,.01,0.00%,-2.06,,,2b --- 0 out d8,5b 3 out d12,,2021-07-19,146,120,633233
6,53,98,2021-07-22,MIA,,SDP,"L,2-3",9-GF,,2,1.0,1,0,0,1,1,0,0,6.00,6.50,5,13,8,2,2,1,2,2,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,1.00,0.039,.14,0.00%,0.51,,,9t --- 0 out d1,9t end d 1,,2021-07-22,146,135,633269
7,54,101,2021-07-25,MIA,,SDP,"W,9-3",8-GF,,2,2.0,1,1,1,0,2,1,0,5.73,6.72,7,,,3,2,1,4,0,1,0,,0,0,0,0,0,7,0,0,0,0,0,0,.02,0.004,.00,0.00%,0.01,,,8t --- 0 out a7,9t end a 6,,2021-07-25,146,135,633135
8,55,103,2021-07-28,MIA,@,BAL,"L,7-8",3-4,,2,1.2,1,0,0,0,2,0,0,4.97,5.93,6,,,3,4,1,3,1,0,0,,1,1,0,0,0,6,1,0,0,0,0,0,1.14,0.004,.19,0.00%,0.07,,,3b 1-- 1 out a1,4b 3 out a2,,2021-07-28,146,110,633098
9,56,105,2021-07-31,MIA,,NYY,"L,2-4",4-5,L(2-1),2,1.0,1,1,0,2,2,0,0,4.61,5.88,6,,,5,2,0,2,1,0,0,,2,0,0,0,0,4,0,0,1,0,0,0,1.92,0.005,.20,0.00%,0.17,,,4t 12- 2 out d2,5t 123 2 out tie,,2021-07-31,146,147,633092
10,57,107,2021-08-02,MIA,,NYM,"W,6-3",6-6,H(1),1,1.0,0,0,0,0,1,0,0,4.30,5.56,3,,,1,2,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.86,0.066,.08,0.00%,0.51,,,6t --- 0 out a2,6t 3 out a2,,2021-08-02,146,121,633079
11,58,108,2021-08-03,MIA,,NYM,"W,5-4",7-8,H(2),0,1.1,0,0,0,0,1,0,0,3.94,5.23,4,16,9,2,1,1,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.49,0.151,.18,0.01%,0.74,,,7t --- 0 out a1,8t --- 1 out a1,,2021-08-03,146,121,633049
12,59,110,2021-08-05,MIA,,NYM,"W,4-2",6-6,BS(2),1,0.2,2,1,1,2,0,0,0,4.32,5.51,6,36,20,3,1,2,2,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,1.71,-0.193,.15,-0.01%,-1.27,,,6t --- 0 out a1,6t 123 2 out tie,,2021-08-05,146,121,633033
13,60,113,2021-08-08,MIA,@,COL,"L,8-13",GS-2,L(2-2),2,1.0,6,7,7,0,0,3,1,7.64,7.75,10,29,20,7,1,2,7,3,0,0,13,,,0,0,0,9,0,0,0,0,0,0,.94,-0.429,.03,-0.01%,-6.42,,,1b start a 1,2b --- 0 out d6,,2021-08-08,146,115,632977
14,61,117,2021-08-13,MIA,,CHC,"W,14-10",8-8,,4,0.1,3,1,1,0,1,1,0,8.00,8.28,4,12,8,3,1,1,2,1,0,0,,1,1,0,0,0,4,0,0,0,0,0,0,.15,-0.003,.00,0.00%,-1.68,,,8t -2- 2 out a7,8t 3 out a5,,2021-08-13,146,112,632930
15,62,139,2021-09-07,TBR,@,BOS,"W,12-7",8-GF,,24,2.0,8,6,6,1,2,3,0,9.90,9.67,15,54,41,8,9,3,9,4,0,0,,0,0,0,0,0,14,0,0,0,0,0,0,.05,0.001,.01,0.00%,-4.88,,,8b --- 0 out a11,9b end a 5,,2021-09-07,139,111,632588
