Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1,22,2021-04-01,CHW,@,LAA,"L,3-4",6-7,H(1),99,1.2,2.0,0.0,0.0,1.0,1.0,0.0,0,0.0,3.77,7.0,20.0,12.0,2,2,2,3,2,1,0,,0,0,0,0,0,6,0.0,0.0,0.0,1,0,0,1.81,0.16,1.75,0.09%,0.82,,,6b --- 1 out a1,7b 3 out a1,,2021-04-01,145,108,634655,2021,1.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,23,2021-04-04,CHW,@,LAA,"L,4-7",5-6,,2,1.1,3.0,1.0,1.0,0.0,0.0,1.0,0,3.0,7.84,7.0,22.0,16.0,4,1,5,2,0,0,0,,0,0,0,0,0,6,0.0,0.0,0.0,0,0,0,0.81,-0.089,0.75,-0.05%,-0.35,,,5b --- 2 out tie,6b 3 out d1,,2021-04-04,145,108,634637,2021,1.333,1.667,2.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.8,1.667,2.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.8,1.667,2.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.8
3,24,2021-04-06,CHW,@,SEA,"W,10-4",7-7,H(2),1,0.2,1.0,0.0,0.0,0.0,2.0,0.0,0,2.45,5.9,3.0,11.0,8.0,2,3,1,0,0,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.63,0.027,0.57,0.02%,0.26,,,7b --- 1 out a3,7b 3 out a3,,2021-04-06,145,136,634609,2021,0.667,3.0,5.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,3.0,2.0,3.0,5.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,3.0,2.0,3.0,5.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,3.0,2.0
4,25,2021-04-11,CHW,,KCR,"L,3-4",8-8,,4,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0,2.08,5.02,1.0,,,2,1,0,0,0,0,0,,1,0,0,1,0,1,0.0,0.0,0.0,0,0,0,1.24,0.057,1.36,0.04%,0.55,,,8t 1-- 1 out d1,8t 3 out d1,,2021-04-11,145,118,632170,2021,0.667,3.667,6.0,17.0,1.0,1.0,1.0,1.0,3.0,1.0,9.0,2.455,1.909,3.667,6.0,17.0,1.0,1.0,1.0,1.0,3.0,1.0,9.0,2.455,1.909,3.667,6.0,17.0,1.0,1.0,1.0,1.0,3.0,1.0,9.0,2.455,1.909
5,26,2021-04-12,CHW,,CLE,"W,4-3",7-GF,W(1-0),0,2.1,1.0,0.0,0.0,0.0,4.0,0.0,0,1.35,3.17,8.0,32.0,23.0,5,8,1,3,1,1,0,,2,0,0,0,0,8,1.0,0.0,0.0,0,0,0,2.05,0.33,2.19,0.21%,1.52,,,7t 12- 2 out tie,9t end tie,,2021-04-12,145,114,632216,2021,2.333,4.333,6.0,18.0,1.0,1.0,1.0,1.0,4.0,1.0,9.0,2.077,1.615,4.333,6.0,18.0,1.0,1.0,1.0,1.0,4.0,1.0,9.0,2.077,1.615,4.333,6.0,18.0,1.0,1.0,1.0,1.0,4.0,1.0,9.0,2.077,1.615
6,27,2021-04-17,CHW,@,BOS,"L,4-7",7-8,L(1-1),4,1.2,3.0,3.0,3.0,0.0,4.0,1.0,0,4.32,3.77,8.0,,,3,11,1,3,2,0,0,,0,0,0,0,0,8,0.0,0.0,0.0,0,0,0,1.01,-0.148,0.96,-0.09%,-0.35,,,7b --- 0 out tie,8b 12- 2 out d1,,2021-04-17,145,111,634471,2021,1.667,6.667,7.0,26.0,1.0,1.0,1.0,1.0,8.0,2.0,11.0,1.35,1.2,6.667,7.0,26.0,1.0,1.0,1.0,1.0,8.0,2.0,11.0,1.35,1.2,6.667,7.0,26.0,1.0,1.0,1.0,1.0,8.0,2.0,11.0,1.35,1.2
7,28,2021-04-20,CHW,@,CLE,"W,8-5",8-9,H(3),2,1.1,3.0,2.0,2.0,0.0,1.0,0.0,0,5.59,3.48,7.0,22.0,17.0,3,3,3,3,1,0,0,,3,0,0,0,0,7,1.0,0.0,0.0,0,0,0,0.56,0.062,0.64,0.04%,-0.12,,,8b 123 1 out a5,9b 1-- 2 out a3,,2021-04-20,145,114,634397,2021,1.333,8.333,10.0,34.0,2.0,4.0,4.0,1.0,12.0,3.0,17.0,4.32,1.32,6.667,8.0,27.0,2.0,4.0,4.0,0.0,11.0,3.0,15.0,5.4,1.2,8.333,10.0,34.0,2.0,4.0,4.0,1.0,12.0,3.0,17.0,4.32,1.32
8,29,2021-04-23,CHW,,TEX,"W,9-7",7-8,W(2-1),2,1.1,2.0,0.0,0.0,0.0,1.0,0.0,0,4.91,3.26,5.0,14.0,12.0,5,2,2,2,2,0,0,,1,0,0,0,0,5,0.0,0.0,0.0,0,0,0,2.1,0.074,2.26,0.05%,0.51,,,7t 1-- 0 out tie,8t 12- 1 out a2,,2021-04-23,145,140,634435,2021,1.333,9.667,13.0,41.0,2.0,6.0,6.0,1.0,13.0,4.0,21.0,5.586,1.448,6.667,8.0,27.0,1.0,5.0,5.0,0.0,12.0,3.0,13.0,6.75,1.2,9.667,13.0,41.0,2.0,6.0,6.0,1.0,13.0,4.0,21.0,5.586,1.448
9,30,2021-04-24,CHW,,TEX,"W,2-1",7-7,H(4),0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0,4.5,3.09,4.0,,,2,1,1,2,1,0,0,,1,0,0,0,0,4,0.0,0.0,0.0,0,0,0,2.47,0.167,2.62,0.11%,0.92,,,7t 1-- 0 out a1,7t 3 out a1,,2021-04-24,145,140,634384,2021,1.0,11.0,15.0,46.0,2.0,6.0,6.0,1.0,14.0,4.0,23.0,4.909,1.455,7.333,9.0,29.0,1.0,5.0,5.0,0.0,11.0,3.0,14.0,6.136,1.227,11.0,15.0,46.0,2.0,6.0,6.0,1.0,14.0,4.0,23.0,4.909,1.455
10,31,2021-04-27,CHW,,DET,"L,2-5",7-7,,2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,4.38,3.09,1.0,5.0,3.0,1,1,0,1,0,0,0,,1,0,0,0,0,1,0.0,0.0,0.0,0,0,0,0.61,0.018,0.71,0.01%,0.24,,,7t 1-- 2 out d2,7t 3 out d2,,2021-04-27,145,116,634332,2021,0.333,12.0,17.0,50.0,2.0,6.0,6.0,1.0,15.0,4.0,25.0,4.5,1.5,7.667,11.0,32.0,1.0,5.0,5.0,0.0,11.0,3.0,16.0,5.87,1.435,12.0,17.0,50.0,2.0,6.0,6.0,1.0,15.0,4.0,25.0,4.5,1.5
