Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1,495,1,2021-04-01,KCR,,TEX,"W,14-10",8-9,H(1),99,0.2,1,1,0,2,1,0,0,0.00,9.17,5,25,16,3,3,2,0,0,0,0,,3,0,0,0,0,3,0,0,0,0,0,0,.58,0.017,.56,0.01%,-0.89,,,8t 123 2 out a4,9t 1-3 1 out a4,,2021-04-01,118,140,634630
2,496,5,2021-04-07,KCR,@,CLE,"L,2-4",8-8,L(0-1),5,0.1,3,2,2,1,1,1,0,18.00,21.17,5,20,11,1,2,2,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.47,-0.338,1.59,-0.22%,-2.41,,,8b --- 0 out tie,8b 12- 1 out d2,,2021-04-07,118,114,634589
3,497,7,2021-04-11,KCR,@,CHW,"W,4-3",8-9,W(1-1),3,2.0,0,0,0,2,0,0,0,6.00,11.17,7,,,1,3,3,2,2,0,0,,1,0,0,0,0,5,0,0,0,1,0,0,1.53,0.197,1.71,0.13%,1.45,,,8b 1-- 0 out d1,9b 3 out tie,,2021-04-11,118,145,632170
4,498,9,2021-04-13,KCR,,LAA,"W,3-2",8-GF,S(1),1,1.1,2,0,0,1,2,0,0,4.15,8.48,6,32,18,6,3,2,1,1,0,0,,1,0,0,0,0,5,0,0,0,0,0,0,4.72,0.263,4.47,0.15%,0.92,,,8t --3 2 out a1,9t end a 1,,2021-04-13,118,108,632210
5,499,13,2021-04-17,KCR,,TOR,"W,3-2",7-GF(7),W(2-1),3,1.0,0,0,0,0,0,0,0,3.38,7.48,4,14,9,2,1,3,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,1,2.42,0.145,2.63,0.09%,0.54,,,7t --- 0 out tie,7t end tie,2.0,2021-04-17,118,141,634520
6,500,14,2021-04-18,KCR,,TOR,"W,2-0",9-GF,S(2),0,1.0,0,0,0,0,1,0,0,2.84,6.49,3,13,7,2,1,0,2,1,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.01,0.079,1.12,0.05%,0.54,,,9t --- 0 out a2,9t end a 2,,2021-04-18,118,141,634442
7,501,16,2021-04-20,KCR,,TBR,"L,7-14",9-9,,1,0.2,3,3,3,1,1,2,0,6.43,10.03,6,24,12,4,1,0,4,1,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,.05,-0.015,.05,-0.01%,-2.80,,,9t --- 0 out d4,9t -2- 2 out d7,,2021-04-20,118,139,634407
8,502,21,2021-04-26,KCR,@,DET,"W,3-2",8-8,H(2),5,1.0,1,0,0,0,2,0,0,5.63,8.67,4,12,9,1,5,1,1,0,0,0,,0,0,0,0,0,4,0,1,0,0,0,0,3.32,0.142,4.34,0.11%,0.51,,,8b --- 0 out a1,8b 3 out a1,,2021-04-26,118,116,634451
9,503,22,2021-04-27,KCR,@,PIT,"L,1-2",8-GF(8),,0,1.0,1,0,0,0,0,0,0,5.00,8.06,4,22,12,2,4,2,2,2,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.51,0.031,.64,0.02%,0.51,,,8b --- 0 out d1,8b end d 1,,2021-04-27,118,134,634331
10,504,26,2021-05-02,KCR,@,MIN,"L,4-13",7-7,,4,1.0,0,0,0,1,1,0,0,4.50,7.67,4,,,4,3,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.02,0.002,.03,0.00%,0.51,,,7b --- 0 out d6,7b 3 out d6,,2021-05-02,118,142,634341
