Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_10,H_10,BF_10,HR_10,R_10,ER_10,BB_10,SO_10,XB_against_10,TB_against_10,ERA_10,WHIP_10,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_3,H_3,BF_3,HR_3,R_3,ER_3,BB_3,SO_3,XB_against_3,TB_against_3,ERA_3,WHIP_3,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1,1,2022-04-28,ARI,@,STL,"L,3-8",8-GF(8),,99,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0,0.0,1.11,5.0,24.0,17.0,3,6,2,2,1,0,0,,0.0,0.0,0,0,0,5,0.0,0.0,0.0,0,0,0,0.01,0.001,0.01,0.00%,0.48,3.05,6.0,8b --- 0 out d6,8b end d 6,,2022-04-28,109,138,662047,2022,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,2,2022-05-27,ARI,,LAD,"L,4-6",8-GF,,28,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,1.78,6.0,28.0,17.0,3,3,1,4,1,0,0,,0.0,0.0,0,0,0,6,0.0,0.0,0.0,0,0,0,0.07,0.011,0.06,0.01%,0.98,6.5,9.0,8t --- 0 out d4,9t end d 4,,2022-05-27,109,119,663347,2022,2.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0
3,3,2022-07-30,ARI,@,ATL,"L,2-6",8-GF(8),,63,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.11,4.0,12.0,7.0,2,1,0,4,3,1,0,,0.0,0.0,0,0,0,4,0.0,0.0,0.0,0,0,0,0.01,0.001,0.0,0.00%,0.51,1.65,3.0,8b --- 0 out d6,8b end d 6,,2022-07-30,109,144,661499,2022,1.0,3.0,2.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.667,3.0,2.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.667,3.0,2.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.667,3.0,2.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.667,3.0,2.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.667
4,4,2022-08-01,ARI,@,CLE,"L,5-6",5-5,,1,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,1.73,1.0,,,1,1,0,0,0,0,0,,1.0,0.0,0,0,0,1,0.0,0.0,0.0,0,0,0,1.39,0.031,0.12,0.00%,0.22,2.75,4.0,5b 1-- 2 out tie,5b 3 out tie,,2022-08-01,109,114,662947,2022,0.333,4.0,3.0,15.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.75,4.0,3.0,15.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.75,4.0,3.0,15.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.75,4.0,3.0,15.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.75,4.0,3.0,15.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.75
5,5,2022-08-03,ARI,@,CLE,"L,4-7",7-7,,1,0.1,2.0,2.0,2.0,0.0,0.0,0.0,0,3.86,1.83,3.0,13.0,7.0,3,0,0,3,2,0,0,,0.0,0.0,0,0,0,3,1.0,0.0,0.0,0,0,0,0.2,-0.029,0.01,0.00%,-1.19,-4.45,-5.0,7b --- 0 out d3,7b -2- 1 out d4,,2022-08-03,109,114,662946,2022,0.333,4.333,3.0,16.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.692,4.333,3.0,16.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.692,4.333,3.0,16.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.692,3.333,1.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.3,4.333,3.0,16.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.692
6,6,2022-08-11,ARI,,PIT,"W,9-3",6-7,,7,1.1,0.0,0.0,0.0,0.0,2.0,0.0,0,3.0,1.45,5.0,19.0,14.0,3,3,2,1,0,1,0,,0.0,0.0,0,0,0,5,0.0,0.0,0.0,0,0,1,0.76,0.052,0.03,0.00%,0.46,7.0,10.0,6t --- 0 out d1,7t 1-- 1 out d1,,2022-08-11,109,134,663293,2022,1.333,4.667,5.0,19.0,0.0,2.0,2.0,0.0,3.0,1.0,6.0,3.857,1.071,4.667,5.0,19.0,0.0,2.0,2.0,0.0,3.0,1.0,6.0,3.857,1.071,4.667,5.0,19.0,0.0,2.0,2.0,0.0,3.0,1.0,6.0,3.857,1.071,1.667,3.0,8.0,0.0,2.0,2.0,0.0,1.0,1.0,4.0,10.8,1.8,4.667,5.0,19.0,0.0,2.0,2.0,0.0,3.0,1.0,6.0,3.857,1.071
7,7,2022-08-14,ARI,@,COL,"W,7-4",6-6,,2,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0,2.7,2.06,3.0,11.0,6.0,1,0,2,0,0,0,0,,2.0,1.0,0,0,0,2,0.0,0.0,0.0,0,0,0,1.6,0.036,0.09,0.00%,0.24,0.9,2.0,6b 1-3 1 out a5,6b 3 out a4,,2022-08-14,109,115,662881,2022,0.667,6.0,5.0,24.0,0.0,2.0,2.0,0.0,5.0,1.0,6.0,3.0,0.833,6.0,5.0,24.0,0.0,2.0,2.0,0.0,5.0,1.0,6.0,3.0,0.833,5.0,3.0,19.0,0.0,2.0,2.0,0.0,4.0,1.0,4.0,3.6,0.6,2.0,2.0,9.0,0.0,2.0,2.0,0.0,3.0,1.0,3.0,9.0,1.0,6.0,5.0,24.0,0.0,2.0,2.0,0.0,5.0,1.0,6.0,3.0,0.833
8,8,2022-08-17,ARI,@,SFG,"W,3-2",7-7,,2,0.1,1.0,0.0,0.0,1.0,1.0,0.0,0,2.57,2.25,3.0,13.0,7.0,1,2,0,1,1,0,0,,0.0,0.0,0,0,0,2,0.0,0.0,0.0,0,0,0,0.95,-0.028,0.03,0.00%,-0.41,1.55,4.0,7b --- 0 out d1,7b 12- 1 out d1,,2022-08-17,109,137,662003,2022,0.333,6.667,5.0,27.0,0.0,2.0,2.0,1.0,5.0,1.0,6.0,2.7,0.9,6.667,5.0,27.0,0.0,2.0,2.0,1.0,5.0,1.0,6.0,2.7,0.9,3.667,3.0,16.0,0.0,2.0,2.0,1.0,3.0,1.0,4.0,4.909,1.091,2.333,2.0,11.0,0.0,2.0,2.0,1.0,2.0,1.0,3.0,7.714,1.286,6.667,5.0,27.0,0.0,2.0,2.0,1.0,5.0,1.0,6.0,2.7,0.9
9,9,2022-08-19,ARI,,STL,"L,1-5",9-GF,,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,2.25,2.36,4.0,11.0,6.0,0,2,0,4,2,0,0,,0.0,0.0,0,0,0,4,0.0,0.0,0.0,0,0,0,0.05,0.003,0.0,0.00%,0.49,1.65,3.0,9t --- 0 out d4,9t end d 4,,2022-08-19,109,138,663292,2022,1.0,7.0,6.0,30.0,0.0,2.0,2.0,2.0,6.0,1.0,7.0,2.571,1.143,7.0,6.0,30.0,0.0,2.0,2.0,2.0,6.0,1.0,7.0,2.571,1.143,3.0,3.0,15.0,0.0,2.0,2.0,2.0,4.0,1.0,4.0,6.0,1.667,2.333,1.0,11.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,1.286,7.0,6.0,30.0,0.0,2.0,2.0,2.0,6.0,1.0,7.0,2.571,1.143
10,10,2022-08-26,ARI,@,CHW,"W,7-2",9-GF,,6,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,3.0,4.22,5.0,22.0,14.0,1,4,2,2,1,0,0,,0.0,0.0,0,0,0,4,0.0,0.0,0.0,0,0,0,0.05,0.003,0.0,0.00%,-0.52,-0.95,0.0,9b --- 0 out a6,9b end a 5,,2022-08-26,109,145,661445,2022,1.0,8.0,7.0,34.0,0.0,2.0,2.0,2.0,6.0,1.0,8.0,2.25,1.125,8.0,7.0,34.0,0.0,2.0,2.0,2.0,6.0,1.0,8.0,2.25,1.125,3.667,4.0,18.0,0.0,2.0,2.0,2.0,3.0,1.0,5.0,4.909,1.636,2.0,2.0,10.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,2.0,8.0,7.0,34.0,0.0,2.0,2.0,2.0,6.0,1.0,8.0,2.25,1.125
