Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1,1,4,2024-04-01,CHC,,COL,"W,5-0",GS-6,W(1-0),99,6.0,2,0,0,0,9,0,0,0.0,0.13,21,92,65,10,17,0,12,3,1,0,77,,,0,0,0,21,0,0,0,0,0,1,0.97,0.368,0.87,0.20%,3.28,34.3,55.0,1t start tie,6t 3 out tie,,2024-04-01,112,115,746899
2,2,9,2024-04-07,CHC,,LAD,"W,8-1",GS-4,,5,4.0,2,0,0,0,3,0,0,0.0,0.73,14,43,32,7,6,2,9,2,2,0,61,,,0,0,0,14,0,0,0,0,0,0,0.65,0.16,0.66,0.10%,2.18,13.8,21.0,1t start tie,4t 3 out a5,,2024-04-07,112,119,746895
3,3,14,2024-04-13,CHC,@,SEA,"W,4-1",GS-6,W(2-0),5,5.1,5,1,0,2,4,0,0,0.0,1.44,24,90,55,13,3,7,11,5,1,0,58,,,0,0,0,22,1,0,0,0,0,1,1.58,0.025,1.44,0.01%,0.53,19.8,34.0,1b start tie,6b -23 1 out a1,,2024-04-13,112,136,745272
4,4,21,2024-04-20,CHC,,MIA,"W,5-3",GS-6,W(3-0),6,6.0,5,3,2,0,5,1,0,0.84,2.05,23,92,64,5,15,10,8,1,2,0,57,,,0,0,0,23,1,0,0,1,0,1,0.89,-0.041,0.96,-0.03%,0.28,20.5,37.0,1t start tie,6t 3 out d2,2.0,2024-04-20,112,146,746891
5,5,26,2024-04-26,CHC,@,BOS,"W,7-1",GS-7,W(4-0),5,6.1,5,1,1,1,7,1,0,0.98,2.37,26,88,63,15,14,10,8,2,1,0,65,,,0,0,0,25,0,0,0,0,0,1,1.02,0.248,1.14,0.17%,2.24,26.65,47.0,1b start tie,7b 1-- 1 out a6,,2024-04-26,112,111,746972
6,6,31,2024-05-01,CHC,@,NYM,"W,1-0",GS-7,W(5-0),4,7.0,3,0,0,1,7,0,0,0.78,2.21,24,87,58,8,14,7,9,3,3,0,77,,,1,0,0,23,0,0,0,1,0,0,1.11,0.489,1.36,0.36%,3.6,31.35,52.0,1b start tie,7b 3 out a1,,2024-05-01,112,121,745829
7,7,37,2024-05-07,CHC,,SDP,"W,3-2",GS-8,,5,7.0,7,2,2,1,8,1,0,1.08,2.36,28,102,66,11,19,6,13,2,0,0,62,,,0,0,0,27,0,0,0,0,0,0,1.32,0.002,1.63,0.00%,1.82,22.95,43.0,1t start tie,8t --- 0 out d1,,2024-05-07,112,135,746885
8,8,42,2024-05-13,CHC,@,ATL,"L,0-2",GS-5,,5,5.0,7,0,0,3,8,0,0,0.96,2.3,23,98,58,8,17,4,8,5,1,0,58,,,0,1,2,20,0,0,0,0,0,0,1.25,0.29,1.53,0.21%,2.73,21.25,39.0,1b start tie,5b 3 out tie,,2024-05-13,112,144,747128
9,9,47,2024-05-18,CHC,,PIT,"W,1-0",GS-7,,4,7.0,4,0,0,1,7,0,0,0.84,2.2,26,88,68,13,20,11,7,1,0,0,75,,,0,0,0,25,0,0,0,0,0,0,1.02,0.46,1.26,0.34%,3.82,26.75,46.0,1t start tie,7t 3 out tie,,2024-05-18,112,134,746882
10,10,56,2024-05-29 00:00:00,CHC,@,MIL,"L,6-10",GS-5,L(5-1),10,4.1,8,7,7,1,1,2,0,1.86,2.73,22,81,56,9,6,3,17,7,3,0,19,,,0,0,0,21,3,0,0,0,0,0,0.71,-0.375,0.83,-0.26%,-4.95,-7.65,-5.0,1b start tie,5b 1-- 1 out d3,,2024-05-29,112,158,745988
11,11,61,2024-06-04 00:00:00,CHC,,CHW,"W,7-6",GS-5,,5,4.1,7,5,1,0,6,1,0,1.88,2.78,20,66,46,8,13,6,8,3,2,0,43,,,0,0,0,20,2,0,0,1,0,0,0.93,-0.259,0.76,-0.13%,-3.15,15.55,28.0,1t start tie,5t -2- 1 out d5,,2024-06-04,112,145,746872
12,12,66,2024-06-09 00:00:00,CHC,@,CIN,"W,4-2",GS-7,W(6-1),4,6.2,5,2,2,1,7,1,0,1.96,2.86,25,94,59,16,13,4,13,4,3,0,62,,,0,0,0,24,0,0,0,0,0,0,0.91,0.157,0.71,0.07%,1.2,25.4,45.0,1b start a 3,7b --3 2 out a2,,2024-06-09,112,113,746705
13,13,71,2024-06-15 00:00:00,CHC,,STL,"W,5-1",GS-7,W(7-1),5,7.0,4,1,1,0,6,0,1,1.89,2.76,26,103,69,11,13,3,16,8,1,0,71,,,0,0,0,24,1,0,0,0,1,0,1.39,0.328,1.01,0.14%,2.56,26.75,46.0,1t start tie,7t 3 out a1,,2024-06-15,112,138,746865
