Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_10,H_10,BF_10,HR_10,R_10,ER_10,BB_10,SO_10,XB_against_10,TB_against_10,ERA_10,WHIP_10,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_3,H_3,BF_3,HR_3,R_3,ER_3,BB_3,SO_3,XB_against_3,TB_against_3,ERA_3,WHIP_3,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1,13,2021-04-02,HOU,@,OAK,"W,9-5",GS-4,,99,3.2,3.0,2.0,2.0,0.0,4.0,0.0,1,4.91,1.81,15.0,,,12,5,2,8,2,0,0,51.0,,,0,0,0,13,0.0,1.0,0.0,0,1,0,0.86,0.031,0.93,0.02%,-0.45,,,1b start tie,4b 12- 2 out a3,,2021-04-02,117,133,634605,2021,3.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,14,2021-04-08,HOU,,OAK,"W,6-2",GS-5,W(1-0),5,5.0,3.0,0.0,0.0,2.0,7.0,0.0,0,2.08,1.67,20.0,88.0,57.0,21,11,4,7,4,1,0,66.0,,,0,0,0,18,1.0,0.0,0.0,0,0,0,0.98,0.284,1.23,0.21%,2.64,,,1t start tie,5t 3 out a2,,2021-04-08,117,133,634546,2021,5.0,3.667,3.0,15.0,0.0,2.0,2.0,0.0,4.0,1.0,5.0,4.909,0.818,3.667,3.0,15.0,0.0,2.0,2.0,0.0,4.0,1.0,5.0,4.909,0.818,3.667,3.0,15.0,0.0,2.0,2.0,0.0,4.0,1.0,5.0,4.909,0.818,3.667,3.0,15.0,0.0,2.0,2.0,0.0,4.0,1.0,5.0,4.909,0.818,3.667,3.0,15.0,0.0,2.0,2.0,0.0,4.0,1.0,5.0,4.909,0.818
3,15,2021-04-22,HOU,,LAA,"W,8-2",GS-5,W(2-0),13,5.0,3.0,0.0,0.0,1.0,9.0,0.0,1,1.32,1.34,20.0,98.0,62.0,9,19,2,7,2,1,0,69.0,,,0,0,0,18,1.0,0.0,0.0,0,0,0,0.68,0.175,0.59,0.09%,2.64,,,1t start tie,5t 3 out a7,,2021-04-22,117,108,634438,2021,5.0,8.667,6.0,35.0,0.0,2.0,2.0,2.0,11.0,2.0,9.0,2.077,0.923,8.667,6.0,35.0,0.0,2.0,2.0,2.0,11.0,2.0,9.0,2.077,0.923,8.667,6.0,35.0,0.0,2.0,2.0,2.0,11.0,2.0,9.0,2.077,0.923,8.667,6.0,35.0,0.0,2.0,2.0,2.0,11.0,2.0,9.0,2.077,0.923,8.667,6.0,35.0,0.0,2.0,2.0,2.0,11.0,2.0,9.0,2.077,0.923
4,16,2021-04-27,HOU,,SEA,"W,2-0",GS-7,W(3-0),4,7.0,2.0,0.0,0.0,3.0,6.0,0.0,0,0.87,1.82,24.0,107.0,60.0,17,13,5,10,6,0,0,76.0,,,0,0,0,21,1.0,0.0,0.0,1,0,0,0.94,0.421,1.02,0.27%,3.69,,,1t start tie,7t 3 out a2,,2021-04-27,117,136,634333,2021,7.0,13.667,9.0,55.0,0.0,2.0,2.0,3.0,20.0,3.0,13.0,1.317,0.878,13.667,9.0,55.0,0.0,2.0,2.0,3.0,20.0,3.0,13.0,1.317,0.878,13.667,9.0,55.0,0.0,2.0,2.0,3.0,20.0,3.0,13.0,1.317,0.878,13.667,9.0,55.0,0.0,2.0,2.0,3.0,20.0,3.0,13.0,1.317,0.878,13.667,9.0,55.0,0.0,2.0,2.0,3.0,20.0,3.0,13.0,1.317,0.878
5,17,2021-05-02,HOU,@,TBR,"L,4-5",GS-5,,4,5.0,4.0,3.0,3.0,2.0,4.0,1.0,1,1.75,2.62,21.0,,,12,8,3,11,3,2,0,49.0,,,1,0,0,18,0.0,0.0,0.0,1,0,0,1.22,-0.099,1.38,-0.07%,-0.55,,,1b start tie,5b 3 out tie,,2021-05-02,117,139,634323,2021,5.0,20.667,11.0,79.0,0.0,2.0,2.0,6.0,26.0,4.0,16.0,0.871,0.823,20.667,11.0,79.0,0.0,2.0,2.0,6.0,26.0,4.0,16.0,0.871,0.823,20.667,11.0,79.0,0.0,2.0,2.0,6.0,26.0,4.0,16.0,0.871,0.823,17.0,8.0,64.0,0.0,0.0,0.0,6.0,22.0,3.0,11.0,0.0,0.824,20.667,11.0,79.0,0.0,2.0,2.0,6.0,26.0,4.0,16.0,0.871,0.823
6,18,2021-05-08,HOU,,TOR,"L,4-8",GS-6,L(3-1),5,5.1,4.0,5.0,5.0,4.0,8.0,2.0,0,2.9,3.43,24.0,91.0,55.0,14,12,3,9,2,1,0,44.0,,,0,0,0,20,1.0,0.0,0.0,0,0,0,0.59,-0.242,0.66,-0.16%,-2.39,,,1t start tie,6t 1-- 1 out d2,,2021-05-08,117,141,634193,2021,5.333,25.667,15.0,100.0,1.0,5.0,5.0,8.0,30.0,5.0,23.0,1.753,0.896,25.667,15.0,100.0,1.0,5.0,5.0,8.0,30.0,5.0,23.0,1.753,0.896,25.667,15.0,100.0,1.0,5.0,5.0,8.0,30.0,5.0,23.0,1.753,0.896,17.0,9.0,65.0,1.0,3.0,3.0,6.0,19.0,3.0,14.0,1.588,0.882,25.667,15.0,100.0,1.0,5.0,5.0,8.0,30.0,5.0,23.0,1.753,0.896
7,19,2021-05-13,HOU,,TEX,"W,4-3",GS-7,,4,7.0,4.0,3.0,3.0,2.0,6.0,1.0,0,3.08,3.56,27.0,,,13,11,10,9,3,2,0,61.0,,,0,0,0,24,0.0,0.0,0.0,0,1,0,1.15,0.137,1.48,0.11%,0.69,,,1t start tie,7t 3 out tie,,2021-05-13,117,140,634141,2021,7.0,31.0,19.0,124.0,3.0,10.0,10.0,12.0,38.0,8.0,34.0,2.903,1.0,31.0,19.0,124.0,3.0,10.0,10.0,12.0,38.0,8.0,34.0,2.903,1.0,27.333,16.0,109.0,3.0,8.0,8.0,12.0,34.0,7.0,29.0,2.634,1.024,17.333,10.0,69.0,3.0,8.0,8.0,9.0,18.0,5.0,21.0,4.154,1.096,31.0,19.0,124.0,3.0,10.0,10.0,12.0,38.0,8.0,34.0,2.903,1.0
8,20,2021-05-18,HOU,@,OAK,"L,5-6",GS-6,,4,6.0,5.0,3.0,3.0,1.0,9.0,3.0,0,3.27,4.06,23.0,,,15,11,2,11,2,3,0,58.0,,,0,0,0,22,1.0,0.0,0.0,1,0,0,0.97,-0.022,1.52,-0.02%,-0.03,,,1b start a 2,6b 3 out tie,,2021-05-18,117,133,634050,2021,6.0,38.0,23.0,151.0,4.0,13.0,13.0,14.0,44.0,9.0,41.0,3.079,0.974,38.0,23.0,151.0,4.0,13.0,13.0,14.0,44.0,9.0,41.0,3.079,0.974,29.333,17.0,116.0,4.0,11.0,11.0,12.0,33.0,7.0,32.0,3.375,0.989,17.333,12.0,72.0,4.0,11.0,11.0,8.0,18.0,5.0,25.0,5.712,1.154,38.0,23.0,151.0,4.0,13.0,13.0,14.0,44.0,9.0,41.0,3.079,0.974
9,21,2021-05-23,HOU,@,TEX,"L,2-3",GS-5,,4,4.2,1.0,1.0,1.0,6.0,5.0,0.0,0,3.14,4.14,20.0,94.0,50.0,9,14,2,7,2,2,0,57.0,,,0,1,0,14,0.0,0.0,0.0,0,0,0,1.2,0.191,1.73,0.17%,1.82,,,1b start tie,5b 123 2 out tie,,2021-05-23,117,140,634025,2021,4.667,44.0,28.0,174.0,7.0,16.0,16.0,15.0,53.0,13.0,56.0,3.273,0.977,44.0,28.0,174.0,7.0,16.0,16.0,15.0,53.0,13.0,56.0,3.273,0.977,30.333,19.0,119.0,7.0,14.0,14.0,12.0,33.0,10.0,43.0,4.154,1.022,18.333,13.0,74.0,6.0,11.0,11.0,7.0,23.0,8.0,33.0,5.4,1.091,44.0,28.0,174.0,7.0,16.0,16.0,15.0,53.0,13.0,56.0,3.273,0.977
10,22,2021-05-28,HOU,,SDP,"L,3-10",5-8,,4,4.0,2.0,1.0,1.0,2.0,4.0,1.0,0,3.08,4.27,16.0,,,8,4,1,9,4,1,0,,0.0,0.0,0,0,0,14,0.0,0.0,0.0,0,0,0,1.61,0.119,2.04,0.09%,1.11,,,5t --- 0 out a1,8t 3 out tie,,2021-05-28,117,135,633918,2021,4.0,48.667,29.0,194.0,7.0,17.0,17.0,21.0,58.0,13.0,57.0,3.144,1.027,48.667,29.0,194.0,7.0,17.0,17.0,21.0,58.0,13.0,57.0,3.144,1.027,28.0,18.0,115.0,7.0,15.0,15.0,15.0,32.0,9.0,41.0,4.821,1.179,17.667,10.0,70.0,4.0,7.0,7.0,9.0,20.0,5.0,23.0,3.566,1.075,48.667,29.0,194.0,7.0,17.0,17.0,21.0,58.0,13.0,57.0,3.144,1.027
11,23,2021-06-03,HOU,,BOS,"L,1-5",5-7,,5,3.0,3.0,2.0,2.0,3.0,6.0,0.0,0,3.23,4.16,15.0,,,10,9,1,5,2,0,0,,0.0,0.0,0,0,0,12,3.0,0.0,1.0,0,0,0,0.57,-0.014,0.8,-0.01%,-0.42,,,5t --- 0 out d3,7t 3 out d5,,2021-06-03,117,111,633831,2021,3.0,52.667,31.0,210.0,8.0,18.0,18.0,23.0,62.0,14.0,62.0,3.076,1.025,52.667,31.0,210.0,8.0,18.0,18.0,23.0,62.0,14.0,62.0,3.076,1.025,27.0,16.0,110.0,7.0,13.0,13.0,15.0,32.0,9.0,39.0,4.333,1.148,14.667,8.0,59.0,4.0,5.0,5.0,9.0,18.0,5.0,21.0,3.068,1.159,52.667,31.0,210.0,8.0,18.0,18.0,23.0,62.0,14.0,62.0,3.076,1.025
12,24,2021-06-09,HOU,@,BOS,"W,8-3",6-GF,S(1),5,4.0,1.0,0.0,0.0,0.0,3.0,0.0,0,3.02,3.99,13.0,47.0,34.0,5,8,1,9,3,3,0,,0.0,0.0,0,0,0,13,0.0,0.0,0.0,0,0,0,0.53,0.168,0.77,0.15%,2.23,,,6b --- 0 out a2,9b end a 5,,2021-06-09,117,111,633803,2021,4.0,55.667,34.0,225.0,8.0,20.0,20.0,26.0,68.0,17.0,68.0,3.234,1.078,52.0,31.0,210.0,8.0,18.0,18.0,26.0,64.0,16.0,63.0,3.115,1.096,24.667,15.0,101.0,5.0,10.0,10.0,14.0,30.0,9.0,34.0,3.649,1.176,11.667,6.0,51.0,1.0,4.0,4.0,11.0,15.0,4.0,12.0,3.086,1.457,55.667,34.0,225.0,8.0,20.0,20.0,26.0,68.0,17.0,68.0,3.234,1.078
13,25,2021-06-16,HOU,,TEX,"W,8-4",7-8,H(1),6,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0,3.06,4.16,8.0,39.0,24.0,4,4,2,3,1,0,0,,0.0,0.0,0,0,0,7,0.0,0.0,0.0,0,0,0,1.04,0.04,1.43,0.03%,0.05,,,7t --- 0 out a3,8t 3 out a3,,2021-06-16,117,140,633619,2021,2.0,59.667,35.0,238.0,8.0,20.0,20.0,26.0,71.0,17.0,69.0,3.017,1.022,51.0,29.0,203.0,8.0,18.0,18.0,24.0,60.0,15.0,60.0,3.176,1.039,21.667,12.0,87.0,4.0,7.0,7.0,12.0,27.0,8.0,28.0,2.908,1.108,11.0,6.0,44.0,1.0,3.0,3.0,5.0,13.0,4.0,12.0,2.455,1.0,59.667,35.0,238.0,8.0,20.0,20.0,26.0,71.0,17.0,69.0,3.017,1.022
