Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1,184,2021-04-15,DET,@,OAK,"L,4-8",6-6,,99,0.1,0.0,3.0,3.0,3.0,1.0,0.0,0,81.0,24.17,4.0,24.0,12.0,4,1,0,0,0,0,0,,0,0,0,0,0,1,0.0,0.0,0.0,0,0,0,1.24,-0.084,1.18,-0.05%,-1.07,,,6b --- 0 out d1,6b 123 1 out d1,,2021-04-15,116,133,634632,2021,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,185,2021-04-17,DET,@,OAK,"L,0-7",7-7,,1,0.2,0.0,2.0,2.0,4.0,1.0,0.0,0,45.0,20.17,6.0,32.0,15.0,3,4,1,0,0,0,0,,0,0,1,0,0,2,0.0,0.0,0.0,0,0,0,0.07,-0.008,0.06,0.00%,-1.27,,,7b --- 0 out d5,7b 123 2 out d6,,2021-04-17,116,133,634479,2021,0.667,0.333,0.0,4.0,0.0,3.0,3.0,3.0,1.0,0.0,0.0,81.0,9.0,0.333,0.0,4.0,0.0,3.0,3.0,3.0,1.0,0.0,0.0,81.0,9.0,0.333,0.0,4.0,0.0,3.0,3.0,3.0,1.0,0.0,0.0,81.0,9.0
3,186,2021-05-11,DET,,KCR,"W,8-7",8-8,,23,0.2,2.0,3.0,3.0,2.0,2.0,1.0,0,43.2,22.37,6.0,25.0,13.0,1,4,0,2,2,0,0,,0,0,0,0,0,4,0.0,0.0,0.0,0,0,0,0.12,-0.017,0.04,0.00%,-2.73,,,8t --- 0 out a7,8t 1-- 2 out a4,,2021-05-11,116,118,634179,2021,0.667,1.0,0.0,10.0,0.0,5.0,5.0,7.0,2.0,0.0,0.0,45.0,7.0,1.0,0.0,10.0,0.0,5.0,5.0,7.0,2.0,0.0,0.0,45.0,7.0,1.0,0.0,10.0,0.0,5.0,5.0,7.0,2.0,0.0,0.0,45.0,7.0
4,187,2021-05-16,DET,,CHC,"L,1-5",8-8,,4,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,27.0,14.42,4.0,16.0,11.0,2,3,2,1,0,0,0,,0,0,0,0,0,4,1.0,0.0,0.0,0,0,0,0.07,0.004,0.02,0.00%,0.51,,,8t --- 0 out d5,8t 3 out d5,,2021-05-16,116,112,634083,2021,1.0,1.667,2.0,16.0,1.0,8.0,8.0,9.0,4.0,1.0,5.0,43.2,6.6,1.667,2.0,16.0,1.0,8.0,8.0,9.0,4.0,1.0,5.0,43.2,6.6,1.667,2.0,16.0,1.0,8.0,8.0,9.0,4.0,1.0,5.0,43.2,6.6
5,188,2021-05-22,DET,@,KCR,"L,5-7",7-7,,5,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0,22.09,11.08,4.0,23.0,13.0,4,3,1,0,0,0,0,,0,0,1,0,0,3,0.0,0.0,0.0,0,0,0,0.25,-0.023,0.13,-0.01%,-0.46,,,7b --- 0 out d3,7b 3 out d4,,2021-05-22,116,118,634001,2021,1.0,2.667,3.0,20.0,1.0,8.0,8.0,9.0,5.0,2.0,7.0,27.0,4.5,2.667,3.0,20.0,1.0,8.0,8.0,9.0,5.0,2.0,7.0,27.0,4.5,2.667,3.0,20.0,1.0,8.0,8.0,9.0,5.0,2.0,7.0,27.0,4.5
6,189,2021-05-24,DET,,CLE,"L,5-6",8-8,,1,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0,17.36,8.53,3.0,12.0,11.0,4,2,1,0,0,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.69,0.052,0.34,0.02%,0.51,,,8t --- 0 out d1,8t 3 out d1,,2021-05-24,116,114,633981,2021,1.0,3.667,3.0,24.0,1.0,9.0,9.0,10.0,7.0,2.0,7.0,22.091,3.545,3.667,3.0,24.0,1.0,9.0,9.0,10.0,7.0,2.0,7.0,22.091,3.545,3.667,3.0,24.0,1.0,9.0,9.0,10.0,7.0,2.0,7.0,22.091,3.545
7,190,2021-05-27,DET,,CLE,"L,2-5",7-7,,2,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1,14.29,8.29,5.0,20.0,11.0,2,4,0,2,0,1,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.2,0.012,0.08,0.00%,0.51,,,7t --- 0 out d4,7t 3 out d4,,2021-05-27,116,114,633943,2021,1.0,4.667,3.0,27.0,1.0,9.0,9.0,10.0,9.0,2.0,7.0,17.357,2.786,4.333,3.0,23.0,1.0,6.0,6.0,7.0,8.0,2.0,7.0,12.462,2.308,4.667,3.0,27.0,1.0,9.0,9.0,10.0,9.0,2.0,7.0,17.357,2.786
8,191,2021-05-29,DET,,NYY,"W,6-1",9-GF,,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0,12.15,7.67,4.0,20.0,11.0,2,2,1,1,0,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.12,0.006,0.04,0.00%,0.51,,,9t --- 0 out a5,9t end a 5,,2021-05-29,116,147,633949,2021,1.0,5.667,3.0,32.0,1.0,9.0,9.0,11.0,10.0,2.0,7.0,14.294,2.471,4.667,3.0,22.0,1.0,4.0,4.0,4.0,8.0,2.0,7.0,7.714,1.5,5.667,3.0,32.0,1.0,9.0,9.0,11.0,10.0,2.0,7.0,14.294,2.471
9,192,2021-05-31,DET,@,MIL,"L,2-3",2-2,,1,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0,10.57,7.08,4.0,13.0,9.0,3,1,2,2,0,0,0,,0,0,0,0,0,4,0.0,0.0,0.0,1,0,0,1.3,0.051,0.42,0.01%,0.51,,,2b --- 0 out tie,2b 3 out tie,,2021-05-31,116,158,633948,2021,1.0,6.667,3.0,36.0,1.0,9.0,9.0,12.0,11.0,2.0,7.0,12.15,2.25,5.0,1.0,20.0,0.0,1.0,1.0,3.0,7.0,1.0,2.0,1.8,0.8,6.667,3.0,36.0,1.0,9.0,9.0,12.0,11.0,2.0,7.0,12.15,2.25
10,193,2021-06-01,DET,@,MIL,"W,10-7",5-5,,0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,1,10.13,7.05,2.0,7.0,5.0,2,1,0,0,0,0,0,,1,0,0,0,0,1,0.0,0.0,0.0,0,0,0,1.91,0.043,0.53,0.01%,0.32,,,5b -2- 2 out a2,5b 3 out a2,,2021-06-01,116,158,633878,2021,0.333,7.667,5.0,40.0,1.0,9.0,9.0,12.0,11.0,2.0,9.0,10.565,2.217,5.0,2.0,20.0,0.0,1.0,1.0,3.0,6.0,0.0,2.0,1.8,1.0,7.667,5.0,40.0,1.0,9.0,9.0,12.0,11.0,2.0,9.0,10.565,2.217
