Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1,318,33,2021-05-07,LAD,@,LAA,"L,2-9",6-6,,99,0.2,5,4,4,0,0,0,0,54.0,3.17,7,28.0,17.0,7,1,1,6,6,0,0,,0.0,0.0,0,0,0,7,3,1,0,0,0,0,0.18,-0.047,0.19,-0.03%,-3.84,,,6b --- 0 out d4,6b --3 2 out d8,,2021-05-07,119,108,634213
2,319,39,2021-05-15,LAD,,MIA,"W,7-0",9-GF,,7,1.0,0,0,0,0,0,0,0,21.6,3.17,3,13.0,8.0,2,1,3,0,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.01,0.001,0.01,0.00%,0.53,,,9t --- 0 out a7,9t end a 7,,2021-05-15,119,146,634096
3,320,40,2021-05-16,LAD,,MIA,"L,2-3",8-8,,0,1.0,0,0,0,0,0,0,0,13.5,3.17,3,13.0,8.0,4,0,1,2,1,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.71,0.055,0.89,0.04%,0.53,,,8t --- 0 out d1,8t 3 out d1,,2021-05-16,119,146,634122
4,321,43,2021-05-19,LAD,,ARI,"W,4-2",7-7,W(1-0),2,1.0,0,0,0,0,1,0,0,9.82,2.62,3,9.0,8.0,5,1,2,0,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.76,0.058,0.96,0.04%,0.53,,,7t --- 0 out d1,7t 3 out d1,,2021-05-19,119,109,634033
5,322,44,2021-05-20,LAD,,ARI,"W,3-2",6-6,BS(1),0,0.2,3,2,2,0,1,1,0,12.46,5.25,6,23.0,18.0,3,3,1,4,1,0,0,,0.0,0.0,0,0,0,6,1,0,0,0,0,1,1.19,-0.275,1.44,-0.20%,-1.99,,,6t --- 0 out a2,6t 1-3 2 out tie,,2021-05-20,119,109,634059
6,323,48,2021-05-25,LAD,@,HOU,"W,9-2",8-8,,4,0.1,0,0,0,0,0,0,0,11.57,5.1,1,4.0,2.0,1,0,1,0,0,0,0,,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0.02,0.001,0.02,0.00%,0.11,,,8b --- 2 out a7,8b 3 out a7,,2021-05-25,119,117,633953
7,324,50,2021-05-27,LAD,,SFG,"W,4-3",4-6,H(1),1,1.2,1,1,1,0,2,1,0,9.95,6.01,6,19.0,16.0,6,2,2,2,1,0,0,,0.0,0.0,0,0,0,6,0,0,0,0,0,0,0.83,0.015,1.23,0.01%,-0.12,,,4t --- 2 out a2,6t --- 1 out a2,,2021-05-27,119,137,633930
8,325,53,2021-05-30,LAD,,SFG,"L,4-5",7-7,,2,0.2,1,0,0,2,2,0,0,9.0,6.03,5,28.0,16.0,4,7,0,1,1,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.22,-0.002,0.33,0.00%,-0.26,,,7t --- 0 out d5,7t 123 2 out d5,,2021-05-30,119,137,633923
9,326,55,2021-06-01,LAD,,STL,"L,2-3",2-3,,1,1.1,0,0,0,0,3,0,0,7.56,4.85,4,16.0,11.0,2,4,1,0,0,0,0,,2.0,0.0,0,0,0,4,0,0,0,0,0,0,0.74,0.08,0.99,0.06%,1.04,,,2t 1-3 2 out d2,3t 3 out d2,,2021-06-01,119,138,633879
10,327,57,2021-06-04,LAD,@,ATL,"W,9-5",8-8,,2,0.2,1,1,0,0,1,0,0,7.0,4.5,4,14.0,11.0,3,3,2,1,0,1,0,,1.0,1.0,0,0,0,4,0,0,0,0,0,1,0.69,-0.01,0.88,-0.01%,-1.29,,,8b -2- 1 out a5,8b 3 out a3,,2021-06-04,119,144,633820
