Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1,1,129,2022-08-29,BOS,@,MIN,"L,2-4",6-6,,99,1.0,1,0,0,0,2,0,0,0.0,-0.89,3,18.0,10.0,7,0,1,0,0,0,0,,0.0,0.0,0,1,0,3,0,0,0,0,0,0,0.39,0.027,0.07,0.00%,0.47,5.65,9.0,6b --- 0 out d2,6b 3 out d2,,2022-08-29,111,142,661651
2,2,130,2022-08-30,BOS,@,MIN,"L,5-10",7-7,,0,1.0,0,0,0,0,1,0,0,0.0,0.11,3,9.0,9.0,4,1,2,0,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.15,0.011,0.02,0.00%,0.47,4.25,6.0,7b --- 0 out d3,7b 3 out d3,,2022-08-30,111,142,661648
3,3,132,2022-09-01,BOS,,TEX,"W,9-8",7-7,,1,1.0,3,2,2,2,1,0,0,6.0,2.45,8,,,4,1,3,2,0,1,0,,0.0,0.0,0,0,0,5,0,0,0,0,1,0,1.48,-0.18,0.11,-0.01%,-1.49,-2.75,0.0,7t --- 0 out d1,7t 3 out d3,,2022-09-01,111,140,663210
4,4,136,2022-09-05,BOS,@,TBR,"L,3-4",7-GF(8),,3,1.2,1,0,0,0,1,0,0,3.86,2.25,6,,,5,1,3,2,2,0,0,,1.0,1.0,0,0,0,6,1,0,0,0,0,0,1.18,-0.111,0.17,-0.01%,0.1,5.15,8.0,7b -2- 1 out tie,8b end d 1,,2022-09-05,111,139,661852
5,5,138,2022-09-07,BOS,@,TBR,"L,0-1",8-GF(8),,1,1.0,0,0,0,0,0,0,0,3.18,2.41,3,,,0,0,2,1,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.37,0.027,0.02,0.00%,0.45,2.25,3.0,8b --- 0 out d1,8b end d 1,,2022-09-07,111,139,662065
6,6,139,2022-09-09,BOS,@,BAL,"L,2-3",7-7,,1,1.0,0,0,0,1,1,0,0,2.7,2.66,4,26.0,15.0,2,1,1,1,0,1,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.73,0.04,0.01,0.00%,0.47,3.65,6.0,7b --- 0 out d1,7b 3 out d1,,2022-09-09,111,110,663456
7,7,143,2022-09-14,BOS,,NYY,"L,3-5",6-6,,4,1.0,1,1,1,1,1,0,0,3.52,2.85,5,24.0,15.0,5,2,1,2,0,0,0,,0.0,0.0,1,0,0,4,1,0,0,0,0,0,0.79,-0.059,0.01,0.00%,-0.49,1.05,3.0,6t --- 0 out d2,6t 3 out d3,,2022-09-14,111,147,663159
8,8,147,2022-09-20,BOS,@,CIN,"W,5-3",7-7,H(1),5,1.0,0,0,0,0,0,0,0,3.12,2.88,3,5.0,4.0,1,0,1,2,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,1.1,0.085,0.0,0.00%,0.53,2.25,3.0,7b --- 0 out a2,7b 3 out a2,,2022-09-20,111,113,663104
9,9,150,2022-09-23,BOS,@,NYY,"L,4-5",6-6,,2,1.0,0,0,0,0,1,0,0,2.79,2.7,3,11.0,7.0,1,3,0,2,0,1,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.99,0.074,0.0,0.00%,0.48,4.25,6.0,6b --- 0 out tie,6b 3 out tie,,2022-09-23,111,147,661222
10,10,153,2022-09-26,BOS,,BAL,"L,8-14",5-5,,2,1.0,2,0,0,0,1,0,0,2.53,2.55,5,21.0,12.0,3,1,1,3,1,0,0,,3.0,2.0,0,0,0,5,0,0,0,0,0,0,1.37,-0.01,0.0,0.00%,0.35,3.05,6.0,5t 123 0 out d1,5t 3 out d3,,2022-09-26,111,110,663250
11,11,154,2022-09-27,BOS,,BAL,"W,13-9",6-6,,0,1.0,0,0,0,0,0,0,0,2.31,2.6,3,,,4,0,1,2,0,1,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.27,0.021,0.0,0.00%,0.51,2.25,3.0,6t --- 0 out a5,6t 3 out a5,,2022-09-27,111,110,663206
12,12,156,2022-09-29,BOS,,BAL,"W,5-3",8-8,W(1-0),1,1.0,1,0,0,0,1,0,0,2.13,2.48,5,19.0,13.0,4,3,2,2,1,0,0,,0.0,0.0,0,0,0,5,0,0,0,0,0,1,1.98,0.108,0.0,0.00%,0.51,7.65,12.0,8t --- 0 out tie,8t 3 out tie,,2022-09-29,111,110,663180
13,13,158,2022-10-01,BOS,@,TOR,"L,0-10",5-5,,1,1.0,5,3,3,0,1,2,0,3.95,4.28,8,26.0,18.0,2,4,2,5,2,0,0,,0.0,0.0,0,0,0,8,1,0,0,0,0,0,0.09,-0.05,0.0,0.00%,-2.53,-4.75,-3.0,5b --- 0 out d4,5b 3 out d7,,2022-10-01,111,141,661736
1,14,1,2023-03-30,BOS,,BAL,"L,9-10",4-4,,99,0.2,0,0,0,2,2,0,0,0.0,6.26,4,22.0,12.0,6,1,0,0,0,0,0,,3.0,2.0,0,0,0,2,0,0,0,0,0,0,1.39,-0.051,1.37,-0.03%,-0.38,4.3,8.0,4t 123 1 out d2,4t 3 out d4,,2023-03-30,111,110,718782
2,15,2,2023-04-01,BOS,,BAL,"W,9-8",4-4,,1,1.0,3,1,1,0,0,0,0,5.4,4.46,5,16.0,12.0,4,0,1,4,2,0,0,,0.0,0.0,0,0,0,5,2,0,0,0,0,0,0.65,-0.052,0.59,-0.03%,-0.46,-1.55,0.0,4t --- 0 out d2,4t 3 out d3,,2023-04-01,111,110,718761
3,16,4,2023-04-03,BOS,,PIT,"L,6-7",5-6,,1,2.0,1,0,0,1,2,0,0,2.45,3.53,7,30.0,19.0,4,5,2,2,1,0,0,,0.0,0.0,0,0,0,6,1,0,0,0,0,0,0.68,0.084,0.63,0.05%,1.09,7.3,12.0,5t --- 0 out d2,6t 3 out d2,,2023-04-03,111,134,718724
4,17,6,2023-04-05,BOS,,PIT,"L,1-4",9-GF,,1,1.0,0,0,0,1,0,0,1,1.93,4.76,4,22.0,13.0,3,1,2,0,0,0,0,,0.0,0.0,2,0,0,2,0,0,0,0,0,0,0.2,0.01,0.17,0.01%,0.54,1.05,3.0,9t --- 0 out d3,9t end d 3,,2023-04-05,111,134,718702
5,18,8,2023-04-08,BOS,@,DET,"W,14-5",6-7,,2,2.0,0,0,0,1,1,0,0,1.35,4.46,8,32.0,18.0,6,2,4,1,0,0,0,,0.0,0.0,0,0,0,6,0,0,0,0,0,0,0.32,0.023,0.28,0.01%,1.04,5.9,9.0,6b --- 0 out a6,7b 3 out a7,,2023-04-08,111,116,718667
6,19,12,2023-04-12,BOS,@,TBR,"L,7-9",5-5,,3,0.2,2,2,2,1,1,0,1,3.68,4.89,6,23.0,12.0,3,3,1,2,1,0,0,,0.0,0.0,0,0,0,4,1,0,0,0,0,0,0.36,-0.074,0.33,-0.04%,-1.94,-2.9,-1.0,5b --- 0 out d3,5b 12- 2 out d5,,2023-04-12,111,139,718600
7,20,157,2023-09-26,BOS,,TBR,"L,7-9",4-4,,99,1.0,0,0,0,0,0,0,0,3.24,4.7,3,13.0,8.0,1,0,2,1,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.08,0.006,0.0,0.00%,0.54,2.25,3.0,4t --- 0 out d7,4t 3 out d7,,2023-09-26,111,139,716428
8,21,159,2023-09-28,BOS,@,BAL,"L,0-2",8-GF(8),,1,1.0,1,1,1,2,0,0,0,3.86,5.18,6,23.0,11.0,4,2,2,2,1,0,0,,0.0,0.0,0,0,0,4,1,0,0,0,0,0,0.55,-0.058,0.0,0.00%,-0.51,-1.55,0.0,8b --- 0 out d1,8b end d 2,,2023-09-28,111,110,716402
1,22,25,2024-04-24,BOS,@,CLE,"W,8-0",8-GF,,99,2.0,0,0,0,0,3,0,0,0.0,0.13,6,28.0,20.0,4,7,3,0,0,0,0,,0.0,0.0,0,0,0,6,0,0,0,0,0,0,0.05,0.008,0.05,0.01%,0.99,10.5,15.0,8b --- 0 out a6,9b end a 8,,2024-04-24,111,114,746649
2,23,27,2024-04-26,BOS,,CHC,"L,1-7",8-GF,,1,2.0,1,0,0,0,1,0,0,0.0,1.13,7,26.0,20.0,6,2,2,4,1,1,0,,0.0,0.0,0,0,0,7,0,0,0,0,0,0,0.02,0.003,0.02,0.00%,1.09,5.9,9.0,8t --- 0 out d6,9t end d 6,,2024-04-26,111,112,746972
3,24,30,2024-04-30,BOS,,SFG,"W,4-0",8-8,,3,1.0,0,0,0,0,2,0,0,0.0,0.73,4,20.0,13.0,3,2,1,1,0,1,0,,0.0,0.0,1,0,0,4,0,0,0,0,0,1,0.52,0.026,0.52,0.02%,0.54,6.25,9.0,8t --- 0 out a4,8t 3 out a4,,2024-04-30,111,137,746968
4,25,32,2024-05-02,BOS,,SFG,"L,1-3",6-7,L(0-1),1,0.2,4,2,2,0,0,0,0,3.18,1.01,6,23.0,15.0,4,0,2,4,2,1,0,,0.0,0.0,0,0,0,6,0,0,0,0,0,0,1.49,-0.276,1.6,-0.18%,-2.06,-4.9,-4.0,6t --- 1 out tie,7t 1-3 0 out d1,,2024-05-02,111,137,746969
5,26,35,2024-05-05,BOS,@,MIN,"W,9-2",6-7,H(1),2,1.2,1,0,0,2,2,0,0,2.45,1.77,8,34.0,19.0,5,4,1,3,2,0,0,,0.0,0.0,0,0,0,6,0,0,0,0,0,0,2.03,0.119,2.03,0.07%,0.8,5.95,11.0,6b --- 0 out a2,7b 1-- 2 out a2,,2024-05-05,111,142,745913
6,27,40,2024-05-12,BOS,,WSN,"W,3-2",7-7,H(2),6,1.0,0,0,0,2,0,0,1,2.16,3.01,5,24.0,10.0,3,3,1,1,1,0,0,,0.0,0.0,2,0,1,2,0,0,0,0,0,0,2.59,0.099,2.08,0.05%,0.54,0.45,3.0,7t --- 0 out a1,7t 3 out a1,,2024-05-12,111,120,746965
7,28,42,2024-05-14,BOS,,TBR,"W,5-4",10-11,,1,2.0,0,1,0,1,2,0,0,1.74,2.94,8,21.0,16.0,6,3,4,1,0,0,0,,0.0,0.0,0,0,0,7,0,0,1,0,0,1,4.32,0.275,4.01,0.15%,1.35,7.9,12.0,10t -2- 0 out tie,11t 3 out d1,,2024-05-14,111,139,746962
8,29,44,2024-05-16,BOS,,TBR,"L,5-7",6-6,,1,1.0,0,0,0,4,1,0,0,1.59,3.84,6,29.0,11.0,6,2,1,0,0,0,0,,0.0,0.0,0,1,0,2,0,0,0,0,0,0,1.5,0.059,1.37,0.03%,0.54,1.85,6.0,6t --- 0 out d1,6t 3 out d1,,2024-05-16,111,139,746959
9,30,46,2024-05-18,BOS,@,STL,"L,2-7",8-GF(8),,1,0.1,1,0,0,0,0,0,0,1.54,3.82,2,18.0,14.0,0,1,1,1,0,0,0,,2.0,2.0,0,0,0,2,0,0,0,0,0,0,0.14,-0.023,0.1,-0.01%,-1.55,0.15,1.0,8b 12- 2 out d3,8b end d 5,,2024-05-18,111,138,745177
10,31,50,2024-05-22,BOS,@,TBR,"W,8-5",8-GF,,3,2.0,2,1,1,1,1,1,0,1.98,4.74,9,33.0,23.0,7,2,4,3,0,1,0,,0.0,0.0,0,0,0,8,0,0,0,0,0,0,0.56,0.046,0.51,0.03%,0.0,2.7,6.0,8b --- 0 out a4,9b end a 3,,2024-05-22,111,139,745089
11,32,52,2024-05-25,BOS,,MIL,"L,3-6",6-8,,2,3.0,2,1,1,0,2,1,0,2.16,4.99,11,42.0,30.0,8,4,5,4,2,0,0,,0.0,0.0,0,0,0,11,1,0,0,0,0,0,0.18,-0.009,0.14,-0.01%,0.63,7.55,12.0,6t --- 0 out d5,8t 3 out d4,,2024-05-25,111,158,746958
12,33,62,2024-06-05 00:00:00,BOS,,ATL,"W,9-0",8-8,,10,1.0,0,0,0,0,2,0,0,2.04,4.67,3,12.0,8.0,3,2,0,1,1,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.02,0.001,0.01,0.00%,0.5,6.25,9.0,8t --- 0 out a8,8t 3 out a8,,2024-06-05,111,144,746950
13,34,65,2024-06-08 00:00:00,BOS,@,CHW,"L,1-6",5-5,,2,0.1,0,0,0,0,0,0,0,2.0,4.64,1,5.0,3.0,1,1,0,1,0,0,0,,3.0,0.0,0,0,0,1,0,0,0,0,0,0,0.64,0.016,0.4,0.01%,0.75,0.75,1.0,5b 123 2 out d4,5b 3 out d4,,2024-06-08,111,145,746786
14,35,66,2024-06-09 00:00:00,BOS,@,CHW,"W,6-4",GS-2,,0,2.0,0,0,0,2,3,0,0,1.8,4.5,8,32.0,18.0,10,4,3,0,0,0,0,57.0,,,0,0,0,6,0,0,0,0,0,0,1.14,0.097,0.69,0.04%,0.96,9.3,15.0,1b start tie,2b 3 out tie,,2024-06-09,111,145,746787
15,36,68,2024-06-12 00:00:00,BOS,,PHI,"W,8-6",6-7,H(3),2,1.0,0,1,1,1,2,0,0,2.14,4.39,4,15.0,10.0,3,3,1,0,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.79,0.038,0.44,0.01%,0.12,3.65,6.0,6t --- 0 out a2,7t 1-- 0 out a4,,2024-06-12,111,143,746948
16,37,70,2024-06-14 00:00:00,BOS,,NYY,"L,1-8",6-7,,1,2.0,0,0,0,0,3,0,0,1.96,4.01,6,21.0,18.0,6,3,0,3,1,0,0,,0.0,0.0,0,0,0,6,0,0,0,0,0,0,0.18,0.027,0.12,0.01%,1.01,10.5,15.0,6t --- 0 out d4,7t 3 out d4,,2024-06-14,111,147,746947
17,38,72,2024-06-16 00:00:00,BOS,,NYY,"W,9-3",7-7,H(4),1,1.0,0,0,0,0,2,0,0,1.88,3.82,3,13.0,8.0,4,3,0,1,1,0,0,,3.0,0.0,0,0,0,3,0,0,0,0,0,0,4.72,0.403,3.09,0.16%,2.35,6.25,9.0,7t 123 0 out a1,7t 3 out a1,,2024-06-16,111,147,746945
18,39,74,2024-06-18 00:00:00,BOS,@,TOR,"W,4-3",6-7,W(1-1),1,1.1,0,0,0,0,1,0,0,1.78,3.71,4,18.0,13.0,2,3,1,2,0,0,0,,2.0,0.0,0,0,0,4,0,0,0,0,0,0,0.86,0.093,0.67,0.04%,1.06,9.0,13.0,6b -23 2 out d1,7b 3 out d1,,2024-06-18,111,141,744917
19,40,77,2024-06-22 00:00:00,BOS,@,CIN,"W,4-3",7-7,W(2-1),3,0.1,0,0,0,0,0,0,0,1.75,3.69,1,6.0,4.0,0,0,1,0,0,0,0,,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0.74,0.021,0.58,0.01%,0.24,4.75,7.0,7b 1-- 2 out d1,7b 3 out d1,,2024-06-22,111,113,746700
20,41,78,2024-06-23 00:00:00,BOS,@,CIN,"W,7-4",GS-3,,0,2.2,1,0,0,0,3,0,0,1.59,3.43,9,33.0,21.0,6,6,3,3,1,0,0,59.0,,,0,0,0,9,0,0,0,0,0,0,0.94,0.144,0.75,0.07%,1.44,11.4,17.0,1b start tie,3b --- 2 out tie,,2024-06-23,111,113,746699
21,42,82,2024-06-29 00:00:00,BOS,,SDP,"L,1-11",8-8,,5,1.0,2,1,0,0,2,0,0,1.53,3.3,6,31.0,20.0,7,2,3,1,1,0,0,,0.0,0.0,0,0,0,6,1,0,0,0,0,1,0.01,0.0,0.01,0.00%,-0.49,5.05,9.0,8t --- 0 out d9,8t 3 out d10,,2024-06-29,111,135,746940
22,43,84,2024-07-02 00:00:00,BOS,@,MIA,"W,8-3",7-7,,2,1.0,3,2,1,0,1,1,0,1.78,3.65,6,18.0,13.0,5,3,3,2,0,1,0,,0.0,0.0,0,0,0,6,0,0,0,0,0,0,0.41,-0.016,0.36,-0.01%,-1.47,0.45,3.0,7b --- 0 out a6,7b 3 out a4,,2024-07-02,111,146,746047
