Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_10,H_10,BF_10,HR_10,R_10,ER_10,BB_10,SO_10,XB_against_10,TB_against_10,ERA_10,WHIP_10,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_3,H_3,BF_3,HR_3,R_3,ER_3,BB_3,SO_3,XB_against_3,TB_against_3,ERA_3,WHIP_3,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1,1,2022-08-29,BOS,@,MIN,"L,2-4",6-6,,99,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0,0.0,-0.89,3.0,18.0,10.0,7,0,1,0,0,0,0,,0.0,0.0,0,1,0,3,0.0,0.0,0.0,0,0,0,0.39,0.027,0.07,0.00%,0.47,5.65,9.0,6b --- 0 out d2,6b 3 out d2,,2022-08-29,111,142,661651,2022,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,2,2022-08-30,BOS,@,MIN,"L,5-10",7-7,,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.11,3.0,9.0,9.0,4,1,2,0,0,0,0,,0.0,0.0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.15,0.011,0.02,0.00%,0.47,4.25,6.0,7b --- 0 out d3,7b 3 out d3,,2022-08-30,111,142,661648,2022,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0
3,3,2022-09-01,BOS,,TEX,"W,9-8",7-7,,1,1.0,3.0,2.0,2.0,2.0,1.0,0.0,0,6.0,2.45,8.0,,,4,1,3,2,0,1,0,,0.0,0.0,0,0,0,5,0.0,0.0,0.0,0,1,0,1.48,-0.18,0.11,-0.01%,-1.49,-2.75,0.0,7t --- 0 out d1,7t 3 out d3,,2022-09-01,111,140,663210,2022,1.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.5,2.0,1.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.5,2.0,1.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.5,2.0,1.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.5,2.0,1.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.5
4,4,2022-09-05,BOS,@,TBR,"L,3-4",7-GF(8),,3,1.2,1.0,0.0,0.0,0.0,1.0,0.0,0,3.86,2.25,6.0,,,5,1,3,2,2,0,0,,1.0,1.0,0,0,0,6,1.0,0.0,0.0,0,0,0,1.18,-0.111,0.17,-0.01%,0.1,5.15,8.0,7b -2- 1 out tie,8b end d 1,,2022-09-05,111,139,661852,2022,1.667,3.0,4.0,14.0,0.0,2.0,2.0,2.0,4.0,0.0,4.0,6.0,2.0,3.0,4.0,14.0,0.0,2.0,2.0,2.0,4.0,0.0,4.0,6.0,2.0,3.0,4.0,14.0,0.0,2.0,2.0,2.0,4.0,0.0,4.0,6.0,2.0,3.0,4.0,14.0,0.0,2.0,2.0,2.0,4.0,0.0,4.0,6.0,2.0,3.0,4.0,14.0,0.0,2.0,2.0,2.0,4.0,0.0,4.0,6.0,2.0
5,5,2022-09-07,BOS,@,TBR,"L,0-1",8-GF(8),,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.18,2.41,3.0,,,0,0,2,1,0,0,0,,0.0,0.0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.37,0.027,0.02,0.00%,0.45,2.25,3.0,8b --- 0 out d1,8b end d 1,,2022-09-07,111,139,662065,2022,1.0,4.667,5.0,20.0,0.0,2.0,2.0,2.0,5.0,1.0,6.0,3.857,1.5,4.667,5.0,20.0,0.0,2.0,2.0,2.0,5.0,1.0,6.0,3.857,1.5,4.667,5.0,20.0,0.0,2.0,2.0,2.0,5.0,1.0,6.0,3.857,1.5,3.667,4.0,17.0,0.0,2.0,2.0,2.0,3.0,1.0,5.0,4.909,1.636,4.667,5.0,20.0,0.0,2.0,2.0,2.0,5.0,1.0,6.0,3.857,1.5
6,6,2022-09-09,BOS,@,BAL,"L,2-3",7-7,,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0,2.7,2.66,4.0,26.0,15.0,2,1,1,1,0,1,0,,0.0,0.0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.73,0.04,0.01,0.00%,0.47,3.65,6.0,7b --- 0 out d1,7b 3 out d1,,2022-09-09,111,110,663456,2022,1.0,5.667,5.0,23.0,0.0,2.0,2.0,2.0,5.0,1.0,6.0,3.176,1.235,5.667,5.0,23.0,0.0,2.0,2.0,2.0,5.0,1.0,6.0,3.176,1.235,5.667,5.0,23.0,0.0,2.0,2.0,2.0,5.0,1.0,6.0,3.176,1.235,3.667,4.0,17.0,0.0,2.0,2.0,2.0,2.0,1.0,5.0,4.909,1.636,5.667,5.0,23.0,0.0,2.0,2.0,2.0,5.0,1.0,6.0,3.176,1.235
7,7,2022-09-14,BOS,,NYY,"L,3-5",6-6,,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,3.52,2.85,5.0,24.0,15.0,5,2,1,2,0,0,0,,0.0,0.0,1,0,0,4,1.0,0.0,0.0,0,0,0,0.79,-0.059,0.01,0.00%,-0.49,1.05,3.0,6t --- 0 out d2,6t 3 out d3,,2022-09-14,111,147,663159,2022,1.0,6.667,5.0,27.0,0.0,2.0,2.0,3.0,6.0,1.0,6.0,2.7,1.2,6.667,5.0,27.0,0.0,2.0,2.0,3.0,6.0,1.0,6.0,2.7,1.2,5.667,4.0,24.0,0.0,2.0,2.0,3.0,4.0,1.0,5.0,3.176,1.235,3.667,1.0,13.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.545,6.667,5.0,27.0,0.0,2.0,2.0,3.0,6.0,1.0,6.0,2.7,1.2
8,8,2022-09-20,BOS,@,CIN,"W,5-3",7-7,H(1),5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.12,2.88,3.0,5.0,4.0,1,0,1,2,0,0,0,,0.0,0.0,0,0,0,3,0.0,0.0,0.0,0,0,0,1.1,0.085,0.0,0.00%,0.53,2.25,3.0,7b --- 0 out a2,7b 3 out a2,,2022-09-20,111,113,663104,2022,1.0,7.667,6.0,32.0,0.0,3.0,3.0,4.0,7.0,2.0,8.0,3.522,1.304,7.667,6.0,32.0,0.0,3.0,3.0,4.0,7.0,2.0,8.0,3.522,1.304,5.667,5.0,26.0,0.0,3.0,3.0,4.0,4.0,2.0,7.0,4.765,1.588,3.0,1.0,12.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,7.667,6.0,32.0,0.0,3.0,3.0,4.0,7.0,2.0,8.0,3.522,1.304
9,9,2022-09-23,BOS,@,NYY,"L,4-5",6-6,,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,2.79,2.7,3.0,11.0,7.0,1,3,0,2,0,1,0,,0.0,0.0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.99,0.074,0.0,0.00%,0.48,4.25,6.0,6b --- 0 out tie,6b 3 out tie,,2022-09-23,111,147,661222,2022,1.0,8.667,6.0,35.0,0.0,3.0,3.0,4.0,7.0,2.0,8.0,3.115,1.154,8.667,6.0,35.0,0.0,3.0,3.0,4.0,7.0,2.0,8.0,3.115,1.154,5.667,2.0,21.0,0.0,1.0,1.0,2.0,3.0,2.0,4.0,1.588,0.706,3.0,1.0,12.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,8.667,6.0,35.0,0.0,3.0,3.0,4.0,7.0,2.0,8.0,3.115,1.154
10,10,2022-09-26,BOS,,BAL,"L,8-14",5-5,,2,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0,2.53,2.55,5.0,21.0,12.0,3,1,1,3,1,0,0,,3.0,2.0,0,0,0,5,0.0,0.0,0.0,0,0,0,1.37,-0.01,0.0,0.00%,0.35,3.05,6.0,5t 123 0 out d1,5t 3 out d3,,2022-09-26,111,110,663250,2022,1.0,9.667,6.0,38.0,0.0,3.0,3.0,4.0,8.0,2.0,8.0,2.793,1.034,9.667,6.0,38.0,0.0,3.0,3.0,4.0,8.0,2.0,8.0,2.793,1.034,5.0,1.0,18.0,0.0,1.0,1.0,2.0,3.0,1.0,2.0,1.8,0.6,3.0,1.0,11.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,0.667,9.667,6.0,38.0,0.0,3.0,3.0,4.0,8.0,2.0,8.0,2.793,1.034
