Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1,7,1,2021-04-01,TEX,@,KCR,"L,10-14",6-6,,99,1.0,0,0,0,0,0,0,0,0.0,3.17,3,11.0,8.0,2,1,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.65,0.05,0.64,0.03%,0.54,,,6b --- 0 out d1,6b 3 out d1,,2021-04-01,140,118,634630
2,8,2,2021-04-03,TEX,@,KCR,"L,4-11",6-6,BS(1),1,1.0,4,4,1,0,1,0,0,4.5,2.17,8,26.0,18.0,4,3,3,4,3,0,0,,3,3,0,0,0,8,2,0,0,0,0,1,1.01,-0.312,0.93,-0.17%,-4.62,,,6b 123 0 out a1,6b 3 out d6,,2021-04-03,140,118,634604
3,9,7,2021-04-09,TEX,,SDP,"L,0-3",6-7,,5,2.0,2,0,0,0,4,0,0,2.25,0.67,8,20.0,17.0,4,6,3,1,1,0,0,,0,0,0,0,0,8,0,0,0,0,0,0,0.36,0.048,0.31,0.03%,1.04,,,6t --- 0 out d3,7t 3 out d3,,2021-04-09,140,135,634478
4,10,10,2021-04-12,TEX,@,TBR,"L,0-1",8-GF(8),,2,1.0,0,0,0,1,0,0,0,1.8,1.77,3,13.0,6.0,0,1,2,0,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,0.53,0.03,0.42,0.01%,0.49,,,8b --- 0 out d1,8b end d 1,,2021-04-12,140,139,632204
5,11,12,2021-04-14,TEX,@,TBR,"W,5-1",6-7,H(1),1,1.0,3,0,0,0,1,0,0,1.5,1.67,5,,,4,2,2,2,2,0,0,,0,0,0,0,0,5,0,0,0,1,0,0,0.46,0.022,0.37,0.01%,0.16,,,6b --- 2 out a1,7b 12- 2 out a5,,2021-04-14,140,139,634496
6,12,16,2021-04-18,TEX,,BAL,"W,1-0",10-GF(10),W(1-0),3,1.0,1,0,0,0,1,0,0,1.29,1.6,3,10.0,7.0,1,2,0,2,2,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,4.31,0.314,3.38,0.15%,1.15,,,10t -2- 0 out tie,10t end tie,,2021-04-18,140,110,634511
7,13,19,2021-04-21,TEX,@,LAA,"W,7-4",7-7,W(2-0),2,1.0,2,0,0,0,0,0,1,1.13,2.17,6,12.0,10.0,4,0,5,0,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,0.7,0.026,0.67,0.02%,0.54,,,7b --- 0 out d2,7b 3 out d2,,2021-04-21,140,108,634430
8,14,21,2021-04-24,TEX,@,CHW,"L,1-2",7-GF,L(2-1),2,2.2,3,1,1,1,1,0,0,1.69,2.51,12,,,8,3,7,3,2,0,0,,0,0,0,0,0,10,1,0,1,0,0,0,1.74,-0.277,1.52,-0.15%,-0.03,,,7b --- 0 out d1,9b end d 1,,2021-04-24,140,145,634384
9,15,24,2021-04-27,TEX,,LAA,"W,6-1",6-7,,2,1.2,1,0,0,0,0,0,0,1.46,2.6,6,17.0,12.0,5,1,5,1,0,0,0,,1,0,0,0,0,6,0,0,0,0,0,0,0.61,0.066,0.46,0.03%,1.06,,,6t 1-- 1 out a4,7t 3 out a4,,2021-04-27,140,108,634359
10,16,26,2021-04-29,TEX,,BOS,"W,4-1",7-7,H(2),1,1.0,0,0,0,0,0,0,0,1.35,2.65,3,11.0,6.0,1,0,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.94,0.073,0.65,0.03%,0.52,,,7t --- 0 out a2,7t 3 out a2,,2021-04-29,140,111,634289
11,17,32,2021-05-05,TEX,@,MIN,"W,3-1",4-6,W(3-1),5,2.2,2,0,0,0,3,0,0,1.13,2.36,10,35.0,24.0,5,5,6,1,1,0,0,,3,0,0,0,0,10,1,0,0,0,0,0,1.7,0.315,1.36,0.15%,2.61,,,4b 123 1 out tie,6b 3 out a2,,2021-05-05,140,142,634279
12,18,35,2021-05-08,TEX,,SEA,"W,9-8",7-8,W(4-1),2,1.1,1,1,1,0,1,1,0,1.56,3.05,5,,,2,2,2,2,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,0.96,-0.168,0.98,-0.10%,-0.37,,,7t --- 2 out tie,8t 3 out d1,,2021-05-08,140,136,634171
13,19,37,2021-05-10,TEX,@,SFG,"L,1-3",7-7,L(4-2),1,0.2,2,2,1,1,2,0,0,2.0,3.0,6,31.0,18.0,6,1,1,2,2,0,0,,0,0,0,0,0,5,0,0,0,0,0,1,1.59,-0.302,1.51,-0.17%,-2.0,,,7b --- 0 out tie,7b 1-3 2 out d2,,2021-05-10,140,137,634153
14,20,39,2021-05-13,TEX,@,HOU,"L,3-4",6-7,,2,2.0,2,0,0,0,2,0,0,1.8,2.82,8,,,7,2,3,3,2,0,0,,0,0,0,0,0,8,1,0,0,0,0,0,1.47,0.167,1.44,0.10%,1.05,,,6b --- 0 out tie,7b 3 out tie,,2021-05-13,140,117,634141
15,21,43,2021-05-17,TEX,,NYY,"W,5-2",7-8,,3,1.1,0,0,0,0,0,0,0,1.69,2.84,4,14.0,10.0,2,0,1,3,1,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.42,0.044,0.26,0.02%,0.77,,,7t --- 0 out a4,8t --- 1 out a4,,2021-05-17,140,147,634099
