Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1,90,2021-04-01,COL,,LAD,"W,8-5",8-8,,99,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0,9.0,3.17,5.0,20.0,13.0,5,2,1,4,2,1,0,,0,0,0,0,0,5,1.0,0.0,0.0,0,0,0,0.84,0.012,0.86,0.01%,-0.42,,,8t --- 0 out a4,8t 3 out a3,,2021-04-01,115,119,634615,2021,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,91,2021-04-03,COL,,LAD,"L,5-6",7-7,,1,1.0,2.0,1.0,1.0,0.0,2.0,0.0,0,9.0,1.17,6.0,,,0,5,3,1,1,0,0,,0,0,0,0,0,6,0.0,1.0,0.0,0,0,1,0.99,-0.08,1.02,-0.05%,-0.42,,,7t --- 0 out d1,7t 3 out d2,,2021-04-03,115,119,634633,2021,1.0,1.0,2.0,5.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,9.0,2.0,1.0,2.0,5.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,9.0,2.0,1.0,2.0,5.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,9.0,2.0
3,92,2021-04-06,COL,,ARI,"L,8-10",8-8,,2,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1,6.0,2.5,5.0,,,5,4,0,1,0,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,1.47,0.062,1.32,0.03%,0.58,,,8t --- 0 out d1,8t 3 out d1,,2021-04-06,115,109,634619,2021,1.0,2.0,4.0,11.0,0.0,2.0,2.0,0.0,2.0,2.0,7.0,9.0,2.0,2.0,4.0,11.0,0.0,2.0,2.0,0.0,2.0,2.0,7.0,9.0,2.0,2.0,4.0,11.0,0.0,2.0,2.0,0.0,2.0,2.0,7.0,9.0,2.0
4,93,2021-04-09,COL,@,SFG,"L,1-3",7-7,,2,0.1,1.0,0.0,0.0,2.0,0.0,0.0,0,5.4,4.37,4.0,18.0,8.0,0,2,1,1,0,0,0,,2,2,0,0,0,2,1.0,0.0,0.0,0,0,0,2.17,-0.252,2.18,-0.15%,-1.86,,,7b 12- 1 out tie,7b 123 2 out d2,,2021-04-09,115,137,634494,2021,0.333,3.0,4.0,16.0,0.0,2.0,2.0,1.0,4.0,2.0,7.0,6.0,1.667,3.0,4.0,16.0,0.0,2.0,2.0,1.0,4.0,2.0,7.0,6.0,1.667,3.0,4.0,16.0,0.0,2.0,2.0,1.0,4.0,2.0,7.0,6.0,1.667
5,94,2021-04-14,COL,@,LAD,"L,2-4",6-6,,4,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0,4.15,4.79,5.0,21.0,12.0,3,0,3,1,0,0,0,,0,0,0,0,0,4,0.0,0.0,0.0,0,0,0,1.0,0.049,0.74,0.02%,0.53,,,6b --- 0 out d1,6b 3 out d1,,2021-04-14,115,119,634614,2021,1.0,3.333,5.0,20.0,0.0,2.0,2.0,3.0,4.0,3.0,9.0,5.4,2.4,3.333,5.0,20.0,0.0,2.0,2.0,3.0,4.0,3.0,9.0,5.4,2.4,3.333,5.0,20.0,0.0,2.0,2.0,3.0,4.0,3.0,9.0,5.4,2.4
6,95,2021-04-15,COL,@,LAD,"L,5-7",7-7,,0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0,6.23,5.48,3.0,,,2,0,1,1,1,0,0,,0,0,0,0,0,2,0.0,0.0,0.0,0,0,0,0.87,-0.049,0.6,-0.02%,-0.68,,,7b --- 2 out d1,7b 123 2 out d1,,2021-04-15,115,119,634547,2021,0.0,4.333,6.0,25.0,0.0,2.0,2.0,4.0,4.0,3.0,10.0,4.154,2.308,4.333,6.0,25.0,0.0,2.0,2.0,4.0,4.0,3.0,10.0,4.154,2.308,4.333,6.0,25.0,0.0,2.0,2.0,4.0,4.0,3.0,10.0,4.154,2.308
7,96,2021-04-24,COL,,PHI,"L,5-7",8-8,,8,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0,5.06,5.23,3.0,22.0,10.0,4,3,1,0,0,0,0,,0,0,0,0,0,2,0.0,0.0,0.0,0,0,0,0.26,0.02,0.15,0.01%,0.58,,,8t --- 0 out d3,8t 3 out d3,,2021-04-24,115,143,634418,2021,1.0,4.333,8.0,28.0,0.0,3.0,3.0,5.0,4.0,3.0,12.0,6.231,3.0,3.333,6.0,23.0,0.0,2.0,2.0,5.0,4.0,2.0,9.0,5.4,3.3,4.333,8.0,28.0,0.0,3.0,3.0,5.0,4.0,3.0,12.0,6.231,3.0
8,97,2021-04-26,COL,@,SFG,"L,0-12",6-7,,1,2.0,1.0,2.0,2.0,1.0,5.0,1.0,0,6.14,5.49,8.0,,,3,7,1,1,0,0,0,,0,0,0,0,0,7,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.00%,-1.0,,,6b --- 0 out d10,7b 3 out d12,,2021-04-26,115,137,634374,2021,2.0,5.333,8.0,31.0,0.0,3.0,3.0,6.0,5.0,3.0,12.0,5.062,2.625,3.333,4.0,20.0,0.0,1.0,1.0,6.0,3.0,1.0,5.0,2.7,3.0,5.333,8.0,31.0,0.0,3.0,3.0,6.0,5.0,3.0,12.0,5.062,2.625
9,98,2021-04-28,COL,@,SFG,"L,3-7",7-GF(8),,1,1.2,1.0,0.0,0.0,1.0,1.0,0.0,0,5.0,5.17,5.0,22.0,13.0,3,3,1,2,0,0,0,,3,1,0,0,0,4,0.0,0.0,0.0,1,0,0,0.1,0.0,0.07,0.00%,1.08,,,7b 123 1 out d4,8b end d 5,,2021-04-28,115,137,634309,2021,1.667,7.333,9.0,39.0,1.0,5.0,5.0,7.0,10.0,4.0,16.0,6.136,2.182,4.333,5.0,23.0,1.0,3.0,3.0,6.0,6.0,2.0,9.0,6.231,2.538,7.333,9.0,39.0,1.0,5.0,5.0,7.0,10.0,4.0,16.0,6.136,2.182
10,99,2021-04-30,COL,@,ARI,"L,2-7",7-7,,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,4.5,5.27,3.0,10.0,4.0,1,1,2,0,0,0,0,,0,0,0,0,0,2,0.0,0.0,0.0,1,0,0,0.27,0.013,0.15,0.00%,0.51,,,7b --- 0 out d3,7b 3 out d3,,2021-04-30,115,109,634328,2021,1.0,9.0,10.0,44.0,1.0,5.0,5.0,8.0,11.0,4.0,17.0,5.0,2.0,5.667,5.0,24.0,1.0,3.0,3.0,5.0,7.0,1.0,8.0,4.765,1.765,9.0,10.0,44.0,1.0,5.0,5.0,8.0,11.0,4.0,17.0,5.0,2.0
