Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1,1,107,2021-08-04,BAL,@,NYY,"L,3-10",8-GF(8),,99,1.0,3,2,2,0,1,0,0,18.00,1.17,6,20,15,1,6,3,2,0,1,0,,0,0,0,0,0,6,1,0,0,0,0,0,.02,-0.004,.00,0.00%,-1.48,,,8b --- 0 out d5,8b end d 7,,2021-08-04,110,147,633018
2,2,109,2021-08-07,BAL,,TBR,"L,3-12",7-8,,2,1.1,1,2,1,1,4,0,0,11.57,0.17,8,28,20,8,6,3,0,0,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.85,0.018,.00,0.00%,0.11,,,7t --- 0 out d2,8t 12- 1 out d2,,2021-08-07,110,139,633014
3,3,110,2021-08-08,BAL,,TBR,"L,6-9",9-GF,,0,1.0,1,0,0,1,1,0,0,8.10,1.37,5,26,16,5,2,2,1,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.09,0.004,.00,0.00%,0.53,,,9t --- 0 out d4,9t end d 4,,2021-08-08,110,139,632971
4,4,112,2021-08-11,BAL,,DET,"L,2-5",6-7,,2,2.0,2,2,2,0,3,0,0,8.44,0.92,8,32,19,6,2,1,4,3,1,0,,0,0,0,0,0,7,1,0,0,0,1,0,.33,-0.074,.00,0.00%,-0.95,,,6t --- 0 out d3,7t 3 out d5,,2021-08-11,110,116,632922
5,5,114,2021-08-13,BAL,@,BOS,"L,1-8",5-6,,1,2.0,1,1,1,2,0,1,0,7.36,4.12,9,40,20,7,2,2,5,1,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.10,-0.001,.00,0.00%,0.12,,,5b --- 0 out d5,6b 3 out d6,,2021-08-13,110,111,632902
6,6,147,2021-09-17,BAL,@,BOS,"L,1-7",6-6,,34,0.1,3,3,3,1,1,0,0,10.57,4.21,5,27,17,4,2,1,2,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.58,-0.081,.00,0.00%,-3.17,,,6b --- 0 out d3,6b -2- 1 out d6,,2021-09-17,110,111,632454
7,7,148,2021-09-18,BAL,@,BOS,"L,3-9",8-GF(8),,0,1.0,0,0,0,0,1,0,0,9.35,3.86,3,13,6,3,1,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.01,0.001,.00,0.00%,0.56,,,8b --- 0 out d6,8b end d 6,,2021-09-18,110,111,632451
1,8,6,2022-04-13,TBR,,OAK,"L,2-4",7-9,,99,2.1,3,1,1,1,3,0,0,3.86,1.83,11,42,26,8,4,5,2,1,1,0,,0,0,0,0,0,10,1,0,0,0,0,0,.48,-0.040,.50,-0.03%,-0.28,6.85,13.00,7t --- 0 out d2,9t -2- 1 out d2,,2022-04-13,139,133,661943
2,9,41,2022-05-22,TBR,@,BAL,"L,6-7",10-GF(11),L(0-1),38,1.1,0,1,0,1,1,0,0,2.45,2.57,6,,,4,2,2,2,0,0,0,,0,0,0,0,0,4,0,0,1,0,0,0,3.77,0.111,4.08,0.07%,0.67,4.40,7.00,10b -2- 0 out tie,11b end d 1,,2022-05-22,139,110,661279
3,10,42,2022-05-24,TBR,,MIA,"W,4-0",7-8,,1,2.0,1,0,0,1,0,0,0,1.59,3.29,8,37,23,5,3,5,2,0,1,0,,0,0,0,0,0,7,0,0,0,0,0,0,.50,0.045,.54,0.03%,0.91,3.30,6.00,7t --- 0 out a4,8t 3 out a4,,2022-05-24,139,146,661978
4,11,78,2022-07-02,TBR,@,TOR,"W,11-5",5-7,,38,2.1,4,3,3,0,2,2,0,4.50,5.99,11,34,25,7,3,2,7,2,2,0,,2,0,0,0,0,11,1,0,0,0,0,0,.08,0.003,.07,0.00%,-1.59,0.85,4.00,5b 1-3 2 out a8,7b 3 out a6,2.0,2022-07-02,139,141,661836
5,12,149,2022-09-21,TBR,,HOU,"L,2-5",9-GF,,80,1.0,1,1,1,0,1,1,0,5.00,6.89,4,18,12,1,2,0,3,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.17,-0.031,.09,-0.01%,-0.55,1.65,3.00,9t --- 0 out d2,9t end d 3,,2022-09-21,139,117,662011
6,13,150,2022-09-22,TBR,,TOR,"W,10-5",8-GF,,0,2.0,2,2,2,1,2,1,0,5.73,7.29,9,38,24,6,7,3,3,0,1,0,,0,0,0,0,0,8,0,0,0,0,0,0,.03,0.003,.02,0.00%,-1.09,2.70,6.00,8t --- 0 out a7,9t end a 5,,2022-09-22,139,141,662041
