Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1,1,2,2024-03-21,SDP,@,LAD,"W,15-11",8-8,H(1),99,0.2,0,2,2,1,0,0,1,27.0,12.13,4,13,7,4,0,1,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,2.29,0.004,2.16,0.00%,0.07,-3.7,-4.0,8b --- 0 out a3,8b 12- 2 out a3,,2024-03-21,135,119,746175
2,2,4,2024-03-29,SDP,,SFG,"L,3-8",6-7,,7,1.0,3,2,2,0,1,0,0,21.6,5.53,6,30,20,7,3,2,3,3,0,0,,1,0,0,0,0,6,2,0,0,0,0,0,0.61,-0.106,0.61,-0.06%,-1.5,-1.55,0.0,6t 1-- 2 out d3,7t 1-- 2 out d4,,2024-03-29,135,137,745435
3,3,5,2024-03-30,SDP,,SFG,"L,6-9",9-GF,,0,1.0,0,0,0,0,1,0,0,13.5,3.88,3,11,8,3,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,0.5,4.25,6.0,9t --- 0 out d8,9t end d 8,,2024-03-30,135,137,745436
4,4,7,2024-04-01,SDP,,STL,"L,2-6",6-7,,1,2.0,2,0,0,1,3,0,1,7.71,3.56,10,34,21,6,4,2,3,3,0,0,,1,0,0,0,0,8,0,0,0,0,0,0,0.34,0.026,0.31,0.02%,1.38,8.1,15.0,6t 1-- 0 out d5,7t 3 out d4,,2024-04-01,135,138,745437
5,5,11,2024-04-06,SDP,@,SFG,"W,4-0",8-8,,4,0.1,0,0,0,0,0,0,0,7.2,3.53,1,3,3,1,1,0,1,1,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,0.46,0.013,0.42,0.01%,0.33,0.75,1.0,8b -2- 2 out a4,8b 3 out a4,,2024-04-06,135,137,745359
6,6,12,2024-04-07,SDP,@,SFG,"L,2-3",6-6,H(2),0,0.2,0,0,0,1,1,0,0,6.35,3.66,3,10,4,1,2,1,0,0,0,0,,2,1,0,0,0,2,0,0,0,0,0,0,3.58,0.016,3.5,0.01%,-0.08,2.9,5.0,6b 12- 1 out a2,6b 3 out a1,,2024-04-07,135,137,745362
7,7,14,2024-04-09,SDP,,CHC,"L,1-5",5-6,,1,2.0,2,1,1,0,4,1,0,5.87,4.17,8,46,32,7,4,1,3,1,0,0,,3,3,0,0,0,8,0,0,0,0,0,0,0.36,-0.117,0.33,-0.06%,-1.17,9.3,15.0,5t 123 0 out d1,6t 3 out d5,,2024-04-09,135,112,745433
8,8,16,2024-04-12,SDP,@,LAD,"W,8-7",6-6,,2,1.0,0,0,0,0,1,0,0,5.19,3.82,3,6,6,2,2,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.25,0.02,0.26,0.01%,0.54,4.25,6.0,6b --- 0 out d3,6b 3 out d3,,2024-04-12,135,119,746162
9,9,19,2024-04-15,SDP,@,MIL,"W,7-3",8-9,,2,1.2,1,0,0,1,1,0,0,4.35,3.81,7,26,15,3,3,3,2,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,0.35,0.034,0.34,0.02%,0.59,4.55,8.0,8b --- 0 out a4,9b 12- 2 out a4,,2024-04-15,135,158,746002
10,10,22,2024-04-19,SDP,,TOR,"L,1-5",7-8,,3,0.2,2,0,0,0,1,0,0,4.09,3.59,4,20,14,1,3,2,1,1,0,0,,0,0,1,0,0,4,0,0,0,0,0,0,0.22,0.001,0.22,0.00%,-0.12,2.3,5.0,7t --- 1 out d4,8t 1-- 0 out d4,,2024-04-19,135,141,745430
11,11,26,2024-04-23,SDP,@,COL,"L,4-7",4-5,,3,1.0,2,1,1,1,0,0,0,4.5,3.8,6,23,16,5,1,3,2,2,0,0,,3,0,0,0,0,5,1,0,0,0,0,0,1.13,-0.014,1.22,-0.01%,-0.05,-1.55,0.0,4b 123 2 out d2,5b 12- 2 out d3,,2024-04-23,135,115,746566
12,12,28,2024-04-25,SDP,@,COL,"L,9-10",8-GF(8),,1,0.1,1,0,0,1,1,0,0,4.38,3.86,3,14,5,0,2,0,1,1,0,0,,1,1,0,0,0,2,1,0,0,0,0,0,1.84,-0.22,1.85,-0.13%,-0.59,1.55,4.0,8b --3 2 out tie,8b end d 1,,2024-04-25,135,115,746564
13,13,29,2024-04-26,SDP,,PHI,"L,3-9",8-GF,,0,2.0,1,0,0,0,0,0,0,3.77,3.76,6,21,14,1,2,3,3,2,0,0,,2,0,0,0,0,6,0,0,0,0,0,0,0.04,0.005,0.04,0.00%,1.99,3.9,6.0,8t 12- 0 out d6,9t end d 6,,2024-04-26,135,143,745424
14,14,31,2024-04-28,SDP,,PHI,"L,6-8",9-GF,,1,1.0,2,0,0,0,0,0,0,3.52,3.72,4,10,6,2,0,2,2,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,0.28,0.017,0.24,0.01%,0.5,1.05,3.0,9t --- 0 out d2,9t end d 2,,2024-04-28,135,143,745428
15,15,32,2024-04-29,SDP,,CIN,"L,2-5",9-GF,,0,0.1,1,0,0,0,0,0,0,3.45,3.71,2,5,4,1,0,1,1,1,0,0,,2,1,0,0,0,2,0,0,0,0,0,0,0.2,-0.016,0.16,-0.01%,-0.56,0.15,1.0,9t 12- 2 out d3,9t end d 4,,2024-04-29,135,113,745427
16,16,36,2024-05-04,SDP,@,ARI,"W,13-1",9-GF,,4,1.0,2,1,1,1,1,0,0,3.78,3.73,6,26,17,9,1,3,1,0,1,0,,0,0,0,0,0,5,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,-0.48,0.45,3.0,9b --- 0 out a13,9b end a12,,2024-05-04,135,109,747209
17,17,37,2024-05-05,SDP,@,ARI,"L,4-11",7-7,,0,1.0,0,0,0,0,1,0,0,3.57,3.58,3,8,7,0,3,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.01,0.001,0.01,0.00%,0.53,4.25,6.0,7b --- 0 out d7,7b 3 out d7,,2024-05-05,135,109,747206
18,18,39,2024-05-07,SDP,@,CHC,"L,2-3",7-7,,1,1.0,0,0,0,0,0,0,0,3.38,3.56,3,7,6,2,0,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.61,0.047,0.6,0.03%,0.55,2.25,3.0,7b --- 0 out d1,7b 3 out d1,,2024-05-07,135,112,746885
19,19,42,2024-05-11,SDP,,LAD,"L,0-5",9-GF,,3,1.0,0,0,0,0,1,0,0,3.2,3.44,3,12,8,5,0,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.02,0.001,0.02,0.00%,0.5,4.25,6.0,9t --- 0 out d5,9t end d 5,,2024-05-11,135,119,745422
20,20,45,2024-05-14,SDP,,COL,"L,3-6",6-7,,2,1.1,5,3,3,0,1,1,0,4.29,3.94,9,23,18,4,2,4,4,1,0,0,,1,1,0,0,0,9,0,0,0,0,0,0,0.44,-0.194,0.41,-0.11%,-3.27,-4.0,-2.0,6t 1-- 2 out d2,7t 3 out d6,,2024-05-14,135,115,745418
21,21,48,2024-05-19,SDP,@,ATL,"W,9-1",9-GF,,4,1.0,2,1,1,0,0,0,0,4.5,3.9,4,17,13,3,0,3,1,1,0,0,,0,0,0,0,0,4,1,0,0,1,0,0,0.02,0.0,0.02,0.00%,-0.45,-0.95,0.0,9b --- 0 out a9,9b end a 8,,2024-05-19,135,144,747120
22,22,51,2024-05-21,SDP,@,CIN,"L,0-2",8-GF(8),,1,0.1,0,0,0,0,0,0,0,4.43,3.89,1,1,1,0,0,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,0.26,0.008,0.24,0.00%,0.25,0.75,1.0,8b 1-- 2 out d2,8b end d 2,,2024-05-21,135,113,746716
23,23,54,2024-05-24,SDP,,NYY,"L,0-8",6-7,,2,1.1,0,0,0,0,1,0,0,4.18,3.76,4,29,21,2,4,2,1,0,0,0,,1,0,0,0,0,4,0,0,0,0,0,0,0.03,0.003,0.03,0.00%,0.73,5.0,7.0,6t 1-- 2 out d7,7t 3 out d7,,2024-05-24,135,147,745415
24,24,59,2024-05-29 00:00:00,SDP,,MIA,"L,1-9",4-5,,4,1.1,3,3,3,0,1,0,0,5.04,3.65,7,20,15,2,1,3,3,2,0,0,,0,0,0,0,0,7,1,0,0,0,0,0,0.68,-0.083,0.7,-0.05%,-1.19,-2.8,-2.0,4t --- 0 out d2,5t 1-3 1 out d3,,2024-05-29,135,146,745414
25,25,60,2024-05-31 00:00:00,SDP,@,KCR,"W,11-8",9-9,,1,0.2,6,5,5,0,0,1,0,6.66,4.16,8,24,18,4,2,4,4,3,0,0,,0,0,0,0,0,8,0,0,0,0,0,0,0.07,-0.016,0.07,-0.01%,-3.27,-12.1,-13.0,9b --- 0 out a8,9b 123 2 out a5,,2024-05-31,135,118,746303
26,26,68,2024-06-08 00:00:00,SDP,,ARI,"W,13-1",7-8,,7,2.0,1,0,0,1,3,0,0,6.18,3.97,8,27,18,7,4,3,1,0,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.01,0.000,.01,0.00%,0.96,9.30,15.00,7t --- 0 out a12,8t 3 out a12,,2024-06-08,135,109,745410
