Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1.0,48.0,20.0,2021-04-21,SDP,,MIL,"L,2-4",GS-2,,99.0,2.0,1,0,0,1,4,0,0,0.0,0.67,8,29.0,19.0,3,7,1.0,2.0,0,1,0,57.0,,,0,0,0,7,0,0,0,0,0,0,0.93,0.097,0.9,0.06%,0.94,,,1t start tie,2t 3 out tie,,2021-04-21,135,158,634476
2.0,49.0,31.0,2021-05-04,SDP,,PIT,"L,1-2",GS-2,,12.0,2.0,4,0,0,0,0,0,0,0.0,1.92,9,30.0,21.0,5,4,4.0,5.0,4,0,0,48.0,,,0,0,0,9,0,0,0,0,0,0,0.94,0.097,1.08,0.07%,0.94,,,1t start tie,2t 3 out tie,,2021-05-04,135,134,634313
3.0,50.0,36.0,2021-05-11,SDP,@,COL,"W,8-1",GS-2,,6.0,2.0,1,1,1,1,1,0,0,1.5,2.5,8,29.0,19.0,6,3,1.0,5.0,1,1,0,50.0,,,1,0,0,7,1,0,0,0,0,0,0.86,0.002,1.02,0.00%,0.16,,,1b start tie,2b 3 out d1,,2021-05-11,135,115,634149
4.0,51.0,41.0,2021-05-16,SDP,,STL,"W,5-3",5-6,W(1-0),4.0,2.0,2,1,1,2,2,0,0,2.25,2.92,9,37.0,21.0,6,6,3.0,2.0,2,0,0,,0.0,0.0,1,0,0,7,1,0,0,1,0,0,1.5,0.014,2.01,0.01%,-0.06,,,5t --- 0 out a2,6t 3 out a1,,2021-05-16,135,138,634090
5.0,52.0,46.0,2021-05-22,SDP,,SEA,"W,6-4",6-8,,5.0,3.0,2,1,0,0,5,0,0,1.64,2.08,11,,,6,9,3.0,3.0,2,0,0,,0.0,0.0,0,0,0,10,1,0,0,0,1,0,0.25,0.038,0.31,0.03%,0.41,,,6t --- 0 out a5,8t 3 out a4,,2021-05-22,135,136,633991
6.0,53.0,52.0,2021-05-28,SDP,@,HOU,"W,10-3",GS-4,,5.0,3.0,5,2,2,2,3,1,0,2.57,3.24,16,,,11,7,3.0,8.0,5,2,0,42.0,,,0,0,0,14,3,0,0,0,0,0,1.05,-0.092,1.34,-0.07%,-0.42,,,1b start tie,4b --- 0 out d1,,2021-05-28,135,117,633918
7.0,54.0,57.0,2021-06-02,SDP,@,CHC,"L,1-6",GS-4,,4.0,4.0,4,1,1,1,6,0,0,2.5,2.73,17,72.0,47.0,11,12,7.0,3.0,1,0,0,55.0,,,1,0,0,16,0,0,0,1,0,1,1.26,0.081,1.69,0.07%,1.02,,,1b start tie,4b 3 out tie,,2021-06-02,135,112,633855
8.0,55.0,63.0,2021-06-08,SDP,,CHC,"L,1-7",GS-6,L(1-1),5.0,5.0,4,4,4,1,6,1,1,3.52,3.13,21,78.0,55.0,14,15,1.0,12.0,3,2,0,48.0,,,0,0,0,19,1,0,0,0,0,0,0.85,-0.116,1.12,-0.09%,-1.27,,,1t start tie,6t -2- 0 out d3,,2021-06-08,135,112,633777
9.0,56.0,68.0,2021-06-14,SDP,@,COL,"L,2-3",GS-4,L(1-2),5.0,4.0,4,1,1,2,3,0,0,3.33,3.13,17,75.0,50.0,11,6,7.0,5.0,3,2,0,51.0,,,0,0,0,15,0,0,0,1,0,0,0.9,0.101,1.11,0.08%,1.31,,,1b start tie,4b 3 out d1,,2021-06-14,135,115,633703
10.0,57.0,74.0,2021-06-20,SDP,,CIN,"W,3-2",GS-5,W(2-2),5.0,5.0,4,0,0,1,7,0,0,2.81,2.8,20,,,9,13,6.0,6.0,2,1,0,65.0,,,0,0,0,18,0,0,0,0,0,0,1.15,0.238,1.42,0.18%,2.35,,,1t start tie,5t 3 out a3,,2021-06-20,135,113,633566
