Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id,season,IP_real,IP_real_20,H_20,BF_20,HR_20,R_20,ER_20,BB_20,SO_20,XB_against_20,TB_against_20,ERA_20,WHIP_20,IP_real_5,H_5,BF_5,HR_5,R_5,ER_5,BB_5,SO_5,XB_against_5,TB_against_5,ERA_5,WHIP_5,IP_real_current,H_current,BF_current,HR_current,R_current,ER_current,BB_current,SO_current,XB_against_current,TB_against_current,ERA_current,WHIP_current
1,191,2022-06-18,TEX,@,DET,"L,7-14",6-6,,99,1.0,4.0,3.0,3.0,1.0,0.0,0.0,0,27.0,6.11,8.0,28.0,18.0,1,4,1,6,2,3,0,,0,0,0,0,0,7,2.0,0.0,0.0,0,0,0,0.03,-0.005,0.02,0.00%,-2.53,-6.75,-6.0,6b --- 0 out d7,6b 3 out d10,,2022-06-18,140,116,662802,2022,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,192,2022-06-26,TEX,,WSN,"L,4-6",8-8,,7,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0,13.5,2.61,3.0,20.0,14.0,1,6,0,1,1,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.04,0.004,0.03,0.00%,0.48,6.25,9.0,8t --- 0 out d5,8t 3 out d5,,2022-06-26,140,120,661847,2022,1.0,1.0,4.0,8.0,0.0,3.0,3.0,1.0,0.0,2.0,6.0,27.0,5.0,1.0,4.0,8.0,0.0,3.0,3.0,1.0,0.0,2.0,6.0,27.0,5.0,1.0,4.0,8.0,0.0,3.0,3.0,1.0,0.0,2.0,6.0,27.0,5.0
3,193,2022-06-28,TEX,@,KCR,"W,8-3",8-8,,1,1.0,2.0,2.0,2.0,0.0,0.0,1.0,0,15.0,7.11,5.0,12.0,9.0,3,1,1,4,1,0,0,,0,0,0,0,0,4,1.0,0.0,0.0,0,1,0,0.31,-0.005,0.19,0.00%,-1.51,-2.95,-3.0,8b --- 0 out a6,8b 3 out a4,,2022-06-28,140,118,662615,2022,1.0,2.0,4.0,11.0,0.0,3.0,3.0,1.0,2.0,2.0,6.0,13.5,2.5,2.0,4.0,11.0,0.0,3.0,3.0,1.0,2.0,2.0,6.0,13.5,2.5,2.0,4.0,11.0,0.0,3.0,3.0,1.0,2.0,2.0,6.0,13.5,2.5
4,194,2022-07-03,TEX,@,NYM,"L,1-4",7-GF(8),,4,2.0,1.0,0.0,0.0,0.0,2.0,0.0,1,9.0,5.31,8.0,27.0,17.0,6,2,1,4,0,1,0,,0,0,0,0,0,7,1.0,0.0,0.0,0,0,0,0.22,0.017,0.14,0.01%,0.95,7.3,12.0,7b --- 0 out d3,8b end d 3,,2022-07-03,140,121,662509,2022,2.0,3.0,6.0,16.0,1.0,5.0,5.0,1.0,2.0,4.0,12.0,15.0,2.333,3.0,6.0,16.0,1.0,5.0,5.0,1.0,2.0,4.0,12.0,15.0,2.333,3.0,6.0,16.0,1.0,5.0,5.0,1.0,2.0,4.0,12.0,15.0,2.333
5,195,2022-07-06,TEX,@,BAL,"L,1-2",7-GF(8),,2,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0,6.43,4.54,8.0,29.0,17.0,1,5,2,3,0,2,0,,0,0,0,0,0,7,0.0,0.0,0.0,0,0,0,0.62,0.068,0.32,0.02%,0.94,7.3,12.0,7b --- 0 out d1,8b end d 1,,2022-07-06,140,110,661245,2022,2.0,5.0,7.0,24.0,1.0,5.0,5.0,1.0,4.0,5.0,14.0,9.0,1.6,5.0,7.0,24.0,1.0,5.0,5.0,1.0,4.0,5.0,14.0,9.0,1.6,5.0,7.0,24.0,1.0,5.0,5.0,1.0,4.0,5.0,14.0,9.0,1.6
6,196,2022-07-09,TEX,,MIN,"W,9-7",7-7,H(1),2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,5.63,4.74,3.0,,,3,1,1,1,0,0,0,,0,0,0,0,0,2,0.0,0.0,0.0,1,0,0,1.8,0.094,0.86,0.03%,0.48,1.65,3.0,7t --- 0 out a1,7t 3 out a1,,2022-07-09,140,142,661842,2022,1.0,7.0,8.0,32.0,1.0,5.0,5.0,2.0,6.0,5.0,15.0,6.429,1.429,7.0,8.0,32.0,1.0,5.0,5.0,2.0,6.0,5.0,15.0,6.429,1.429,7.0,8.0,32.0,1.0,5.0,5.0,2.0,6.0,5.0,15.0,6.429,1.429
7,197,2022-07-11,TEX,,OAK,"W,10-8",6-7,,1,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0,4.5,4.21,6.0,18.0,12.0,4,3,3,2,0,1,0,,0,0,0,0,0,6,0.0,0.0,0.0,0,0,0,0.26,0.039,0.12,0.01%,0.97,6.5,9.0,6t --- 0 out a4,7t 3 out a6,,2022-07-11,140,133,661814,2022,2.0,8.0,8.0,35.0,1.0,5.0,5.0,3.0,6.0,5.0,15.0,5.625,1.375,7.0,4.0,27.0,1.0,2.0,2.0,2.0,6.0,3.0,9.0,2.571,0.857,8.0,8.0,35.0,1.0,5.0,5.0,3.0,6.0,5.0,15.0,5.625,1.375
8,198,2022-07-13,TEX,,OAK,"W,5-2",9-9,,1,0.2,3.0,2.0,2.0,1.0,1.0,2.0,0,5.91,6.67,6.0,20.0,10.0,3,2,1,3,1,0,0,,0,0,0,0,0,5,1.0,0.0,0.0,0,0,0,0.2,-0.034,0.08,-0.01%,-2.11,-2.9,-1.0,9t --- 0 out a5,9t -23 2 out a3,,2022-07-13,140,133,661812,2022,0.667,10.0,8.0,41.0,1.0,5.0,5.0,3.0,7.0,5.0,15.0,4.5,1.1,8.0,4.0,30.0,1.0,2.0,2.0,2.0,5.0,3.0,9.0,2.25,0.75,10.0,8.0,41.0,1.0,5.0,5.0,3.0,7.0,5.0,15.0,4.5,1.1
9,199,2022-07-15,TEX,,SEA,"L,3-8",8-GF,,1,2.0,1.0,1.0,1.0,1.0,4.0,1.0,0,5.68,6.74,8.0,40.0,21.0,7,8,1,2,0,0,0,,3,3,0,0,0,7,0.0,0.0,0.0,0,0,0,0.83,-0.086,0.38,-0.02%,-1.2,9.3,15.0,8t 123 0 out d1,9t end d 5,,2022-07-15,140,136,661810,2022,2.0,10.667,11.0,47.0,3.0,7.0,7.0,4.0,8.0,8.0,25.0,5.906,1.406,7.667,5.0,31.0,2.0,2.0,2.0,3.0,6.0,4.0,13.0,2.348,1.043,10.667,11.0,47.0,3.0,7.0,7.0,4.0,8.0,8.0,25.0,5.906,1.406
10,200,2022-07-17,TEX,,SEA,"L,2-6",8-8,,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,5.27,6.7,4.0,14.0,9.0,3,1,0,3,0,0,0,,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0,0.13,0.007,0.04,0.00%,0.48,1.65,3.0,8t --- 0 out d4,8t 3 out d4,,2022-07-17,140,136,661821,2022,1.0,12.667,12.0,55.0,4.0,8.0,8.0,5.0,12.0,9.0,29.0,5.684,1.342,7.667,5.0,31.0,3.0,3.0,3.0,4.0,8.0,4.0,15.0,3.522,1.174,12.667,12.0,55.0,4.0,8.0,8.0,5.0,12.0,9.0,29.0,5.684,1.342
