Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,dbl,game_date,team_id,opp_id,game_id
1.0,1.0,141.0,2023-09-08,OAK,@,TEX,"W,6-3",4-4,,99.0,1.0,2,1,1,2,1,0,0,9.0,7.26,7,30,14,3,2,0.0,4.0,3,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,1.43,-0.074,0.0,0.00%,-0.47,-0.15,3.0,4b --- 0 out tie,4b 3 out d1,,2023-09-08,133,140,716665
2.0,2.0,143.0,2023-09-10,OAK,@,TEX,"L,4-9",8-GF(8),,1.0,1.0,1,0,0,0,1,0,0,4.5,4.26,4,16,9,2,3,1.0,2.0,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.02,0.002,0.0,0.00%,0.53,3.65,6.0,8b --- 0 out d5,8b end d 5,,2023-09-10,133,140,716637
3.0,3.0,146.0,2023-09-13,OAK,@,HOU,"L,2-6",7-7,,2.0,1.0,1,1,1,0,1,1,0,6.0,7.59,4,23,17,4,2,2.0,1.0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.05,-0.006,0.0,0.00%,-0.49,1.65,3.0,7b --- 0 out d5,7b 3 out d6,,2023-09-13,133,117,716596
4.0,4.0,148.0,2023-09-16,OAK,,SDP,"L,2-5",5-7,,2.0,2.0,2,0,0,0,1,0,0,3.6,5.46,8,34,22,4,1,2.0,5.0,3,1,0,,2,2,0,0,0,8,1,0,0,0,0,0,0.39,-0.105,0.0,0.00%,-0.74,5.3,9.0,5t 12- 2 out d2,7t --- 2 out d3,,2023-09-16,133,135,716564
5.0,5.0,151.0,2023-09-19,OAK,,SEA,"L,2-7",7-7,,2.0,0.2,4,4,4,1,1,0,0,9.53,5.37,7,21,14,1,4,3.0,2.0,2,0,0,,0,0,1,0,0,6,2,0,1,0,0,0,0.5,-0.17,0.0,0.00%,-3.75,-7.5,-7.0,7t --- 1 out d2,7t 3 out d6,,2023-09-19,133,136,716512
6.0,6.0,153.0,2023-09-21,OAK,,DET,"L,3-7",8-8,,1.0,1.0,0,0,0,1,2,0,0,8.1,4.91,5,24,13,5,3,1.0,1.0,1,0,0,,2,1,0,0,0,4,0,0,0,0,0,0,0.03,-0.001,0.0,0.00%,0.45,5.65,9.0,8t 12- 0 out d6,8t 3 out d7,,2023-09-21,133,116,716488
1.0,7.0,39.0,2024-05-08,OAK,,TEX,"L,11-12",9-GF,,99.0,1.0,3,2,2,1,2,0,0,18.0,2.13,7,29,17,3,3,1.0,3.0,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,0.14,-0.024,0.13,-0.01%,-1.53,-0.15,3.0,9t --- 0 out d3,9t end d 5,2.0,2024-05-08,133,140,745659
2.0,8.0,40.0,2024-05-10,OAK,@,SEA,"L,1-8",6-7,,1.0,1.1,2,1,1,1,4,0,0,11.57,0.56,7,32,22,8,3,1.0,1.0,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,0.02,0.001,0.02,0.00%,0.08,7.2,13.0,6b --- 0 out d7,7b 12- 1 out d7,,2024-05-10,133,136,745264
3.0,9.0,43.0,2024-05-13,OAK,@,HOU,"L,2-9",7-GF(8),,2.0,1.1,3,4,3,1,0,0,0,14.73,2.31,9,39,25,5,2,3.0,5.0,2,2,0,,1,0,0,0,0,8,2,0,0,0,0,1,0.1,-0.02,0.07,-0.01%,-3.26,-5.4,-5.0,7b 1-- 2 out d3,8b end d 7,,2024-05-13,133,117,746393
4.0,10.0,101.0,2024-07-22 00:00:00,DET,@,CLE,"W,8-2",9-9,,69.0,0.1,1,1,1,1,0,0,1,15.75,3.89,4,16,10,5,0,1.0,1.0,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,0.24,-0.006,0.13,0.00%,-1.69,-3.05,-2.0,9b --- 0 out a7,9b 1-3 1 out a6,,2024-07-22,116,114,746612
5,11,104,2024-07-25 00:00:00,DET,@,CLE,"W,3-0",3-4,W(1-0),2,2.0,0,0,0,0,2,0,0,10.50,3.01,6,27,17,3,4,2,2,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.65,0.099,.29,0.03%,0.99,12.50,18.00,3b --- 0 out a3,4b 3 out a3,,2024-07-25,116,114,746609
6,12,107,2024-07-28 00:00:00,DET,,MIN,"L,0-5",2-3,,2,1.0,2,1,1,1,0,0,0,10.29,3.46,6,20,9,1,0,1,4,2,1,0,,1,1,0,0,0,4,0,0,0,0,1,0,1.28,-0.142,.67,-0.04%,-1.46,-1.55,0.00,2t 1-- 0 out tie,3t 1-3 0 out d1,,2024-07-28,116,142,746445
